"var","categoria","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria","A Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.044,0.236,0.039,0.694,0.037,0.025,0,0.011
"P11","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.025,0.079,0.011,0.034,0.831,0.039,0.064,0.079
"P11","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0,0.001,0,0.012,0.701,0.003,0.024
"P11","En blanco",0.011,0.006,0.008,0.004,0.004,0.069,0.569,0.037
"P11","No sabe",0.05,0.051,0.025,0.027,0.031,0,0.193,0.676
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.695,0.278,0.121,0.064,0.006,0.248,0.044,0.194
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.039,0.386,0.021,0.043,0.011,0.021,0.076,0.016
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.18,0.087,0.786,0.147,0.015,0.036,0.122,0.016
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.011,0.14,0.024,0.714,0.039,0,0,0.009
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.034,0.027,0.007,0.913,0.063,0,0.027
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0,0.01,0,0.002,0.563,0.063,0.02
"P15","En blanco",0.015,0,0.004,0.011,0.003,0.069,0.624,0.065
"P15","No sabe",0.039,0.075,0.007,0.014,0.011,0,0.071,0.653
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.662,0.417,0.126,0.014,0.016,0.175,0.151,0.109
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.104,0.157,0.042,0.079,0.031,0.041,0.104,0.023
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.129,0.083,0.749,0.169,0.049,0.135,0.01,0.088
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.008,0.082,0.032,0.648,0.008,0,0.005,0.007
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.076,0.039,0.03,0.89,0.01,0.031,0.052
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.038,0,0.003,0.006,0.557,0.037,0.027
"P17","En blanco",0.018,0.017,0.003,0.021,0,0.082,0.59,0.086
"P17","No sabe",0.065,0.13,0.009,0.036,0,0,0.072,0.608
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.708,0.416,0.12,0.041,0.015,0.148,0.022,0.088
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.057,0.161,0.007,0.086,0.006,0.054,0.183,0.041
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.121,0.085,0.76,0.175,0.058,0.07,0,0.034
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.027,0.158,0.068,0.618,0.051,0,0.011,0.011
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.029,0.031,0.033,0.84,0.086,0,0.089
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.039,0.003,0.005,0.001,0.63,0.011,0.06
"P19","En blanco",0.014,0.04,0.004,0.018,0.004,0.012,0.541,0.065
"P19","No sabe",0.047,0.072,0.007,0.024,0.025,0,0.232,0.612
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.701,0.511,0.079,0.098,0.004,0.371,0.062,0.18
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.135,0.156,0.016,0.116,0.021,0.011,0.064,0.049
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.093,0.142,0.806,0.067,0.085,0,0.014,0.061
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.015,0.101,0.046,0.65,0.009,0,0.06,0.009
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0.01,0.033,0.027,0.852,0.175,0,0.087
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.013,0.004,0.011,0.011,0.316,0.006,0.067
"P21","En blanco",0.015,0.029,0.008,0.009,0.016,0.127,0.607,0.044
"P21","No sabe",0.027,0.038,0.008,0.022,0.002,0,0.187,0.503
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.71,0.673,0.078,0.062,0.01,0.198,0.088,0.192
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.136,0.154,0.823,0.526,0.061,0,0.137,0.128
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.04,0.017,0.084,0.159,0.761,0.107,0.104,0.09
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.027,0,0.001,0.034,0,0.422,0,0.008
"P22","En blanco",0.018,0.056,0.009,0.088,0.14,0,0.563,0.034
"P22","No sabe",0.069,0.1,0.005,0.131,0.028,0.273,0.108,0.548
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.78,0.631,0.074,0.011,0.011,0.24,0.166,0.154
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.073,0.152,0.565,0.784,0.035,0,0.095,0.098
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.049,0,0.122,0.077,0.815,0.111,0.109,0.112
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0.105,0.003,0.007,0,0.404,0,0.012
"P23","En blanco",0.011,0.046,0.088,0.044,0.132,0,0.596,0.017
"P23","No sabe",0.077,0.066,0.148,0.077,0.007,0.245,0.034,0.607
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.84,0.649,0.069,0.084,0.013,0.229,0,0.182
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.075,0.134,0.837,0.569,0.059,0,0.113,0.139
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.012,0.017,0.055,0.111,0.787,0.11,0,0.048
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.084,0,0.072,0.012,0.419,0.109,0.01
"P24","En blanco",0.018,0.058,0.017,0.089,0.116,0.166,0.638,0.014
"P24","No sabe",0.035,0.058,0.022,0.075,0.013,0.076,0.14,0.607
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.868,0.654,0.069,0.028,0.029,0.103,0,0.16
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.044,0.212,0.578,0.687,0.053,0,0.082,0.063
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.032,0,0.133,0.113,0.755,0.111,0.051,0.05
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.027,0,0,0,0.545,0.111,0.041
"P25","En blanco",0.021,0.052,0.084,0.108,0.125,0.167,0.712,0.038
"P25","No sabe",0.028,0.055,0.136,0.064,0.038,0.074,0.044,0.648
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.762,0.71,0.062,0.079,0.001,0.336,0.061,0.335
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.144,0.155,0.836,0.733,0.045,0,0.048,0.074
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.03,0,0.069,0.075,0.785,0.113,0.151,0.056
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0.031,0.005,0.012,0.018,0.326,0,0.01
"P26","En blanco",0.02,0.077,0.013,0.024,0.125,0.165,0.641,0.055
"P26","No sabe",0.028,0.027,0.015,0.077,0.026,0.06,0.099,0.47
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.738,0.669,0.059,0.085,0.002,0.283,0.013,0.356
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.123,0.191,0.597,0.802,0.043,0,0.035,0.038
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.071,0.035,0.137,0.067,0.783,0.117,0.135,0.045
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.032,0.004,0.008,0,0.349,0.143,0.022
"P27","En blanco",0.02,0.06,0.073,0.016,0.112,0,0.621,0.066
"P27","No sabe",0.042,0.013,0.13,0.022,0.06,0.251,0.053,0.473
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.819,0.625,0.025,0.037,0.015,0.332,0,0.429
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.101,0.123,0.841,0.733,0.062,0,0.04,0.236
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0,0.066,0.061,0.698,0.16,0,0.129
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.012,0.156,0.012,0.034,0.007,0.508,0,0
"P28","No sabe",0.051,0.096,0.056,0.135,0.218,0,0.96,0.206
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.799,0.592,0.03,0.033,0.013,0.168,0.185,0.365
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.096,0.16,0.846,0.878,0.092,0,0.04,0.146
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.039,0,0.066,0.029,0.69,0.162,0,0.101
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.015,0.132,0.004,0.012,0.008,0.67,0.099,0
"P29","No sabe",0.051,0.116,0.054,0.048,0.197,0,0.676,0.388
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.761,0.789,0.04,0.03,0.005,0.364,0.014,0.441
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.191,0.117,0.852,0.705,0.071,0,0.035,0.183
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.008,0,0.071,0.124,0.721,0.172,0.103,0.082
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.003,0.021,0.019,0.032,0.007,0.464,0,0.032
"P30","No sabe",0.037,0.073,0.018,0.109,0.196,0,0.848,0.262
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.768,0.75,0.064,0.041,0.014,0.375,0.014,0.438
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.185,0.121,0.795,0.813,0.041,0,0.037,0.12
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.043,0.085,0.055,0.781,0.176,0.101,0.063
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0.011,0.014,0.044,0.449,0.078,0.034
"P31","No sabe",0.031,0.086,0.045,0.077,0.12,0,0.77,0.345
"P32","Lo votaría",0.524,0.413,0.155,0.151,0.026,0.195,0.014,0.328
"P32","Puede que lo vote",0.195,0.389,0.223,0.379,0.205,0.238,0.323,0.331
"P32","Nunca lo votaría",0.219,0.073,0.512,0.28,0.587,0.125,0.266,0.042
"P32","No sabe",0.062,0.125,0.11,0.19,0.182,0.442,0.397,0.299
"P33","Lo votaría",0.173,0.526,0.118,0.14,0.021,0.239,0.273,0.099
"P33","Puede que lo vote",0.295,0.335,0.24,0.291,0.224,0.254,0.037,0.144
"P33","Nunca lo votaría",0.406,0.112,0.488,0.402,0.55,0.24,0.245,0.389
"P33","No sabe",0.126,0.027,0.154,0.167,0.205,0.267,0.445,0.368
"P34","Lo votaría",0.059,0.151,0.476,0.247,0.03,0,0,0.077
"P34","Puede que lo vote",0.282,0.391,0.23,0.333,0.35,0.079,0.12,0.241
"P34","Nunca lo votaría",0.497,0.429,0.186,0.252,0.389,0.655,0.545,0.211
"P34","No sabe",0.162,0.029,0.108,0.168,0.231,0.266,0.335,0.471
"P35","Lo votaría",0.05,0.052,0.523,0.608,0.144,0,0,0.15
"P35","Puede que lo vote",0.312,0.247,0.264,0.166,0.271,0,0,0.383
"P35","Nunca lo votaría",0.574,0.574,0.131,0.15,0.407,0.846,0.638,0.231
"P35","No sabe",0.064,0.127,0.082,0.076,0.178,0.154,0.362,0.236
"P36","Lo votaría",0.68,0.731,0.054,0.175,0.017,0.287,0,0.371
"P36","Puede que lo vote",0.075,0.082,0.217,0.237,0.276,0.306,0.022,0.19
"P36","Nunca lo votaría",0.244,0.172,0.726,0.571,0.597,0.337,0.565,0.26
"P36","No sabe",0.001,0.015,0.003,0.017,0.11,0.07,0.413,0.179
"P37","La votaría",0.218,0.204,0.007,0.149,0.049,0.064,0,0.077
"P37","Puede que la vote",0.461,0.541,0.216,0.226,0.236,0.683,0.022,0.223
"P37","Nunca la votaría",0.258,0.233,0.731,0.608,0.625,0.178,0.564,0.37
"P37","No sabe",0.063,0.022,0.046,0.017,0.09,0.075,0.414,0.33
"P38","Lo votaría",0.058,0.046,0.511,0.258,0.058,0,0,0.144
"P38","Puede que lo vote",0.289,0.424,0.157,0.449,0.3,0.271,0.205,0.359
"P38","Nunca lo votaría",0.549,0.498,0.224,0.272,0.476,0.654,0.432,0.245
"P38","No sabe",0.104,0.032,0.108,0.021,0.166,0.075,0.363,0.252
"P39","Lo votaría",0.088,0.056,0.678,0.608,0.122,0.186,0,0.058
"P39","Puede que lo vote",0.271,0.311,0.229,0.292,0.281,0.208,0.206,0.32
"P39","Nunca lo votaría",0.604,0.633,0.07,0.083,0.443,0.53,0.519,0.435
"P39","No sabe",0.037,0,0.023,0.017,0.154,0.076,0.275,0.187
"P40","Lo votaría",0.062,0.009,0.143,0.088,0.462,0,0,0.032
"P40","Puede que lo vote",0.3,0.323,0.355,0.414,0.151,0.208,0.141,0.237
"P40","Nunca lo votaría",0.585,0.659,0.363,0.394,0.227,0.53,0.584,0.359
"P40","No sabe",0.053,0.009,0.139,0.104,0.16,0.262,0.275,0.372
"P41","Lo votaría",0.455,0.387,0.031,0.011,0.055,0.222,0.026,0.284
"P41","Puede que lo vote",0.267,0.491,0.289,0.361,0.256,0.509,0.139,0.208
"P41","Nunca lo votaría",0.274,0.122,0.675,0.553,0.614,0.195,0.563,0.331
"P41","No sabe",0.004,0,0.005,0.075,0.075,0.074,0.272,0.177
"P42","Lo votaría",0.582,0.705,0.038,0.049,0.005,0.47,0.026,0.265
"P42","Puede que lo vote",0.163,0.21,0.252,0.322,0.318,0.328,0.139,0.248
"P42","Nunca lo votaría",0.229,0.085,0.703,0.588,0.613,0.086,0.563,0.317
"P42","No sabe",0.026,0,0.007,0.041,0.064,0.116,0.272,0.17
"P43","Lo votaría",0.343,0.11,0.022,0.033,0.058,0.257,0,0.105
"P43","Puede que lo vote",0.393,0.67,0.255,0.343,0.301,0.308,0.279,0.269
"P43","Nunca lo votaría",0.212,0.22,0.705,0.59,0.551,0.361,0.539,0.403
"P43","No sabe",0.052,0,0.018,0.034,0.09,0.074,0.182,0.223
"P44","La votaría",0.116,0.111,0.818,0.341,0.136,0.035,0,0.105
"P44","Puede que la vote",0.272,0.404,0.09,0.512,0.49,0.206,0.346,0.377
"P44","Nunca la votaría",0.594,0.427,0.087,0.111,0.251,0.759,0.382,0.257
"P44","No sabe",0.018,0.058,0.005,0.036,0.123,0,0.272,0.261
"P45","Lo votaría",0.06,0.104,0.45,0.695,0.095,0.187,0,0.009
"P45","Puede que lo vote",0.227,0.373,0.354,0.192,0.367,0.258,0.297,0.397
"P45","Nunca lo votaría",0.689,0.514,0.172,0.076,0.415,0.555,0.522,0.395
"P45","No sabe",0.024,0.009,0.024,0.037,0.123,0,0.181,0.199
"P46","Lo votaría",0.059,0.06,0.152,0.198,0.815,0.217,0,0.085
"P46","Puede que lo vote",0.21,0.352,0.373,0.45,0.079,0.208,0.143,0.22
"P46","Nunca lo votaría",0.719,0.588,0.403,0.278,0.063,0.575,0.581,0.477
"P46","No sabe",0.012,0,0.072,0.074,0.043,0,0.276,0.218
"P47","Si",0.563,0.742,0.514,0.3,0.447,0.286,0.341,0.393
"P47","No",0.437,0.258,0.486,0.7,0.553,0.714,0.659,0.607
