"var","categoria","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a gobernador y a intendente del Frente de Izquierda","No sabe"
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.078,0.901,0.121,0.138,0.067
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.039,0.785,0.056,0.309
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0,0.01,0.308,0
"P26","En blanco",0.006,0.015,0.047,0.037,0.333
"P26","No sabe",0.029,0.023,0,0,0.198
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.833,0.008,0.03,0.46,0.104
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.039,0.706,0.077,0.188,0.139
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.048,0.093,0.845,0.056,0.224
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.002,0,0.296,0.024
"P27","En blanco",0.021,0.052,0.037,0,0.361
"P27","No sabe",0.054,0.139,0.011,0,0.148
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.936,0.007,0.006,0.08,0.044
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.013,0.92,0.109,0.053,0.153
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.029,0.026,0.883,0,0
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.013,0.001,0,0.827,0.02
"P29","No sabe",0.009,0.046,0.002,0.04,0.783
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.874,0.025,0.016,0.398,0.102
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.098,0.928,0.037,0.039,0.107
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.029,0.921,0,0.089
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.004,0.024,0.563,0
"P30","No sabe",0.025,0.014,0.002,0,0.702
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.888,0.014,0.007,0.393,0.166
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.099,0.898,0.027,0.107,0.092
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.031,0.949,0,0.113
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.004,0.011,0.457,0.074
"P31","No sabe",0.003,0.053,0.006,0.043,0.555
"P32","Lo votaría",0.595,0.095,0.078,0.113,0.132
"P32","Puede que lo vote",0.188,0.273,0.215,0.441,0.268
"P32","Nunca lo votaría",0.131,0.499,0.63,0.13,0.264
"P32","No sabe",0.086,0.133,0.077,0.316,0.336
"P33","Lo votaría",0.253,0.087,0.029,0.186,0.157
"P33","Puede que lo vote",0.296,0.271,0.242,0.105,0.128
"P33","Nunca lo votaría",0.324,0.49,0.54,0.393,0.438
"P33","No sabe",0.127,0.152,0.189,0.316,0.277
"P34","Lo votaría",0.049,0.466,0.044,0,0.008
"P34","Puede que lo vote",0.281,0.26,0.339,0.222,0.269
"P34","Nunca lo votaría",0.491,0.182,0.349,0.512,0.479
"P34","No sabe",0.179,0.092,0.268,0.266,0.244
"P35","Lo votaría",0.027,0.549,0.142,0.05,0.166
"P35","Puede que lo vote",0.288,0.258,0.279,0.197,0.25
"P35","Nunca lo votaría",0.598,0.127,0.421,0.566,0.361
"P35","No sabe",0.087,0.066,0.158,0.187,0.223
"P36","Lo votaría",0.758,0.076,0.007,0.471,0.105
"P36","Puede que lo vote",0.054,0.21,0.316,0.288,0.19
"P36","Nunca lo votaría",0.177,0.706,0.625,0.191,0.496
"P36","No sabe",0.011,0.008,0.052,0.05,0.209
"P37","La votaría",0.255,0.027,0.057,0.07,0.007
"P37","Puede que la vote",0.466,0.222,0.272,0.661,0.186
"P37","Nunca la votaría",0.185,0.716,0.628,0.219,0.595
"P37","No sabe",0.094,0.035,0.043,0.05,0.212
"P38","Lo votaría",0.027,0.504,0.08,0,0.019
"P38","Puede que lo vote",0.301,0.228,0.318,0.622,0.197
"P38","Nunca lo votaría",0.55,0.192,0.451,0.328,0.575
"P38","No sabe",0.122,0.076,0.151,0.05,0.209
"P39","Lo votaría",0.037,0.695,0.157,0.1,0.089
"P39","Puede que lo vote",0.26,0.232,0.353,0.547,0.19
"P39","Nunca lo votaría",0.651,0.055,0.388,0.303,0.53
"P39","No sabe",0.052,0.018,0.102,0.05,0.191
"P40","Lo votaría",0.028,0.114,0.48,0.078,0.221
"P40","Puede que lo vote",0.281,0.393,0.153,0.516,0.155
"P40","Nunca lo votaría",0.614,0.357,0.229,0.356,0.423
"P40","No sabe",0.077,0.136,0.138,0.05,0.201
"P41","Lo votaría",0.526,0.018,0.032,0.269,0.073
