"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.022,0.685,0.02,0.316,0.087
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.003,0.015,0.301,0.029,0.01
"P15","En blanco",0.001,0.006,0,0.223,0.143,0.041
"P15","No sabe",0.013,0.009,0.001,0.112,0.058,0.379
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.68,0.045,0.028,0.206,0.069,0.155
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.08,0.107,0.069,0.099,0.021,0.017
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.052,0.574,0.177,0.078,0.273,0.416
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.008,0.223,0.02,0.059,0.02,0.009
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.038,0.69,0.02,0.345,0.099
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0,0.011,0.321,0,0.003
"P17","En blanco",0.016,0.006,0,0.159,0.196,0.044
"P17","No sabe",0.126,0.007,0.005,0.058,0.076,0.257
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.725,0.118,0.036,0.148,0.049,0.134
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.059,0.023,0.012,0.099,0.079,0.025
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.071,0.553,0.181,0.078,0.292,0.332
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.023,0.247,0.039,0.059,0.019,0.009
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.049,0.695,0.02,0.316,0.107
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.021,0,0.017,0.383,0,0.038
"P19","En blanco",0.024,0.003,0,0.159,0.196,0.013
"P19","No sabe",0.073,0.007,0.02,0.054,0.049,0.342
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.822,0.04,0.042,0.237,0.013,0.073
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.063,0.08,0.064,0.148,0.062,0.05
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.077,0.564,0.157,0.061,0.31,0.347
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.014,0.268,0.012,0,0.049,0.015
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.035,0.699,0.02,0.294,0.087
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0.003,0.003,0.321,0,0.015
"P21","En blanco",0.007,0.003,0.006,0.159,0.231,0.041
"P21","No sabe",0.014,0.007,0.017,0.054,0.041,0.372
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.809,0.012,0.007,0.208,0.081,0.139
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.026,0.815,0.199,0.062,0.357,0.403
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.123,0.766,0,0,0.09
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.041,0.001,0.004,0.429,0,0
"P22","En blanco",0.015,0.011,0.02,0.064,0.523,0.004
"P22","No sabe",0.102,0.038,0.004,0.237,0.039,0.364
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.835,0.031,0.023,0.158,0.119,0.127
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.032,0.844,0.057,0.16,0.106,0.118
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.058,0.903,0,0.036,0.087
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.028,0.003,0,0.438,0,0
"P23","En blanco",0.015,0.014,0.004,0.101,0.667,0.013
"P23","No sabe",0.087,0.05,0.013,0.143,0.072,0.655
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.877,0.07,0.057,0.11,0.08,0.093
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.029,0.792,0.155,0.062,0.317,0.4
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.064,0.733,0,0,0.087
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.026,0.02,0.026,0.551,0,0
"P24","En blanco",0.003,0.017,0.023,0.064,0.576,0.032
"P24","No sabe",0.062,0.037,0.006,0.213,0.027,0.388
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.869,0.078,0.053,0.07,0.046,0.088
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.042,0.809,0.06,0.129,0.03,0.079
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.056,0.851,0.095,0.005,0.039
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.016,0,0.015,0.551,0.036,0
"P25","En blanco",0.013,0.027,0.014,0.101,0.815,0.041
"P25","No sabe",0.057,0.03,0.007,0.054,0.068,0.753
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.976,0.013,0.014,0.09,0.028,0.065
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.004,0.895,0.192,0.062,0.242,0.379
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.045,0.779,0.064,0.037,0.059
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.014,0,0.518,0,0
"P26","En blanco",0,0.006,0.014,0.266,0.625,0.044
"P26","No sabe",0.008,0.027,0.001,0,0.068,0.453
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.89,0.041,0.069,0.123,0.087,0.195
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.01,0.843,0.15,0.058,0.245,0.574
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.044,0.651,0,0.083,0.022
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.04,0.016,0.006,0.588,0,0
"P28","No sabe",0.043,0.056,0.124,0.231,0.585,0.209
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.889,0.04,0.078,0.142,0.081,0.132
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.012,0.902,0.175,0.032,0.161,0.467
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.035,0.63,0,0.117,0.1
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.048,0.005,0.007,0.574,0.035,0
"P29","No sabe",0.046,0.018,0.11,0.252,0.606,0.301
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.974,0.017,0.015,0.112,0.022,0.105
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.008,0.875,0.204,0.054,0.285,0.541
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.064,0.642,0,0.147,0.08
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.011,0.019,0.006,0.52,0,0.02
"P30","No sabe",0.007,0.025,0.133,0.314,0.546,0.254
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.975,0.029,0.006,0.023,0.065,0.143
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.02,0.9,0.155,0.121,0.158,0.437
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.04,0.726,0,0.154,0.084
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.005,0.01,0.007,0.648,0,0.129
"P31","No sabe",0,0.021,0.106,0.208,0.623,0.207
"P32","Lo votaría",0.638,0.136,0.053,0.101,0.049,0.071
"P32","Puede que lo vote",0.233,0.273,0.221,0.187,0.256,0.151
"P32","Nunca lo votaría",0.043,0.462,0.593,0.133,0.502,0.505
"P32","No sabe",0.086,0.129,0.133,0.579,0.193,0.273
"P33","Lo votaría",0.285,0.113,0.013,0.105,0.15,0.068
"P33","Puede que lo vote",0.32,0.263,0.262,0.058,0.079,0.091
"P33","Nunca lo votaría",0.258,0.484,0.533,0.258,0.522,0.631
"P33","No sabe",0.137,0.14,0.192,0.579,0.249,0.21
"P34","Lo votaría",0.061,0.372,0.114,0.064,0.122,0.291
"P34","Puede que lo vote",0.213,0.34,0.367,0.136,0.202,0.145
"P34","Nunca lo votaría",0.542,0.189,0.314,0.143,0.487,0.314
"P34","No sabe",0.184,0.099,0.205,0.657,0.189,0.25
"P35","Lo votaría",0.041,0.529,0.168,0.037,0.196,0.305
"P35","Puede que lo vote",0.224,0.291,0.316,0.184,0.134,0.35
"P35","Nunca lo votaría",0.656,0.114,0.387,0.495,0.426,0.12
"P35","No sabe",0.079,0.066,0.129,0.284,0.244,0.225
"P36","Lo votaría",0.853,0.047,0.028,0.104,0.106,0.087
"P36","Puede que lo vote",0.047,0.208,0.296,0.176,0.124,0.267
"P36","Nunca lo votaría",0.098,0.737,0.625,0.361,0.597,0.499
"P36","No sabe",0.002,0.008,0.051,0.359,0.173,0.147
"P37","La votaría",0.276,0.031,0.046,0.031,0,0.004
"P37","Puede que la vote",0.431,0.268,0.326,0.402,0.178,0.102
"P37","Nunca la votaría",0.21,0.665,0.584,0.208,0.625,0.724
"P37","No sabe",0.083,0.036,0.044,0.359,0.197,0.17
"P38","Lo votaría",0.031,0.419,0.122,0.064,0.18,0.335
"P38","Puede que lo vote",0.231,0.309,0.34,0.523,0.181,0.099
"P38","Nunca lo votaría",0.618,0.193,0.414,0.224,0.449,0.371
"P38","No sabe",0.12,0.079,0.124,0.189,0.19,0.195
"P39","Lo votaría",0.053,0.674,0.186,0.037,0.118,0.311
"P39","Puede que lo vote",0.182,0.26,0.379,0.494,0.269,0.2
"P39","Nunca lo votaría",0.719,0.054,0.344,0.28,0.445,0.307
"P39","No sabe",0.046,0.012,0.091,0.189,0.168,0.182
"P40","Lo votaría",0.029,0.1,0.475,0,0.085,0.094
"P40","Puede que lo vote",0.249,0.433,0.233,0.493,0.132,0.098
"P40","Nunca lo votaría",0.656,0.346,0.175,0.318,0.565,0.514
"P40","No sabe",0.066,0.121,0.117,0.189,0.218,0.294
"P41","Lo votaría",0.545,0.018,0.033,0.16,0.04,0.142
"P41","Puede que lo vote",0.339,0.287,0.291,0.47,0.166,0.138
"P41","Nunca lo votaría",0.111,0.672,0.646,0.182,0.631,0.601
"P41","No sabe",0.005,0.023,0.03,0.188,0.163,0.119
"P42","Lo votaría",0.767,0.014,0.008,0.188,0.043,0.007
"P42","Puede que lo vote",0.17,0.281,0.315,0.346,0.172,0.169
"P42","Nunca lo votaría",0.042,0.691,0.647,0.233,0.602,0.72
"P42","No sabe",0.021,0.014,0.03,0.233,0.183,0.104
"P43","Lo votaría",0.33,0.074,0.046,0,0.011,0.052
"P43","Puede que lo vote",0.441,0.285,0.339,0.519,0.197,0.174
"P43","Nunca lo votaría",0.167,0.63,0.567,0.402,0.609,0.636
"P43","No sabe",0.062,0.011,0.048,0.079,0.183,0.138
"P44","La votaría",0.05,0.653,0.271,0.065,0.332,0.444
"P44","Puede que la vote",0.234,0.238,0.497,0.49,0.13,0.25
"P44","Nunca la votaría",0.675,0.081,0.187,0.445,0.329,0.184
"P44","No sabe",0.041,0.028,0.045,0,0.209,0.122
"P45","Lo votaría",0.018,0.583,0.109,0.037,0.096,0.12
"P45","Puede que lo vote",0.242,0.273,0.42,0.518,0.192,0.426
"P45","Nunca lo votaría",0.708,0.109,0.42,0.445,0.517,0.316
"P45","No sabe",0.032,0.035,0.051,0,0.195,0.138
"P46","Lo votaría",0.004,0.163,0.767,0.031,0.089,0.23
"P46","Puede que lo vote",0.259,0.346,0.166,0.496,0.166,0.173
"P46","Nunca lo votaría",0.73,0.408,0.067,0.362,0.562,0.433
"P46","No sabe",0.007,0.083,0,0.111,0.183,0.164
"P47","Si",0.535,0.498,0.528,0.364,0.234,0.512
"P47","No",0.465,0.502,0.472,0.636,0.766,0.488
