"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.022,0.114,0.093,0.166,0.11,0.175
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.025,0.726,0.027,0.423,0.007
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.002,0.005,0.461,0,0.074
"P19","En blanco",0.026,0.002,0.005,0,0.288,0.037
"P19","No sabe",0.05,0.022,0.035,0.024,0.029,0.468
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.744,0.067,0.033,0.509,0.117,0.28
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.079,0.083,0.034,0.034,0.043,0.075
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.091,0.684,0.085,0.024,0.035,0.011
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.007,0.124,0.081,0.094,0.11,0.139
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.02,0.712,0.014,0.413,0.01
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0.003,0.003,0.301,0,0.03
"P21","En blanco",0.024,0.004,0.014,0,0.253,0.056
"P21","No sabe",0.049,0.015,0.038,0.024,0.029,0.399
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.929,0.022,0.042,0.271,0.011,0.104
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.022,0.654,0.091,0.135,0.095,0.161
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.007,0.094,0.85,0.027,0.086,0.048
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.004,0,0.567,0,0.012
"P23","En blanco",0.004,0.071,0.004,0,0.781,0.007
"P23","No sabe",0.027,0.155,0.013,0,0.027,0.668
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.891,0.082,0.005,0.389,0.11,0.23
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.021,0.837,0.127,0,0.094,0.105
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.035,0.786,0.041,0.063,0.016
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.012,0.026,0.57,0,0.016
"P24","En blanco",0.015,0.012,0.03,0,0.715,0.073
"P24","No sabe",0.048,0.022,0.026,0,0.018,0.56
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.879,0.082,0.025,0.37,0.086,0.278
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.035,0.586,0.141,0.175,0.08,0.125
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.105,0.765,0.027,0.068,0.023
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0.004,0.015,0.428,0.017,0.017
"P25","En blanco",0.021,0.092,0.02,0,0.743,0.054
"P25","No sabe",0.048,0.131,0.034,0,0.006,0.503
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.887,0.019,0.023,0.632,0.107,0.351
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.018,0.908,0.119,0.015,0.068,0.086
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.015,0.028,0.795,0.029,0.113,0.009
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.005,0.01,0.009,0.324,0,0.053
"P26","En blanco",0.033,0.02,0.015,0,0.69,0.073
"P26","No sabe",0.042,0.015,0.039,0,0.022,0.428
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.893,0.022,0.009,0.6,0.088,0.346
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.013,0.658,0.163,0.015,0.059,0.126
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.006,0.124,0.784,0.043,0.086,0.01
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.003,0,0.342,0.02,0.044
"P27","En blanco",0.021,0.072,0,0,0.739,0.032
"P27","No sabe",0.055,0.121,0.044,0,0.008,0.442
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.935,0.071,0.015,0.487,0.071,0.343
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.002,0.832,0.146,0.015,0.019,0.179
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.009,0.059,0.609,0,0.209,0.06
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.029,0.009,0.012,0.467,0,0.04
"P28","No sabe",0.025,0.029,0.218,0.031,0.701,0.378
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.893,0.081,0.032,0.429,0.056,0.267
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.015,0.812,0.239,0.078,0.067,0.125
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.038,0.052,0.563,0,0.264,0.043
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.035,0.007,0.012,0.493,0,0.043
"P29","No sabe",0.019,0.048,0.154,0,0.613,0.522
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.945,0.014,0.04,0.646,0.115,0.432
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.009,0.905,0.137,0,0.02,0.178
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.001,0.052,0.647,0.014,0.24,0.042
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.016,0.009,0.012,0.34,0,0.031
"P30","No sabe",0.029,0.02,0.164,0,0.625,0.317
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.966,0.016,0.039,0.629,0.141,0.387
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.011,0.859,0.126,0.083,0.03,0.122
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.073,0.681,0,0.238,0.021
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0.009,0.045,0.288,0,0.078
"P31","No sabe",0.006,0.043,0.109,0,0.591,0.392
"P32","Lo votaría",0.656,0.094,0.085,0.495,0.073,0.153
"P32","Puede que lo vote",0.222,0.225,0.259,0.232,0.281,0.283
"P32","Nunca lo votaría",0.05,0.563,0.49,0.113,0.444,0.117
"P32","No sabe",0.072,0.118,0.166,0.16,0.202,0.447
"P33","Lo votaría",0.291,0.075,0.051,0.149,0.203,0.146
"P33","Puede que lo vote",0.325,0.233,0.273,0.055,0.089,0.149
"P33","Nunca lo votaría",0.231,0.544,0.49,0.636,0.53,0.354
"P33","No sabe",0.153,0.148,0.186,0.16,0.178,0.351
"P34","Lo votaría",0.056,0.425,0.055,0,0.017,0.01
"P34","Puede que lo vote",0.208,0.295,0.403,0.167,0.159,0.216
"P34","Nunca lo votaría",0.522,0.182,0.36,0.697,0.581,0.332
"P34","No sabe",0.214,0.098,0.182,0.136,0.243,0.442
"P35","Lo votaría",0.025,0.501,0.174,0.053,0.088,0.185
"P35","Puede que lo vote",0.216,0.285,0.346,0.071,0.076,0.359
"P35","Nunca lo votaría",0.648,0.141,0.35,0.742,0.637,0.239
"P35","No sabe",0.111,0.073,0.13,0.134,0.199,0.217
"P36","Lo votaría",0.822,0.055,0.041,0.534,0.163,0.373
"P36","Puede que lo vote",0.062,0.183,0.331,0.222,0.094,0.155
"P36","Nunca lo votaría",0.104,0.749,0.574,0.191,0.575,0.216
"P36","No sabe",0.012,0.013,0.054,0.053,0.168,0.256
"P37","La votaría",0.277,0.028,0.044,0.021,0,0.121
"P37","Puede que la vote",0.439,0.277,0.267,0.308,0.126,0.294
"P37","Nunca la votaría",0.202,0.652,0.631,0.615,0.673,0.294
"P37","No sabe",0.082,0.043,0.058,0.056,0.201,0.291
"P38","Lo votaría",0.038,0.454,0.066,0.019,0.045,0.104
"P38","Puede que lo vote",0.237,0.266,0.354,0.261,0.081,0.328
"P38","Nunca lo votaría",0.601,0.19,0.476,0.664,0.616,0.287
"P38","No sabe",0.124,0.09,0.104,0.056,0.258,0.281
"P39","Lo votaría",0.039,0.612,0.202,0.13,0.068,0.118
"P39","Puede que lo vote",0.198,0.296,0.327,0.122,0.056,0.351
"P39","Nunca lo votaría",0.703,0.067,0.39,0.692,0.644,0.342
"P39","No sabe",0.06,0.025,0.081,0.056,0.232,0.189
"P40","Lo votaría",0.035,0.133,0.438,0.019,0.062,0.04
"P40","Puede que lo vote",0.227,0.398,0.206,0.214,0.06,0.387
"P40","Nunca lo votaría",0.647,0.343,0.262,0.711,0.614,0.261
"P40","No sabe",0.091,0.126,0.094,0.056,0.264,0.312
"P41","Lo votaría",0.572,0.018,0.07,0.427,0,0.026
"P41","Puede que lo vote",0.336,0.253,0.295,0.277,0.148,0.369
"P41","Nunca lo votaría",0.088,0.705,0.594,0.241,0.683,0.413
"P41","No sabe",0.004,0.024,0.041,0.055,0.169,0.192
"P42","Lo votaría",0.739,0.016,0.005,0.39,0.111,0.322
"P42","Puede que lo vote",0.206,0.225,0.358,0.105,0.102,0.204
"P42","Nunca lo votaría",0.045,0.738,0.594,0.505,0.618,0.229
"P42","No sabe",0.01,0.021,0.043,0,0.169,0.245
"P43","Lo votaría",0.32,0.061,0.039,0.447,0.007,0.15
"P43","Puede que lo vote",0.454,0.256,0.343,0.293,0.139,0.396
"P43","Nunca lo votaría",0.162,0.657,0.564,0.205,0.685,0.299
"P43","No sabe",0.064,0.026,0.054,0.055,0.169,0.155
"P44","La votaría",0.062,0.71,0.205,0.02,0.036,0.086
"P44","Puede que la vote",0.22,0.224,0.483,0.216,0.172,0.512
"P44","Nunca la votaría",0.679,0.051,0.233,0.764,0.558,0.221
"P44","No sabe",0.039,0.015,0.079,0,0.234,0.181
"P45","Lo votaría",0.014,0.472,0.16,0.131,0.081,0.103
"P45","Puede que lo vote",0.241,0.301,0.427,0.164,0.111,0.402
"P45","Nunca lo votaría",0.712,0.193,0.334,0.705,0.639,0.34
"P45","No sabe",0.033,0.034,0.079,0,0.169,0.155
"P46","Lo votaría",0.014,0.153,0.797,0.04,0.258,0.022
"P46","Puede que lo vote",0.243,0.335,0.117,0.629,0.028,0.396
"P46","Nunca lo votaría",0.741,0.424,0.086,0.331,0.529,0.363
"P46","No sabe",0.002,0.088,0,0,0.185,0.219
"P47","Si",0.549,0.522,0.472,0.373,0.319,0.364
"P47","No",0.451,0.478,0.528,0.627,0.681,0.636
