"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.504,0.09,0.101,0.149
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.01,0.033,0.018,0.054
"P29","No sabe",0.141,0.067,0.103,0.214
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.057,0.259,0.473,0.168
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.263,0.531,0.341,0.425
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.554,0.11,0.11,0.177
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.01,0.021,0.014,0.03
"P30","No sabe",0.116,0.079,0.062,0.2
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.057,0.248,0.5,0.206
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.242,0.559,0.318,0.33
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.623,0.11,0.097,0.234
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.01,0.022,0.029,0.009
"P31","No sabe",0.068,0.061,0.056,0.221
"P32","Lo votaría",0.102,0.247,0.349,0.152
"P32","Puede que lo vote",0.264,0.293,0.207,0.13
"P32","Nunca lo votaría",0.482,0.382,0.342,0.369
"P32","No sabe",0.152,0.078,0.102,0.349
"P33","Lo votaría",0.028,0.161,0.154,0.109
"P33","Puede que lo vote",0.304,0.333,0.241,0.05
"P33","Nunca lo votaría",0.495,0.443,0.467,0.337
"P33","No sabe",0.173,0.063,0.138,0.504
"P34","Lo votaría",0.178,0.239,0.195,0.089
"P34","Puede que lo vote",0.296,0.485,0.191,0.113
"P34","Nunca lo votaría",0.398,0.179,0.494,0.19
"P34","No sabe",0.128,0.097,0.12,0.608
"P35","Lo votaría",0.292,0.337,0.199,0.18
"P35","Puede que lo vote",0.186,0.455,0.196,0.2
"P35","Nunca lo votaría",0.43,0.164,0.548,0.135
"P35","No sabe",0.092,0.044,0.057,0.485
"P36","Lo votaría",0.063,0.285,0.419,0.168
"P36","Puede que lo vote",0.322,0.277,0.075,0.108
"P36","Nunca lo votaría",0.599,0.426,0.506,0.43
"P36","No sabe",0.016,0.012,0,0.294
"P37","La votaría",0.061,0.144,0.1,0.085
"P37","Puede que la vote",0.318,0.45,0.274,0.109
"P37","Nunca la votaría",0.557,0.378,0.593,0.443
"P37","No sabe",0.064,0.028,0.033,0.363
"P38","Lo votaría",0.175,0.289,0.163,0.209
"P38","Puede que lo vote",0.195,0.538,0.162,0.147
"P38","Nunca lo votaría",0.475,0.128,0.631,0.137
"P38","No sabe",0.155,0.045,0.044,0.507
"P39","Lo votaría",0.389,0.397,0.204,0.3
"P39","Puede que lo vote",0.183,0.518,0.16,0.142
"P39","Nunca lo votaría",0.375,0.07,0.628,0.16
"P39","No sabe",0.053,0.015,0.008,0.398
"P41","Lo votaría",0.127,0.168,0.266,0.083
"P41","Puede que lo vote",0.315,0.444,0.206,0.177
"P41","Nunca lo votaría",0.542,0.388,0.522,0.479
"P41","No sabe",0.016,0,0.006,0.261
"P42","Lo votaría",0.058,0.215,0.353,0.171
"P42","Puede que lo vote",0.288,0.401,0.158,0.107
"P42","Nunca lo votaría",0.638,0.352,0.484,0.515
"P42","No sabe",0.016,0.032,0.005,0.207
"P43","Lo votaría",0.021,0.182,0.167,0.093
"P43","Puede que lo vote",0.345,0.475,0.296,0.129
"P43","Nunca lo votaría",0.592,0.325,0.513,0.502
"P43","No sabe",0.042,0.018,0.024,0.276
"P44","La votaría",0.428,0.411,0.262,0.321
"P44","Puede que la vote",0.382,0.478,0.157,0.228
"P44","Nunca la votaría",0.164,0.086,0.544,0.234
"P44","No sabe",0.026,0.025,0.037,0.217
"P45","Lo votaría",0.247,0.331,0.164,0.209
"P45","Puede que lo vote",0.338,0.47,0.206,0.243
"P45","Nunca lo votaría",0.378,0.178,0.586,0.353
"P45","No sabe",0.037,0.021,0.044,0.195
"P46","Lo votaría",0.709,0.224,0.12,0.17
"P46","Puede que lo vote",0.174,0.492,0.143,0.203
"P46","Nunca lo votaría",0.061,0.266,0.726,0.354
"P46","No sabe",0.056,0.018,0.011,0.273
"P47","Si",0.44,0.5,0.547,0.408
"P47","No",0.56,0.5,0.453,0.592
