"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","A Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0,0.004,0.005,0.004,0.556,0.036,0
"P13","En blanco",0.012,0.007,0.018,0,0.014,0.005,0.671,0.067
"P13","No sabe",0.071,0.053,0.018,0.013,0.053,0.129,0.131,0.705
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.717,0.417,0.087,0.099,0.015,0.24,0.07,0.185
"P15","A Leonardo Grosso a intendente por Unión por la Patria",0.046,0.273,0.023,0.037,0.019,0.019,0.106,0.011
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.09,0.22,0.789,0.164,0.018,0.048,0.118,0.018
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.027,0.031,0.04,0.597,0.033,0,0.011,0.035
"P15","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.048,0.002,0.041,0.053,0.834,0.166,0,0.069
"P15","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.003,0,0.001,0.007,0.002,0.481,0,0.062
"P15","En blanco",0.022,0,0.003,0.004,0.025,0,0.576,0.076
"P15","No sabe",0.047,0.057,0.016,0.039,0.054,0.046,0.119,0.544
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.696,0.383,0.108,0.11,0.012,0.145,0.044,0.087
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.066,0.131,0.071,0.106,0.036,0.075,0.028,0.02
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.081,0.176,0.721,0.176,0.066,0.038,0.057,0.082
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.024,0.072,0.044,0.5,0.006,0,0,0.017
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.056,0.021,0.035,0.075,0.801,0.196,0,0.163
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0.031,0,0,0.007,0.51,0.165,0.006
"P17","En blanco",0.025,0.022,0.001,0.009,0.019,0.008,0.526,0.114
"P17","No sabe",0.044,0.164,0.02,0.024,0.053,0.028,0.18,0.511
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.674,0.379,0.129,0.151,0.026,0.056,0.098,0.095
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.046,0.148,0.019,0.085,0.011,0.079,0.06,0.053
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.051,0.193,0.745,0.158,0.069,0.091,0.096,0.042
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.05,0.112,0.069,0.498,0.049,0.009,0,0.041
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.076,0,0.027,0.087,0.752,0.228,0.118,0.111
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.009,0.006,0.002,0,0.008,0.505,0.071,0.064
"P19","En blanco",0.038,0.017,0.001,0.007,0.008,0,0.455,0.075
"P19","No sabe",0.056,0.145,0.008,0.014,0.077,0.032,0.102,0.519
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.659,0.57,0.106,0.12,0.033,0.315,0.088,0.176
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.06,0.152,0.064,0.143,0.014,0.042,0.08,0.073
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.082,0.189,0.722,0.149,0.082,0,0.115,0.07
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.03,0.048,0.07,0.485,0.01,0,0,0.031
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.068,0,0.03,0.075,0.8,0.253,0.117,0.073
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.01,0.002,0,0.003,0.353,0,0.068
"P21","En blanco",0.026,0,0.001,0.015,0.027,0,0.504,0.057
"P21","No sabe",0.058,0.031,0.005,0.013,0.031,0.037,0.096,0.452
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.808,0.527,0.055,0.142,0.03,0.263,0,0.092
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.014,0.254,0.85,0.515,0.053,0.05,0.229,0.129
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.094,0.021,0.072,0.115,0.744,0.045,0,0.111
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.02,0,0.028,0,0.556,0.018,0.009
"P22","En blanco",0.012,0.07,0.012,0.058,0.146,0,0.59,0.043
"P22","No sabe",0.05,0.108,0.011,0.142,0.027,0.086,0.163,0.616
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.849,0.511,0.045,0.133,0.041,0.352,0.013,0.124
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.028,0.157,0.579,0.687,0.04,0.055,0.121,0.1
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.08,0.034,0.144,0.032,0.759,0.05,0.055,0.123
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.07,0.005,0.007,0.001,0.485,0.019,0.016
"P23","En blanco",0.002,0.053,0.087,0.026,0.139,0,0.548,0.051
"P23","No sabe",0.035,0.175,0.14,0.115,0.02,0.058,0.244,0.586
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.782,0.606,0.109,0.207,0.02,0.383,0.135,0.227
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.045,0.159,0.788,0.528,0.055,0.058,0.186,0.175
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.071,0,0.06,0.065,0.748,0.054,0,0.046
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.057,0.001,0.08,0.002,0.442,0.019,0.053
"P24","En blanco",0.022,0.025,0.024,0.061,0.14,0,0.572,0.036
"P24","No sabe",0.055,0.153,0.018,0.059,0.035,0.063,0.088,0.463
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.816,0.693,0.111,0.175,0.019,0.233,0.124,0.195
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.055,0.207,0.529,0.611,0.025,0.058,0.215,0.09
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.043,0,0.144,0.032,0.757,0.054,0.054,0.084
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.006,0.01,0,0.012,0.009,0.592,0.037,0.054
"P25","En blanco",0.03,0.028,0.082,0.099,0.134,0,0.561,0.093
"P25","No sabe",0.05,0.062,0.134,0.071,0.056,0.063,0.009,0.484
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.783,0.759,0.044,0.179,0.029,0.503,0.152,0.31
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.038,0.198,0.885,0.641,0.01,0.058,0.187,0.069
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.083,0,0.038,0.047,0.769,0.054,0.079,0.117
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.012,0.012,0.043,0,0.324,0,0.019
"P26","En blanco",0.04,0.031,0.014,0.03,0.146,0,0.536,0.05
"P26","No sabe",0.041,0,0.007,0.06,0.046,0.061,0.046,0.435
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.781,0.759,0.029,0.194,0.019,0.465,0.088,0.314
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.059,0.199,0.626,0.666,0.02,0.127,0.084,0.082
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.065,0,0.167,0.023,0.771,0.056,0,0.087
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.011,0.003,0.013,0,0.352,0.101,0.034
"P27","En blanco",0.022,0.031,0.066,0.048,0.126,0,0.477,0.056
"P27","No sabe",0.061,0,0.109,0.056,0.064,0,0.25,0.427
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.819,0.648,0.101,0.209,0.035,0.373,0.145,0.283
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.035,0.147,0.805,0.587,0.062,0.144,0.245,0.259
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.075,0,0.062,0.025,0.638,0,0,0.094
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.009,0.121,0.007,0.069,0.007,0.483,0,0.016
"P28","No sabe",0.062,0.084,0.025,0.11,0.258,0,0.61,0.348
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.797,0.628,0.104,0.22,0.025,0.197,0.097,0.301
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.063,0.169,0.778,0.721,0.086,0.144,0.252,0.228
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.097,0,0.063,0,0.644,0,0.046,0.007
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.01,0.12,0.004,0.028,0.009,0.659,0,0.065
"P29","No sabe",0.033,0.083,0.051,0.031,0.236,0,0.605,0.399
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.832,0.834,0.034,0.195,0.036,0.554,0.152,0.315
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.059,0.131,0.892,0.619,0.039,0.07,0.241,0.173
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.062,0,0.049,0.068,0.689,0,0,0.141
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.004,0,0.017,0.044,0.007,0.376,0,0.047
"P30","No sabe",0.043,0.035,0.008,0.074,0.229,0,0.607,0.324
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.897,0.828,0.033,0.167,0.023,0.553,0.202,0.28
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.01,0.136,0.829,0.744,0.036,0.074,0.244,0.226
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.075,0,0.084,0.008,0.735,0,0,0.06
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0.01,0.03,0.043,0.373,0.075,0.03
"P31","No sabe",0.018,0.036,0.044,0.051,0.163,0,0.479,0.404
"P32","Lo votaría",0.643,0.405,0.151,0.157,0.019,0.07,0.084,0.201
"P32","Puede que lo vote",0.175,0.377,0.221,0.361,0.224,0.358,0.36,0.249
"P32","Nunca lo votaría",0.105,0.131,0.523,0.356,0.559,0.136,0.432,0.177
"P32","No sabe",0.077,0.087,0.105,0.126,0.198,0.436,0.124,0.373
"P33","Lo votaría",0.23,0.45,0.101,0.071,0.029,0.282,0.278,0.096
"P33","Puede que lo vote",0.278,0.199,0.259,0.33,0.246,0.186,0.153,0.114
"P33","Nunca lo votaría",0.327,0.273,0.496,0.475,0.522,0.361,0.445,0.381
"P33","No sabe",0.165,0.078,0.144,0.124,0.203,0.171,0.124,0.409
"P34","Lo votaría",0.031,0.116,0.461,0.146,0.048,0,0.149,0.057
"P34","Puede que lo vote",0.236,0.194,0.267,0.45,0.312,0.208,0.249,0.299
"P34","Nunca lo votaría",0.519,0.632,0.174,0.257,0.41,0.622,0.478,0.207
"P34","No sabe",0.214,0.058,0.098,0.147,0.23,0.17,0.124,0.437
"P35","Lo votaría",0.05,0.096,0.509,0.39,0.124,0.178,0.142,0.106
"P35","Puede que lo vote",0.287,0.217,0.276,0.31,0.244,0.022,0.196,0.327
"P35","Nunca lo votaría",0.581,0.652,0.142,0.149,0.472,0.634,0.595,0.266
"P35","No sabe",0.082,0.035,0.073,0.151,0.16,0.166,0.067,0.301
"P36","Lo votaría",0.765,0.719,0.077,0.219,0.017,0.461,0.175,0.28
"P36","Puede que lo vote",0.092,0.02,0.207,0.188,0.282,0.216,0.017,0.175
"P36","Nunca lo votaría",0.131,0.248,0.714,0.579,0.605,0.247,0.704,0.292
"P36","No sabe",0.012,0.013,0.002,0.014,0.096,0.076,0.104,0.253
"P37","La votaría",0.252,0.211,0.03,0.083,0.048,0.181,0,0.059
"P37","Puede que la vote",0.371,0.376,0.313,0.302,0.268,0.544,0.05,0.255
"P37","Nunca la votaría",0.307,0.362,0.616,0.523,0.61,0.193,0.775,0.379
"P37","No sabe",0.07,0.051,0.041,0.092,0.074,0.082,0.175,0.307
"P38","Lo votaría",0.041,0.047,0.492,0.18,0.057,0.083,0,0.119
"P38","Puede que lo vote",0.216,0.277,0.235,0.459,0.283,0.302,0.336,0.373
"P38","Nunca lo votaría",0.621,0.569,0.188,0.255,0.516,0.533,0.596,0.216
"P38","No sabe",0.122,0.107,0.085,0.106,0.144,0.082,0.068,0.292
"P39","Lo votaría",0.029,0.201,0.633,0.452,0.116,0.082,0.274,0.168
"P39","Puede que lo vote",0.224,0.242,0.304,0.307,0.239,0.235,0.191,0.297
"P39","Nunca lo votaría",0.701,0.529,0.045,0.179,0.51,0.601,0.535,0.29
"P39","No sabe",0.046,0.028,0.018,0.062,0.135,0.082,0,0.245
"P40","Lo votaría",0.028,0.094,0.136,0.038,0.498,0,0,0
"P40","Puede que lo vote",0.177,0.274,0.421,0.398,0.143,0.317,0.218,0.408
"P40","Nunca lo votaría",0.708,0.596,0.319,0.46,0.233,0.4,0.713,0.202
"P40","No sabe",0.087,0.036,0.124,0.104,0.126,0.283,0.069,0.39
"P41","Lo votaría",0.573,0.304,0.02,0.049,0.082,0.352,0,0.112
"P41","Puede que lo vote",0.225,0.39,0.31,0.35,0.267,0.358,0.209,0.323
"P41","Nunca lo votaría",0.193,0.3,0.664,0.557,0.577,0.21,0.791,0.319
"P41","No sabe",0.009,0.006,0.006,0.044,0.074,0.08,0,0.246
"P42","Lo votaría",0.607,0.78,0.04,0.14,0.028,0.648,0.103,0.263
"P42","Puede que lo vote",0.23,0.076,0.25,0.219,0.294,0.235,0.175,0.259
"P42","Nunca lo votaría",0.153,0.144,0.693,0.568,0.613,0.117,0.722,0.238
"P42","No sabe",0.01,0,0.017,0.073,0.065,0,0,0.24
"P43","Lo votaría",0.352,0.098,0.097,0.04,0.008,0.419,0,0.12
"P43","Puede que lo vote",0.393,0.502,0.253,0.38,0.332,0.289,0.247,0.357
"P43","Nunca lo votaría",0.2,0.394,0.634,0.514,0.572,0.212,0.753,0.287
"P43","No sabe",0.055,0.006,0.016,0.066,0.088,0.08,0,0.236
"P44","La votaría",0.054,0.122,0.738,0.341,0.17,0.121,0.272,0.213
"P44","Puede que la vote",0.182,0.279,0.173,0.466,0.514,0.234,0.298,0.374
"P44","Nunca la votaría",0.69,0.521,0.089,0.179,0.241,0.645,0.292,0.177
"P44","No sabe",0.074,0.078,0,0.014,0.075,0,0.138,0.236
"P45","Lo votaría",0.023,0.041,0.484,0.465,0.081,0.083,0.077,0.131
"P45","Puede que lo vote",0.218,0.327,0.285,0.352,0.394,0.289,0.525,0.305
"P45","Nunca lo votaría",0.696,0.604,0.209,0.168,0.439,0.628,0.398,0.329
"P45","No sabe",0.063,0.028,0.022,0.015,0.086,0,0,0.235
"P46","Lo votaría",0.072,0,0.148,0.128,0.77,0.032,0.146,0.144
"P46","Puede que lo vote",0.206,0.331,0.38,0.27,0.113,0.319,0.142,0.227
"P46","Nunca lo votaría",0.715,0.669,0.404,0.532,0.076,0.649,0.712,0.33
"P46","No sabe",0.007,0,0.068,0.07,0.041,0,0,0.299
"P47","Si",0.497,0.757,0.54,0.494,0.426,0.372,0.284,0.395
"P47","No",0.503,0.243,0.46,0.506,0.574,0.628,0.716,0.605
