"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","Wado de Pedro"
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.093,0.009,0.026
"P22","En blanco",0.007,0,0.095,0.044
"P22","No sabe",0.022,0.025,0.142,0.154
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.885,0.424,0.446,0.725
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.039,0.284,0.201,0.018
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.186,0.096,0.01
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0,0.029,0.041
"P23","En blanco",0.015,0,0.091,0.037
"P23","No sabe",0.044,0.106,0.137,0.169
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.87,0.743,0.545,0.801
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.033,0.06,0.185,0.03
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.187,0.046,0
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0,0.011,0.034
"P24","En blanco",0.009,0,0.118,0.014
"P24","No sabe",0.078,0.01,0.095,0.121
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.869,0.811,0.56,0.83
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.016,0.066,0.197,0.038
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.005,0.102,0.019,0.011
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0,0.012,0.017
"P25","En blanco",0.023,0.01,0.129,0.022
"P25","No sabe",0.079,0.011,0.083,0.082
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.821,0.364,0.513,0.972
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.042,0.46,0.286,0.015
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0,0.165,0.034,0
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.008,0,0.014,0.005
"P26","En blanco",0.054,0,0.089,0.005
"P26","No sabe",0.075,0.011,0.064,0.003
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.808,0.383,0.526,0.984
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.036,0.489,0.179,0.002
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.116,0.124,0
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.034,0,0.016,0.005
"P27","En blanco",0.032,0,0.075,0.006
"P27","No sabe",0.08,0.012,0.08,0.003
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.95,0.612,0.632,0.849
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.021,0.253,0.248,0.002
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.123,0,0.028
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0.031,0.053
"P28","No sabe",0.025,0.012,0.089,0.068
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.917,0.613,0.599,0.845
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.03,0.251,0.326,0.002
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.04,0.125,0,0
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0.065
"P29","No sabe",0.013,0.011,0.075,0.088
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.934,0.401,0.508,0.958
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.04,0.465,0.45,0.005
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.125,0,0
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0.012
"P30","No sabe",0.022,0.009,0.042,0.025
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.942,0.392,0.535,0.982
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.041,0.465,0.387,0.011
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.004,0.131,0,0
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0,0
"P31","No sabe",0.013,0.012,0.078,0.007
"P32","Lo votaría",0.69,0.38,0.242,0.616
"P32","Puede que lo vote",0.2,0.066,0.405,0.26
"P32","Nunca lo votaría",0.074,0.554,0.203,0.046
"P32","No sabe",0.036,0,0.15,0.078
"P33","Lo votaría",0.265,0.059,0.093,0.287
"P33","Puede que lo vote",0.383,0.181,0.224,0.287
"P33","Nunca lo votaría",0.197,0.748,0.544,0.262
"P33","No sabe",0.155,0.012,0.139,0.164
"P34","Lo votaría",0.078,0.037,0.082,0.024
"P34","Puede que lo vote",0.26,0.487,0.365,0.208
"P34","Nunca lo votaría",0.449,0.321,0.523,0.551
"P34","No sabe",0.213,0.155,0.03,0.217
"P35","Lo votaría",0.051,0.037,0.058,0.004
"P35","Puede que lo vote",0.275,0.428,0.554,0.201
"P35","Nunca lo votaría",0.573,0.509,0.374,0.677
"P35","No sabe",0.101,0.026,0.014,0.118
"P36","Lo votaría",0.842,0.407,0.594,0.879
"P36","Puede que lo vote",0.104,0,0.014,0.023
"P36","Nunca lo votaría",0.054,0.593,0.392,0.094
"P36","No sabe",0,0,0,0.004
"P37","La votaría",0.343,0.232,0.131,0.233
"P37","Puede que la vote",0.416,0.547,0.45,0.395
"P37","Nunca la votaría",0.212,0.185,0.372,0.249
"P37","No sabe",0.029,0.036,0.047,0.123
"P38","Lo votaría",0.068,0.057,0.094,0.009
"P38","Puede que lo vote",0.317,0.61,0.408,0.152
"P38","Nunca lo votaría",0.531,0.321,0.353,0.682
"P38","No sabe",0.084,0.012,0.145,0.157
"P39","Lo votaría",0.087,0.186,0.083,0.03
"P39","Puede que lo vote",0.262,0.495,0.52,0.152
"P39","Nunca lo votaría",0.586,0.319,0.355,0.769
"P39","No sabe",0.065,0,0.042,0.049
"P40","Lo votaría",0.058,0.128,0.071,0.027
"P40","Puede que lo vote",0.294,0.504,0.432,0.174
"P40","Nunca lo votaría",0.592,0.368,0.497,0.718
"P40","No sabe",0.056,0,0,0.081
"P41","Lo votaría",0.732,0.381,0.225,0.376
"P41","Puede que lo vote",0.161,0.052,0.241,0.501
"P41","Nunca lo votaría",0.097,0.567,0.534,0.112
"P41","No sabe",0.01,0,0,0.011
"P42","Lo votaría",0.629,0.219,0.422,0.864
"P42","Puede que lo vote",0.311,0.087,0.214,0.103
"P42","Nunca lo votaría",0.06,0.694,0.33,0.011
"P42","No sabe",0,0,0.034,0.022
"P43","Lo votaría",0.41,0.613,0.45,0.173
"P43","Puede que lo vote",0.317,0.352,0.279,0.571
"P43","Nunca lo votaría",0.213,0.035,0.252,0.183
"P43","No sabe",0.06,0,0.019,0.073
"P44","La votaría",0.088,0.058,0.336,0.029
"P44","Puede que la vote",0.294,0.596,0.455,0.168
"P44","Nunca la votaría",0.588,0.346,0.209,0.745
"P44","No sabe",0.03,0,0,0.058
"P45","Lo votaría",0.059,0,0.04,0.003
"P45","Puede que lo vote",0.281,0.375,0.326,0.193
"P45","Nunca lo votaría",0.605,0.625,0.576,0.783
"P45","No sabe",0.055,0,0.058,0.021
"P46","Lo votaría",0.013,0.128,0.028,0
"P46","Puede que lo vote",0.3,0.227,0.365,0.173
"P46","Nunca lo votaría",0.67,0.645,0.607,0.819
"P46","No sabe",0.017,0,0,0.008
"P47","Si",0.534,0.775,0.583,0.542
"P47","No",0.466,0.225,0.417,0.458
