"var","categoria","Unión por la Patria y el peronismo","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P17","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.105,0.055,0.039,0.061,0.038
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.083,0.624,0.073,0.137,0.107
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.026,0.164,0.023,0.049,0.043
"P17","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.021,0.815,0.275,0.186
"P17","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.005,0.001,0.261,0.022
"P17","En blanco",0.02,0.008,0.004,0.004,0.182
"P17","No sabe",0.123,0.019,0.016,0.038,0.31
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.65,0.086,0.026,0.121,0.131
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.068,0.03,0.034,0.023,0.043
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.065,0.647,0.041,0.259,0.077
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.047,0.182,0.045,0.047,0.098
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.028,0.807,0.275,0.141
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.003,0.009,0.236,0.034
"P19","En blanco",0.027,0.008,0.005,0.006,0.134
"P19","No sabe",0.103,0.016,0.033,0.033,0.342
"P21","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.674,0.109,0.023,0.303,0.05
"P21","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.115,0.053,0.014,0.074,0.068
"P21","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.09,0.617,0.082,0.037,0.126
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.018,0.177,0.009,0.083,0.087
"P21","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.021,0.818,0.317,0.137
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.017,0.003,0.015,0.15,0.036
"P21","En blanco",0.015,0.006,0.015,0,0.178
"P21","No sabe",0.053,0.014,0.024,0.036,0.318
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.69,0.07,0.024,0.296,0.164
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.127,0.754,0.068,0,0.201
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.021,0.109,0.722,0.275,0.171
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.031,0.004,0,0.278,0.007
"P22","En blanco",0.036,0.011,0.141,0,0.162
"P22","No sabe",0.095,0.052,0.045,0.151,0.295
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.711,0.096,0.018,0.163,0.181
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.075,0.6,0.044,0.184,0.172
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.041,0.099,0.777,0.291,0.198
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.025,0.004,0,0.279,0.002
"P23","En blanco",0.033,0.06,0.129,0,0.158
"P23","No sabe",0.115,0.141,0.032,0.083,0.289
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.794,0.086,0.02,0.333,0.151
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.053,0.77,0.114,0,0.163
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.022,0.058,0.734,0.256,0.122
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.02,0.021,0,0.311,0.063
"P24","En blanco",0.025,0.026,0.109,0,0.218
"P24","No sabe",0.086,0.039,0.023,0.1,0.283
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.813,0.086,0.043,0.046,0.157
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.053,0.577,0.089,0.208,0.115
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.018,0.123,0.697,0.322,0.158
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.011,0,0.008,0.411,0.038
"P25","En blanco",0.034,0.087,0.114,0.013,0.219
"P25","No sabe",0.071,0.127,0.049,0,0.313
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.807,0.071,0.03,0.353,0.118
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.106,0.804,0.083,0.046,0.14
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.017,0.075,0.692,0.277,0.193
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.005,0.018,0.261,0.044
"P26","En blanco",0.03,0.015,0.123,0,0.218
"P26","No sabe",0.033,0.03,0.054,0.063,0.287
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.806,0.057,0.019,0.311,0.122
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.083,0.634,0.078,0.122,0.134
"P27","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.033,0.126,0.731,0.285,0.186
"P27","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.015,0.006,0,0.282,0.027
"P27","En blanco",0.021,0.053,0.123,0,0.194
"P27","No sabe",0.042,0.124,0.049,0,0.337
"P28","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.833,0.06,0.023,0.112,0.189
"P28","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.062,0.818,0.086,0.058,0.21
"P28","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.028,0.042,0.704,0,0.156
"P28","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.028,0.002,0.005,0.425,0.061
"P28","No sabe",0.049,0.078,0.182,0.405,0.384
"P29","Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.811,0.06,0.017,0.013,0.24
"P29","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.075,0.823,0.136,0.045,0.16
"P29","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.033,0.042,0.685,0,0.195
"P29","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.03,0,0,0.559,0.061
"P29","No sabe",0.051,0.075,0.162,0.383,0.344
"P30","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.817,0.051,0.028,0.185,0.211
"P30","Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.14,0.844,0.062,0.044,0.136
"P30","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.014,0.055,0.744,0.014,0.187
"P30","A los candidatos a gobernador y a intendente del Frente de Izquierda",0.006,0.009,0,0.35,0.063
"P30","No sabe",0.023,0.041,0.166,0.407,0.403
"P31","Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.833,0.057,0.007,0.207,0.241
"P31","Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.135,0.8,0.084,0.047,0.129
"P31","Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.014,0.083,0.771,0,0.163
"P31","A los candidatos a gobernador y a intendente del Frente de Izquierda",0,0,0.038,0.345,0.086
"P31","No sabe",0.018,0.06,0.1,0.401,0.381
"P32","Lo votaría",0.564,0.147,0.053,0.014,0.127
"P32","Puede que lo vote",0.228,0.227,0.168,0.607,0.367
"P32","Nunca lo votaría",0.15,0.507,0.576,0.063,0.208
"P32","No sabe",0.058,0.119,0.203,0.316,0.298
"P33","Lo votaría",0.222,0.117,0.023,0.203,0.184
"P33","Puede que lo vote",0.287,0.248,0.206,0.436,0.206
"P33","Nunca lo votaría",0.359,0.48,0.571,0.18,0.325
"P33","No sabe",0.132,0.155,0.2,0.181,0.285
"P34","Lo votaría",0.04,0.421,0.059,0,0.108
"P34","Puede que lo vote",0.29,0.253,0.28,0.416,0.335
"P34","Nunca lo votaría",0.487,0.215,0.42,0.403,0.297
"P34","No sabe",0.183,0.111,0.241,0.181,0.26
"P35","Lo votaría",0.026,0.544,0.135,0.1,0.136
"P35","Puede que lo vote",0.296,0.246,0.225,0.361,0.348
"P35","Nunca lo votaría",0.59,0.145,0.457,0.435,0.282
"P35","No sabe",0.088,0.065,0.183,0.104,0.234
"P36","Lo votaría",0.761,0.082,0.02,0.202,0.109
"P36","Puede que lo vote",0.046,0.211,0.24,0.484,0.317
"P36","Nunca lo votaría",0.191,0.698,0.639,0.25,0.378
"P36","No sabe",0.002,0.009,0.101,0.064,0.196
"P37","La votaría",0.248,0.031,0.055,0.018,0.013
"P37","Puede que la vote",0.448,0.236,0.181,0.641,0.377
"P37","Nunca la votaría",0.232,0.69,0.672,0.294,0.387
"P37","No sabe",0.072,0.043,0.092,0.047,0.223
"P38","Lo votaría",0.036,0.475,0.042,0,0.098
"P38","Puede que lo vote",0.298,0.185,0.269,0.532,0.513
"P38","Nunca lo votaría",0.549,0.259,0.526,0.405,0.175
"P38","No sabe",0.117,0.081,0.163,0.063,0.214
"P39","Lo votaría",0.067,0.646,0.119,0.149,0.136
"P39","Puede que lo vote",0.282,0.214,0.275,0.493,0.338
"P39","Nunca lo votaría",0.609,0.12,0.466,0.311,0.335
"P39","No sabe",0.042,0.02,0.14,0.047,0.191
"P40","Lo votaría",0.05,0.162,0.381,0,0.154
"P40","Puede que lo vote",0.279,0.349,0.198,0.509,0.191
"P40","Nunca lo votaría",0.614,0.358,0.285,0.327,0.347
"P40","No sabe",0.057,0.131,0.136,0.164,0.308
"P41","Lo votaría",0.469,0.049,0.044,0.142,0.126
"P41","Puede que lo vote",0.301,0.27,0.259,0.505,0.321
"P41","Nunca lo votaría",0.222,0.66,0.627,0.306,0.402
"P41","No sabe",0.008,0.021,0.07,0.047,0.151
"P42","Lo votaría",0.645,0.043,0.009,0.277,0.118
"P42","Puede que lo vote",0.172,0.236,0.304,0.43,0.334
"P42","Nunca lo votaría",0.172,0.693,0.62,0.202,0.417
"P42","No sabe",0.011,0.028,0.067,0.091,0.131
"P43","Lo votaría",0.34,0.028,0.046,0.159,0.056
"P43","Puede que lo vote",0.437,0.251,0.264,0.551,0.408
"P43","Nunca lo votaría",0.164,0.687,0.625,0.243,0.406
"P43","No sabe",0.059,0.034,0.065,0.047,0.13
"P44","La votaría",0.075,0.737,0.164,0.133,0.063
"P44","Puede que la vote",0.292,0.138,0.467,0.486,0.528
"P44","Nunca la votaría",0.595,0.112,0.257,0.381,0.226
"P44","No sabe",0.038,0.013,0.112,0,0.183
"P45","Lo votaría",0.021,0.505,0.113,0.133,0.124
"P45","Puede que lo vote",0.251,0.294,0.339,0.486,0.459
"P45","Nunca lo votaría",0.693,0.187,0.421,0.364,0.259
"P45","No sabe",0.035,0.014,0.127,0.017,0.158
"P46","Lo votaría",0.021,0.168,0.777,0.419,0.286
"P46","Puede que lo vote",0.227,0.369,0.106,0.159,0.232
"P46","Nunca lo votaría",0.743,0.39,0.075,0.422,0.296
"P46","No sabe",0.009,0.073,0.042,0,0.186
"P47","Si",0.586,0.488,0.422,0.573,0.349
"P47","No",0.414,0.512,0.578,0.427,0.651
