"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P17","No sabe",0.104,0.032,0.019,0.004,0.003,0.217,0.195,0.662
"P19","Axel Kicillof a presidente, Sergio Massa a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.666,0.329,0.16,0.042,0.006,0.009,0.128,0.085
"P19","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y  Leonardo Grosso a intendente por Unión por la Patria",0.03,0.265,0.002,0.106,0.009,0.015,0.018,0.015
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.164,0.079,0.764,0.103,0.011,0.052,0,0.028
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.021,0.178,0.029,0.731,0.001,0.153,0.025,0.011
"P19","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.033,0.036,0.014,0.972,0,0.042,0
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.008,0.005,0,0.001,0.511,0.057,0.051
"P19","En blanco",0.02,0.023,0,0,0,0.199,0.629,0.024
"P19","No sabe",0.073,0.085,0.004,0.004,0,0.061,0.101,0.786
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.739,0.322,0.087,0.025,0.005,0.088,0.214,0.204
"P22","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.085,0.427,0.842,0.525,0.041,0.101,0.05,0.077
"P22","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.023,0.1,0.058,0.192,0.807,0.055,0.086,0.112
"P22","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.033,0.009,0.002,0.02,0.002,0.493,0,0.007
"P22","En blanco",0.024,0.037,0.007,0.078,0.14,0,0.478,0.025
"P22","No sabe",0.096,0.105,0.004,0.16,0.005,0.263,0.172,0.575
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.774,0.364,0.099,0.043,0.005,0.104,0.234,0.169
"P23","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.058,0.279,0.554,0.838,0.011,0.165,0.121,0.049
"P23","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.165,0.102,0.04,0.845,0.328,0.062,0.154
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.032,0.018,0.003,0,0.001,0.403,0,0
"P23","En blanco",0.022,0.03,0.081,0.042,0.135,0,0.429,0.026
"P23","No sabe",0.098,0.144,0.161,0.037,0.003,0,0.154,0.602
"P24","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.801,0.667,0.09,0.031,0.008,0.074,0.171,0.17
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.075,0.17,0.839,0.574,0.049,0.388,0.046,0.073
"P24","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.01,0.021,0.037,0.13,0.824,0.064,0.031,0.024
"P24","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.027,0.026,0,0.073,0.014,0.388,0,0.098
"P24","En blanco",0.023,0.042,0.013,0.094,0.105,0,0.597,0.016
"P24","No sabe",0.064,0.074,0.021,0.098,0,0.086,0.155,0.619
"P25","Axel Kicillof a presidente, Sergio Massa gobernador y Fernando Moreira a intendente por Unión por la Patria",0.801,0.682,0.094,0.024,0.011,0.292,0.159,0.168
"P25","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.064,0.136,0.561,0.692,0.054,0.233,0.046,0.013
"P25","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.032,0.023,0.117,0.104,0.8,0,0.07,0.026
"P25","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.024,0.018,0.005,0,0.002,0.39,0,0.068
"P25","En blanco",0.015,0.099,0.081,0.131,0.108,0,0.626,0.025
"P25","No sabe",0.064,0.042,0.142,0.049,0.025,0.085,0.099,0.7
"P26","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.888,0.31,0.096,0.041,0.011,0.052,0.061,0.088
"P26","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Santiago López Medrano a intendente por Juntos por el Cambio",0.05,0.467,0.839,0.685,0.052,0.179,0.025,0.07
"P26","Javier Milei a presidente, Guillermo Britos a gobernador y su candidato a intendente por la Libertad Avanza",0.03,0.085,0.029,0.11,0.802,0,0.053,0.085
"P26","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.007,0.045,0.005,0.035,0.001,0.684,0,0
"P26","En blanco",0.006,0.07,0.02,0.02,0.107,0,0.826,0.02
"P26","No sabe",0.019,0.023,0.011,0.109,0.027,0.085,0.035,0.737
"P27","Wado de Pedro a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria",0.88,0.274,0.082,0.047,0.005,0,0.077,0.077
