"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.039,0.168,0.496,0.317
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.049,0.002,0.094,0.072
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.012,0.017,0.012,0.073
"P31","Otros",0.012,0.016,0.063,0.074
"P31","En blanco",0.006,0.004,0.11,0.041
"P31","No sabe",0.031,0.031,0.027,0.267
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.778,0.058,0.086,0.067
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.074,0.74,0.315,0.391
"P32","Ramiro Marra por la Libertad Avanza",0.046,0.111,0.38,0.109
"P32","Vanina Biasi por el Frente de Izquierda",0.037,0.012,0.06,0.067
"P32","Otros",0.021,0.028,0.048,0.062
"P32","En blanco",0.021,0.013,0.084,0.035
"P32","No sabe",0.023,0.038,0.027,0.269
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.784,0.031,0.138,0.067
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.112,0.673,0.129,0.192
"P33","Ramiro Marra por la Libertad Avanza",0.035,0.155,0.419,0.233
"P33","Vanina Biasi por el Frente de Izquierda",0.027,0,0.067,0.066
"P33","Otros",0.016,0.044,0.083,0.104
"P33","En blanco",0.012,0.044,0.13,0.054
"P33","No sabe",0.014,0.053,0.034,0.284
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.876,0.076,0.108,0.051
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.076,0.854,0.495,0.501
"P36","En blanco",0.037,0.036,0.365,0.124
"P36","No sabe",0.011,0.034,0.032,0.324
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.173,0.713,0.328,0.427
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.059,0.188,0.305,0.26
"P37","En blanco",0.6,0.051,0.351,0.13
"P37","No sabe",0.168,0.048,0.016,0.183
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.232,0.713,0.053,0.063
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.073,0.241,0.507,0.308
"P39","En blanco",0.498,0.02,0.395,0.11
"P39","No sabe",0.197,0.026,0.045,0.519
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.889,0.065,0.09,0.035
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.473,0.513,0.325
"P40","En blanco",0.056,0.255,0.364,0.084
"P40","No sabe",0.009,0.207,0.033,0.556
"P41","Leandro Santoro por Unión por la Patria",0.882,0.084,0.092,0.122
"P41","Jorge Macri por Juntos por el Cambio",0.052,0.841,0.491,0.485
"P41","En blanco",0.053,0.044,0.399,0.129
"P41","No sabe",0.013,0.031,0.018,0.264
"P42","Leandro Santoro por Unión por la Patria",0.877,0.065,0.137,0.062
"P42","Martin Lousteau por Juntos por el Cambio",0.086,0.737,0.186,0.212
"P42","En blanco",0.022,0.138,0.654,0.122
"P42","No sabe",0.015,0.06,0.023,0.604
"P43","Lo votaría",0.846,0.023,0.051,0.01
"P43","Puede que lo vote",0.081,0.121,0.087,0.086
"P43","Nunca lo votaría",0.062,0.828,0.805,0.778
"P43","No sabe",0.011,0.028,0.057,0.126
"P44","Lo votaría",0.626,0.022,0.11,0.035
"P44","Puede que lo vote",0.21,0.036,0.113,0.092
"P44","Nunca lo votaría",0.124,0.917,0.746,0.768
"P44","No sabe",0.04,0.025,0.031,0.105
"P45","Lo votaría",0.155,0.639,0.362,0.486
"P45","Puede que lo vote",0.027,0.165,0.18,0.12
"P45","Nunca lo votaría",0.809,0.161,0.405,0.285
"P45","No sabe",0.009,0.035,0.053,0.109
"P46","Lo votaría",0.093,0.617,0.071,0.066
"P46","Puede que lo vote",0.097,0.293,0.102,0.169
"P46","Nunca lo votaría",0.793,0.073,0.779,0.595
"P46","No sabe",0.017,0.017,0.048,0.17
"P47","Lo votaría",0.082,0.212,0.437,0.202
"P47","Puede que lo vote",0.051,0.297,0.171,0.113
"P47","Nunca lo votaría",0.863,0.451,0.384,0.549
"P47","No sabe",0.004,0.04,0.008,0.136
"P48","Lo votaría",0.152,0.03,0.067,0.095
"P48","Puede que lo vote",0.337,0.083,0.089,0.066
"P48","Nunca lo votaría",0.462,0.869,0.835,0.729
"P48","No sabe",0.049,0.018,0.009,0.11
"P49","Lo votaría",0.07,0.032,0.048,0.064
"P49","Puede que lo vote",0.209,0.207,0.096,0.138
"P49","Nunca lo votaría",0.682,0.706,0.817,0.674
"P49","No sabe",0.039,0.055,0.039,0.124
"P57","Lo votaría",0.722,0.01,0.088,0.06
"P57","Puede que lo vote",0.105,0.108,0.076,0.058
"P57","Nunca lo votaría",0.162,0.843,0.786,0.706
"P57","No sabe",0.011,0.039,0.05,0.176
"P58","Lo votaría",0.146,0.583,0.306,0.42
"P58","Puede que lo vote",0.019,0.226,0.176,0.063
"P58","Nunca lo votaría",0.825,0.172,0.473,0.39
"P58","No sabe",0.01,0.019,0.045,0.127
"P59","Lo votaría",0.088,0.455,0.083,0.218
"P59","Puede que lo vote",0.169,0.296,0.173,0.203
"P59","Nunca lo votaría",0.694,0.203,0.708,0.452
"P59","No sabe",0.049,0.046,0.036,0.127
"P60","Si",0.454,0.506,0.474,0.342
"P60","No",0.546,0.494,0.526,0.658
