"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P32","Vanina Biasi por el Frente de Izquierda",0.018,0.11,0.006,0,0.005,0.352,0.124,0.077,0,0
"P32","Otros",0.012,0.036,0.023,0.058,0.022,0.095,0.344,0.238,0.054,0.013
"P32","En blanco",0.012,0.055,0.011,0.028,0.014,0.16,0.07,0.133,0.458,0.037
"P32","No sabe",0.02,0,0.02,0.072,0.05,0.075,0,0.032,0.166,0.724
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.881,0.771,0.044,0.056,0.075,0.301,0.169,0.19,0,0.089
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.075,0.093,0.535,0.768,0.161,0.341,0.385,0.307,0.191,0.261
"P33","Ramiro Marra por la Libertad Avanza",0.016,0.029,0.168,0.029,0.696,0.012,0,0.04,0.067,0.074
"P33","Vanina Biasi por el Frente de Izquierda",0.006,0.051,0.011,0.005,0.019,0.261,0.126,0.083,0.076,0
"P33","Otros",0.004,0.025,0.071,0.066,0.032,0.058,0.211,0.247,0.04,0.013
"P33","En blanco",0.003,0.031,0.087,0.035,0.003,0.027,0.109,0,0.432,0.017
"P33","No sabe",0.015,0,0.084,0.041,0.014,0,0,0.133,0.194,0.546
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.919,0.795,0.041,0.152,0.034,0.604,0.188,0.302,0,0.222
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.023,0.067,0.919,0.671,0.65,0.033,0.244,0.155,0.354,0.359
"P36","En blanco",0.048,0.099,0.024,0.1,0.221,0.335,0.086,0.507,0.576,0.055
"P36","No sabe",0.01,0.039,0.016,0.077,0.095,0.028,0.482,0.036,0.07,0.364
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.103,0.183,0.858,0.642,0.128,0.119,0.347,0.172,0.165,0.345
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.063,0.047,0.096,0.046,0.804,0,0.025,0.167,0.153,0.215
"P37","En blanco",0.646,0.608,0.033,0.177,0.051,0.804,0.361,0.624,0.538,0.108
"P37","No sabe",0.188,0.162,0.013,0.135,0.017,0.077,0.267,0.037,0.144,0.332
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.929,0.78,0.061,0.117,0.058,0.259,0.153,0.179,0,0.211
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.044,0.1,0.684,0.818,0.379,0.1,0.141,0.246,0.245,0.313
"P38","En blanco",0.024,0.105,0.162,0.053,0.43,0.424,0.252,0.462,0.475,0
"P38","No sabe",0.003,0.015,0.093,0.012,0.133,0.217,0.454,0.113,0.28,0.476
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.179,0.209,0.586,0.85,0.036,0.144,0.136,0.113,0.145,0.327
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.102,0.227,0.064,0.905,0.037,0.076,0.112,0.153,0.123
"P39","En blanco",0.528,0.548,0.078,0.049,0.048,0.622,0.405,0.481,0.5,0.183
"P39","No sabe",0.229,0.141,0.109,0.037,0.011,0.197,0.383,0.294,0.202,0.367
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.943,0.78,0.037,0.161,0.048,0.421,0.085,0.276,0,0.194
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.006,0.09,0.467,0.152,0.899,0.192,0.105,0.057,0.268,0.268
"P40","En blanco",0.044,0.12,0.262,0.401,0.028,0.319,0.311,0.559,0.552,0.085
"P40","No sabe",0.007,0.01,0.234,0.286,0.025,0.068,0.499,0.108,0.18,0.453
"P41","Leandro Santoro por Unión por la Patria",0.888,0.846,0.068,0.171,0.059,0.636,0.541,0.192,0,0.272
"P41","Jorge Macri por Juntos por el Cambio",0.027,0.055,0.875,0.688,0.588,0.026,0.244,0.281,0.211,0.353
"P41","En blanco",0.067,0.099,0.037,0.069,0.287,0.319,0.074,0.48,0.709,0.025
"P41","No sabe",0.018,0,0.02,0.072,0.066,0.019,0.141,0.047,0.08,0.35
"P42","Leandro Santoro por Unión por la Patria",0.946,0.828,0.049,0.086,0.085,0.615,0.658,0.351,0,0.063
"P42","Martin Lousteau por Juntos por el Cambio",0.028,0.126,0.584,0.786,0.354,0.173,0.052,0.266,0.229,0.595
"P42","En blanco",0.009,0.046,0.241,0.065,0.479,0.193,0.211,0.383,0.512,0.053
"P42","No sabe",0.017,0,0.126,0.063,0.082,0.019,0.079,0,0.259,0.289
"P43","Lo votaría",0.943,0.676,0.017,0.056,0.035,0.139,0.162,0.163,0,0.222
"P43","Puede que lo vote",0.01,0.186,0.085,0.12,0.122,0.419,0.194,0.155,0.079,0.207
"P43","Nunca lo votaría",0.041,0.117,0.879,0.785,0.79,0.357,0.405,0.561,0.723,0.389
"P43","No sabe",0.006,0.021,0.019,0.039,0.053,0.085,0.239,0.121,0.198,0.182
"P44","Lo votaría",0.593,0.91,0.013,0.016,0.043,0.143,0.126,0.197,0.081,0.195
"P44","Puede que lo vote",0.264,0.072,0.038,0.06,0.041,0.476,0.169,0.147,0,0.016
"P44","Nunca lo votaría",0.097,0.018,0.937,0.863,0.877,0.342,0.357,0.57,0.875,0.623
"P44","No sabe",0.046,0,0.012,0.061,0.039,0.039,0.348,0.086,0.044,0.166
"P45","Lo votaría",0.083,0.106,0.862,0.438,0.235,0.024,0.185,0.116,0.355,0.252
"P45","Puede que lo vote",0.029,0.052,0.039,0.257,0.339,0.156,0.132,0,0.08,0.376
"P45","Nunca lo votaría",0.876,0.842,0.091,0.223,0.369,0.801,0.469,0.678,0.395,0.167
"P45","No sabe",0.012,0,0.008,0.082,0.057,0.019,0.214,0.206,0.17,0.205
"P46","Lo votaría",0.045,0.057,0.465,0.86,0.136,0,0.185,0.075,0.033,0.113
"P46","Puede que lo vote",0.083,0.105,0.307,0.093,0.203,0.074,0,0.086,0.333,0.565
"P46","Nunca lo votaría",0.847,0.826,0.196,0.04,0.631,0.926,0.551,0.682,0.462,0.121
"P46","No sabe",0.025,0.012,0.032,0.007,0.03,0,0.264,0.157,0.172,0.201
"P47","Lo votaría",0.048,0.036,0.159,0.133,0.854,0.027,0.175,0.287,0.095,0
"P47","Puede que lo vote",0.054,0.07,0.366,0.157,0.065,0.016,0.101,0,0.174,0.357
"P47","Nunca lo votaría",0.89,0.888,0.444,0.644,0.081,0.957,0.458,0.677,0.688,0.414
"P47","No sabe",0.008,0.006,0.031,0.066,0,0,0.266,0.036,0.043,0.229
"P48","Lo votaría",0.117,0.197,0.012,0.012,0.092,0.522,0.099,0.393,0,0
"P48","Puede que lo vote",0.326,0.438,0.069,0.09,0.071,0.152,0.063,0.111,0.078,0.151
"P48","Nunca lo votaría",0.502,0.331,0.903,0.879,0.809,0.326,0.755,0.367,0.879,0.618
"P48","No sabe",0.055,0.034,0.016,0.019,0.028,0,0.083,0.129,0.043,0.231
"P49","Lo votaría",0.051,0.096,0.012,0.059,0.013,0.187,0.746,0.215,0,0.02
"P49","Puede que lo vote",0.206,0.267,0.151,0.203,0.117,0.47,0.115,0.129,0.111,0.083
"P49","Nunca lo votaría",0.691,0.618,0.812,0.652,0.781,0.343,0.055,0.656,0.846,0.595
"P49","No sabe",0.052,0.019,0.025,0.086,0.089,0,0.084,0,0.043,0.302
"P57","Lo votaría",0.789,0.692,0.012,0.025,0.033,0.223,0.354,0.403,0,0.021
"P57","Puede que lo vote",0.076,0.159,0.084,0.144,0.054,0.3,0.153,0,0.1,0.055
"P57","Nunca lo votaría",0.13,0.126,0.877,0.76,0.877,0.301,0.259,0.597,0.719,0.662
"P57","No sabe",0.005,0.023,0.027,0.071,0.036,0.176,0.234,0,0.181,0.262
"P58","Lo votaría",0.115,0.075,0.725,0.457,0.238,0.036,0.1,0.244,0.097,0.09
"P58","Puede que lo vote",0.029,0.06,0.142,0.266,0.235,0.048,0.153,0,0.039,0.326
"P58","Nunca lo votaría",0.849,0.865,0.127,0.221,0.48,0.892,0.454,0.665,0.708,0.334
"P58","No sabe",0.007,0,0.006,0.056,0.047,0.024,0.293,0.091,0.156,0.25
"P59","Lo votaría",0.028,0.143,0.33,0.621,0.151,0.185,0.405,0.436,0.114,0.232
"P59","Puede que lo vote",0.146,0.179,0.33,0.198,0.145,0.385,0,0.036,0.228,0.382
"P59","Nunca lo votaría",0.776,0.639,0.319,0.136,0.574,0.37,0.595,0.528,0.564,0.158
"P59","No sabe",0.05,0.039,0.021,0.045,0.13,0.06,0,0,0.094,0.228
"P60","Si",0.447,0.469,0.486,0.534,0.46,0.495,0.338,0.634,0.345,0.037
"P60","No",0.553,0.531,0.514,0.466,0.54,0.505,0.662,0.366,0.655,0.963
