"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.071,0.599,0.035,0.076
"P39","En blanco",0.494,0.008,0.351,0.062
"P39","No sabe",0.191,0.03,0.049,0.287
"P41","Leandro Santoro por Unión por la Patria",0.865,0.06,0.153,0.098
"P41","Jorge Macri por Juntos por el Cambio",0.062,0.775,0.614,0.744
"P41","En blanco",0.064,0.124,0.216,0.018
"P41","No sabe",0.009,0.041,0.017,0.14
"P42","Leandro Santoro por Unión por la Patria",0.861,0.073,0.153,0.02
"P42","Martin Lousteau por Juntos por el Cambio",0.101,0.54,0.522,0.604
"P42","En blanco",0.024,0.318,0.289,0.082
"P42","No sabe",0.014,0.069,0.036,0.294
"P43","Lo votaría",0.82,0.012,0.07,0.014
"P43","Puede que lo vote",0.109,0.103,0.079,0.091
"P43","Nunca lo votaría",0.056,0.849,0.838,0.793
"P43","No sabe",0.015,0.036,0.013,0.102
"P44","Lo votaría",0.612,0.022,0.094,0.02
"P44","Puede que lo vote",0.219,0.041,0.094,0.025
"P44","Nunca lo votaría",0.125,0.917,0.798,0.87
"P44","No sabe",0.044,0.02,0.014,0.085
"P45","Lo votaría",0.132,0.56,0.598,0.578
"P45","Puede que lo vote",0.036,0.188,0.114,0.165
"P45","Nunca lo votaría",0.813,0.221,0.265,0.167
"P45","No sabe",0.019,0.031,0.023,0.09
"P46","Lo votaría",0.104,0.296,0.52,0.577
"P46","Puede que lo vote",0.11,0.305,0.165,0.143
"P46","Nunca lo votaría",0.764,0.384,0.284,0.184
"P46","No sabe",0.022,0.015,0.031,0.096
"P47","Lo votaría",0.077,0.484,0.05,0.104
"P47","Puede que lo vote",0.059,0.364,0.147,0.119
"P47","Nunca lo votaría",0.86,0.137,0.775,0.655
"P47","No sabe",0.004,0.015,0.028,0.122
"P48","Lo votaría",0.156,0.039,0.07,0.008
"P48","Puede que lo vote",0.34,0.071,0.108,0.047
"P48","Nunca lo votaría",0.459,0.869,0.815,0.878
"P48","No sabe",0.045,0.021,0.007,0.067
"P49","Lo votaría",0.073,0.023,0.053,0.045
"P49","Puede que lo vote",0.222,0.158,0.21,0.119
"P49","Nunca lo votaría",0.667,0.763,0.71,0.731
"P49","No sabe",0.038,0.056,0.027,0.105
"P57","Lo votaría",0.702,0.007,0.093,0.019
"P57","Puede que lo vote",0.126,0.071,0.119,0.061
"P57","Nunca lo votaría",0.16,0.89,0.735,0.815
"P57","No sabe",0.012,0.032,0.053,0.105
"P58","Lo votaría",0.127,0.476,0.519,0.608
"P58","Puede que lo vote",0.049,0.232,0.137,0.14
"P58","Nunca lo votaría",0.817,0.269,0.329,0.151
"P58","No sabe",0.007,0.023,0.015,0.101
"P59","Lo votaría",0.097,0.263,0.411,0.415
"P59","Puede que lo vote",0.187,0.265,0.214,0.262
"P59","Nunca lo votaría",0.67,0.414,0.367,0.218
"P59","No sabe",0.046,0.058,0.008,0.105
"P60","Si",0.461,0.501,0.461,0.444
"P60","No",0.539,0.499,0.539,0.556
