"var","categoria","Leandro Santoro a Jefe de Gobierno por Unión por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra por la Libertad Avanza","Vanina Biasi por el Frente de Izquierda","Otros","En blanco","No sabe"
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.018,0.651,0.188,0.059,0.219,0.109,0.13
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.049,0.242,0.017,0,0.237,0.121,0.208
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.042,0.055,0.675,0.02,0.089,0.06,0.141
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.008,0,0.412,0.105,0.186,0.059
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.004,0.003,0,0.022,0.059,0.013,0
"P11","Otros",0.006,0.006,0.01,0.026,0.076,0.045,0.007
"P11","En blanco",0.008,0.002,0.008,0,0.021,0.191,0.047
"P11","No sabe",0.003,0.005,0.014,0,0.008,0.023,0.311
"P14","Totalmente seguro",0.684,0.63,0.72,0.639,0.613,0.656,0.348
"P14","Bastante seguro",0.165,0.19,0.092,0.265,0.146,0.128,0.254
"P14","Algo seguro",0.09,0.097,0.135,0.06,0.105,0.103,0.186
"P14","Para nada seguro",0.061,0.083,0.053,0.036,0.136,0.113,0.212
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.779,0.039,0.033,0.235,0.131,0.243,0.042
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.022,0.687,0.108,0.05,0.117,0,0.094
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.087,0.188,0.06,0.15,0.44,0.249,0.296
"P15","Ramiro Marra por la Libertad Avanza",0.051,0.052,0.691,0.156,0.019,0.109,0.124
"P15","Vanina Biasi por el Frente de Izquierda",0.022,0.015,0.067,0.314,0.027,0.129,0.087
"P15","Otros",0.029,0.008,0.019,0.095,0.242,0.05,0.014
"P15","En blanco",0,0.003,0.007,0,0.024,0.148,0.028
"P15","No sabe",0.01,0.008,0.015,0,0,0.072,0.315
"P18","Totalmente seguro",0.723,0.653,0.785,0.532,0.715,0.587,0.357
"P18","Bastante seguro",0.156,0.19,0.078,0.281,0.138,0.196,0.141
"P18","Algo seguro",0.069,0.124,0.106,0.114,0.032,0.074,0.207
"P18","Para nada seguro",0.052,0.033,0.031,0.073,0.115,0.143,0.295
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.533,0.051,0.05,0.343,0.16,0.17,0.026
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.244,0.023,0.065,0.044,0.122,0,0.095
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.04,0.466,0.304,0.29,0.218,0.198,0.232
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.06,0.289,0.031,0.041,0.265,0.059,0.045
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.054,0.13,0.428,0.046,0.085,0.037,0.168
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.001,0,0.21,0.063,0.16,0
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.008,0,0,0.011,0.1,0.006
"P23","Otros",0.02,0.003,0.01,0.026,0.051,0.056,0.014
"P23","En blanco",0.01,0.017,0.09,0,0.025,0.197,0.077
"P23","No sabe",0.011,0.012,0.022,0,0,0.023,0.337
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.566,0.061,0.07,0.199,0.176,0.121,0.066
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.048,0.478,0.253,0.158,0.108,0.052,0.091
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.086,0.249,0.094,0.212,0.302,0.14,0.184
"P26","Ramiro Marra por la Libertad Avanza",0.046,0.116,0.39,0.141,0.088,0.037,0.077
"P26","Vanina Biasi por el Frente de Izquierda",0.126,0.017,0.012,0.22,0.069,0,0.038
"P26","Otros",0.046,0.016,0.015,0.034,0.19,0.284,0.032
"P26","En blanco",0.047,0.037,0.1,0.01,0.059,0.314,0.143
"P26","No sabe",0.035,0.026,0.066,0.026,0.008,0.052,0.369
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.846,0.027,0.009,0.241,0.106,0.155,0.174
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.015,0.818,0.148,0.143,0.356,0.131,0.139
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.04,0.058,0.789,0.015,0.113,0.107,0.196
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.003,0.031,0.476,0.123,0.031,0.059
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0.019,0.006,0.088,0.066,0.124,0.015
"P30","Otros",0.008,0.021,0.011,0.026,0.159,0.234,0
"P30","En blanco",0.048,0.018,0.006,0.011,0.025,0.185,0.098
"P30","No sabe",0.011,0.036,0,0,0.052,0.033,0.319
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.853,0.029,0.006,0.137,0.134,0.116,0.165
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.046,0.697,0.077,0.296,0.316,0.12,0.227
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.019,0.145,0.844,0.013,0.153,0.112,0.151
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.037,0.003,0.028,0.498,0.113,0.057,0.059
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0.013,0.035,0.015,0.054,0.033,0.009
"P31","Otros",0.007,0.023,0.008,0.041,0.172,0.328,0
"P31","En blanco",0.005,0.036,0.002,0,0,0.176,0.035
"P31","No sabe",0.027,0.054,0,0,0.058,0.058,0.354
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.906,0.029,0.057,0.158,0.086,0.268,0.026
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.085,0.635,0.093,0.217,0.419,0.282,0.413
"P33","Ramiro Marra por la Libertad Avanza",0.007,0.126,0.774,0.013,0.044,0.029,0.07
"P33","Vanina Biasi por el Frente de Izquierda",0.001,0.008,0.004,0.602,0.026,0,0.018
"P33","Otros",0.001,0.07,0.025,0.01,0.329,0.09,0
"P33","En blanco",0,0.064,0.034,0,0.077,0.331,0
"P33","No sabe",0,0.068,0.013,0,0.019,0,0.473
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.892,0.066,0.108,0.4,0.291,0.195,0.169
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.033,0.872,0.661,0.216,0.36,0.26,0.425
"P36","En blanco",0.058,0.035,0.171,0.308,0.176,0.474,0.132
"P36","No sabe",0.017,0.027,0.06,0.076,0.173,0.071,0.274
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.119,0.834,0.182,0.241,0.396,0.278,0.372
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.05,0.088,0.702,0.061,0.105,0.041,0.324
"P37","En blanco",0.644,0.034,0.101,0.661,0.385,0.587,0.082
"P37","No sabe",0.187,0.044,0.015,0.037,0.114,0.094,0.222
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.873,0.066,0.133,0.425,0.246,0.275,0.178
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.074,0.753,0.365,0.155,0.378,0.197,0.336
"P38","En blanco",0.039,0.114,0.442,0.275,0.233,0.441,0.085
"P38","No sabe",0.014,0.067,0.06,0.145,0.143,0.087,0.401
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.226,0.66,0.068,0.137,0.327,0.277,0.388
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.057,0.186,0.867,0.315,0.121,0.099,0.177
"P39","En blanco",0.502,0.064,0.049,0.476,0.353,0.561,0.195
"P39","No sabe",0.215,0.09,0.016,0.072,0.199,0.063,0.24
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.893,0.058,0.106,0.457,0.26,0.294,0.159
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.023,0.41,0.803,0.247,0.169,0.102,0.312
"P40","En blanco",0.079,0.282,0.049,0.246,0.332,0.507,0.203
"P40","No sabe",0.005,0.25,0.042,0.05,0.239,0.097,0.326
"P41","Leandro Santoro por Unión por la Patria",0.905,0.077,0.109,0.621,0.364,0.233,0.119
"P41","Jorge Macri por Juntos por el Cambio",0.03,0.877,0.574,0.14,0.274,0.1,0.353
"P41","En blanco",0.063,0.018,0.272,0.22,0.279,0.624,0.174
"P41","No sabe",0.002,0.028,0.045,0.019,0.083,0.043,0.354
"P42","Leandro Santoro por Unión por la Patria",0.943,0.051,0.083,0.691,0.231,0.269,0.039
"P42","Martin Lousteau por Juntos por el Cambio",0.039,0.665,0.367,0.061,0.498,0.373,0.442
"P42","En blanco",0.015,0.187,0.482,0.224,0.174,0.32,0.079
"P42","No sabe",0.003,0.097,0.068,0.024,0.097,0.038,0.44
"P43","Lo votaría",0.856,0.029,0.069,0.245,0.148,0.234,0.195
"P43","Puede que lo vote",0.073,0.091,0.108,0.349,0.259,0.121,0.05
"P43","Nunca lo votaría",0.061,0.865,0.782,0.265,0.545,0.571,0.568
"P43","No sabe",0.01,0.015,0.041,0.141,0.048,0.074,0.187
"P44","Lo votaría",0.602,0.018,0.094,0.561,0.214,0.368,0.18
"P44","Puede que lo vote",0.239,0.05,0.063,0.301,0.115,0,0.093
"P44","Nunca lo votaría",0.13,0.914,0.785,0.114,0.62,0.6,0.556
"P44","No sabe",0.029,0.018,0.058,0.024,0.051,0.032,0.171
"P45","Lo votaría",0.085,0.769,0.291,0.306,0.288,0.203,0.229
"P45","Puede que lo vote",0.051,0.102,0.331,0.027,0.2,0.078,0.29
"P45","Nunca lo votaría",0.856,0.102,0.299,0.643,0.497,0.656,0.296
"P45","No sabe",0.008,0.027,0.079,0.024,0.015,0.063,0.185
"P46","Lo votaría",0.058,0.571,0.164,0.236,0.315,0.133,0.268
"P46","Puede que lo vote",0.085,0.258,0.23,0.057,0.076,0.199,0.318
"P46","Nunca lo votaría",0.836,0.139,0.569,0.707,0.578,0.601,0.338
"P46","No sabe",0.021,0.032,0.037,0,0.031,0.067,0.076
"P47","Lo votaría",0.029,0.155,0.745,0.234,0.138,0.123,0.045
"P47","Puede que lo vote",0.045,0.325,0.14,0,0.171,0.089,0.138
"P47","Nunca lo votaría",0.922,0.488,0.108,0.739,0.617,0.77,0.611
"P47","No sabe",0.004,0.032,0.007,0.027,0.074,0.018,0.206
"P48","Lo votaría",0.123,0.018,0.122,0.656,0.156,0.035,0.113
"P48","Puede que lo vote",0.357,0.054,0.105,0.138,0.222,0.08,0.049
"P48","Nunca lo votaría",0.471,0.907,0.733,0.19,0.591,0.834,0.729
"P48","No sabe",0.049,0.021,0.04,0.016,0.031,0.051,0.109
"P49","Lo votaría",0.036,0.034,0.05,0.297,0.167,0.032,0.01
"P49","Puede que lo vote",0.239,0.151,0.177,0.248,0.216,0.272,0.232
"P49","Nunca lo votaría",0.693,0.772,0.68,0.426,0.59,0.678,0.543
"P49","No sabe",0.032,0.043,0.093,0.029,0.027,0.018,0.215
"P57","Lo votaría",0.781,0.019,0.05,0.162,0.098,0.16,0.011
"P57","Puede que lo vote",0.08,0.081,0.115,0.377,0.262,0.247,0.012
"P57","Nunca lo votaría",0.133,0.867,0.797,0.434,0.588,0.492,0.638
"P57","No sabe",0.006,0.033,0.038,0.027,0.052,0.101,0.339
"P58","Lo votaría",0.108,0.725,0.211,0.042,0.049,0.05,0.065
"P58","Puede que lo vote",0.021,0.152,0.272,0.204,0.191,0.098,0.343
"P58","Nunca lo votaría",0.868,0.113,0.454,0.727,0.7,0.779,0.36
"P58","No sabe",0.003,0.01,0.063,0.027,0.06,0.073,0.232
"P59","Lo votaría",0.061,0.423,0.157,0.046,0.39,0.309,0.31
"P59","Puede que lo vote",0.17,0.295,0.177,0.427,0.117,0.104,0.172
"P59","Nunca lo votaría",0.727,0.259,0.543,0.5,0.462,0.534,0.296
"P59","No sabe",0.042,0.023,0.123,0.027,0.031,0.053,0.222
"P60","Si",0.429,0.504,0.508,0.521,0.38,0.522,0.439
"P60","No",0.571,0.496,0.492,0.479,0.62,0.478,0.561
