"var","categoria","Leandro Santoro por Unión por la Patria","Jorge Macri por Juntos por el Cambio","En blanco","No sabe"
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.517,0.035,0.156,0.069
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.05,0.487,0.079,0.149
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.124,0.199,0.151,0.254
"P26","Ramiro Marra por la Libertad Avanza",0.051,0.152,0.199,0.056
"P26","Vanina Biasi por el Frente de Izquierda",0.134,0.014,0.037,0.074
"P26","Otros",0.045,0.022,0.098,0.029
"P26","En blanco",0.047,0.043,0.205,0.038
"P26","No sabe",0.032,0.048,0.075,0.331
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.738,0.017,0.17,0.064
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.095,0.709,0.121,0.212
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.029,0.164,0.368,0.256
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.061,0.001,0.133,0.015
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.022,0.034,0.045
"P30","Otros",0.01,0.025,0.031,0.084
"P30","En blanco",0.04,0.03,0.103,0.024
"P30","No sabe",0.017,0.032,0.04,0.3
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.725,0.022,0.186,0.047
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.1,0.587,0.121,0.361
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.04,0.249,0.357,0.223
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.069,0.002,0.138,0.015
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.016,0.008,0.036
"P31","Otros",0.011,0.034,0.077,0.008
"P31","En blanco",0.007,0.032,0.073,0.022
"P31","No sabe",0.039,0.058,0.04,0.288
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.776,0.021,0.201,0.02
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.081,0.754,0.072,0.303
"P32","Ramiro Marra por la Libertad Avanza",0.037,0.16,0.343,0.158
"P32","Vanina Biasi por el Frente de Izquierda",0.048,0.009,0.063,0.015
"P32","Otros",0.028,0.017,0.08,0.065
"P32","En blanco",0.017,0.006,0.169,0.032
"P32","No sabe",0.013,0.033,0.072,0.407
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.76,0.013,0.249,0.01
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.148,0.549,0.226,0.433
"P33","Ramiro Marra por la Libertad Avanza",0.027,0.225,0.302,0.144
"P33","Vanina Biasi por el Frente de Izquierda",0.029,0.005,0.062,0.015
"P33","Otros",0.022,0.057,0.043,0.08
"P33","En blanco",0.011,0.067,0.089,0.06
"P33","No sabe",0.003,0.084,0.029,0.258
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.862,0.032,0.177,0.088
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.075,0.91,0.291,0.292
"P36","En blanco",0.046,0.039,0.466,0
"P36","No sabe",0.017,0.019,0.066,0.62
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.184,0.742,0.123,0.304
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.08,0.191,0.307,0.219
"P37","En blanco",0.577,0.036,0.526,0.035
"P37","No sabe",0.159,0.031,0.044,0.442
"P38","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.855,0.041,0.189,0.133
"P38","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.09,0.741,0.177,0.337
"P38","En blanco",0.034,0.15,0.551,0.067
"P38","No sabe",0.021,0.068,0.083,0.463
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.246,0.568,0.125,0.33
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.095,0.31,0.339,0.223
"P39","En blanco",0.476,0.046,0.463,0.013
"P39","No sabe",0.183,0.076,0.073,0.434
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.845,0.05,0.231,0.088
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.488,0.354,0.321
"P40","En blanco",0.074,0.245,0.391,0.084
"P40","No sabe",0.035,0.217,0.024,0.507
"P42","Leandro Santoro por Unión por la Patria",0.868,0.051,0.204,0.01
"P42","Martin Lousteau por Juntos por el Cambio",0.111,0.634,0.218,0.349
"P42","En blanco",0.011,0.217,0.574,0.028
"P42","No sabe",0.01,0.098,0.004,0.613
"P43","Lo votaría",0.79,0.014,0.169,0.114
"P43","Puede que lo vote",0.121,0.076,0.112,0.098
"P43","Nunca lo votaría",0.072,0.877,0.707,0.603
"P43","No sabe",0.017,0.033,0.012,0.185
"P44","Lo votaría",0.585,0.016,0.231,0.053
"P44","Puede que lo vote",0.224,0.039,0.146,0.094
"P44","Nunca lo votaría",0.151,0.918,0.609,0.699
"P44","No sabe",0.04,0.027,0.014,0.154
"P45","Lo votaría",0.142,0.706,0.167,0.151
"P45","Puede que lo vote",0.047,0.157,0.205,0.268
"P45","Nunca lo votaría",0.792,0.099,0.615,0.349
"P45","No sabe",0.019,0.038,0.013,0.232
"P46","Lo votaría",0.123,0.497,0.084,0.361
"P46","Puede que lo vote",0.097,0.274,0.133,0.149
"P46","Nunca lo votaría",0.76,0.193,0.77,0.346
"P46","No sabe",0.02,0.036,0.013,0.144
"P47","Lo votaría",0.088,0.242,0.318,0.199
"P47","Puede que lo vote",0.064,0.299,0.093,0.079
"P47","Nunca lo votaría",0.843,0.423,0.585,0.522
"P47","No sabe",0.005,0.036,0.004,0.2
"P48","Lo votaría",0.162,0.029,0.135,0.015
"P48","Puede que lo vote",0.341,0.053,0.114,0.117
"P48","Nunca lo votaría",0.447,0.899,0.732,0.651
"P48","No sabe",0.05,0.019,0.019,0.217
"P49","Lo votaría",0.064,0.037,0.025,0.045
"P49","Puede que lo vote",0.231,0.155,0.27,0.094
"P49","Nunca lo votaría",0.674,0.738,0.705,0.677
"P49","No sabe",0.031,0.07,0,0.184
"P57","Lo votaría",0.699,0.01,0.174,0.028
"P57","Puede que lo vote",0.127,0.077,0.079,0.167
"P57","Nunca lo votaría",0.162,0.866,0.691,0.628
"P57","No sabe",0.012,0.047,0.056,0.177
"P58","Lo votaría",0.123,0.648,0.088,0.096
"P58","Puede que lo vote",0.029,0.211,0.109,0.242
"P58","Nunca lo votaría",0.84,0.11,0.794,0.426
"P58","No sabe",0.008,0.031,0.009,0.236
"P59","Lo votaría",0.114,0.366,0.178,0.337
"P59","Puede que lo vote",0.179,0.284,0.141,0.184
"P59","Nunca lo votaría",0.667,0.291,0.667,0.294
"P59","No sabe",0.04,0.059,0.014,0.185
"P60","Si",0.442,0.492,0.514,0.452
"P60","No",0.558,0.508,0.486,0.548
