"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P15","Algo seguro",0.1,0.088,0.098,0.073,0.182,0.068,0.035,0.141
"P15","Para nada seguro",0.037,0.026,0.034,0.12,0.016,0.242,0.144,0.386
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.842,0.108,0.111,0.605,0.245,0.257,0.318,0.248
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.09,0.806,0.54,0.118,0.382,0.268,0.272,0.327
"P31","En blanco",0.039,0.052,0.208,0.146,0.125,0.146,0.356,0.066
"P31","No sabe",0.029,0.034,0.141,0.131,0.248,0.329,0.054,0.359
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.146,0.571,0.284,0.155,0.296,0.313,0.165,0.301
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.129,0.35,0.642,0.113,0.262,0.245,0.281,0.132
"P32","En blanco",0.499,0.044,0.041,0.535,0.162,0.171,0.448,0.077
"P32","No sabe",0.226,0.035,0.033,0.197,0.28,0.271,0.106,0.49
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.833,0.115,0.078,0.623,0.254,0.262,0.277,0.215
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.098,0.559,0.844,0.1,0.379,0.36,0.321,0.258
"P33","En blanco",0.048,0.197,0.036,0.19,0.118,0.119,0.33,0.051
"P33","No sabe",0.021,0.129,0.042,0.087,0.249,0.259,0.072,0.476
"P35","Lo votaría",0.79,0.13,0.08,0.569,0.288,0.201,0.318,0.208
"P35","Puede que lo vote",0.082,0.065,0.138,0.144,0.117,0.218,0.187,0.044
"P35","Nunca lo votaría",0.108,0.777,0.754,0.242,0.449,0.537,0.465,0.39
"P35","No sabe",0.02,0.028,0.028,0.045,0.146,0.044,0.03,0.358
"P36","Lo votaría",0.091,0.628,0.376,0.118,0.323,0.272,0.232,0.225
"P36","Puede que lo vote",0.093,0.219,0.202,0.122,0.264,0.147,0.07,0.159
"P36","Nunca lo votaría",0.778,0.137,0.389,0.737,0.292,0.408,0.603,0.319
"P36","No sabe",0.038,0.016,0.033,0.023,0.121,0.173,0.095,0.297
"P37","Lo votaría",0.091,0.409,0.683,0.143,0.265,0.384,0.292,0.079
"P37","Puede que lo vote",0.063,0.211,0.216,0.089,0.203,0.111,0.025,0.213
"P37","Nunca lo votaría",0.82,0.343,0.095,0.751,0.45,0.409,0.64,0.398
"P37","No sabe",0.026,0.037,0.006,0.017,0.082,0.096,0.043,0.31
"P38","Lo votaría",0.136,0.03,0.098,0.352,0.064,0.031,0.043,0.068
"P38","Puede que lo vote",0.294,0.095,0.081,0.459,0.157,0.231,0.111,0.05
"P38","Nunca lo votaría",0.499,0.826,0.808,0.151,0.568,0.565,0.779,0.568
"P38","No sabe",0.071,0.049,0.013,0.038,0.211,0.173,0.067,0.314
"P39","Lo votaría",0.095,0.081,0.074,0.098,0.271,0.025,0.024,0.038
"P39","Puede que lo vote",0.235,0.196,0.135,0.306,0.41,0.224,0.144,0.077
"P39","Nunca lo votaría",0.591,0.672,0.75,0.544,0.179,0.631,0.803,0.519
"P39","No sabe",0.079,0.051,0.041,0.052,0.14,0.12,0.029,0.366
"P52","Si",0.501,0.469,0.356,0.463,0.607,0.337,0.476,0.381
"P52","No",0.499,0.531,0.644,0.537,0.393,0.663,0.524,0.619
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.748,0.077,0.062,0.658,0.226,0.192,0.255,0.238
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.085,0.531,0.247,0.094,0.385,0.197,0.136,0.173
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.09,0.349,0.651,0.052,0.126,0.21,0.335,0.094
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.038,0.004,0.019,0.131,0.063,0.017,0.05,0.016
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.02,0.003,0.042,0.156,0.041,0.022,0.026
"PRESIDENTE","Otros",0.016,0.007,0.005,0.006,0.04,0.233,0.058,0.036
"PRESIDENTE","En blanco",0.009,0.003,0.008,0.009,0.004,0.039,0.099,0.06
"PRESIDENTE","No sabe",0.004,0.009,0.005,0.008,0,0.071,0.045,0.357
