"var","categoria","Mantenerla como en la actualidad aunque tenga que endeudarse la provincia","Negociar un nuevo acuerdo salarial qué pueda pagarse con los recursos de la provincia","Anularlo, porque es un privilegio que solo tienen los empleados estatales","No sabe"
"P21","Si",0.463,0.459,0.365,0.257
"P21","No",0.239,0.173,0.332,0.154
"P21","No sabe",0.298,0.368,0.303,0.589
"P24","Muy de acuerdo",0.255,0.307,0.576,0.383
"P24","De acuerdo",0.098,0.209,0.123,0.114
"P24","Ni de acuerdo ni en desacuerdo",0.092,0.187,0.128,0.108
"P24","En desacuerdo",0.259,0.148,0.125,0.143
"P24","Muy en desacuerdo",0.296,0.138,0.04,0.211
"P24","No sabe",0,0.011,0.008,0.041
"P25","Muy de acuerdo",0.255,0.303,0.496,0.315
"P25","De acuerdo",0.09,0.194,0.204,0.139
"P25","Ni de acuerdo ni en desacuerdo",0.063,0.158,0.116,0.191
"P25","En desacuerdo",0.206,0.159,0.126,0.167
"P25","Muy en desacuerdo",0.384,0.173,0.056,0.119
"P25","No sabe",0.002,0.013,0.002,0.069
"P26","Muy buena",0.234,0.222,0.105,0.268
"P26","Buena",0.257,0.338,0.221,0.153
"P26","Ni buena ni mala",0.32,0.321,0.508,0.371
"P26","Mala",0.09,0.081,0.109,0.1
"P26","Muy mala",0.082,0.031,0.047,0.02
"P26","No sabe",0.017,0.007,0.01,0.088
"P27","Muy buena",0.231,0.148,0.053,0.125
"P27","Buena",0.178,0.232,0.095,0.116
"P27","Ni buena ni mala",0.307,0.371,0.44,0.305
"P27","Mala",0.115,0.141,0.24,0.294
"P27","Muy mala",0.114,0.083,0.162,0.042
"P27","No sabe",0.055,0.025,0.01,0.118
"P28","Muy buena",0.152,0.084,0.047,0.072
"P28","Buena",0.113,0.163,0.051,0.074
"P28","Ni buena ni mala",0.217,0.258,0.239,0.285
"P28","Mala",0.318,0.313,0.3,0.424
"P28","Muy mala",0.199,0.159,0.349,0.058
"P28","No sabe",0.001,0.023,0.014,0.087
"P29","Muy buena",0.16,0.083,0.05,0.019
"P29","Buena",0.117,0.144,0.089,0.142
"P29","Ni buena ni mala",0.353,0.439,0.386,0.344
"P29","Mala",0.187,0.185,0.259,0.251
"P29","Muy mala",0.158,0.113,0.201,0.106
"P29","No sabe",0.025,0.036,0.015,0.138
"P30","Muy buena",0.239,0.121,0.096,0.119
"P30","Buena",0.218,0.235,0.103,0.106
"P30","Ni buena ni mala",0.234,0.303,0.336,0.255
"P30","Mala",0.177,0.186,0.184,0.278
"P30","Muy mala",0.12,0.132,0.269,0.083
"P30","No sabe",0.012,0.023,0.012,0.159
"P31","Muy buena",0.488,0.199,0.104,0.282
"P31","Buena",0.118,0.119,0.1,0.04
"P31","Ni buena ni mala",0.07,0.085,0.051,0.07
"P31","Mala",0.143,0.236,0.233,0.239
"P31","Muy mala",0.158,0.356,0.509,0.281
"P31","No sabe",0.023,0.005,0.003,0.088
"P32","Muy buena",0.208,0.103,0.222,0.062
"P32","Buena",0.086,0.146,0.103,0.216
"P32","Ni buena ni mala",0.052,0.205,0.324,0.231
"P32","Mala",0.216,0.266,0.214,0.222
"P32","Muy mala",0.438,0.267,0.137,0.241
"P32","No sabe",0,0.013,0,0.028
"P33","Muy buena",0.284,0.123,0.069,0.124
"P33","Buena",0.276,0.151,0.118,0.088
"P33","Ni buena ni mala",0.094,0.17,0.1,0.215
"P33","Mala",0.154,0.233,0.26,0.284
"P33","Muy mala",0.192,0.318,0.45,0.278
"P33","No sabe",0,0.005,0.003,0.011
"P34","Muy buena",0.276,0.305,0.558,0.414
"P34","Buena",0.086,0.216,0.094,0.147
"P34","Ni buena ni mala",0.086,0.138,0.075,0.121
"P34","Mala",0.116,0.131,0.148,0.166
"P34","Muy mala",0.434,0.205,0.125,0.141
"P34","No sabe",0.002,0.005,0,0.011
"P35","Muy buena",0.261,0.248,0.327,0.29
"P35","Buena",0.129,0.246,0.337,0.295
"P35","Ni buena ni mala",0.049,0.146,0.105,0.113
"P35","Mala",0.108,0.173,0.115,0.164
"P35","Muy mala",0.451,0.184,0.114,0.127
"P35","No sabe",0.002,0.003,0.002,0.011
"P36","Muy buena",0.202,0.166,0.291,0.215
"P36","Buena",0.055,0.204,0.263,0.157
"P36","Ni buena ni mala",0.162,0.31,0.232,0.367
"P36","Mala",0.144,0.131,0.13,0.147
"P36","Muy mala",0.432,0.165,0.068,0.093
"P36","No sabe",0.005,0.024,0.016,0.021
"P37","Muy buena",0.268,0.315,0.583,0.399
"P37","Buena",0.027,0.216,0.112,0.061
"P37","Ni buena ni mala",0.112,0.153,0.137,0.203
"P37","Mala",0.142,0.097,0.098,0.174
"P37","Muy mala",0.437,0.195,0.063,0.146
"P37","No sabe",0.014,0.024,0.007,0.017
"P38","Muy buena",0.187,0.108,0.163,0.183
"P38","Buena",0.092,0.243,0.223,0.292
"P38","Ni buena ni mala",0.326,0.378,0.431,0.335
"P38","Mala",0.175,0.148,0.11,0.107
"P38","Muy mala",0.187,0.092,0.065,0.06
"P38","No sabe",0.033,0.031,0.008,0.023
"P39","Muy buena",0.183,0.115,0.197,0.101
"P39","Buena",0.089,0.181,0.231,0.204
"P39","Ni buena ni mala",0.123,0.298,0.316,0.36
"P39","Mala",0.155,0.129,0.125,0.179
"P39","Muy mala",0.446,0.24,0.129,0.132
"P39","No sabe",0.004,0.037,0.002,0.024
"P40","Muy buena",0.145,0.083,0.163,0.009
"P40","Buena",0.124,0.173,0.102,0.231
"P40","Ni buena ni mala",0.24,0.371,0.472,0.342
"P40","Mala",0.094,0.123,0.101,0.242
"P40","Muy mala",0.338,0.145,0.118,0.06
"P40","No sabe",0.059,0.105,0.044,0.116
