"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P37","Muy buena",0.759,0.294,0.271,0.006,0.035,0
"P37","Buena",0.125,0.404,0.117,0.054,0.004,0.126
"P37","Ni buena ni mala",0.079,0.215,0.314,0.184,0.027,0.479
"P37","Mala",0.004,0.052,0.197,0.43,0.039,0.096
"P37","Muy mala",0.033,0.026,0.087,0.274,0.88,0.038
"P37","No sabe",0,0.009,0.014,0.052,0.015,0.261
"P38","Muy buena",0.276,0.156,0.121,0.004,0.038,0
"P38","Buena",0.302,0.32,0.162,0.062,0.076,0.267
"P38","Ni buena ni mala",0.33,0.4,0.437,0.48,0.278,0.232
"P38","Mala",0.035,0.088,0.19,0.273,0.261,0
"P38","Muy mala",0.054,0.027,0.074,0.112,0.309,0.159
"P38","No sabe",0.003,0.009,0.016,0.069,0.038,0.342
"P39","Muy buena",0.323,0.125,0.087,0,0,0
"P39","Buena",0.305,0.288,0.107,0,0.003,0.164
"P39","Ni buena ni mala",0.317,0.391,0.403,0.135,0.056,0.24
"P39","Mala",0.018,0.091,0.238,0.478,0.037,0
"P39","Muy mala",0.037,0.05,0.127,0.377,0.896,0.159
"P39","No sabe",0,0.055,0.038,0.01,0.008,0.437
"P40","Muy buena",0.23,0.096,0.069,0.002,0,0
"P40","Buena",0.283,0.263,0.013,0.019,0.04,0
"P40","Ni buena ni mala",0.352,0.437,0.49,0.361,0.18,0.286
"P40","Mala",0.044,0.076,0.19,0.328,0.084,0
"P40","Muy mala",0.05,0.031,0.106,0.211,0.605,0.158
"P40","No sabe",0.041,0.097,0.132,0.079,0.091,0.556
