"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.123,0.021,0.009,0.25,0.077,0.008,0.044,0.028
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.025,0.031,0.019,0.069,0.253,0.138,0.01,0
"P24","Otros",0.023,0.029,0.026,0.007,0.068,0.404,0.123,0.093
"P24","En blanco",0.045,0.034,0.055,0.098,0.071,0.122,0.416,0.081
"P24","No sabe",0.028,0.025,0.01,0.015,0.068,0.053,0,0.597
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.927,0.068,0.073,0.393,0.189,0.127,0.052,0.138
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.023,0.876,0.488,0.136,0.321,0.133,0.13,0.2
"P31","En blanco",0.032,0.03,0.259,0.259,0.136,0.141,0.643,0.106
"P31","No sabe",0.018,0.026,0.18,0.212,0.354,0.599,0.175,0.556
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.166,0.867,0.063,0.182,0.234,0.167,0.019,0.158
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.083,0.886,0.15,0.156,0.109,0.163,0.111
"P32","En blanco",0.553,0.026,0.019,0.463,0.208,0.123,0.565,0.075
"P32","No sabe",0.225,0.024,0.032,0.205,0.402,0.601,0.253,0.656
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.912,0.096,0.036,0.385,0.206,0.11,0.119,0.142
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.032,0.473,0.922,0.241,0.237,0.15,0.175,0.154
"P33","En blanco",0.041,0.259,0.018,0.245,0.243,0.172,0.542,0.072
"P33","No sabe",0.015,0.172,0.024,0.129,0.314,0.568,0.164,0.632
"P35","Lo votaría",0.896,0.083,0.039,0.242,0.153,0.116,0.138,0.103
"P35","Puede que lo vote",0.06,0.075,0.14,0.291,0.217,0.223,0.131,0.11
"P35","Nunca lo votaría",0.03,0.813,0.781,0.368,0.488,0.26,0.62,0.325
"P35","No sabe",0.014,0.029,0.04,0.099,0.142,0.401,0.111,0.462
"P36","Lo votaría",0.082,0.82,0.18,0.137,0.079,0.138,0.034,0.106
"P36","Puede que lo vote",0.116,0.078,0.34,0.12,0.322,0.117,0.174,0.189
"P36","Nunca lo votaría",0.757,0.09,0.42,0.654,0.495,0.361,0.702,0.274
"P36","No sabe",0.045,0.012,0.06,0.089,0.104,0.384,0.09,0.431
"P37","Lo votaría",0.028,0.197,0.843,0.214,0.131,0.106,0.009,0.051
"P37","Puede que lo vote",0.071,0.34,0.093,0.185,0.249,0.153,0.152,0.199
"P37","Nunca lo votaría",0.883,0.415,0.049,0.548,0.519,0.378,0.742,0.316
"P37","No sabe",0.018,0.048,0.015,0.053,0.101,0.363,0.097,0.434
"P38","Lo votaría",0.105,0.036,0.073,0.636,0.088,0.052,0.019,0.011
"P38","Puede que lo vote",0.35,0.054,0.084,0.191,0.103,0.284,0.196,0.124
"P38","Nunca lo votaría",0.46,0.871,0.801,0.081,0.689,0.238,0.693,0.388
"P38","No sabe",0.085,0.039,0.042,0.092,0.12,0.426,0.092,0.477
"P39","Lo votaría",0.08,0.067,0.058,0.126,0.578,0.085,0.13,0.047
"P39","Puede que lo vote",0.243,0.177,0.178,0.303,0.135,0.245,0.205,0.126
"P39","Nunca lo votaría",0.594,0.712,0.717,0.448,0.267,0.321,0.556,0.318
"P39","No sabe",0.083,0.044,0.047,0.123,0.02,0.349,0.109,0.509
"P52","Si",0.521,0.467,0.436,0.32,0.572,0.283,0.277,0.325
"P52","No",0.479,0.533,0.564,0.68,0.428,0.717,0.723,0.675
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.98,0.006,0.005,0.012,0.003,0.004,0.008,0.027
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.007,0.976,0.013,0.019,0.005,0.061,0,0.012
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.007,0.012,0.979,0.04,0.031,0.008,0,0.011
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.003,0.001,0,0.91,0.02,0,0,0.01
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.001,0.005,0.003,0.015,0.939,0.036,0,0
"PRESIDENTE","Otros",0.002,0,0,0,0,0.891,0.007,0.004
"PRESIDENTE","En blanco",0,0,0,0.004,0.002,0,0.985,0.036
"PRESIDENTE","No sabe",0,0,0,0,0,0,0,0.9
