"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"GOBERNADOR","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.052,0.512,0.129,0.106
"GOBERNADOR","Gobernador y vicegobernador de la izquierda",0.029,0.031,0.082,0.031
"GOBERNADOR","En blanco",0.04,0.043,0.095,0.123
"GOBERNADOR","No sabe",0.009,0.02,0.018,0.189
"CORTA_GOBERNADOR","Si",0.113,0.218,0.155,0.111
"CORTA_GOBERNADOR","No",0.887,0.782,0.845,0.889
"P10_imputada","Unión por la Patria",0.747,0.069,0.183,0.114
"P10_imputada","Juntos por el Cambio",0.119,0.262,0.555,0.591
"P10_imputada","De los liberales libertarios",0.067,0.617,0.101,0.047
"P10_imputada","De la Izquierda",0.033,0.016,0.077,0.074
"P10_imputada","Hacemos por nuestro país",0.016,0.016,0.018,0.027
"P10_imputada","Otro",0.009,0.019,0.019,0.105
"P10_imputada","En blanco",0.009,0.001,0.047,0.042
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.829,0.073,0.174,0.17
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.101,0.259,0.602,0.621
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.029,0.616,0.052,0.075
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.023,0.026,0.078,0.032
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.017,0.014,0.031,0.064
"P20_imputada","En blanco",0.001,0.012,0.063,0.038
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.749,0.095,0.145,0.066
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.127,0.308,0.539,0.599
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.053,0.522,0.13,0.127
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.031,0.031,0.082,0.039
"GOBERNADOR_imputada","En blanco",0.04,0.044,0.104,0.169
