"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10_imputada","Otro",0.009,0.013,0.008,0.167
"P10_imputada","En blanco",0.01,0.002,0.068,0.03
"P20_imputada","Sergio Massa Presidente, Agustin Rossi Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.858,0.067,0.133,0.203
"P20_imputada","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.069,0.643,0.091,0.148
"P20_imputada","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.046,0.239,0.616,0.379
"P20_imputada","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de la izquierda",0.014,0.022,0.058,0.121
"P20_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.012,0.023,0.014,0.102
"P20_imputada","En blanco",0.001,0.006,0.088,0.047
"GOBERNADOR_imputada","Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.772,0.07,0.143,0.159
"GOBERNADOR_imputada","Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.104,0.617,0.083,0.118
"GOBERNADOR_imputada","Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.07,0.239,0.594,0.342
"GOBERNADOR_imputada","Gobernador y vicegobernador de la izquierda",0.019,0.028,0.069,0.148
"GOBERNADOR_imputada","En blanco",0.035,0.046,0.111,0.233
