"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P15","En blanco",0.001,0.006,0.026,0.014
"P15","No sabe",0.009,0.004,0.014,0.144
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.6,0.041,0.1,0.048
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.204,0.043,0.098,0.072
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.041,0.445,0.284,0.365
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.066,0.264,0.058,0.023
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.046,0.163,0.319,0.195
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.016,0.014,0.031,0.019
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.004,0.005,0.01,0.034
"P24","Otros",0.009,0.007,0.038,0.065
"P24","En blanco",0.007,0.006,0.04,0.041
"P24","No sabe",0.007,0.012,0.022,0.138
"P25","Totalmente seguro",0.761,0.697,0.784,0.547
"P25","Bastante seguro",0.143,0.161,0.076,0.166
"P25","Algo seguro",0.063,0.094,0.085,0.07
"P25","Para nada seguro",0.033,0.048,0.055,0.217
"P26","Tiene Decidido que va a ir a votar",0.931,0.917,0.881,0.873
"P26","Tiene dudas sobre si va a ir a votar",0.05,0.057,0.083,0.078
"P26","Tiene Decidido que no va a ir a votar",0.019,0.026,0.036,0.049
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.846,0.028,0.094,0.057
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.052,0.662,0.217,0.325
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.026,0.196,0.521,0.299
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.03,0.008,0.068,0.04
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.009,0.013,0.019,0.036
"P31","Otros",0.027,0.049,0.032,0.07
"P31","En blanco",0.006,0.02,0.018,0.01
"P31","No sabe",0.004,0.024,0.031,0.163
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.858,0.014,0.098,0.052
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.049,0.649,0.105,0.09
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.029,0.259,0.553,0.352
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.024,0.013,0.067,0.025
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.008,0.009,0.023,0.076
"P32","Otros",0.017,0.03,0.058,0.142
"P32","En blanco",0.007,0.006,0.073,0.018
"P32","No sabe",0.008,0.02,0.023,0.245
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.88,0.053,0.091,0.096
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.058,0.842,0.431,0.403
"P33","En blanco",0.047,0.064,0.436,0.052
"P33","No sabe",0.015,0.041,0.042,0.449
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.164,0.677,0.192,0.36
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.057,0.244,0.52,0.31
"P34","En blanco",0.575,0.042,0.264,0.062
"P34","No sabe",0.204,0.037,0.024,0.268
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.232,0.612,0.062,0.058
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.062,0.335,0.608,0.385
"P36","En blanco",0.523,0.033,0.293,0.096
"P36","No sabe",0.183,0.02,0.037,0.461
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.89,0.066,0.087,0.042
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.55,0.576,0.417
"P37","En blanco",0.031,0.224,0.303,0.125
"P37","No sabe",0.025,0.16,0.034,0.416
"P47","Lo votaría",0.832,0.055,0.102,0.04
"P47","Puede que lo vote",0.071,0.107,0.073,0.125
"P47","Nunca lo votaría",0.077,0.817,0.81,0.653
"P47","No sabe",0.02,0.021,0.015,0.182
"P48","Lo votaría",0.543,0.034,0.1,0.029
"P48","Puede que lo vote",0.235,0.028,0.074,0.079
"P48","Nunca lo votaría",0.172,0.93,0.816,0.69
"P48","No sabe",0.05,0.008,0.01,0.202
"P49","Lo votaría",0.114,0.633,0.278,0.322
"P49","Puede que lo vote",0.046,0.178,0.228,0.177
"P49","Nunca lo votaría",0.818,0.17,0.468,0.274
"P49","No sabe",0.022,0.019,0.026,0.227
"P50","Lo votaría",0.07,0.591,0.048,0.091
"P50","Puede que lo vote",0.078,0.311,0.107,0.285
"P50","Nunca lo votaría",0.819,0.087,0.816,0.409
"P50","No sabe",0.033,0.011,0.029,0.215
"P51","Lo votaría",0.059,0.266,0.491,0.25
"P51","Puede que lo vote",0.054,0.298,0.085,0.17
"P51","Nunca lo votaría",0.869,0.406,0.405,0.389
"P51","No sabe",0.018,0.03,0.019,0.191
"P52","Lo votaría",0.097,0.028,0.123,0.068
"P52","Puede que lo vote",0.315,0.07,0.086,0.054
"P52","Nunca lo votaría",0.523,0.892,0.758,0.699
"P52","No sabe",0.065,0.01,0.033,0.179
"P53","Lo votaría",0.054,0.02,0.027,0.064
"P53","Puede que lo vote",0.156,0.18,0.106,0.124
"P53","Nunca lo votaría",0.715,0.762,0.828,0.656
"P53","No sabe",0.075,0.038,0.039,0.156
"P57","Si",0.557,0.524,0.452,0.493
"P57","No",0.443,0.476,0.548,0.507
