"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.153,0.697,0.061,0.127
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.277,0.438,0.338
"P34","En blanco",0.569,0.015,0.44,0.093
"P34","No sabe",0.214,0.011,0.061,0.442
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.879,0.045,0.149,0.079
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.059,0.734,0.224,0.245
"P35","En blanco",0.039,0.144,0.587,0.095
"P35","No sabe",0.023,0.077,0.04,0.581
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.242,0.488,0.16,0.165
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.42,0.432,0.29
"P36","En blanco",0.529,0.045,0.366,0.071
"P36","No sabe",0.175,0.047,0.042,0.474
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.893,0.055,0.142,0.073
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.043,0.59,0.444,0.305
"P37","En blanco",0.043,0.203,0.382,0.111
"P37","No sabe",0.021,0.152,0.032,0.511
"P47","Lo votaría",0.839,0.037,0.157,0.091
"P47","Puede que lo vote",0.074,0.087,0.131,0.13
"P47","Nunca lo votaría",0.068,0.859,0.691,0.542
"P47","No sabe",0.019,0.017,0.021,0.237
"P48","Lo votaría",0.555,0.015,0.159,0.08
"P48","Puede que lo vote",0.227,0.028,0.103,0.131
"P48","Nunca lo votaría",0.164,0.951,0.707,0.578
"P48","No sabe",0.054,0.006,0.031,0.211
"P49","Lo votaría",0.123,0.643,0.11,0.122
"P49","Puede que lo vote",0.051,0.202,0.13,0.165
"P49","Nunca lo votaría",0.799,0.142,0.713,0.452
"P49","No sabe",0.027,0.013,0.047,0.261
"P50","Lo votaría",0.083,0.48,0.119,0.178
"P50","Puede que lo vote",0.075,0.306,0.107,0.173
"P50","Nunca lo votaría",0.807,0.198,0.732,0.444
"P50","No sabe",0.035,0.016,0.042,0.205
"P51","Lo votaría",0.051,0.305,0.443,0.214
"P51","Puede que lo vote",0.048,0.297,0.025,0.118
"P51","Nunca lo votaría",0.883,0.372,0.488,0.465
"P51","No sabe",0.018,0.026,0.044,0.203
"P52","Lo votaría",0.088,0.038,0.164,0.058
"P52","Puede que lo vote",0.315,0.063,0.123,0.073
"P52","Nunca lo votaría",0.533,0.888,0.675,0.644
"P52","No sabe",0.064,0.011,0.038,0.225
"P53","Lo votaría",0.056,0.017,0.047,0.055
"P53","Puede que lo vote",0.155,0.16,0.146,0.146
"P53","Nunca lo votaría",0.708,0.793,0.768,0.585
"P53","No sabe",0.081,0.03,0.039,0.214
"P57","Si",0.55,0.532,0.448,0.421
"P57","No",0.45,0.468,0.552,0.579
