"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País","Otros","En blanco","No sabe"
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.051,0.544,0.305,0.015,0.148,0.184,0.133,0.085
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.058,0.216,0.082,0.111,0.158,0.193,0.297,0.152
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.031,0.132,0.423,0.109,0.18,0.019,0.054,0.03
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.01,0.008,0.016,0.249,0.041,0.076,0.03,0.04
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.003,0.003,0.001,0.019,0.241,0.006,0.022,0.007
"P24","Otros",0.006,0.004,0.012,0.021,0.092,0.183,0.005,0.058
"P24","En blanco",0.005,0.006,0.016,0.042,0.007,0.012,0.228,0.064
"P24","No sabe",0.012,0.012,0.019,0.007,0,0.035,0.037,0.467
"P25","Totalmente seguro",0.73,0.721,0.75,0.625,0.459,0.545,0.656,0.218
"P25","Bastante seguro",0.149,0.14,0.127,0.151,0.274,0.107,0.166,0.098
"P25","Algo seguro",0.086,0.083,0.096,0.133,0.23,0.17,0.015,0.078
"P25","Para nada seguro",0.035,0.056,0.027,0.091,0.037,0.178,0.163,0.606
"P26","Tiene Decidido que va a ir a votar",0.929,0.912,0.901,0.809,0.828,0.925,0.777,0.676
"P26","Tiene dudas sobre si va a ir a votar",0.051,0.066,0.077,0.122,0.016,0.041,0.128,0.162
"P26","Tiene Decidido que no va a ir a votar",0.02,0.022,0.022,0.069,0.156,0.034,0.095,0.162
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.933,0.013,0.015,0.168,0.056,0.114,0.02,0.032
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.018,0.698,0.088,0.07,0.183,0.313,0.491,0.243
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.005,0.152,0.867,0.039,0,0.034,0,0.046
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.013,0.007,0.007,0.669,0.023,0.008,0.03,0.018
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.004,0.01,0.015,0.005,0.644,0.007,0.026,0
"P32","Otros",0.009,0.055,0.003,0.007,0.05,0.479,0,0.053
"P32","En blanco",0.005,0.024,0.003,0.012,0,0.021,0.425,0.039
"P32","No sabe",0.013,0.041,0.002,0.03,0.044,0.024,0.008,0.569
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.905,0.059,0.052,0.448,0.23,0.241,0.176,0.097
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.017,0.89,0.563,0.093,0.336,0.311,0.344,0.175
"P33","En blanco",0.053,0.032,0.274,0.338,0.254,0.268,0.391,0.111
"P33","No sabe",0.025,0.019,0.111,0.121,0.18,0.18,0.089,0.617
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.099,0.86,0.115,0.199,0.427,0.333,0.417,0.204
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.102,0.821,0.058,0.163,0.052,0.053,0.081
"P34","En blanco",0.616,0.021,0.048,0.63,0.18,0.378,0.403,0.103
"P34","No sabe",0.23,0.017,0.016,0.113,0.23,0.237,0.127,0.612
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.911,0.056,0.051,0.393,0.239,0.251,0.155,0.045
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.033,0.766,0.405,0.119,0.348,0.48,0.581,0.326
"P35","En blanco",0.042,0.096,0.411,0.365,0.197,0.12,0.202,0.159
"P35","No sabe",0.014,0.082,0.133,0.123,0.216,0.149,0.062,0.47
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.197,0.626,0.068,0.236,0.608,0.49,0.626,0.263
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.041,0.244,0.867,0.039,0.13,0.087,0.013,0.089
"P36","En blanco",0.568,0.063,0.041,0.603,0.23,0.252,0.352,0.092
"P36","No sabe",0.194,0.067,0.024,0.122,0.032,0.171,0.009,0.556
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.91,0.051,0.036,0.486,0.365,0.373,0.223,0.052
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.033,0.461,0.882,0.069,0.098,0.062,0.122,0.097
"P37","En blanco",0.029,0.291,0.056,0.354,0.295,0.329,0.567,0.126
"P37","No sabe",0.028,0.197,0.026,0.091,0.242,0.236,0.088,0.725
"P47","Lo votaría",0.879,0.06,0.038,0.259,0.137,0.268,0.062,0.02
"P47","Puede que lo vote",0.051,0.068,0.151,0.309,0.196,0.116,0.12,0.094
"P47","Nunca lo votaría",0.049,0.858,0.797,0.381,0.419,0.563,0.71,0.556
"P47","No sabe",0.021,0.014,0.014,0.051,0.248,0.053,0.108,0.33
"P48","Lo votaría",0.566,0.017,0.035,0.476,0.121,0.291,0.036,0.029
"P48","Puede que lo vote",0.264,0.02,0.046,0.171,0.062,0.032,0.084,0.079
"P48","Nunca lo votaría",0.12,0.959,0.898,0.298,0.621,0.58,0.87,0.595
"P48","No sabe",0.05,0.004,0.021,0.055,0.196,0.097,0.01,0.297
"P49","Lo votaría",0.102,0.77,0.197,0.208,0.186,0.134,0.224,0.074
"P49","Puede que lo vote",0.045,0.081,0.384,0.037,0.269,0.219,0.154,0.24
"P49","Nunca lo votaría",0.829,0.14,0.366,0.734,0.334,0.57,0.583,0.35
"P49","No sabe",0.024,0.009,0.053,0.021,0.211,0.077,0.039,0.336
"P50","Lo votaría",0.052,0.55,0.112,0.111,0.453,0.469,0.678,0.241
"P50","Puede que lo vote",0.049,0.301,0.287,0.114,0.239,0.129,0.047,0.096
"P50","Nunca lo votaría",0.866,0.124,0.57,0.718,0.271,0.368,0.26,0.349
"P50","No sabe",0.033,0.025,0.031,0.057,0.037,0.034,0.015,0.314
"P51","Lo votaría",0.024,0.168,0.753,0.138,0.037,0.163,0.252,0.045
"P51","Puede que lo vote",0.03,0.345,0.111,0.051,0.128,0.09,0.171,0.114
"P51","Nunca lo votaría",0.928,0.444,0.126,0.747,0.835,0.684,0.577,0.504
"P51","No sabe",0.018,0.043,0.01,0.064,0,0.063,0,0.337
"P52","Lo votaría",0.063,0.023,0.093,0.635,0.046,0.099,0.015,0.011
"P52","Puede que lo vote",0.335,0.059,0.072,0.146,0.055,0.156,0.02,0.111
"P52","Nunca lo votaría",0.528,0.909,0.798,0.21,0.77,0.663,0.94,0.635
"P52","No sabe",0.074,0.009,0.037,0.009,0.129,0.082,0.025,0.243
"P53","Lo votaría",0.034,0.01,0.012,0.22,0.609,0.066,0.015,0.035
"P53","Puede que lo vote",0.165,0.16,0.132,0.168,0.133,0.209,0.155,0.082
"P53","Nunca lo votaría",0.712,0.8,0.818,0.571,0.206,0.647,0.806,0.567
"P53","No sabe",0.089,0.03,0.038,0.041,0.052,0.078,0.024,0.316
"P57","Si",0.566,0.522,0.487,0.332,0.609,0.504,0.58,0.501
"P57","No",0.434,0.478,0.513,0.668,0.391,0.496,0.42,0.499
