"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P34","No sabe",0.204,0.054,0.011,0.172,0.119,0.363
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.822,0.134,0.089,0.378,0.234,0.236
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.108,0.705,0.374,0.097,0.252,0.232
"P35","En blanco",0.055,0.09,0.418,0.364,0.318,0.171
"P35","No sabe",0.015,0.071,0.119,0.161,0.196,0.361
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.196,0.618,0.079,0.227,0.213,0.227
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.096,0.206,0.847,0.136,0.295,0.248
"P36","En blanco",0.526,0.107,0.039,0.545,0.297,0.194
"P36","No sabe",0.182,0.069,0.035,0.092,0.195,0.331
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.824,0.152,0.068,0.406,0.264,0.249
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.099,0.394,0.837,0.152,0.362,0.262
"P37","En blanco",0.046,0.257,0.066,0.349,0.247,0.192
"P37","No sabe",0.031,0.197,0.029,0.093,0.127,0.297
"P47","Lo votaría",0.795,0.132,0.057,0.259,0.114,0.207
"P47","Puede que lo vote",0.067,0.057,0.124,0.341,0.225,0.144
"P47","Nunca lo votaría",0.12,0.792,0.789,0.349,0.574,0.478
"P47","No sabe",0.018,0.019,0.03,0.051,0.087,0.171
"P48","Lo votaría",0.516,0.084,0.041,0.349,0.19,0.057
"P48","Puede que lo vote",0.239,0.037,0.047,0.155,0.041,0.15
"P48","Nunca lo votaría",0.206,0.861,0.901,0.385,0.705,0.585
"P48","No sabe",0.039,0.018,0.011,0.111,0.064,0.208
"P49","Lo votaría",0.124,0.682,0.228,0.067,0.18,0.144
"P49","Puede que lo vote",0.051,0.108,0.348,0.068,0.276,0.227
"P49","Nunca lo votaría",0.8,0.19,0.388,0.809,0.495,0.395
"P49","No sabe",0.025,0.02,0.036,0.056,0.049,0.234
"P50","Lo votaría",0.082,0.54,0.121,0.078,0.112,0.192
"P50","Puede que lo vote",0.073,0.267,0.282,0.108,0.172,0.173
"P50","Nunca lo votaría",0.807,0.178,0.571,0.724,0.689,0.418
"P50","No sabe",0.038,0.015,0.026,0.09,0.027,0.217
"P51","Lo votaría",0.07,0.158,0.775,0.083,0.198,0.175
"P51","Puede que lo vote",0.054,0.295,0.109,0.065,0.127,0.143
"P51","Nunca lo votaría",0.859,0.504,0.116,0.766,0.656,0.476
"P51","No sabe",0.017,0.043,0,0.086,0.019,0.206
"P52","Lo votaría",0.085,0.016,0.086,0.62,0.066,0.041
"P52","Puede que lo vote",0.309,0.087,0.074,0.119,0.145,0.081
"P52","Nunca lo votaría",0.541,0.868,0.836,0.211,0.701,0.707
"P52","No sabe",0.065,0.029,0.004,0.05,0.088,0.171
"P53","Lo votaría",0.04,0.023,0.025,0.153,0.077,0.058
"P53","Puede que lo vote",0.147,0.171,0.131,0.245,0.14,0.124
"P53","Nunca lo votaría",0.746,0.752,0.83,0.549,0.692,0.613
"P53","No sabe",0.067,0.054,0.014,0.053,0.091,0.205
"P57","Si",0.565,0.522,0.503,0.398,0.429,0.451
"P57","No",0.435,0.478,0.497,0.602,0.571,0.549
