"var","categoria","1","2","3","4","5","6","7","8","9"
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.472,0.405,0.442,0.309,0.209,0.15,0.115,0.114,0.132
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.092,0.144,0.123,0.136,0.177,0.192,0.236,0.324,0.316
"P25","Otros candidatos",0.135,0.115,0.142,0.21,0.243,0.195,0.138,0.116,0.098
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.541,0.466,0.464,0.34,0.234,0.189,0.136,0.131,0.157
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.188,0.209,0.207,0.216,0.266,0.346,0.44,0.374,0.359
"P29","Javier Milei – José Luis Espert por los liberales",0.113,0.187,0.128,0.182,0.211,0.209,0.281,0.366,0.353
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.037,0.029,0.083,0.044,0.029,0.026,0.012,0.025,0.008
"P29","Otro candidato",0.121,0.109,0.118,0.218,0.26,0.23,0.131,0.104,0.123
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.203,0.165,0.22,0.262,0.256,0.396,0.343,0.296,0.27
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.381,0.345,0.307,0.236,0.168,0.099,0.111,0.097,0.119
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.119,0.218,0.149,0.174,0.232,0.198,0.345,0.415,0.397
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.061,0.069,0.088,0.044,0.037,0.048,0.012,0.015,0.016
"P31","Otro candidato",0.236,0.203,0.236,0.284,0.307,0.259,0.189,0.177,0.198
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.426,0.366,0.424,0.315,0.215,0.156,0.119,0.103,0.122
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.221,0.206,0.173,0.261,0.312,0.432,0.484,0.376,0.404
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.095,0.176,0.147,0.183,0.173,0.16,0.257,0.375,0.325
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.05,0.077,0.073,0.027,0.034,0.057,0.005,0.007,0.013
"P33","Otro candidato",0.208,0.175,0.183,0.214,0.266,0.195,0.135,0.139,0.136
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.364,0.302,0.35,0.279,0.23,0.219,0.173,0.162,0.154
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.25,0.254,0.194,0.295,0.256,0.327,0.301,0.216,0.251
"P35","Javier Milei – José Luis Espert por los liberales",0.122,0.218,0.169,0.169,0.202,0.204,0.337,0.456,0.393
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.046,0.049,0.073,0.043,0.04,0.039,0.005,0.027,0.016
"P35","Otro candidato",0.218,0.177,0.214,0.214,0.272,0.211,0.184,0.139,0.186
