"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Otros candidatos"
"P20","Puede que la vote",0.251,0.335,0.087,0.03,0.309,0.172
"P20","Nunca la votaría",0.109,0.288,0.736,0.895,0.346,0.488
"P20","No sabe",0.047,0.083,0.127,0.057,0.068,0.157
"P21","Lo votaría",0.156,0.116,0.05,0.021,0.763,0.062
"P21","Puede que lo vote",0.285,0.252,0.109,0.059,0.163,0.164
"P21","Nunca lo votaría",0.486,0.526,0.676,0.85,0.054,0.592
"P21","No sabe",0.073,0.106,0.165,0.07,0.02,0.182
"P22","La votaría",0.302,0.2,0.032,0.014,0.095,0.051
"P22","Puede que la vote",0.37,0.337,0.082,0.04,0.237,0.192
"P22","Nunca la votaría",0.244,0.32,0.673,0.856,0.561,0.553
"P22","No sabe",0.084,0.143,0.213,0.09,0.107,0.204
"P23","Lo votaría",0.024,0.04,0.206,0.172,0.02,0.02
"P23","Puede que lo vote",0.049,0.079,0.249,0.454,0.055,0.123
"P23","Nunca lo votaría",0.883,0.818,0.367,0.271,0.882,0.704
"P23","No sabe",0.044,0.063,0.178,0.103,0.043,0.153
"P24","Lo votaría",0.055,0.162,0.02,0.019,0.022,0.043
"P24","Puede que lo vote",0.262,0.272,0.134,0.083,0.106,0.136
"P24","Nunca lo votaría",0.583,0.392,0.56,0.758,0.749,0.584
"P24","No sabe",0.1,0.174,0.286,0.14,0.123,0.237
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.012,0.037,0.661,0.932,0.009,0.066
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.896,0.511,0.052,0.018,0.026,0.11
"P29","Javier Milei – José Luis Espert por los liberales",0.059,0.133,0.043,0.014,0.928,0.066
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.003,0.034,0.027,0.017,0.005,0.109
"P29","Otro candidato",0.03,0.285,0.217,0.019,0.032,0.649
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.551,0.76,0.095,0.082,0.024,0.101
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.067,0.063,0.76,0.549,0.006,0.042
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.151,0.077,0.068,0.035,0.933,0.08
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.01,0.014,0.012,0.062,0.005,0.121
"P31","Otro candidato",0.221,0.086,0.065,0.272,0.032,0.656
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.039,0.111,0.455,0.689,0.013,0.12
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.812,0.563,0.061,0.035,0.141,0.242
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.072,0.106,0.055,0.019,0.815,0.047
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.005,0.016,0.02,0.054,0.008,0.098
"P33","Otro candidato",0.072,0.204,0.409,0.203,0.023,0.493
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.168,0.212,0.409,0.531,0.015,0.128
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.458,0.594,0.135,0.213,0.025,0.118
"P35","Javier Milei – José Luis Espert por los liberales",0.161,0.081,0.058,0.01,0.931,0.082
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.007,0.02,0.05,0.046,0.001,0.113
"P35","Otro candidato",0.206,0.093,0.348,0.2,0.028,0.559
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.297,0.398,0.383,0.497,0.015,0.077
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.295,0.445,0.333,0.438,0.018,0.105
"P37","Javier Milei – José Luis Espert por los liberales",0.174,0.08,0.042,0.004,0.934,0.08
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.004,0.014,0.025,0.015,0.005,0.122
"P37","Otro candidato",0.23,0.063,0.217,0.046,0.028,0.616
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.052,0.076,0.672,0.901,0.017,0.118
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.879,0.621,0.082,0.056,0.431,0.232
"P38","No sabe",0.069,0.303,0.246,0.043,0.552,0.65
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.012,0.045,0.819,0.696,0.025,0.088
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.738,0.832,0.08,0.025,0.357,0.252
"P39","No sabe",0.25,0.123,0.101,0.279,0.618,0.66
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.011,0.078,0.544,0.764,0.035,0.162
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.883,0.666,0.065,0.017,0.562,0.316
"P40","No sabe",0.106,0.256,0.391,0.219,0.403,0.522
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.01,0.027,0.668,0.939,0.014,0.147
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.754,0.866,0.033,0.012,0.422,0.272
"P41","No sabe",0.236,0.107,0.299,0.049,0.564,0.581
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.016,0.054,0.557,0.799,0.046,0.177
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.743,0.83,0.096,0.012,0.386,0.24
"P42","No sabe",0.241,0.116,0.347,0.189,0.568,0.583
"P43","Muy buena",0.007,0.026,0.292,0.129,0.005,0.027
"P43","Buena",0.053,0.076,0.248,0.356,0.03,0.053
"P43","Ni buena ni mala",0.039,0.055,0.323,0.306,0.055,0.188
"P43","Mala",0.099,0.18,0.068,0.15,0.086,0.192
"P43","Muy mala",0.798,0.657,0.051,0.045,0.813,0.513
"P43","No sabe",0.004,0.006,0.018,0.014,0.011,0.027
"P44","Muy de acuerdo",0.07,0.094,0.273,0.329,0.115,0.123
"P44","De acuerdo",0.112,0.156,0.236,0.292,0.118,0.152
"P44","Ni de acuerdo ni en desacuerdo",0.313,0.325,0.411,0.238,0.257,0.349
"P44","En desacuerdo",0.192,0.17,0.008,0.066,0.162,0.152
"P44","Muy en desacuerdo",0.26,0.192,0.035,0.022,0.265,0.14
"P44","No sabe",0.053,0.063,0.037,0.053,0.083,0.084
"P45","Muy de acuerdo",0.025,0.069,0.365,0.343,0.034,0.094
"P45","De acuerdo",0.041,0.121,0.208,0.347,0.05,0.141
"P45","Ni de acuerdo ni en desacuerdo",0.271,0.368,0.28,0.221,0.239,0.332
"P45","En desacuerdo",0.224,0.189,0.054,0.047,0.186,0.147
"P45","Muy en desacuerdo",0.409,0.214,0.022,0.021,0.454,0.229
"P45","No sabe",0.03,0.039,0.071,0.021,0.037,0.057
"P46","Si",0.039,0.115,0.554,0.64,0.058,0.168
"P46","No",0.77,0.581,0.162,0.111,0.771,0.461
"P46","No sabe",0.191,0.304,0.284,0.249,0.171,0.371
"P47","Muy buena",0.01,0.04,0.426,0.173,0.012,0.038
"P47","Buena",0.073,0.083,0.283,0.343,0.059,0.101
"P47","Ni buena ni mala",0.067,0.098,0.214,0.287,0.057,0.195
"P47","Mala",0.11,0.176,0.037,0.144,0.115,0.181
"P47","Muy mala",0.734,0.598,0.034,0.045,0.753,0.474
"P47","No sabe",0.006,0.005,0.006,0.008,0.004,0.011
"P48","Muy buena",0.01,0.011,0.422,0.701,0.002,0.039
"P48","Buena",0.007,0.027,0.157,0.17,0.008,0.075
"P48","Ni buena ni mala",0.018,0.038,0.248,0.075,0.033,0.118
"P48","Mala",0.063,0.116,0.093,0.033,0.067,0.148
"P48","Muy mala",0.899,0.793,0.073,0.015,0.888,0.593
"P48","No sabe",0.003,0.015,0.007,0.006,0.002,0.027
"P49","Muy buena",0.455,0.099,0.099,0.065,0.079,0.042
"P49","Buena",0.335,0.236,0.04,0.017,0.237,0.125
"P49","Ni buena ni mala",0.112,0.289,0.177,0.043,0.25,0.195
"P49","Mala",0.014,0.147,0.347,0.197,0.195,0.19
"P49","Muy mala",0.082,0.218,0.291,0.663,0.235,0.407
"P49","No sabe",0.002,0.011,0.046,0.015,0.004,0.041
"P50","Muy buena",0.267,0.375,0.048,0.019,0.063,0.055
"P50","Buena",0.383,0.387,0.107,0.031,0.169,0.166
"P50","Ni buena ni mala",0.238,0.128,0.284,0.128,0.302,0.319
"P50","Mala",0.06,0.05,0.269,0.237,0.175,0.155
"P50","Muy mala",0.036,0.034,0.209,0.544,0.275,0.231
"P50","No sabe",0.016,0.026,0.083,0.041,0.016,0.074
"P51","Muy buena",0.028,0.057,0.24,0.173,0.021,0.037
"P51","Buena",0.045,0.085,0.245,0.362,0.038,0.108
"P51","Ni buena ni mala",0.098,0.164,0.298,0.309,0.13,0.247
"P51","Mala",0.173,0.245,0.064,0.089,0.17,0.174
"P51","Muy mala",0.635,0.433,0.104,0.044,0.631,0.398
"P51","No sabe",0.021,0.016,0.049,0.023,0.01,0.036
"P52","Muy buena",0.62,0.256,0.069,0.027,0.282,0.195
"P52","Buena",0.216,0.304,0.041,0.042,0.26,0.134
"P52","Ni buena ni mala",0.064,0.229,0.26,0.086,0.217,0.192
"P52","Mala",0.024,0.113,0.257,0.146,0.094,0.117
"P52","Muy mala",0.068,0.087,0.293,0.664,0.136,0.299
"P52","No sabe",0.008,0.011,0.08,0.035,0.011,0.063
"P53","Muy buena",0.125,0.097,0.061,0.008,0.652,0.051
"P53","Buena",0.2,0.182,0.09,0.02,0.226,0.114
"P53","Ni buena ni mala",0.379,0.356,0.249,0.098,0.09,0.272
"P53","Mala",0.153,0.165,0.251,0.148,0.018,0.156
"P53","Muy mala",0.117,0.185,0.24,0.68,0.009,0.331
"P53","No sabe",0.026,0.015,0.109,0.046,0.005,0.076
"P54","Muy buena",0.431,0.245,0.042,0.012,0.133,0.086
"P54","Buena",0.351,0.346,0.071,0.017,0.215,0.177
"P54","Ni buena ni mala",0.144,0.234,0.284,0.065,0.236,0.24
"P54","Mala",0.033,0.068,0.275,0.18,0.158,0.168
"P54","Muy mala",0.03,0.095,0.283,0.699,0.246,0.279
"P54","No sabe",0.011,0.012,0.045,0.027,0.012,0.05
"P55","Muy buena",0.045,0.021,0.245,0.119,0.017,0.021
"P55","Buena",0.033,0.08,0.205,0.387,0.026,0.083
"P55","Ni buena ni mala",0.086,0.127,0.354,0.32,0.113,0.226
"P55","Mala",0.188,0.267,0.097,0.078,0.173,0.176
"P55","Muy mala",0.636,0.479,0.055,0.069,0.663,0.449
"P55","No sabe",0.012,0.026,0.044,0.027,0.008,0.045
"P56","Muy buena",0.114,0.231,0.05,0.022,0.097,0.131
"P56","Buena",0.238,0.258,0.089,0.086,0.162,0.156
"P56","Ni buena ni mala",0.356,0.315,0.447,0.37,0.297,0.32
"P56","Mala",0.114,0.059,0.13,0.202,0.126,0.101
"P56","Muy mala",0.132,0.076,0.116,0.21,0.254,0.177
"P56","No sabe",0.046,0.061,0.168,0.11,0.064,0.115
"P57","Muy buena",0.082,0.187,0.022,0.006,0.023,0.047
"P57","Buena",0.229,0.279,0.052,0.025,0.069,0.142
"P57","Ni buena ni mala",0.403,0.354,0.413,0.209,0.352,0.337
"P57","Mala",0.121,0.061,0.173,0.183,0.15,0.131
"P57","Muy mala",0.11,0.042,0.174,0.473,0.302,0.212
"P57","No sabe",0.055,0.077,0.166,0.104,0.104,0.131
