"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.022,0.251,0.041
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.089,0.012,0.049
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.764,0.009,0.16
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.032,0.2,0.346
"P25","Otros candidatos",0.081,0.083,0.235
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.838,0.021,0.187
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.024,0.615,0.174
"P29","Javier Milei – José Luis Espert por los liberales",0.041,0.239,0.38
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.036,0.012,0.035
"P29","Otro candidato",0.061,0.113,0.224
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.097,0.57,0.073
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.571,0.056,0.109
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.053,0.266,0.399
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.061,0.009,0.049
"P31","Otro candidato",0.218,0.099,0.37
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.765,0.037,0.07
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.044,0.66,0.209
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.033,0.202,0.352
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.046,0.007,0.044
"P33","Otro candidato",0.112,0.094,0.325
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.588,0.171,0.08
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.242,0.455,0.055
"P35","Javier Milei – José Luis Espert por los liberales",0.032,0.275,0.406
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.04,0.006,0.05
"P35","Otro candidato",0.098,0.093,0.409
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.461,0.297,0.118
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.409,0.328,0.105
"P37","Javier Milei – José Luis Espert por los liberales",0.034,0.274,0.4
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.026,0.008,0.042
"P37","Otro candidato",0.07,0.093,0.335
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.843,0.047,0.178
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.068,0.8,0.283
"P38","No sabe",0.089,0.153,0.539
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.739,0.018,0.117
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.047,0.886,0.108
"P39","No sabe",0.214,0.096,0.775
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.879,0.014,0.059
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.024,0.876,0.318
"P40","No sabe",0.097,0.11,0.623
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.894,0.012,0.169
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.039,0.944,0.083
"P41","No sabe",0.067,0.044,0.748
"P43","Muy buena",0.157,0.006,0.032
"P43","Buena",0.34,0.072,0.055
"P43","Ni buena ni mala",0.273,0.018,0.199
"P43","Mala",0.149,0.107,0.143
"P43","Muy mala",0.067,0.794,0.551
"P43","No sabe",0.014,0.003,0.02
"P44","Muy de acuerdo",0.361,0.083,0.102
"P44","De acuerdo",0.303,0.137,0.118
"P44","Ni de acuerdo ni en desacuerdo",0.226,0.312,0.327
"P44","En desacuerdo",0.049,0.177,0.162
"P44","Muy en desacuerdo",0.022,0.238,0.194
"P44","No sabe",0.039,0.053,0.097
"P45","Muy de acuerdo",0.399,0.032,0.051
"P45","De acuerdo",0.357,0.063,0.092
"P45","Ni de acuerdo ni en desacuerdo",0.183,0.309,0.303
"P45","En desacuerdo",0.029,0.217,0.164
"P45","Muy en desacuerdo",0.019,0.352,0.324
"P45","No sabe",0.013,0.027,0.066
"P46","Si",0.682,0.049,0.13
"P46","No",0.096,0.745,0.559
"P46","No sabe",0.222,0.206,0.311
"P47","Muy buena",0.199,0.017,0.055
"P47","Buena",0.323,0.079,0.11
"P47","Ni buena ni mala",0.267,0.059,0.164
"P47","Mala",0.143,0.123,0.139
"P47","Muy mala",0.062,0.721,0.519
"P47","No sabe",0.006,0.001,0.013
"P48","Muy buena",0.596,0.009,0.145
"P48","Buena",0.183,0.014,0.037
"P48","Ni buena ni mala",0.094,0.019,0.087
"P48","Mala",0.066,0.062,0.096
"P48","Muy mala",0.057,0.891,0.618
"P48","No sabe",0.004,0.005,0.017
"P49","Muy buena",0.075,0.272,0.106
"P49","Buena",0.024,0.309,0.149
"P49","Ni buena ni mala",0.059,0.197,0.189
"P49","Mala",0.2,0.094,0.186
"P49","Muy mala",0.627,0.123,0.345
"P49","No sabe",0.015,0.005,0.025
"P50","Muy buena",0.024,0.294,0.036
"P50","Buena",0.054,0.398,0.101
"P50","Ni buena ni mala",0.146,0.214,0.294
"P50","Mala",0.25,0.049,0.19
"P50","Muy mala",0.492,0.037,0.312
"P50","No sabe",0.034,0.008,0.067
"P51","Muy buena",0.204,0.032,0.029
"P51","Buena",0.389,0.049,0.068
"P51","Ni buena ni mala",0.279,0.112,0.232
"P51","Mala",0.066,0.206,0.166
"P51","Muy mala",0.054,0.595,0.451
"P51","No sabe",0.008,0.006,0.054
"P52","Muy buena",0.04,0.493,0.194
"P52","Buena",0.058,0.243,0.175
"P52","Ni buena ni mala",0.103,0.135,0.196
"P52","Mala",0.163,0.057,0.109
"P52","Muy mala",0.616,0.067,0.266
"P52","No sabe",0.02,0.005,0.06
"P53","Muy buena",0.033,0.206,0.286
"P53","Buena",0.038,0.221,0.124
"P53","Ni buena ni mala",0.109,0.312,0.212
"P53","Mala",0.164,0.132,0.101
"P53","Muy mala",0.62,0.118,0.211
"P53","No sabe",0.036,0.011,0.066
"P54","Muy buena",0.024,0.34,0.1
"P54","Buena",0.028,0.349,0.16
"P54","Ni buena ni mala",0.092,0.198,0.205
"P54","Mala",0.196,0.059,0.16
"P54","Muy mala",0.643,0.05,0.325
"P54","No sabe",0.017,0.004,0.05
"P55","Muy buena",0.143,0.029,0.031
"P55","Buena",0.364,0.046,0.081
"P55","Ni buena ni mala",0.31,0.08,0.219
"P55","Mala",0.083,0.211,0.161
"P55","Muy mala",0.084,0.628,0.459
"P55","No sabe",0.016,0.006,0.049
"P56","Muy buena",0.03,0.174,0.067
"P56","Buena",0.112,0.266,0.094
"P56","Ni buena ni mala",0.373,0.328,0.334
"P56","Mala",0.195,0.08,0.142
"P56","Muy mala",0.2,0.11,0.235
"P56","No sabe",0.09,0.042,0.128
"P57","Muy buena",0.009,0.116,0.021
"P57","Buena",0.037,0.249,0.061
"P57","Ni buena ni mala",0.222,0.409,0.316
"P57","Mala",0.195,0.091,0.152
"P57","Muy mala",0.446,0.079,0.303
"P57","No sabe",0.091,0.056,0.147
