"var","categoria","Si","No","No sabe"
"P50","Muy mala",0.429,0.185,0.224
"P50","No sabe",0.032,0.015,0.079
"P51","Muy buena",0.258,0.019,0.02
"P51","Buena",0.404,0.039,0.125
"P51","Ni buena ni mala",0.235,0.085,0.394
"P51","Mala",0.05,0.174,0.217
"P51","Muy mala",0.045,0.676,0.177
"P51","No sabe",0.008,0.007,0.067
"P52","Muy buena",0.076,0.413,0.165
"P52","Buena",0.07,0.219,0.167
"P52","Ni buena ni mala",0.126,0.138,0.18
"P52","Mala",0.155,0.066,0.131
"P52","Muy mala",0.551,0.155,0.288
"P52","No sabe",0.022,0.009,0.069
"P53","Muy buena",0.058,0.276,0.121
"P53","Buena",0.055,0.186,0.122
"P53","Ni buena ni mala",0.136,0.243,0.268
"P53","Mala",0.168,0.109,0.136
"P53","Muy mala",0.54,0.174,0.276
"P53","No sabe",0.043,0.012,0.077
"P54","Muy buena",0.051,0.25,0.137
"P54","Buena",0.061,0.269,0.186
"P54","Ni buena ni mala",0.112,0.193,0.183
"P54","Mala",0.18,0.093,0.156
"P54","Muy mala",0.572,0.185,0.29
"P54","No sabe",0.024,0.01,0.048
"P55","Muy buena",0.165,0.023,0.035
"P55","Buena",0.347,0.049,0.149
"P55","Ni buena ni mala",0.291,0.092,0.29
"P55","Mala",0.089,0.176,0.194
"P55","Muy mala",0.09,0.654,0.271
"P55","No sabe",0.018,0.006,0.061
"P56","Muy buena",0.059,0.115,0.104
"P56","Buena",0.111,0.196,0.162
"P56","Ni buena ni mala",0.373,0.324,0.349
"P56","Mala",0.172,0.115,0.13
"P56","Muy mala",0.185,0.201,0.119
"P56","No sabe",0.1,0.049,0.136
"P57","Muy buena",0.027,0.068,0.055
"P57","Buena",0.055,0.161,0.133
"P57","Ni buena ni mala",0.254,0.348,0.354
"P57","Mala",0.175,0.133,0.12
"P57","Muy mala",0.392,0.219,0.193
"P57","No sabe",0.097,0.071,0.145
