"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P17","Puede que la vote",0.084,0.068,0.019,0.208,0.071
"P17","Nunca la votaría",0.433,0.481,0.953,0.571,0.754
"P17","No sabe",0.026,0.03,0.016,0.06,0.109
"P18","Lo votaría",0.212,0.218,0.07,0.038,0.042
"P18","Puede que lo vote",0.226,0.242,0.283,0.145,0.29
"P18","Nunca lo votaría",0.512,0.488,0.589,0.744,0.454
"P18","No sabe",0.05,0.052,0.058,0.073,0.214
"P19","Lo votaría",0.104,0.112,0.067,0.074,0.077
"P19","Puede que lo vote",0.243,0.26,0.252,0.194,0.228
"P19","Nunca lo votaría",0.529,0.502,0.57,0.584,0.431
"P19","No sabe",0.124,0.126,0.111,0.148,0.264
"P20","La votaría",0.234,0.249,0.351,0.025,0.276
"P20","Puede que la vote",0.135,0.167,0.304,0.094,0.192
"P20","Nunca la votaría",0.581,0.535,0.299,0.808,0.387
"P20","No sabe",0.05,0.049,0.046,0.073,0.145
"P21","Lo votaría",0.057,0.063,0.711,0.101,0.054
"P21","Puede que lo vote",0.146,0.16,0.207,0.119,0.148
"P21","Nunca lo votaría",0.727,0.709,0.058,0.702,0.625
"P21","No sabe",0.07,0.068,0.024,0.078,0.173
"P22","La votaría",0.129,0.149,0.134,0.056,0.089
"P22","Puede que la vote",0.183,0.199,0.276,0.079,0.23
"P22","Nunca la votaría",0.581,0.573,0.509,0.727,0.487
"P22","No sabe",0.107,0.079,0.081,0.138,0.194
"P23","Lo votaría",0.124,0.113,0.011,0.018,0.039
"P23","Puede que lo vote",0.282,0.278,0.049,0.093,0.102
"P23","Nunca lo votaría",0.524,0.541,0.912,0.815,0.712
"P23","No sabe",0.07,0.068,0.028,0.074,0.147
"P24","Lo votaría",0.058,0.082,0.016,0.008,0.031
"P24","Puede que lo vote",0.198,0.208,0.126,0.112,0.111
"P24","Nunca lo votaría",0.604,0.597,0.761,0.742,0.613
"P24","No sabe",0.14,0.113,0.097,0.138,0.245
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.237,0.243,0.156,0.036,0.299
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.162,0.187,0.036,0.065,0.042
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.069,0.062,0.009,0.049,0.063
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.484,0.441,0.004,0.163,0.073
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.011,0.014,0.751,0.039,0.033
"P25","Otros candidatos",0.037,0.053,0.044,0.648,0.49
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.543,0.493,0.01,0.156,0.102
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.338,0.383,0.146,0.024,0.311
"P29","Javier Milei – José Luis Espert por los liberales",0.03,0.034,0.801,0.097,0.053
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.01,0.014,0.008,0.593,0.01
"P29","Otro candidato",0.079,0.076,0.035,0.13,0.524
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.392,0.427,0.053,0.057,0.123
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.371,0.34,0.015,0.072,0.095
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.029,0.042,0.889,0.092,0.038
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.029,0.034,0.005,0.672,0.016
"P31","Otro candidato",0.179,0.157,0.038,0.107,0.728
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.423,0.401,0.022,0.083,0.111
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.343,0.384,0.241,0.068,0.362
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.031,0.034,0.72,0.05,0.016
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.019,0.028,0.005,0.661,0.007
"P33","Otro candidato",0.184,0.153,0.012,0.138,0.504
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.563,0.265,0.023,0.079,0.09
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.261,0.575,0.043,0.031,0.097
"P35","Javier Milei – José Luis Espert por los liberales",0.024,0.025,0.914,0.067,0.028
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.014,0.024,0.003,0.751,0.01
"P35","Otro candidato",0.138,0.111,0.017,0.072,0.775
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.596,0.451,0.012,0.349,0.094
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.309,0.473,0.502,0.116,0.378
"P38","No sabe",0.095,0.076,0.486,0.535,0.528
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.421,0.383,0.021,0.295,0.109
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.392,0.464,0.394,0.114,0.242
"P39","No sabe",0.187,0.153,0.585,0.591,0.649
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.451,0.414,0.037,0.288,0.112
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.352,0.428,0.607,0.128,0.406
"P40","No sabe",0.197,0.158,0.356,0.584,0.482
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.539,0.501,0.012,0.358,0.093
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.394,0.454,0.462,0.134,0.248
"P41","No sabe",0.067,0.045,0.526,0.508,0.659
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.467,0.425,0.04,0.315,0.122
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.398,0.451,0.427,0.129,0.215
"P42","No sabe",0.135,0.124,0.533,0.556,0.663
"P43","Muy buena",0.09,0.088,0.011,0.072,0.022
"P43","Buena",0.222,0.216,0.037,0.1,0.053
"P43","Ni buena ni mala",0.182,0.162,0.06,0.29,0.191
"P43","Mala",0.139,0.138,0.091,0.253,0.148
"P43","Muy mala",0.354,0.39,0.791,0.282,0.561
"P43","No sabe",0.013,0.006,0.01,0.003,0.025
"P44","Muy de acuerdo",0.215,0.222,0.122,0.095,0.084
"P44","De acuerdo",0.219,0.224,0.119,0.136,0.13
"P44","Ni de acuerdo ni en desacuerdo",0.293,0.268,0.265,0.468,0.344
"P44","En desacuerdo",0.12,0.116,0.163,0.13,0.152
"P44","Muy en desacuerdo",0.107,0.118,0.268,0.104,0.177
"P44","No sabe",0.046,0.052,0.063,0.067,0.113
"P45","Muy de acuerdo",0.221,0.212,0.038,0.079,0.067
"P45","De acuerdo",0.225,0.21,0.057,0.153,0.102
"P45","Ni de acuerdo ni en desacuerdo",0.28,0.256,0.242,0.305,0.316
"P45","En desacuerdo",0.11,0.133,0.19,0.236,0.147
"P45","Muy en desacuerdo",0.137,0.169,0.444,0.182,0.283
"P45","No sabe",0.027,0.02,0.029,0.045,0.085
"P46","Si",0.396,0.379,0.061,0.188,0.122
"P46","No",0.362,0.388,0.763,0.466,0.524
"P46","No sabe",0.242,0.233,0.176,0.346,0.354
"P47","Muy buena",0.122,0.126,0.019,0.074,0.034
"P47","Buena",0.224,0.2,0.067,0.184,0.117
"P47","Ni buena ni mala",0.199,0.171,0.053,0.207,0.185
"P47","Mala",0.138,0.139,0.115,0.231,0.13
"P47","Muy mala",0.313,0.359,0.742,0.304,0.516
"P47","No sabe",0.004,0.005,0.004,0,0.018
"P48","Muy buena",0.374,0.381,0.003,0.125,0.033
"P48","Buena",0.109,0.084,0.015,0.181,0.049
"P48","Ni buena ni mala",0.071,0.042,0.032,0.141,0.119
"P48","Mala",0.063,0.063,0.054,0.187,0.124
"P48","Muy mala",0.378,0.426,0.893,0.353,0.645
"P48","No sabe",0.005,0.004,0.003,0.013,0.03
"P49","Muy buena",0.178,0.176,0.133,0.03,0.167
"P49","Buena",0.134,0.163,0.254,0.097,0.16
"P49","Ni buena ni mala",0.107,0.121,0.24,0.081,0.176
"P49","Mala",0.142,0.161,0.16,0.173,0.153
"P49","Muy mala",0.423,0.37,0.209,0.584,0.31
"P49","No sabe",0.016,0.009,0.004,0.035,0.034
"P50","Muy buena",0.194,0.179,0.066,0.012,0.064
"P50","Buena",0.182,0.239,0.203,0.098,0.19
"P50","Ni buena ni mala",0.143,0.143,0.315,0.2,0.348
"P50","Mala",0.15,0.141,0.166,0.25,0.141
"P50","Muy mala",0.299,0.285,0.235,0.361,0.157
"P50","No sabe",0.032,0.013,0.015,0.079,0.1
"P51","Muy buena",0.126,0.118,0.017,0.044,0.039
"P51","Buena",0.221,0.222,0.055,0.071,0.079
"P51","Ni buena ni mala",0.241,0.206,0.126,0.351,0.199
"P51","Mala",0.146,0.144,0.159,0.215,0.16
"P51","Muy mala",0.251,0.298,0.631,0.308,0.454
"P51","No sabe",0.015,0.012,0.012,0.011,0.069
"P52","Muy buena",0.232,0.24,0.338,0.032,0.294
"P52","Buena",0.114,0.156,0.265,0.115,0.146
"P52","Ni buena ni mala",0.113,0.127,0.197,0.073,0.165
"P52","Mala",0.13,0.116,0.069,0.157,0.086
"P52","Muy mala",0.39,0.347,0.121,0.548,0.231
"P52","No sabe",0.021,0.014,0.01,0.075,0.078
"P53","Muy buena",0.054,0.037,0.591,0.063,0.058
"P53","Buena",0.09,0.105,0.279,0.078,0.07
"P53","Ni buena ni mala",0.235,0.256,0.106,0.113,0.326
"P53","Mala",0.158,0.174,0.012,0.146,0.186
"P53","Muy mala",0.43,0.397,0.008,0.535,0.267
"P53","No sabe",0.033,0.031,0.004,0.065,0.093
"P54","Muy buena",0.177,0.195,0.162,0.067,0.152
"P54","Buena",0.157,0.19,0.258,0.065,0.2
"P54","Ni buena ni mala",0.127,0.119,0.233,0.166,0.236
"P54","Mala",0.125,0.134,0.131,0.188,0.126
"P54","Muy mala",0.399,0.354,0.205,0.476,0.211
"P54","No sabe",0.015,0.008,0.011,0.038,0.075
"P55","Muy buena",0.098,0.088,0.007,0.014,0.048
"P55","Buena",0.221,0.224,0.042,0.047,0.073
"P55","Ni buena ni mala",0.228,0.205,0.124,0.305,0.184
"P55","Mala",0.148,0.15,0.162,0.224,0.173
"P55","Muy mala",0.287,0.317,0.656,0.383,0.458
"P55","No sabe",0.018,0.016,0.009,0.027,0.064
"P56","Muy buena",0.084,0.111,0.103,0.106,0.092
"P56","Buena",0.174,0.182,0.159,0.095,0.147
"P56","Ni buena ni mala",0.36,0.37,0.321,0.237,0.315
"P56","Mala",0.142,0.129,0.124,0.175,0.132
"P56","Muy mala",0.158,0.145,0.235,0.281,0.159
"P56","No sabe",0.082,0.063,0.058,0.106,0.155
"P57","Muy buena",0.067,0.088,0.02,0.002,0.033
"P57","Buena",0.144,0.163,0.086,0.117,0.102
"P57","Ni buena ni mala",0.297,0.299,0.388,0.242,0.339
"P57","Mala",0.128,0.144,0.143,0.158,0.151
"P57","Muy mala",0.289,0.238,0.27,0.368,0.195
"P57","No sabe",0.075,0.068,0.093,0.113,0.18
