"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Martín Lousteau"
"P17","No sabe",0,0.041,0.016,0,0.359
"P18","Muy buena",0.184,0.397,0.288,0.018,0
"P18","Buena",0.017,0.042,0.266,0,0.319
"P18","Ni buena ni mala",0.349,0.364,0.327,0.456,0.089
"P18","Mala",0.179,0.141,0.04,0.456,0.088
"P18","Muy mala",0.035,0.039,0.023,0,0.145
"P18","No sabe",0.236,0.017,0.056,0.07,0.359
"P19","Muy buena",0.214,0.304,0.095,0,0
"P19","Buena",0.106,0,0.079,0.07,0
"P19","Ni buena ni mala",0.348,0.461,0.416,0.474,0.089
"P19","Mala",0.05,0.158,0.029,0.456,0.145
"P19","Muy mala",0.017,0,0.019,0,0
"P19","No sabe",0.265,0.077,0.362,0,0.766
"P20","Muy buena",0.03,0.147,0.009,0,0
"P20","Buena",0.144,0.187,0.031,0,0
"P20","Ni buena ni mala",0.306,0.399,0.42,0.912,0.234
"P20","Mala",0.021,0.152,0.044,0,0
"P20","Muy mala",0.046,0,0.028,0,0
"P20","No sabe",0.453,0.115,0.468,0.088,0.766
"P21","La seguridad",0.043,0.044,0.035,0,0
"P21","El tránsito",0.102,0.147,0.112,0.456,0
"P21","El arreglo de las calles",0.204,0.242,0.145,0,0
"P21","Los parques y espacios públicos",0.178,0.317,0.199,0,0
"P21","El sistema de salud",0.037,0.022,0,0,0
"P21","La limpieza de las calles",0.015,0.074,0.083,0.07,0
"P21","El deporte y la cultura",0.113,0.018,0.005,0,0.359
"P21","La luminaria",0.041,0,0.088,0,0.319
"P21","No sabe",0.267,0.136,0.333,0.474,0.322
"P22","La seguridad",0.667,0.497,0.654,1,0.319
"P22","El tránsito",0.019,0.096,0.019,0,0
"P22","El arreglo de las calles",0.126,0.19,0.122,0,0.145
"P22","Los parques y espacios públicos",0.103,0.01,0,0,0
"P22","El sistema de salud",0.003,0.01,0.015,0,0.088
"P22","La limpieza de las calles",0.073,0.152,0.119,0,0.089
"P22","El deporte y la cultura",0,0.01,0,0,0.359
"P22","La luminaria",0,0,0.038,0,0
"P22","No sabe",0.009,0.035,0.033,0,0
"P23","Agua corriente y cloacas",0.624,0.288,0.556,0.474,0.823
"P23","Energía eléctrica",0.239,0.063,0.186,0.526,0
"P23","Red de gas natural",0.023,0.348,0.037,0,0.088
"P23","Recolección de residuos",0.081,0.175,0.057,0,0.089
"P23","Ninguno",0.033,0.126,0.164,0,0
"P24","Los robos",0.402,0.378,0.512,0.474,0.912
"P24","El narcotráfico",0.313,0.017,0.216,0,0
"P24","La ausencia de patrulleros y personal policial",0.218,0.593,0.099,0.07,0.088
"P24","Otro",0.067,0.008,0.173,0.456,0
"P24","Ninguno",0,0.004,0,0,0
"P25","Muy buena",0.036,0.161,0.092,0,0.823
"P25","Buena",0.273,0.284,0.033,0,0
"P25","Ni buena ni mala",0.153,0.058,0.377,0.544,0.089
"P25","Mala",0.31,0.1,0.2,0,0
"P25","Muy mala",0.199,0.374,0.215,0.456,0
"P25","No sabe",0.029,0.023,0.083,0,0.088
"P26","Muy buena",0.023,0.014,0,0,0.359
"P26","Buena",0.214,0.197,0.098,0.088,0
"P26","Ni buena ni mala",0.247,0.148,0.456,0,0.089
"P26","Mala",0.308,0.268,0.155,0.912,0.407
"P26","Muy mala",0.174,0.36,0.221,0,0.145
"P26","No sabe",0.034,0.013,0.07,0,0
"P32","Seguro lo votaria",0.387,0.319,0.103,0.526,0.234
"P32","Quizás lo votaría",0.21,0.295,0.349,0.456,0.318
"P32","Nunca lo votaría",0.403,0.386,0.548,0.018,0.448
"P33","Muy buena",0.032,0.286,0,0,0
"P33","Buena",0.102,0.089,0.035,0,0
"P33","Ni buena ni mala",0.131,0.035,0.085,0,0.336
"P33","Mala",0.293,0.138,0.105,0.086,0.411
"P33","Muy mala",0.442,0.452,0.775,0.914,0.253
"P33","No sabe",0,0,0,0,0
"P34","Muy buena",0.238,0.447,0.243,0,0.157
"P34","Buena",0.304,0.238,0.345,0.027,0.095
"P34","Ni buena ni mala",0.381,0.008,0.317,0.887,0.653
"P34","Mala",0.047,0.143,0,0.086,0.095
"P34","Muy mala",0.03,0.158,0.095,0,0
"P34","No sabe",0,0.006,0,0,0
"P35","Muy buena",0.131,0.172,0.007,0,0
"P35","Buena",0.01,0.055,0.055,0,0
"P35","Ni buena ni mala",0.054,0.143,0.036,0,0.335
"P35","Mala",0.167,0.121,0.058,0,0
"P35","Muy mala",0.638,0.509,0.844,1,0.665
"P35","No sabe",0,0,0,0,0
"P36","Muy buena",0.576,0.506,0.074,0.027,0.157
"P36","Buena",0.149,0.107,0.517,0,0.19
"P36","Ni buena ni mala",0.091,0.197,0.302,0.087,0.319
"P36","Mala",0.158,0.026,0,0.886,0
"P36","Muy mala",0.026,0.158,0.096,0,0
"P36","No sabe",0,0.006,0.011,0,0.334
"P37","Muy buena",0.028,0.575,0.031,0,0.157
"P37","Buena",0.116,0.097,0,0,0
"P37","Ni buena ni mala",0.133,0.1,0.147,0.973,0.748
"P37","Mala",0.276,0.066,0.16,0,0.095
"P37","Muy mala",0.447,0.157,0.662,0.027,0
"P37","No sabe",0,0.005,0,0,0
"P38","Muy buena",0.326,0.492,0.615,0,0.158
"P38","Buena",0.271,0.073,0.242,1,0.096
"P38","Ni buena ni mala",0.34,0.086,0.051,0,0.746
"P38","Mala",0.022,0.17,0,0,0
"P38","Muy mala",0.041,0.179,0.092,0,0
"P38","No sabe",0,0,0,0,0
"P39","Muy buena",0.095,0.421,0.226,0.895,0.231
"P39","Buena",0.195,0.057,0.103,0.091,0.061
"P39","Ni buena ni mala",0.275,0.24,0.542,0,0.345
"P39","Mala",0.226,0.249,0.104,0.014,0
"P39","Muy mala",0.081,0.028,0.025,0,0
"P39","No sabe",0.128,0.005,0,0,0.363
