"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P18","Nunca lo votaría",0.179,0.809,0.662,0.637,0.667,0.593
"P18","No sabe",0.026,0.034,0.033,0.075,0.064,0.114
"P19","Lo votaría",0.121,0.031,0.032,0.024,0.069,0.075
"P19","Puede que lo vote",0.285,0.151,0.17,0.217,0.177,0.224
"P19","Nunca lo votaría",0.519,0.641,0.743,0.547,0.642,0.542
"P19","No sabe",0.075,0.177,0.055,0.212,0.112,0.159
"P20","La votaría",0.483,0.046,0.33,0.128,0.27,0.19
"P20","Puede que la vote",0.244,0.064,0.335,0.11,0.083,0.138
"P20","Nunca la votaría",0.244,0.847,0.317,0.714,0.615,0.582
"P20","No sabe",0.029,0.043,0.018,0.048,0.032,0.09
"P21","Lo votaría",0.063,0.016,0.708,0.088,0.019,0.029
"P21","Puede que lo vote",0.367,0.079,0.219,0.105,0.199,0.088
"P21","Nunca lo votaría",0.517,0.833,0.07,0.789,0.726,0.74
"P21","No sabe",0.053,0.072,0.003,0.018,0.056,0.143
"P22","La votaría",0.271,0.033,0.101,0.081,0.054,0.092
"P22","Puede que la vote",0.371,0.043,0.309,0.209,0.164,0.154
"P22","Nunca la votaría",0.324,0.853,0.551,0.648,0.696,0.616
"P22","No sabe",0.034,0.071,0.039,0.062,0.086,0.138
"P23","Lo votaría",0.041,0.237,0.01,0.04,0.093,0.067
"P23","Puede que lo vote",0.088,0.434,0.058,0.22,0.212,0.24
"P23","Nunca lo votaría",0.833,0.282,0.916,0.676,0.605,0.559
"P23","No sabe",0.038,0.047,0.016,0.064,0.09,0.134
"P24","Lo votaría",0.058,0.033,0.014,0.026,0.027,0.022
"P24","Puede que lo vote",0.281,0.097,0.099,0.105,0.127,0.167
"P24","Nunca lo votaría",0.596,0.742,0.823,0.822,0.693,0.67
"P24","No sabe",0.065,0.128,0.064,0.047,0.153,0.141
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.086,0.76,0.019,0.371,0.455,0.422
"P26","Alberto Fernández por el Frente de Todos",0.021,0.137,0.005,0.021,0.016,0.023
"P26","Mauricio Macri por Juntos por el cambio",0.268,0.019,0.101,0.006,0.155,0.106
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.293,0.041,0.016,0.067,0.011,0.04
"P26","Patricia Bullrich por Juntos por el Cambio",0.27,0.021,0.2,0.092,0.184,0.155
"P26","Facundo Manes por Juntos por el Cambio",0.039,0.007,0.028,0.005,0.094,0.052
"P26","Javier Milei por los liberales libertarios",0.004,0.002,0.619,0.04,0.006,0.018
"P26","Nicolás del Caño por la izquierda",0,0,0,0.398,0,0
"P26","Aún no lo tengo decidido",0.019,0.013,0.012,0,0.079,0.184
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.345,0.038,0.024,0.067,0.061,0.033
"P27","Patricia Bullrich por Juntos por el Cambio",0.465,0.029,0.263,0.105,0.315,0.207
"P27","Facundo Manes por Juntos por el Cambio",0.039,0.011,0.026,0.005,0.092,0.046
"P27","Alberto Fernández por el Frente de Todos",0.019,0.412,0.007,0.087,0.017,0.048
"P27","Sergio Massa por el Frente de Todos",0.059,0.45,0.003,0.128,0.256,0.252
"P27","Javier Milei por los liberales libertarios",0.014,0.002,0.651,0.1,0.013,0.009
"P27","Nicolás del Caño por la izquierda",0.01,0.005,0.008,0.435,0.005,0.003
"P27","Otros candidatos",0.021,0.018,0.004,0.045,0.175,0.073
"P27","Aún no lo tengo decidido",0.028,0.035,0.014,0.028,0.066,0.329
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.122,0.844,0.037,0.357,0.368,0.43
"P28","Mauricio Macri por Juntos por el Cambio",0.657,0.065,0.148,0.029,0.251,0.176
"P28","Javier Milei por los liberales libertarios",0.064,0.003,0.787,0.083,0.016,0.005
"P28","Nicolás del Caño por la izquierda",0.004,0.023,0,0.531,0,0
"P28","Otro candidato",0.114,0.041,0.012,0,0.285,0.029
"P28","Aún no lo tengo decidido",0.039,0.024,0.016,0,0.08,0.36
"P32","Sergio Massa presidente por el Frente de Todos",0.098,0.719,0.009,0.209,0.209,0.252
"P32","Patricia Bullrich por Juntos por el Cambio",0.694,0.076,0.263,0.106,0.269,0.213
"P32","Javier Milei por los liberales libertarios",0.046,0.007,0.707,0.108,0.011,0.011
"P32","Nicolás del Caño por la izquierda",0.025,0.015,0,0.577,0.012,0
"P32","Otro candidato",0.093,0.075,0.007,0,0.433,0.051
"P32","Aún no lo tengo decidido",0.044,0.108,0.014,0,0.066,0.473
"P34","Sergio Massa presidente por el Frente de Todos",0.128,0.659,0.046,0.222,0.3,0.296
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.732,0.093,0.046,0.088,0.087,0.087
"P34","Javier Milei por los liberales libertarios",0.04,0.033,0.876,0.089,0.041,0.03
"P34","Nicolás del Caño por la izquierda",0.013,0.016,0,0.558,0.018,0.01
"P34","Otro candidato",0.062,0.114,0.016,0.035,0.475,0.154
"P34","Aún no lo tengo decidido",0.025,0.085,0.016,0.008,0.079,0.423
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.13,0.814,0.034,0.331,0.412,0.399
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.744,0.086,0.027,0.097,0.135,0.097
"P36","Javier Milei por los liberales libertarios",0.068,0.022,0.902,0.098,0.062,0.03
"P36","Nicolás del Caño por la izquierda",0.002,0.005,0,0.433,0.003,0
"P36","Otro candidato",0.034,0.017,0.022,0.041,0.355,0.11
"P36","Aún no lo tengo decidido",0.022,0.056,0.015,0,0.033,0.364
"P37","Sergio Massa presidente por el Frente de Todos",0.11,0.738,0.002,0.215,0.292,0.293
"P37","Mauricio Macri por Juntos por el Cambio",0.664,0.061,0.163,0.022,0.217,0.184
"P37","Javier Milei por los liberales libertarios",0.078,0.025,0.772,0.08,0.02,0.023
"P37","Nicolás del Caño por la izquierda",0.021,0.011,0,0.599,0.02,0
"P37","Otro candidato",0.086,0.083,0.032,0.051,0.36,0.158
"P37","Aún no lo tengo decidido",0.041,0.082,0.031,0.033,0.091,0.342
"P38","Alberto Fernández por el Frente de Todos",0.093,0.809,0.025,0.013,0.122,0.154
"P38","Mauricio Macri por Juntos por el Cambio",0.671,0.074,0.146,0.027,0.254,0.213
"P38","Javier Milei por los liberales libertarios",0.069,0.017,0.775,0.011,0.013,0.019
"P38","Nicolás del Caño por la izquierda",0.031,0.006,0,0.837,0.03,0.015
"P38","Otro candidato",0.097,0.046,0.032,0.079,0.524,0.174
"P38","Aún no lo tengo decidido",0.039,0.048,0.022,0.033,0.057,0.425
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.134,0.854,0.062,0.512,0.494,0.461
"P39","Mauricio Macri por Juntos por el Cambio",0.744,0.074,0.563,0.238,0.341,0.285
"P39","No sabe",0.122,0.072,0.375,0.25,0.165,0.254
"P40","Alberto Fernández por el Frente de Todos",0.1,0.847,0.061,0.274,0.196,0.295
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.857,0.055,0.443,0.324,0.263,0.232
"P40","No sabe",0.043,0.098,0.496,0.402,0.541,0.473
"P41","Sergio Massa presidente por el Frente de Todos",0.126,0.715,0.028,0.397,0.387,0.369
"P41","Patricia Bullrich por Juntos por el Cambio",0.754,0.058,0.762,0.176,0.372,0.234
"P41","No sabe",0.12,0.227,0.21,0.427,0.241,0.397
"P42","Sergio Massa presidente por el Frente de Todos",0.141,0.773,0.037,0.418,0.415,0.38
"P42","Mauricio Macri por Juntos por el Cambio",0.75,0.08,0.695,0.173,0.353,0.241
"P42","No sabe",0.109,0.147,0.268,0.409,0.232,0.379
"P43","Sergio Massa presidente por el Frente de Todos",0.12,0.754,0.011,0.614,0.4,0.454
"P43","Javier Milei por los liberales libertarios",0.43,0.056,0.941,0.154,0.176,0.127
"P43","No sabe",0.45,0.19,0.048,0.232,0.424,0.419
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.684,0.128,0.021,0.409,0.198,0.185
"P44","Javier Milei por los liberales libertarios",0.136,0.067,0.939,0.142,0.124,0.121
"P44","No sabe",0.18,0.805,0.04,0.449,0.678,0.694
"P45","Muy buena",0.061,0.121,0.007,0.016,0.036,0.062
"P45","Buena",0.03,0.379,0.068,0.069,0.12,0.088
"P45","Ni buena ni mala",0.116,0.356,0.018,0.28,0.309,0.339
"P45","Mala",0.126,0.068,0.085,0.148,0.15,0.204
"P45","Muy mala",0.649,0.058,0.822,0.48,0.38,0.298
"P45","No sabe",0.018,0.018,0,0.007,0.005,0.009
"P46","Muy buena",0.015,0.196,0,0,0.011,0.02
"P46","Buena",0.042,0.405,0.019,0.075,0.136,0.124
"P46","Ni buena ni mala",0.103,0.29,0.013,0.273,0.23,0.344
"P46","Mala",0.121,0.044,0.092,0.287,0.137,0.172
"P46","Muy mala",0.718,0.062,0.859,0.365,0.478,0.31
"P46","No sabe",0.001,0.003,0.017,0,0.008,0.03
"P47","Muy buena",0.084,0.662,0.018,0.18,0.381,0.401
"P47","Buena",0.017,0.137,0.016,0.147,0.06,0.084
"P47","Ni buena ni mala",0.039,0.1,0.017,0.163,0.037,0.115
"P47","Mala",0.096,0.021,0.054,0.154,0.07,0.096
"P47","Muy mala",0.755,0.078,0.885,0.356,0.452,0.304
"P47","No sabe",0.009,0.002,0.01,0,0,0
"P48","Muy buena",0.311,0.044,0.176,0.031,0.185,0.137
"P48","Buena",0.297,0.062,0.181,0.012,0.078,0.095
"P48","Ni buena ni mala",0.142,0.069,0.242,0.07,0.076,0.11
"P48","Mala",0.078,0.151,0.148,0.236,0.162,0.211
"P48","Muy mala",0.17,0.66,0.253,0.624,0.499,0.433
"P48","No sabe",0.002,0.014,0,0.027,0,0.014
"P49","Muy buena",0.332,0.017,0.058,0,0.061,0.057
"P49","Buena",0.44,0.075,0.191,0.138,0.138,0.164
"P49","Ni buena ni mala",0.11,0.147,0.248,0.202,0.225,0.257
"P49","Mala",0.028,0.255,0.185,0.346,0.122,0.144
"P49","Muy mala",0.09,0.501,0.316,0.314,0.45,0.373
"P49","No sabe",0,0.005,0.002,0,0.004,0.005
"P50","Muy buena",0.059,0.125,0.001,0.141,0.085,0.091
"P50","Buena",0.069,0.324,0.032,0.056,0.233,0.189
"P50","Ni buena ni mala",0.182,0.368,0.075,0.367,0.201,0.325
"P50","Mala",0.147,0.068,0.174,0.147,0.137,0.127
"P50","Muy mala",0.542,0.11,0.718,0.289,0.338,0.259
"P50","No sabe",0.001,0.005,0,0,0.006,0.009
"P51","Muy buena",0.43,0.041,0.394,0.151,0.214,0.13
"P51","Buena",0.196,0.044,0.292,0,0.162,0.132
"P51","Ni buena ni mala",0.173,0.088,0.132,0.098,0.077,0.142
"P51","Mala",0.056,0.133,0.066,0.069,0.069,0.125
"P51","Muy mala",0.142,0.691,0.116,0.682,0.471,0.465
"P51","No sabe",0.003,0.003,0,0,0.007,0.006
"P52","Muy buena",0.078,0.022,0.596,0.012,0.038,0.017
"P52","Buena",0.189,0.036,0.234,0.013,0.053,0.072
"P52","Ni buena ni mala",0.419,0.107,0.1,0,0.258,0.199
"P52","Mala",0.143,0.177,0.021,0.208,0.099,0.191
"P52","Muy mala",0.16,0.647,0.049,0.767,0.541,0.465
"P52","No sabe",0.011,0.011,0,0,0.011,0.056
"P53","Muy buena",0.317,0.023,0.128,0.012,0.093,0.071
"P53","Buena",0.279,0.065,0.267,0.013,0.154,0.149
"P53","Ni buena ni mala",0.226,0.089,0.221,0.075,0.165,0.22
"P53","Mala",0.047,0.115,0.13,0.491,0.081,0.106
"P53","Muy mala",0.131,0.693,0.252,0.397,0.505,0.428
"P53","No sabe",0,0.015,0.002,0.012,0.002,0.026
"P54","Muy buena",0.047,0.19,0.031,0.153,0.078,0.062
"P54","Buena",0.077,0.384,0.045,0.141,0.192,0.155
"P54","Ni buena ni mala",0.202,0.24,0.099,0.229,0.239,0.334
"P54","Mala",0.163,0.076,0.151,0.105,0.123,0.11
"P54","Muy mala",0.51,0.104,0.673,0.372,0.362,0.333
"P54","No sabe",0.001,0.006,0.001,0,0.006,0.006
"P55","Muy buena",0.088,0.026,0.021,0,0.109,0.089
"P55","Buena",0.125,0.144,0.073,0.189,0.11,0.103
"P55","Ni buena ni mala",0.402,0.417,0.302,0.298,0.309,0.48
"P55","Mala",0.193,0.168,0.174,0.277,0.14,0.165
"P55","Muy mala",0.182,0.195,0.394,0.209,0.3,0.141
"P55","No sabe",0.01,0.05,0.036,0.027,0.032,0.022
"P57","Siempre",0.324,0.277,0.289,0.381,0.282,0.198
"P57","Casi siempre",0.427,0.384,0.296,0.323,0.317,0.546
"P57","Casi nunca",0.193,0.249,0.263,0.218,0.266,0.171
"P57","Nunca, pero esta es una excepción",0.056,0.09,0.152,0.078,0.135,0.085
"P58","Si",0.629,0.58,0.604,0.646,0.557,0.468
"P58","No",0.371,0.42,0.396,0.354,0.443,0.532
