"var","categoria","Sergio Massa presidente por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P16","Puede que lo vote",0.432,0.052,0.005,0.27,0.181,0.162
"P16","Nunca lo votaría",0.214,0.902,0.958,0.532,0.571,0.562
"P16","No sabe",0.094,0.017,0.004,0.162,0.134,0.127
"P17","La votaría",0.67,0.054,0.046,0.418,0.359,0.481
"P17","Puede que la vote",0.158,0.041,0.024,0.197,0.094,0.016
"P17","Nunca la votaría",0.151,0.903,0.927,0.364,0.509,0.415
"P17","No sabe",0.021,0.002,0.003,0.021,0.038,0.088
"P18","Lo votaría",0.048,0.437,0.021,0.089,0.115,0.023
"P18","Puede que lo vote",0.119,0.391,0.305,0.06,0.184,0.195
"P18","Nunca lo votaría",0.782,0.141,0.66,0.795,0.629,0.656
"P18","No sabe",0.051,0.031,0.014,0.056,0.072,0.126
"P19","Lo votaría",0.037,0.106,0.019,0.012,0.133,0.04
"P19","Puede que lo vote",0.161,0.307,0.204,0.189,0.126,0.183
"P19","Nunca lo votaría",0.654,0.504,0.731,0.663,0.627,0.555
"P19","No sabe",0.148,0.083,0.046,0.136,0.114,0.222
"P20","La votaría",0.038,0.522,0.374,0.018,0.29,0.165
"P20","Puede que la vote",0.057,0.269,0.348,0.015,0.072,0.153
"P20","Nunca la votaría",0.876,0.192,0.257,0.894,0.591,0.537
"P20","No sabe",0.029,0.017,0.021,0.073,0.047,0.145
"P21","Lo votaría",0.017,0.051,0.709,0.014,0.034,0.017
"P21","Puede que lo vote",0.074,0.402,0.233,0,0.149,0.159
"P21","Nunca lo votaría",0.853,0.477,0.053,0.951,0.763,0.666
"P21","No sabe",0.056,0.07,0.005,0.035,0.054,0.158
"P22","La votaría",0.041,0.292,0.106,0.006,0.053,0.085
"P22","Puede que la vote",0.061,0.388,0.324,0.108,0.186,0.167
"P22","Nunca la votaría",0.84,0.288,0.525,0.772,0.642,0.622
"P22","No sabe",0.058,0.032,0.045,0.114,0.119,0.126
"P23","Lo votaría",0.228,0.032,0.006,0.024,0.089,0.064
"P23","Puede que lo vote",0.381,0.095,0.053,0.412,0.196,0.235
"P23","Nunca lo votaría",0.307,0.847,0.914,0.465,0.654,0.588
"P23","No sabe",0.084,0.026,0.027,0.099,0.061,0.113
"P24","Lo votaría",0.032,0.043,0.017,0.03,0.04,0.042
"P24","Puede que lo vote",0.103,0.33,0.109,0.04,0.064,0.161
"P24","Nunca lo votaría",0.766,0.545,0.802,0.832,0.784,0.628
"P24","No sabe",0.099,0.082,0.072,0.098,0.112,0.169
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.727,0.036,0.036,0.431,0.412,0.44
"P26","Alberto Fernández por el Frente de Todos",0.076,0.023,0.012,0.066,0.033,0.055
"P26","Mauricio Macri por Juntos por el cambio",0.047,0.296,0.092,0.006,0.132,0.097
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.279,0.03,0.083,0.054,0.042
"P26","Patricia Bullrich por Juntos por el Cambio",0.048,0.282,0.233,0.007,0.177,0.132
"P26","Facundo Manes por Juntos por el Cambio",0.028,0.043,0.013,0.023,0.103,0.022
"P26","Javier Milei por los liberales libertarios",0.015,0.02,0.559,0.008,0.012,0.021
"P26","Nicolás del Caño por la izquierda",0,0,0.012,0.376,0,0
"P26","Aún no lo tengo decidido",0.034,0.021,0.013,0,0.077,0.191
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.347,0.015,0.083,0.107,0.033
"P27","Patricia Bullrich por Juntos por el Cambio",0.07,0.493,0.272,0.006,0.291,0.248
"P27","Facundo Manes por Juntos por el Cambio",0.017,0.048,0.027,0.037,0.077,0.025
"P27","Alberto Fernández por el Frente de Todos",0.191,0.034,0.02,0.07,0.145,0.218
"P27","Sergio Massa por el Frente de Todos",0.579,0.028,0.016,0.011,0.122,0.039
"P27","Javier Milei por los liberales libertarios",0.014,0.019,0.627,0.008,0.011,0.002
"P27","Nicolás del Caño por la izquierda",0.002,0,0.007,0.613,0,0.01
"P27","Otros candidatos",0.047,0.006,0.006,0.1,0.147,0.072
"P27","Aún no lo tengo decidido",0.046,0.025,0.01,0.072,0.1,0.353
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.784,0.068,0.048,0.417,0.363,0.449
"P28","Mauricio Macri por Juntos por el Cambio",0.063,0.711,0.161,0.013,0.26,0.159
"P28","Javier Milei por los liberales libertarios",0.022,0.048,0.765,0.053,0.019,0.018
"P28","Nicolás del Caño por la izquierda",0.003,0.018,0,0.492,0.007,0.014
"P28","Otro candidato",0.071,0.115,0.006,0.005,0.242,0.053
"P28","Aún no lo tengo decidido",0.057,0.04,0.02,0.02,0.109,0.307
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.122,0.769,0.046,0.106,0.123,0.07
"P30","Alberto Fernández por el Frente de Todos",0.522,0.082,0.032,0.108,0.187,0.201
"P30","Javier Milei por los liberales libertarios",0.038,0.042,0.866,0,0.027,0.04
"P30","Nicolás del Caño por la izquierda",0.031,0.014,0.015,0.669,0.01,0.003
"P30","Otro candidato",0.155,0.05,0.025,0.078,0.511,0.123
"P30","Aún no lo tengo decidido",0.132,0.043,0.016,0.039,0.142,0.563
"P32","Sergio Massa presidente por el Frente de Todos",0.789,0.07,0.016,0.018,0.093,0.069
"P32","Patricia Bullrich por Juntos por el Cambio",0.092,0.723,0.263,0.007,0.277,0.243
"P32","Javier Milei por los liberales libertarios",0.015,0.062,0.688,0,0.007,0.002
"P32","Nicolás del Caño por la izquierda",0.005,0.013,0,0.892,0.003,0
"P32","Otro candidato",0.036,0.082,0.001,0.036,0.493,0.126
"P32","Aún no lo tengo decidido",0.063,0.05,0.032,0.047,0.127,0.56
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.757,0.11,0.018,0.382,0.4,0.371
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.127,0.789,0.016,0.01,0.103,0.061
"P36","Javier Milei por los liberales libertarios",0.039,0.052,0.939,0.016,0.016,0.02
"P36","Nicolás del Caño por la izquierda",0.001,0,0.001,0.573,0,0
"P36","Otro candidato",0.038,0.03,0.009,0.019,0.441,0.043
"P36","Aún no lo tengo decidido",0.038,0.019,0.017,0,0.04,0.505
"P37","Sergio Massa presidente por el Frente de Todos",0.813,0.064,0,0.143,0.138,0.122
"P37","Mauricio Macri por Juntos por el Cambio",0.085,0.707,0.149,0.007,0.215,0.167
"P37","Javier Milei por los liberales libertarios",0.024,0.066,0.821,0,0.011,0.005
"P37","Nicolás del Caño por la izquierda",0,0.031,0.001,0.757,0.015,0
"P37","Otro candidato",0.043,0.083,0.025,0.033,0.551,0.081
"P37","Aún no lo tengo decidido",0.035,0.049,0.004,0.06,0.07,0.625
"P38","Alberto Fernández por el Frente de Todos",0.668,0.073,0.005,0.097,0.176,0.182
"P38","Mauricio Macri por Juntos por el Cambio",0.085,0.706,0.151,0.007,0.262,0.195
"P38","Javier Milei por los liberales libertarios",0.009,0.064,0.815,0,0.006,0.005
"P38","Nicolás del Caño por la izquierda",0.029,0.02,0.001,0.809,0.025,0.007
"P38","Otro candidato",0.146,0.098,0.025,0.061,0.435,0.122
"P38","Aún no lo tengo decidido",0.063,0.039,0.003,0.026,0.096,0.489
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.825,0.069,0.058,0.652,0.47,0.477
"P39","Mauricio Macri por Juntos por el Cambio",0.087,0.81,0.572,0.114,0.33,0.268
"P39","No sabe",0.088,0.121,0.37,0.234,0.2,0.255
"P40","Alberto Fernández por el Frente de Todos",0.721,0.035,0.053,0.489,0.275,0.371
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.105,0.899,0.443,0.101,0.275,0.189
"P40","No sabe",0.174,0.066,0.504,0.41,0.45,0.44
"P41","Sergio Massa presidente por el Frente de Todos",0.852,0.051,0.021,0.47,0.19,0.222
"P41","Patricia Bullrich por Juntos por el Cambio",0.06,0.808,0.768,0.042,0.386,0.261
"P41","No sabe",0.088,0.141,0.211,0.488,0.424,0.517
"P42","Sergio Massa presidente por el Frente de Todos",0.879,0.084,0.029,0.481,0.212,0.207
"P42","Mauricio Macri por Juntos por el Cambio",0.09,0.788,0.728,0.034,0.355,0.266
"P42","No sabe",0.031,0.128,0.243,0.485,0.433,0.527
"P43","Sergio Massa presidente por el Frente de Todos",0.87,0.05,0.006,0.709,0.235,0.243
"P43","Javier Milei por los liberales libertarios",0.061,0.479,0.961,0.012,0.15,0.131
"P43","No sabe",0.069,0.471,0.033,0.279,0.615,0.626
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.162,0.711,0.019,0.383,0.195,0.142
"P44","Javier Milei por los liberales libertarios",0.081,0.157,0.962,0,0.108,0.092
"P44","No sabe",0.757,0.132,0.019,0.617,0.697,0.766
"P45","Muy buena",0.102,0.068,0,0.072,0.024,0.068
"P45","Buena",0.263,0.017,0.096,0.091,0.132,0.18
"P45","Ni buena ni mala",0.406,0.074,0.011,0.389,0.302,0.236
"P45","Mala",0.114,0.128,0.067,0.178,0.14,0.179
"P45","Muy mala",0.097,0.711,0.826,0.263,0.368,0.324
"P45","No sabe",0.018,0.002,0,0.007,0.034,0.013
"P46","Muy buena",0.111,0.014,0.023,0.02,0.029,0.075
"P46","Buena",0.322,0.031,0.005,0.224,0.145,0.174
"P46","Ni buena ni mala",0.367,0.052,0.01,0.317,0.212,0.249
"P46","Mala",0.081,0.118,0.087,0.165,0.167,0.158
"P46","Muy mala",0.111,0.784,0.858,0.274,0.428,0.337
"P46","No sabe",0.008,0.001,0.017,0,0.019,0.007
"P47","Muy buena",0.631,0.015,0.035,0.236,0.357,0.429
"P47","Buena",0.119,0.009,0.012,0.334,0.036,0.082
"P47","Ni buena ni mala",0.111,0.027,0.011,0.065,0.085,0.092
"P47","Mala",0.045,0.114,0.032,0.178,0.078,0.048
"P47","Muy mala",0.091,0.827,0.899,0.187,0.444,0.349
"P47","No sabe",0.003,0.008,0.011,0,0,0
"P48","Muy buena",0.07,0.313,0.184,0.01,0.183,0.139
"P48","Buena",0.034,0.328,0.204,0,0.07,0.107
"P48","Ni buena ni mala",0.032,0.158,0.226,0.067,0.121,0.194
"P48","Mala",0.199,0.073,0.141,0.077,0.238,0.061
"P48","Muy mala",0.665,0.126,0.245,0.818,0.375,0.464
"P48","No sabe",0,0.002,0,0.028,0.013,0.035
"P49","Muy buena",0.032,0.357,0.035,0,0.067,0.067
"P49","Buena",0.066,0.473,0.22,0.01,0.179,0.118
"P49","Ni buena ni mala",0.132,0.144,0.214,0.198,0.282,0.264
"P49","Mala",0.287,0.003,0.187,0.199,0.093,0.112
"P49","Muy mala",0.481,0.023,0.342,0.593,0.375,0.424
"P49","No sabe",0.002,0,0.002,0,0.004,0.015
"P50","Muy buena",0.206,0.027,0.005,0,0.02,0.034
"P50","Buena",0.42,0.037,0.023,0.067,0.056,0.123
"P50","Ni buena ni mala",0.265,0.181,0.069,0.333,0.329,0.415
"P50","Mala",0.028,0.15,0.172,0.349,0.181,0.163
"P50","Muy mala",0.078,0.605,0.731,0.251,0.407,0.248
"P50","No sabe",0.003,0,0,0,0.007,0.017
"P51","Muy buena",0.066,0.444,0.417,0,0.221,0.138
"P51","Buena",0.079,0.222,0.272,0,0.101,0.17
"P51","Ni buena ni mala",0.058,0.167,0.138,0.105,0.149,0.172
"P51","Mala",0.141,0.041,0.056,0.142,0.089,0.084
"P51","Muy mala",0.653,0.119,0.117,0.753,0.44,0.428
"P51","No sabe",0.003,0.007,0,0,0,0.008
"P52","Muy buena",0.031,0.073,0.613,0,0.043,0.02
"P52","Buena",0.008,0.221,0.262,0,0.041,0.059
"P52","Ni buena ni mala",0.094,0.402,0.089,0,0.34,0.3
"P52","Mala",0.165,0.171,0.01,0.074,0.128,0.163
"P52","Muy mala",0.689,0.114,0.026,0.926,0.444,0.41
"P52","No sabe",0.013,0.019,0,0,0.004,0.048
"P53","Muy buena",0.034,0.323,0.127,0,0.095,0.097
"P53","Buena",0.057,0.314,0.255,0.007,0.18,0.153
"P53","Ni buena ni mala",0.049,0.239,0.25,0.081,0.243,0.206
"P53","Mala",0.163,0.041,0.128,0.212,0.081,0.084
"P53","Muy mala",0.686,0.083,0.238,0.688,0.401,0.418
"P53","No sabe",0.011,0,0.002,0.012,0,0.042
"P54","Muy buena",0.198,0.03,0.024,0,0.073,0.08
"P54","Buena",0.364,0.055,0.044,0.034,0.177,0.158
"P54","Ni buena ni mala",0.248,0.174,0.077,0.477,0.264,0.343
"P54","Mala",0.043,0.185,0.157,0.137,0.132,0.146
"P54","Muy mala",0.147,0.556,0.697,0.352,0.341,0.257
"P54","No sabe",0,0,0.001,0,0.013,0.016
"P55","Muy buena",0.063,0.087,0.013,0,0.095,0.053
"P55","Buena",0.142,0.153,0.063,0.04,0.123,0.063
"P55","Ni buena ni mala",0.416,0.395,0.314,0.567,0.289,0.389
"P55","Mala",0.157,0.218,0.155,0.172,0.148,0.207
"P55","Muy mala",0.19,0.14,0.418,0.192,0.313,0.22
"P55","No sabe",0.032,0.007,0.037,0.029,0.032,0.068
"P57","Siempre",0.334,0.331,0.28,0.163,0.222,0.162
"P57","Casi siempre",0.372,0.413,0.302,0.523,0.333,0.577
"P57","Casi nunca",0.235,0.192,0.258,0.242,0.288,0.146
"P57","Nunca, pero esta es una excepción",0.059,0.064,0.16,0.072,0.157,0.115
"P58","Si",0.549,0.647,0.611,0.536,0.553,0.505
"P58","No",0.451,0.353,0.389,0.464,0.447,0.495
