"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Aún no lo tengo decidido"
"P17","No sabe",0.005,0.07,0,0.006,0.027,0.098,0.011,0.031,0.098
"P18","Lo votaría",0.051,0.026,0.201,0.689,0.167,0.157,0.015,0,0.044
"P18","Puede que lo vote",0.047,0.131,0.47,0.217,0.467,0.397,0.246,0.06,0.198
"P18","Nunca lo votaría",0.885,0.72,0.304,0.088,0.289,0.37,0.7,0.83,0.566
"P18","No sabe",0.017,0.123,0.025,0.006,0.077,0.076,0.039,0.11,0.192
"P19","Lo votaría",0.01,0.047,0.041,0.132,0.071,0.478,0.036,0,0.082
"P19","Puede que lo vote",0.129,0.191,0.229,0.309,0.263,0.261,0.176,0.146,0.214
"P19","Nunca lo votaría",0.721,0.485,0.636,0.435,0.605,0.15,0.725,0.679,0.522
"P19","No sabe",0.14,0.277,0.094,0.124,0.061,0.111,0.063,0.175,0.182
"P20","La votaría",0.019,0,0.573,0.229,0.812,0.25,0.213,0,0.068
"P20","Puede que la vote",0.025,0.052,0.299,0.345,0.105,0.249,0.387,0.17,0.209
"P20","Nunca la votaría",0.941,0.859,0.112,0.361,0.05,0.453,0.382,0.73,0.571
"P20","No sabe",0.015,0.089,0.016,0.065,0.033,0.048,0.018,0.1,0.152
"P21","Lo votaría",0.02,0,0.115,0.089,0.209,0.061,0.856,0.154,0.033
"P21","Puede que lo vote",0.03,0.121,0.368,0.375,0.403,0.298,0.081,0,0.101
"P21","Nunca lo votaría",0.925,0.78,0.459,0.499,0.299,0.544,0.052,0.829,0.608
"P21","No sabe",0.025,0.099,0.058,0.037,0.089,0.097,0.011,0.017,0.258
"P22","La votaría",0.014,0.018,0.297,0.31,0.207,0.11,0.079,0.141,0.034
"P22","Puede que la vote",0.016,0.07,0.439,0.283,0.404,0.359,0.248,0.043,0.183
"P22","Nunca la votaría",0.934,0.798,0.225,0.377,0.306,0.363,0.625,0.699,0.591
"P22","No sabe",0.036,0.114,0.039,0.03,0.083,0.168,0.048,0.117,0.192
"P23","Lo votaría",0.179,0.203,0.072,0.082,0.012,0.023,0.005,0,0.013
"P23","Puede que lo vote",0.42,0.39,0.028,0.102,0.045,0.135,0.091,0.087,0.127
"P23","Nunca lo votaría",0.339,0.344,0.881,0.802,0.899,0.751,0.879,0.783,0.682
"P23","No sabe",0.062,0.063,0.019,0.014,0.044,0.091,0.025,0.13,0.178
"P24","Lo votaría",0.013,0.067,0.057,0.089,0.02,0.074,0.007,0,0.074
"P24","Puede que lo vote",0.08,0.068,0.186,0.226,0.352,0.299,0.047,0.016,0.159
"P24","Nunca lo votaría",0.827,0.639,0.683,0.609,0.542,0.415,0.863,0.871,0.548
"P24","No sabe",0.08,0.226,0.074,0.076,0.086,0.212,0.083,0.113,0.219
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.081,0.189,0.761,0.048,0.052,0.027,0,0.037
"P27","Patricia Bullrich por Juntos por el Cambio",0.02,0,0.687,0.111,0.825,0.062,0.034,0,0.056
"P27","Facundo Manes por Juntos por el Cambio",0.012,0.033,0.01,0.018,0.027,0.633,0.009,0,0.013
"P27","Alberto Fernández por el Frente de Todos",0.236,0.59,0.015,0.027,0.012,0.033,0,0,0.021
"P27","Sergio Massa por el Frente de Todos",0.486,0.225,0,0.034,0.006,0.04,0.011,0,0.17
"P27","Javier Milei por los liberales libertarios",0.009,0,0.058,0.03,0.06,0.12,0.872,0.15,0.041
"P27","Nicolás del Caño por la izquierda",0.029,0.017,0,0,0.007,0,0.022,0.675,0
"P27","Otros candidatos",0.086,0.046,0.027,0.003,0.005,0.012,0.008,0.134,0.166
"P27","Aún no lo tengo decidido",0.118,0.008,0.014,0.016,0.01,0.048,0.017,0.041,0.496
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.929,0.617,0.01,0.083,0.002,0.096,0.022,0,0.044
"P28","Mauricio Macri por Juntos por el Cambio",0.014,0.004,0.918,0.401,0.565,0.185,0.006,0,0.094
"P28","Javier Milei por los liberales libertarios",0.007,0.027,0.05,0.088,0.224,0.17,0.909,0.173,0.049
"P28","Nicolás del Caño por la izquierda",0.001,0.118,0,0.034,0.02,0.019,0.008,0.827,0
"P28","Otro candidato",0.032,0.111,0.005,0.265,0.095,0.383,0.001,0,0.261
"P28","Aún no lo tengo decidido",0.017,0.123,0.017,0.129,0.094,0.147,0.054,0,0.552
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.068,0.127,0.523,0.777,0.411,0.264,0.008,0,0.11
"P30","Alberto Fernández por el Frente de Todos",0.516,0.71,0.031,0.092,0.028,0.041,0.002,0,0.067
"P30","Javier Milei por los liberales libertarios",0.014,0.025,0.179,0.038,0.275,0.172,0.96,0,0.062
"P30","Nicolás del Caño por la izquierda",0.043,0.019,0.002,0.026,0.02,0.005,0.01,1,0
"P30","Otro candidato",0.2,0.054,0.167,0.016,0.154,0.35,0.006,0,0.255
"P30","Aún no lo tengo decidido",0.159,0.065,0.098,0.051,0.112,0.168,0.014,0,0.506
"P32","Sergio Massa presidente por el Frente de Todos",0.606,0.582,0.011,0.092,0.037,0.127,0.014,0,0.213
"P32","Patricia Bullrich por Juntos por el Cambio",0.037,0.037,0.765,0.438,0.825,0.246,0.062,0,0.155
"P32","Javier Milei por los liberales libertarios",0.009,0,0.099,0.112,0.093,0.096,0.91,0.173,0.035
"P32","Nicolás del Caño por la izquierda",0.039,0.049,0.002,0.032,0.016,0.005,0,0.827,0
"P32","Otro candidato",0.162,0.106,0.069,0.206,0.002,0.359,0.005,0,0.202
"P32","Aún no lo tengo decidido",0.147,0.226,0.054,0.12,0.027,0.167,0.009,0,0.395
"P34","Sergio Massa presidente por el Frente de Todos",0.612,0.512,0.097,0.072,0.076,0.202,0.03,0,0.204
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.14,0.547,0.716,0.406,0.283,0.035,0,0.114
"P34","Javier Milei por los liberales libertarios",0.025,0.066,0.158,0.071,0.311,0.079,0.908,0.181,0.069
"P34","Nicolás del Caño por la izquierda",0.043,0.052,0.002,0.028,0.001,0.02,0.002,0.819,0
"P34","Otro candidato",0.168,0.106,0.13,0.073,0.136,0.363,0.011,0,0.226
"P34","Aún no lo tengo decidido",0.124,0.124,0.066,0.04,0.07,0.053,0.014,0,0.387
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.891,0.537,0.036,0.067,0.038,0.125,0.027,0,0.005
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.037,0.076,0.57,0.784,0.402,0.369,0.007,0,0.059
"P36","Javier Milei por los liberales libertarios",0.014,0.044,0.2,0.059,0.36,0.168,0.903,0.187,0.141
"P36","Nicolás del Caño por la izquierda",0.007,0.025,0,0.028,0.001,0.005,0.003,0.813,0
"P36","Otro candidato",0.02,0.117,0.132,0.04,0.132,0.243,0.019,0,0.345
"P36","Aún no lo tengo decidido",0.031,0.201,0.062,0.022,0.067,0.09,0.041,0,0.45
"P37","Sergio Massa presidente por el Frente de Todos",0.68,0.691,0.027,0.046,0.023,0.074,0.015,0,0.203
"P37","Mauricio Macri por Juntos por el Cambio",0.01,0.046,0.894,0.462,0.56,0.246,0.005,0,0.028
"P37","Javier Milei por los liberales libertarios",0.024,0,0.024,0.13,0.226,0.179,0.935,0.188,0.145
"P37","Nicolás del Caño por la izquierda",0.024,0.046,0.009,0.039,0.039,0.021,0.002,0.812,0
"P37","Otro candidato",0.151,0.118,0.032,0.22,0.087,0.386,0.017,0,0.192
"P37","Aún no lo tengo decidido",0.111,0.099,0.014,0.103,0.065,0.094,0.026,0,0.432
"P38","Alberto Fernández por el Frente de Todos",0.584,0.718,0.012,0.078,0.048,0.079,0.027,0,0.026
"P38","Mauricio Macri por Juntos por el Cambio",0.01,0.046,0.904,0.441,0.61,0.274,0.006,0,0.023
"P38","Javier Milei por los liberales libertarios",0.021,0,0.052,0.147,0.205,0.099,0.92,0,0.14
"P38","Nicolás del Caño por la izquierda",0.053,0.089,0.011,0.042,0.023,0.032,0.01,0.927,0
"P38","Otro candidato",0.223,0.092,0.004,0.223,0.071,0.453,0.01,0,0.297
"P38","Aún no lo tengo decidido",0.109,0.055,0.017,0.069,0.043,0.063,0.027,0.073,0.514
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.955,0.7,0.035,0.08,0.023,0.12,0.036,0.419,0.102
"P39","Mauricio Macri por Juntos por el Cambio",0.021,0.012,0.957,0.574,0.863,0.493,0.426,0.213,0.235
"P39","No sabe",0.024,0.288,0.008,0.346,0.114,0.387,0.538,0.368,0.663
"P40","Alberto Fernández por el Frente de Todos",0.736,0.784,0.05,0.03,0.017,0.135,0.002,0.344,0.092
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.088,0.785,0.881,0.718,0.629,0.392,0.165,0.254
"P40","No sabe",0.24,0.128,0.165,0.089,0.265,0.236,0.606,0.491,0.654
"P41","Sergio Massa presidente por el Frente de Todos",0.718,0.83,0.035,0.079,0.013,0.206,0.012,0.404,0.194
"P41","Patricia Bullrich por Juntos por el Cambio",0.011,0.016,0.929,0.58,0.93,0.547,0.693,0.034,0.241
"P41","No sabe",0.271,0.154,0.036,0.341,0.057,0.247,0.295,0.562,0.565
"P42","Sergio Massa presidente por el Frente de Todos",0.756,0.885,0,0.084,0.056,0.23,0.026,0.403,0.303
"P42","Mauricio Macri por Juntos por el Cambio",0.034,0.016,0.997,0.593,0.867,0.427,0.576,0.033,0.209
"P42","No sabe",0.21,0.099,0.003,0.323,0.077,0.343,0.398,0.564,0.488
"P43","Sergio Massa presidente por el Frente de Todos",0.771,0.894,0.032,0.117,0.009,0.245,0.007,0.498,0.252
"P43","Javier Milei por los liberales libertarios",0.035,0,0.481,0.378,0.688,0.294,0.961,0.033,0.26
"P43","No sabe",0.194,0.106,0.487,0.505,0.303,0.461,0.032,0.469,0.488
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.1,0.194,0.436,0.79,0.344,0.688,0.008,0.361,0.29
"P44","Javier Milei por los liberales libertarios",0.057,0.12,0.322,0.088,0.495,0.067,0.965,0,0.163
"P44","No sabe",0.843,0.686,0.242,0.122,0.161,0.245,0.027,0.639,0.547
"P45","Muy buena",0.098,0.176,0.021,0.073,0.031,0.041,0,0,0.044
"P45","Buena",0.308,0.27,0.014,0.009,0.063,0.052,0.048,0.045,0.02
"P45","Ni buena ni mala",0.402,0.455,0.029,0.2,0.011,0.14,0.016,0.577,0.368
"P45","Mala",0.129,0.093,0.097,0.146,0.111,0.185,0.061,0.195,0.177
"P45","Muy mala",0.037,0.006,0.837,0.572,0.775,0.582,0.875,0.183,0.376
"P45","No sabe",0.026,0,0.002,0,0.009,0,0,0,0.015
"P46","Muy buena",0.124,0.145,0,0.017,0,0.037,0,0,0.033
"P46","Buena",0.336,0.442,0.002,0.028,0.027,0.029,0.005,0.142,0.031
"P46","Ni buena ni mala",0.357,0.31,0.057,0.115,0.004,0.086,0.014,0.457,0.347
"P46","Mala",0.124,0.097,0.052,0.187,0.107,0.158,0.067,0.195,0.166
"P46","Muy mala",0.053,0.006,0.887,0.653,0.857,0.624,0.884,0.206,0.423
"P46","No sabe",0.006,0,0.002,0,0.005,0.066,0.03,0,0
"P47","Muy buena",0.783,0.198,0,0.053,0.003,0.045,0,0.072,0
"P47","Buena",0.129,0.244,0.002,0.016,0.003,0.08,0.006,0.227,0.034
"P47","Ni buena ni mala",0.068,0.449,0,0.024,0.027,0.047,0.017,0.094,0.253
"P47","Mala",0.012,0.03,0.057,0.21,0.048,0.13,0.059,0.421,0.216
"P47","Muy mala",0.007,0.079,0.932,0.692,0.901,0.698,0.918,0.186,0.497
"P47","No sabe",0.001,0,0.009,0.005,0.018,0,0,0,0
"P48","Muy buena",0.044,0.069,0.617,0.106,0.284,0.06,0.061,0,0.009
"P48","Buena",0.016,0.051,0.247,0.28,0.372,0.151,0.118,0,0.054
"P48","Ni buena ni mala",0.034,0.198,0.01,0.26,0.156,0.139,0.308,0.135,0.353
"P48","Mala",0.127,0.414,0.03,0.137,0.079,0.444,0.211,0.148,0.238
"P48","Muy mala",0.772,0.268,0.096,0.214,0.103,0.206,0.302,0.64,0.311
"P48","No sabe",0.007,0,0,0.003,0.006,0,0,0.077,0.035
"P49","Muy buena",0.007,0.039,0.275,0.516,0.112,0.144,0.023,0,0.05
"P49","Buena",0.02,0.26,0.352,0.31,0.467,0.418,0.16,0,0.214
"P49","Ni buena ni mala",0.085,0.402,0.257,0.086,0.246,0.187,0.21,0.167,0.421
"P49","Mala",0.218,0.179,0.02,0.06,0.1,0.218,0.209,0.32,0.155
"P49","Muy mala",0.669,0.12,0.096,0.026,0.072,0.025,0.394,0.513,0.146
"P49","No sabe",0.001,0,0,0.002,0.003,0.008,0.004,0,0.014
"P50","Muy buena",0.132,0.18,0.033,0.082,0.002,0.052,0.002,0,0.138
"P50","Buena",0.341,0.339,0.03,0.056,0.026,0.147,0.014,0.133,0.099
"P50","Ni buena ni mala",0.337,0.279,0.07,0.266,0.126,0.357,0.065,0.453,0.408
"P50","Mala",0.091,0.195,0.131,0.12,0.14,0.189,0.2,0.125,0.177
"P50","Muy mala",0.09,0.007,0.736,0.476,0.706,0.255,0.719,0.289,0.178
"P50","No sabe",0.009,0,0,0,0,0,0,0,0
"P51","Muy buena",0.01,0,0.464,0.237,0.741,0.083,0.289,0,0.035
"P51","Buena",0.039,0.09,0.321,0.19,0.154,0.498,0.293,0,0.078
"P51","Ni buena ni mala",0.065,0.11,0.096,0.342,0.022,0.107,0.199,0.277,0.384
"P51","Mala",0.105,0.365,0.012,0.063,0.032,0.141,0.086,0.079,0.194
"P51","Muy mala",0.781,0.435,0.107,0.158,0.042,0.171,0.133,0.644,0.293
"P51","No sabe",0,0,0,0.01,0.009,0,0,0,0.016
"P52","Muy buena",0.017,0,0.115,0.083,0.249,0.022,0.73,0,0
"P52","Buena",0.019,0,0.215,0.2,0.242,0.108,0.148,0,0.147
"P52","Ni buena ni mala",0.057,0.175,0.417,0.442,0.31,0.384,0.048,0,0.346
"P52","Mala",0.116,0.372,0.144,0.131,0.126,0.227,0.007,0.113,0.201
"P52","Muy mala",0.781,0.453,0.096,0.141,0.046,0.259,0.067,0.887,0.245
"P52","No sabe",0.01,0,0.013,0.003,0.027,0,0,0,0.061
"P53","Muy buena",0.019,0,0.315,0.317,0.223,0.236,0.076,0,0.039
"P53","Buena",0.023,0.154,0.343,0.203,0.375,0.175,0.201,0,0.216
"P53","Ni buena ni mala",0.05,0.21,0.285,0.272,0.263,0.247,0.174,0.241,0.237
"P53","Mala",0.098,0.365,0.013,0.125,0.088,0.11,0.155,0.131,0.222
"P53","Muy mala",0.793,0.271,0.044,0.08,0.048,0.232,0.391,0.591,0.286
"P53","No sabe",0.017,0,0,0.003,0.003,0,0.003,0.037,0
"P54","Muy buena",0.194,0.187,0.021,0.032,0.041,0,0,0,0.02
"P54","Buena",0.334,0.265,0.067,0.116,0.052,0.087,0.056,0.043,0.025
"P54","Ni buena ni mala",0.324,0.372,0.09,0.244,0.083,0.131,0.104,0.348,0.365
"P54","Mala",0.04,0.109,0.162,0.186,0.148,0.117,0.183,0.191,0.305
"P54","Muy mala",0.104,0.067,0.659,0.422,0.667,0.665,0.657,0.418,0.285
"P54","No sabe",0.004,0,0.001,0,0.009,0,0,0,0
"P55","Muy buena",0.029,0.122,0.053,0.074,0.015,0.585,0.019,0,0.136
"P55","Buena",0.102,0.216,0.086,0.166,0.152,0.246,0.052,0.043,0.089
"P55","Ni buena ni mala",0.403,0.466,0.334,0.424,0.349,0.079,0.342,0.431,0.531
"P55","Mala",0.184,0.126,0.161,0.215,0.233,0.06,0.141,0,0.137
"P55","Muy mala",0.234,0.043,0.355,0.121,0.23,0.015,0.405,0.439,0.101
"P55","No sabe",0.048,0.027,0.011,0,0.021,0.015,0.041,0.087,0.006
"P57","Siempre",0.304,0.172,0.305,0.347,0.23,0.357,0.322,0.129,0.164
"P57","Casi siempre",0.378,0.498,0.405,0.328,0.453,0.252,0.257,0.714,0.514
"P57","Casi nunca",0.196,0.287,0.254,0.218,0.255,0.32,0.217,0.116,0.259
"P57","Nunca, pero esta es una excepción",0.122,0.043,0.036,0.107,0.062,0.071,0.204,0.041,0.063
"P58","Si",0.59,0.378,0.633,0.571,0.551,0.531,0.665,0.573,0.5
"P58","No",0.41,0.622,0.367,0.429,0.449,0.469,0.335,0.427,0.5
