"var","categoria","Sergio Massa presidente por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P11","A Sergio Massa",0.195,0.149,0.159,0,0,0.028
"P11","A algún candidato del peronismo",0.065,0.323,0.424,0.394,0.147,0.053
"P11","A Cristina Fernández de Kirchner",0.651,0.137,0.085,0.544,0.727,0.75
"P12","A Horacio Rodriguez Larreta",0.149,0.166,0.337,0.59,0.238,0.469
"P12","A Mauricio Macri",0.15,0.448,0.068,0.41,0.177,0.109
"P12","A Patricia Bullrich",0.056,0.358,0.517,0,0.302,0.305
"P12","A Facundo Manes",0.537,0.021,0.059,0,0.234,0.012
"P12","A Gerardo Morales",0.108,0.007,0.019,0,0.049,0.105
"P13","Seguro lo votaria",0.055,0.125,0.55,0.077,0.124,0.055
"P13","Quizás lo votaría",0.04,0.42,0.424,0.169,0.544,0.337
"P13","Nunca lo votaría",0.905,0.455,0.026,0.754,0.332,0.608
"P14","Lo votaría",0.024,0.697,0.1,0.159,0.08,0.076
"P14","Puede que lo vote",0.016,0.226,0.313,0.045,0.17,0.18
"P14","Nunca lo votaría",0.908,0.065,0.519,0.761,0.641,0.635
"P14","No sabe",0.052,0.012,0.068,0.035,0.109,0.109
"P15","Lo votaría",0.322,0.062,0.041,0.023,0.081,0.037
"P15","Puede que lo vote",0.487,0.06,0.078,0.432,0.235,0.32
"P15","Nunca lo votaría",0.16,0.869,0.858,0.524,0.579,0.487
"P15","No sabe",0.031,0.009,0.023,0.021,0.105,0.156
"P16","Lo votaría",0.278,0.015,0.024,0.035,0.12,0.14
"P16","Puede que lo vote",0.479,0.031,0.008,0.138,0.155,0.183
"P16","Nunca lo votaría",0.145,0.933,0.966,0.765,0.58,0.525
"P16","No sabe",0.098,0.021,0.002,0.062,0.145,0.152
"P17","La votaría",0.738,0.014,0.035,0.318,0.408,0.414
"P17","Puede que la vote",0.159,0.014,0.027,0.161,0.113,0.085
"P17","Nunca la votaría",0.086,0.972,0.934,0.512,0.448,0.383
"P17","No sabe",0.017,0,0.004,0.009,0.031,0.118
"P18","Lo votaría",0.07,0.306,0.047,0.11,0.16,0.115
"P18","Puede que lo vote",0.069,0.385,0.302,0.278,0.226,0.179
"P18","Nunca lo votaría",0.82,0.278,0.617,0.552,0.562,0.552
"P18","No sabe",0.041,0.031,0.034,0.06,0.052,0.154
"P19","Lo votaría",0.028,0.093,0.043,0.007,0.096,0.073
"P19","Puede que lo vote",0.154,0.263,0.208,0.248,0.232,0.136
"P19","Nunca lo votaría",0.681,0.587,0.699,0.667,0.518,0.486
"P19","No sabe",0.137,0.057,0.05,0.078,0.154,0.305
"P20","La votaría",0.015,0.62,0.313,0.231,0.186,0.123
"P20","Puede que la vote",0.031,0.237,0.371,0.039,0.126,0.161
"P20","Nunca la votaría",0.932,0.128,0.295,0.674,0.621,0.562
"P20","No sabe",0.022,0.015,0.021,0.056,0.067,0.154
"P21","Lo votaría",0.001,0.098,0.713,0.007,0.036,0.045
"P21","Puede que lo vote",0.028,0.398,0.228,0.137,0.213,0.099
"P21","Nunca lo votaría",0.919,0.467,0.041,0.742,0.691,0.649
"P21","No sabe",0.052,0.037,0.018,0.114,0.06,0.207
"P22","La votaría",0.01,0.285,0.103,0.023,0.067,0.137
"P22","Puede que la vote",0.022,0.39,0.323,0.343,0.211,0.105
"P22","Nunca la votaría",0.915,0.285,0.527,0.568,0.618,0.587
"P22","No sabe",0.053,0.04,0.047,0.066,0.104,0.171
"P23","Lo votaría",0.214,0.043,0.007,0.023,0.094,0.076
"P23","Puede que lo vote",0.426,0.04,0.067,0.323,0.22,0.224
"P23","Nunca lo votaría",0.284,0.896,0.901,0.57,0.621,0.53
"P23","No sabe",0.076,0.021,0.025,0.084,0.065,0.17
"P24","Lo votaría",0.017,0.057,0.025,0.045,0.024,0.023
"P24","Puede que lo vote",0.096,0.253,0.139,0.26,0.105,0.156
"P24","Nunca lo votaría",0.79,0.64,0.748,0.65,0.733,0.601
"P24","No sabe",0.097,0.05,0.088,0.045,0.138,0.22
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.812,0.012,0.037,0.231,0.414,0.407
"P26","Alberto Fernández por el Frente de Todos",0.094,0.006,0,0.05,0.037,0.041
"P26","Mauricio Macri por Juntos por el cambio",0.013,0.43,0.015,0.034,0.036,0.021
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.162,0.06,0.11,0.178,0.111
"P26","Patricia Bullrich por Juntos por el Cambio",0.014,0.351,0.187,0.197,0.126,0.125
"P26","Facundo Manes por Juntos por el Cambio",0.01,0.032,0.031,0.023,0.117,0.038
"P26","Javier Milei por los liberales libertarios",0.008,0.002,0.626,0.007,0.02,0.041
"P26","Nicolás del Caño por la izquierda",0,0,0.013,0.348,0,0
"P26","Aún no lo tengo decidido",0.033,0.005,0.031,0,0.072,0.216
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.215,0.061,0.144,0.182,0.113
"P27","Patricia Bullrich por Juntos por el Cambio",0.004,0.678,0.194,0.103,0.174,0.146
"P27","Facundo Manes por Juntos por el Cambio",0.011,0.034,0.028,0,0.115,0.034
"P27","Alberto Fernández por el Frente de Todos",0.24,0.01,0.008,0.062,0.131,0.174
"P27","Sergio Massa por el Frente de Todos",0.608,0.011,0.021,0.023,0.108,0.045
"P27","Javier Milei por los liberales libertarios",0.003,0.029,0.654,0.094,0.022,0.009
"P27","Nicolás del Caño por la izquierda",0.011,0,0.009,0.48,0.007,0.005
"P27","Otros candidatos",0.036,0.014,0.004,0.063,0.164,0.095
"P27","Aún no lo tengo decidido",0.056,0.009,0.021,0.031,0.097,0.379
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.858,0.029,0.056,0.2,0.396,0.391
"P28","Mauricio Macri por Juntos por el Cambio",0.016,0.88,0.078,0.042,0.079,0.087
"P28","Javier Milei por los liberales libertarios",0.004,0.031,0.819,0.151,0.056,0.046
"P28","Nicolás del Caño por la izquierda",0.008,0,0,0.585,0.011,0
"P28","Otro candidato",0.069,0.032,0.035,0.022,0.366,0.081
"P28","Aún no lo tengo decidido",0.045,0.028,0.012,0,0.092,0.395
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.104,0.625,0.096,0.162,0.187,0.117
"P30","Alberto Fernández por el Frente de Todos",0.587,0.048,0.027,0.069,0.151,0.199
"P30","Javier Milei por los liberales libertarios",0.002,0.134,0.835,0,0.06,0.079
"P30","Nicolás del Caño por la izquierda",0.031,0.003,0.015,0.685,0.017,0.014
"P30","Otro candidato",0.152,0.112,0.014,0.084,0.43,0.146
"P30","Aún no lo tengo decidido",0.124,0.078,0.013,0,0.155,0.445
"P32","Sergio Massa presidente por el Frente de Todos",0.818,0.047,0.021,0.018,0.074,0.091
"P32","Patricia Bullrich por Juntos por el Cambio",0.04,0.813,0.227,0.167,0.174,0.179
"P32","Javier Milei por los liberales libertarios",0,0.055,0.729,0.006,0.018,0.048
"P32","Nicolás del Caño por la izquierda",0.016,0,0,0.779,0.007,0.02
"P32","Otro candidato",0.054,0.047,0.003,0.022,0.576,0.119
"P32","Aún no lo tengo decidido",0.072,0.038,0.02,0.008,0.151,0.543
"P34","Sergio Massa presidente por el Frente de Todos",0.818,0.085,0.031,0,0.1,0.108
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.635,0.078,0.227,0.173,0.135
"P34","Javier Milei por los liberales libertarios",0,0.122,0.882,0.007,0.046,0.01
"P34","Nicolás del Caño por la izquierda",0.017,0.001,0,0.71,0.009,0.022
"P34","Otro candidato",0.067,0.103,0.007,0.056,0.612,0.104
"P34","Aún no lo tengo decidido",0.04,0.054,0.002,0,0.06,0.621
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.867,0.052,0.037,0.216,0.402,0.287
"P36","Horacio Rodríguez Larreta por Juntos por el Cambio",0.06,0.668,0.052,0.164,0.216,0.133
"P36","Javier Milei por los liberales libertarios",0.002,0.147,0.902,0.11,0.046,0.012
"P36","Nicolás del Caño por la izquierda",0.001,0.001,0,0.476,0.002,0.021
"P36","Otro candidato",0.034,0.092,0.005,0.034,0.315,0.1
"P36","Aún no lo tengo decidido",0.036,0.04,0.004,0,0.019,0.447
"P38","Alberto Fernández por el Frente de Todos",0.727,0.018,0.024,0.148,0.15,0.139
"P38","Mauricio Macri por Juntos por el Cambio",0.01,0.924,0.038,0.007,0.049,0.125
"P38","Javier Milei por los liberales libertarios",0.003,0.037,0.928,0,0.011,0.007
"P38","Nicolás del Caño por la izquierda",0.044,0,0,0.821,0.018,0.006
"P38","Otro candidato",0.139,0.014,0.007,0,0.723,0.123
"P38","Aún no lo tengo decidido",0.077,0.007,0.003,0.024,0.049,0.6
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.9,0.054,0.047,0.418,0.437,0.471
"P39","Mauricio Macri por Juntos por el Cambio",0.03,0.928,0.493,0.347,0.218,0.212
"P39","No sabe",0.07,0.018,0.46,0.235,0.345,0.317
"P40","Alberto Fernández por el Frente de Todos",0.764,0.037,0.026,0.274,0.278,0.375
"P40","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.812,0.496,0.231,0.37,0.2
"P40","No sabe",0.188,0.151,0.478,0.495,0.352,0.425
"P41","Sergio Massa presidente por el Frente de Todos",0.858,0.045,0.022,0.286,0.171,0.253
"P41","Patricia Bullrich por Juntos por el Cambio",0.014,0.918,0.709,0.324,0.286,0.19
"P41","No sabe",0.128,0.037,0.269,0.39,0.543,0.557
"P42","Sergio Massa presidente por el Frente de Todos",0.915,0.03,0.034,0.513,0.198,0.233
"P42","Mauricio Macri por Juntos por el Cambio",0.023,0.962,0.648,0.08,0.239,0.169
"P42","No sabe",0.062,0.008,0.318,0.407,0.563,0.598
"P43","Sergio Massa presidente por el Frente de Todos",0.918,0.047,0.008,0.446,0.224,0.22
"P43","Javier Milei por los liberales libertarios",0.015,0.5,0.943,0.248,0.196,0.153
"P43","No sabe",0.067,0.453,0.049,0.306,0.58,0.627
"P44","Horacio Rodríguez Larreta por Juntos por el Cambio",0.135,0.556,0.076,0.321,0.33,0.209
"P44","Javier Milei por los liberales libertarios",0.055,0.253,0.908,0.116,0.129,0.083
"P44","No sabe",0.81,0.191,0.016,0.563,0.541,0.708
"P45","Muy buena",0.107,0.043,0.002,0.119,0.052,0.051
"P45","Buena",0.298,0.028,0.08,0.066,0.105,0.161
"P45","Ni buena ni mala",0.438,0.044,0.01,0.22,0.293,0.349
"P45","Mala",0.098,0.102,0.103,0.153,0.194,0.156
"P45","Muy mala",0.041,0.778,0.805,0.436,0.322,0.275
"P45","No sabe",0.018,0.005,0,0.006,0.034,0.008
"P46","Muy buena",0.107,0.009,0.025,0.018,0.043,0.092
"P46","Buena",0.381,0.004,0.008,0.165,0.119,0.138
"P46","Ni buena ni mala",0.369,0.053,0.009,0.23,0.2,0.316
"P46","Mala",0.082,0.089,0.102,0.142,0.21,0.178
"P46","Muy mala",0.061,0.843,0.837,0.445,0.41,0.239
"P46","No sabe",0,0.002,0.019,0,0.018,0.037
"P47","Muy buena",0.666,0.025,0.037,0.21,0.345,0.364
"P47","Buena",0.136,0,0.013,0.129,0.053,0.128
"P47","Ni buena ni mala",0.128,0.008,0.013,0.141,0.032,0.151
"P47","Mala",0.033,0.066,0.057,0.153,0.166,0.057
"P47","Muy mala",0.036,0.887,0.878,0.367,0.4,0.3
"P47","No sabe",0.001,0.014,0.002,0,0.004,0
"P48","Muy buena",0.04,0.448,0.094,0.009,0.074,0.062
"P48","Buena",0.024,0.32,0.166,0.007,0.13,0.109
"P48","Ni buena ni mala",0.035,0.105,0.294,0.066,0.159,0.173
"P48","Mala",0.187,0.039,0.162,0.275,0.236,0.124
"P48","Muy mala",0.706,0.086,0.284,0.618,0.401,0.503
"P48","No sabe",0.008,0.002,0,0.025,0,0.029
"P49","Muy buena",0.007,0.283,0.052,0.031,0.122,0.155
"P49","Buena",0.059,0.387,0.251,0.236,0.18,0.15
"P49","Ni buena ni mala",0.101,0.201,0.219,0.177,0.326,0.122
"P49","Mala",0.267,0.052,0.165,0.122,0.089,0.174
"P49","Muy mala",0.565,0.076,0.311,0.434,0.281,0.383
"P49","No sabe",0.001,0.001,0.002,0,0.002,0.016
"P50","Muy buena",0.188,0.041,0.002,0,0.029,0.047
"P50","Buena",0.448,0.024,0.025,0.06,0.04,0.117
"P50","Ni buena ni mala",0.269,0.098,0.089,0.469,0.415,0.481
"P50","Mala",0.047,0.146,0.181,0.216,0.171,0.16
"P50","Muy mala",0.044,0.691,0.703,0.255,0.338,0.177
"P50","No sabe",0.004,0,0,0,0.007,0.018
"P51","Muy buena",0.013,0.556,0.334,0.174,0.117,0.123
"P51","Buena",0.05,0.257,0.25,0.033,0.12,0.151
"P51","Ni buena ni mala",0.053,0.095,0.203,0.087,0.266,0.123
"P51","Mala",0.156,0.022,0.072,0.133,0.061,0.12
"P51","Muy mala",0.725,0.064,0.141,0.573,0.436,0.475
"P51","No sabe",0.003,0.006,0,0,0,0.008
"P52","Muy buena",0.004,0.115,0.608,0.117,0.065,0.014
"P52","Buena",0.003,0.211,0.252,0.006,0.086,0.054
"P52","Ni buena ni mala",0.064,0.411,0.084,0.039,0.359,0.249
"P52","Mala",0.153,0.155,0.011,0.195,0.124,0.161
"P52","Muy mala",0.765,0.088,0.045,0.643,0.355,0.487
"P52","No sabe",0.011,0.02,0,0,0.011,0.035
"P53","Muy buena",0,0.31,0.125,0.052,0.113,0.126
"P53","Buena",0.026,0.324,0.25,0.101,0.225,0.083
"P53","Ni buena ni mala",0.057,0.261,0.231,0.111,0.234,0.141
"P53","Mala",0.135,0.054,0.116,0.282,0.077,0.161
"P53","Muy mala",0.771,0.051,0.276,0.443,0.351,0.444
"P53","No sabe",0.011,0,0.002,0.011,0,0.045
"P54","Muy buena",0.222,0.03,0.025,0.025,0.031,0.062
"P54","Buena",0.358,0.046,0.048,0.15,0.211,0.132
"P54","Ni buena ni mala",0.268,0.106,0.094,0.354,0.322,0.45
"P54","Mala",0.049,0.174,0.174,0.096,0.11,0.147
"P54","Muy mala",0.103,0.642,0.659,0.375,0.314,0.192
"P54","No sabe",0,0.002,0,0,0.012,0.017
"P55","Muy buena",0.041,0.052,0.042,0.032,0.111,0.134
"P55","Buena",0.136,0.124,0.083,0.177,0.1,0.076
"P55","Ni buena ni mala",0.429,0.363,0.333,0.331,0.368,0.365
"P55","Mala",0.177,0.2,0.14,0.233,0.188,0.131
"P55","Muy mala",0.18,0.246,0.361,0.202,0.226,0.23
"P55","No sabe",0.037,0.015,0.041,0.025,0.007,0.064
"P57","Siempre",0.322,0.31,0.271,0.332,0.253,0.144
"P57","Casi siempre",0.391,0.419,0.286,0.443,0.312,0.557
"P57","Casi nunca",0.211,0.22,0.241,0.214,0.31,0.18
"P57","Nunca, pero esta es una excepción",0.076,0.051,0.202,0.011,0.125,0.119
"P58","Si",0.549,0.606,0.612,0.711,0.555,0.541
"P58","No",0.451,0.394,0.388,0.289,0.445,0.459
