"var","categoria","Lo votaria","Puede que lo vote","Nunca lo votaría","No sabe"
"P41","Mala",0.164,0.173,0.27,0.069
"P41","Muy mala",0.356,0.41,0.344,0.32
"P41","No sabe",0,0.008,0.003,0.008
"P42","Muy buena",0.331,0.13,0.042,0.171
"P42","Buena",0.118,0.253,0.139,0.084
"P42","Ni buena ni mala",0.254,0.272,0.183,0.22
"P42","Mala",0.058,0.237,0.111,0.352
"P42","Muy mala",0.111,0.108,0.523,0.164
"P42","No sabe",0.128,0,0.002,0.009
"P43","Muy buena",0.443,0.166,0.321,0.378
"P43","Buena",0.015,0.071,0.078,0.132
"P43","Ni buena ni mala",0.027,0.224,0.097,0.039
"P43","Mala",0.034,0.17,0.051,0.117
"P43","Muy mala",0.481,0.352,0.441,0.295
"P43","No sabe",0,0.017,0.012,0.039
"P44","Muy buena",0.171,0.088,0.151,0.114
"P44","Buena",0.207,0.305,0.052,0.072
"P44","Ni buena ni mala",0.337,0.183,0.208,0.252
"P44","Mala",0.006,0.315,0.186,0.203
"P44","Muy mala",0.112,0.09,0.389,0.301
"P44","No sabe",0.167,0.019,0.014,0.058
"P45","Muy buena",0.108,0.033,0.061,0.209
"P45","Buena",0.057,0.365,0.275,0.358
"P45","Ni buena ni mala",0.231,0.116,0.203,0.071
"P45","Mala",0.108,0.264,0.132,0.187
"P45","Muy mala",0.343,0.209,0.314,0.164
"P45","No sabe",0.153,0.013,0.015,0.011
"P46","Muy buena",0.423,0.261,0.103,0.254
"P46","Buena",0.083,0.136,0.185,0.106
"P46","Ni buena ni mala",0.259,0.243,0.21,0.193
"P46","Mala",0.038,0.257,0.134,0.153
"P46","Muy mala",0.029,0.094,0.352,0.238
"P46","No sabe",0.168,0.009,0.016,0.056
"P47","Muy buena",0.19,0.186,0.153,0.409
"P47","Buena",0.148,0.161,0.029,0.127
"P47","Ni buena ni mala",0.339,0.227,0.198,0.08
"P47","Mala",0.035,0.156,0.105,0.107
"P47","Muy mala",0.101,0.27,0.448,0.228
"P47","No sabe",0.187,0,0.067,0.049
