"var","categoria","A Ariel Sujarchuk por el Frente de Todos","A Roberto Costa por Juntos por el cambio","A Mariano Castagnaro por Juntos por el Cambio","A Jesica Avejera por Juntos por el Cambio","A Ricardo Choffi por  Consenso Federal","A Griselda Romariz por los liberales libertarios","A Sandro Salazar por el Frente de Izquierda","No sabe"
"P12","A Roberto Costa por Juntos por el Cambio",0.073,0.919,0.326,0.347,0,0.007,0.086,0.066
"P12","A Ricardo Choffi por Consenso Federal",0.015,0.011,0.06,0.007,0.112,0.013,0,0.039
"P12","A Griselda Romariz por los liberales libertarios",0.035,0.019,0.345,0.108,0.252,0.646,0.067,0.137
"P12","A Sandro Salazar por el Frente de Izquierda",0.011,0,0.014,0,0.017,0,0.369,0.013
"P12","No sabe",0.113,0.012,0.211,0.267,0.619,0.322,0.478,0.716
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.722,0.025,0,0.316,0,0.008,0,0.04
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.07,0.724,0.612,0.375,0,0.015,0.206,0.088
"P13","A Ricardo Choffi por Consenso Federal",0.027,0.046,0.058,0.037,0.618,0.024,0,0.022
"P13","A Griselda Romariz por los liberales libertarios",0.037,0.051,0.232,0.015,0,0.79,0,0.143
"P13","A Sandro Salazar por el Frente de Izquierda",0.012,0.003,0,0,0.018,0,0.248,0.025
"P13","No sabe",0.132,0.151,0.098,0.257,0.364,0.163,0.546,0.682
"P14","Lo votaria",0.847,0.123,0.083,0,0,0,0.505,0.068
"P14","Puede que lo vote",0.07,0.271,0.139,0.551,0.083,0.061,0.18,0.034
"P14","Nunca lo votaría",0.053,0.581,0.644,0.449,0.317,0.857,0.315,0.479
"P14","No sabe",0.03,0.025,0.134,0,0.6,0.082,0,0.419
"P15","Lo votaria",0.204,0.557,0.152,0.577,0,0.01,0.174,0.037
"P15","Puede que lo vote",0.133,0.291,0.402,0.189,0.119,0.182,0.308,0.085
"P15","Nunca lo votaría",0.528,0.102,0.276,0.234,0.881,0.638,0.234,0.617
"P15","No sabe",0.135,0.05,0.17,0,0,0.17,0.284,0.261
"P16","Lo votaria",0.182,0.26,0.522,0.16,0,0,0,0.02
"P16","Puede que lo vote",0.194,0.407,0.174,0.183,0,0.09,0.413,0.103
"P16","Nunca lo votaría",0.409,0.193,0.077,0.264,0.387,0.615,0.291,0.639
"P16","No sabe",0.215,0.14,0.227,0.393,0.613,0.295,0.296,0.238
"P17","Lo votaria",0.423,0.062,0.02,0.3,0,0.007,0,0.038
"P17","Puede que lo vote",0.199,0.186,0.046,0.013,0,0.169,0,0.029
"P17","Nunca lo votaría",0.228,0.546,0.662,0.634,1,0.56,0.614,0.718
"P17","No sabe",0.15,0.206,0.272,0.053,0,0.264,0.386,0.215
"P18","Lo votaria",0.165,0.021,0.041,0,0.112,0.049,0,0
"P18","Puede que lo vote",0.134,0.139,0.022,0.314,0,0.094,0.035,0.029
"P18","Nunca lo votaría",0.468,0.587,0.59,0.324,0.332,0.708,0.501,0.706
"P18","No sabe",0.233,0.253,0.347,0.362,0.556,0.149,0.464,0.265
"P19","Lo votaria",0.11,0.105,0.111,0.424,0,0.396,0,0.008
"P19","Puede que lo vote",0.079,0.2,0.315,0.223,0.119,0.139,0.155,0.129
"P19","Nunca lo votaría",0.541,0.465,0.395,0,0.284,0.194,0.665,0.605
"P19","No sabe",0.27,0.23,0.179,0.353,0.597,0.271,0.18,0.258
"P20","Lo votaria",0.075,0.043,0.063,0.115,0,0.345,0.156,0.047
"P20","Puede que lo vote",0.148,0.143,0.194,0.108,0,0.239,0,0.142
"P20","Nunca lo votaría",0.518,0.528,0.555,0.299,0.408,0.158,0.656,0.54
"P20","No sabe",0.259,0.286,0.188,0.478,0.592,0.258,0.188,0.271
"P21","Muy buena",0.594,0,0.062,0.347,0.088,0.004,0.159,0.016
"P21","Buena",0.206,0.169,0.121,0.114,0,0.039,0.156,0.109
"P21","Ni buena ni mala",0.142,0.473,0.519,0.183,0.591,0.269,0.075,0.268
"P21","Mala",0.009,0.215,0.161,0.157,0.201,0.323,0,0.343
"P21","Muy mala",0.049,0.137,0.12,0.199,0.12,0.356,0.61,0.115
"P21","No sabe",0,0.006,0.017,0,0,0.009,0,0.149
"P22","Que continúe el intendente Ariel Sujarchuk",0.637,0.007,0.059,0.307,0,0.004,0,0.012
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.235,0.186,0.137,0.173,0.088,0.056,0.278,0.184
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.108,0.244,0.103,0.095,0,0.048,0,0.17
"P22","Que cambie el intendente Ariel Sujarchuk",0.02,0.563,0.701,0.425,0.912,0.892,0.722,0.634
"P23","La seguridad",0.109,0.028,0.044,0.385,0,0,0,0.012
"P23","El tránsito",0.044,0.131,0.032,0,0,0.018,0,0
"P23","El arreglo de las calles",0.35,0.203,0.221,0.04,0.235,0.052,0.161,0.258
"P23","Los parques y los espacios públicos",0.127,0.184,0.164,0.15,0,0.366,0.45,0.037
"P23","El sistema de salud",0.138,0.036,0.073,0.004,0,0.013,0.16,0.022
"P23","La limpieza de las calles",0.017,0.012,0.038,0.13,0,0.132,0,0
"P23","El deporte y la cultura",0.151,0.046,0.03,0,0,0.096,0,0.042
"P23","La luminaria",0.013,0.023,0.088,0.011,0,0.151,0,0.206
"P23","No sabe",0.051,0.337,0.31,0.28,0.765,0.172,0.229,0.423
"P24","La seguridad",0.357,0.289,0.448,0.229,0.235,0.519,0,0.327
"P24","El tránsito",0.187,0.233,0.116,0,0,0.187,0,0.028
"P24","El arreglo de las calles",0.172,0.199,0.092,0.126,0,0.03,0.229,0.101
"P24","Los parques y los espacios públicos",0.034,0.053,0.059,0.309,0,0.009,0.189,0.017
"P24","El sistema de salud",0.074,0.135,0.108,0.2,0,0.136,0.539,0.252
"P24","La limpieza de las calles",0.026,0.048,0.024,0,0,0.035,0,0.067
"P24","El deporte y la cultura",0.037,0,0.013,0,0,0.054,0,0
"P24","La luminaria",0.031,0.003,0.083,0,0,0.02,0,0.002
"P24","No sabe",0.082,0.04,0.057,0.136,0.765,0.01,0.043,0.206
"P25","Agua corriente y cloacas",0.513,0.567,0.743,0.298,1,0.443,0.255,0.738
"P25","Energía eléctrica",0.193,0.185,0.079,0.171,0,0.169,0.225,0.011
"P25","Red de gas natural",0.09,0.083,0.037,0.036,0,0.022,0.447,0.018
"P25","Recolección de residuos",0.089,0.071,0.109,0.409,0,0.294,0.073,0.079
"P25","Ninguno",0.115,0.094,0.032,0.086,0,0.072,0,0.154
"P26","Los robos",0.514,0.541,0.555,0.587,1,0.433,0.107,0.277
"P26","El narcotráfico",0.091,0.173,0.242,0.237,0,0.257,0.191,0.159
"P26","La ausencia de patrulleros y personal policial",0.241,0.201,0.09,0,0,0.215,0,0.349
"P26","Otro",0.129,0.069,0.113,0.092,0,0.061,0.299,0.122
"P26","Ninguno",0.025,0.016,0,0.084,0,0.034,0.403,0.093
"P27","Muy buena",0.55,0.084,0.017,0,0,0,0,0.04
"P27","Buena",0.257,0.082,0.093,0.135,0,0.121,0.265,0.087
"P27","Ni buena ni mala",0.152,0.407,0.391,0.315,0,0.262,0.042,0.51
"P27","Mala",0.025,0.202,0.162,0.421,0,0.263,0.073,0.025
"P27","Muy mala",0.016,0.191,0.263,0.129,1,0.354,0.62,0.186
"P27","No sabe",0,0.034,0.074,0,0,0,0,0.152
"P28","Muy buena",0.047,0.184,0.066,0.171,0,0,0,0.02
"P28","Buena",0.078,0.339,0.086,0.124,0,0.223,0,0.061
"P28","Ni buena ni mala",0.437,0.324,0.503,0.179,0,0.088,0.221,0.4
"P28","Mala",0.209,0.026,0.098,0.408,0,0.255,0.12,0.055
"P28","Muy mala",0.163,0.1,0.121,0.118,1,0.209,0.659,0.137
"P28","No sabe",0.066,0.027,0.126,0,0,0.225,0,0.327
"P29","Muy buena",0.044,0.029,0.293,0.411,0,0,0,0
"P29","Buena",0.05,0.133,0.223,0.067,0,0.04,0.243,0.009
"P29","Ni buena ni mala",0.513,0.426,0.289,0.383,0,0.271,0.114,0.406
"P29","Mala",0.055,0.147,0,0.105,0,0.107,0,0.026
"P29","Muy mala",0.173,0.011,0.018,0,1,0.328,0.643,0.089
"P29","No sabe",0.165,0.254,0.177,0.034,0,0.254,0,0.47
"P30","Muy buena",0.038,0,0.058,0,0,0,0,0
"P30","Buena",0.027,0.039,0.113,0,0,0.069,0,0
"P30","Ni buena ni mala",0.533,0.314,0.38,0.852,0,0.263,0.256,0.265
"P30","Mala",0.058,0.108,0.001,0.017,0,0.168,0.103,0.092
"P30","Muy mala",0.121,0.014,0.001,0,0,0.23,0.641,0.125
"P30","No sabe",0.223,0.525,0.447,0.131,1,0.27,0,0.518
"P31","Muy buena",0.029,0.036,0.039,0.672,0,0.216,0,0
"P31","Buena",0.055,0.089,0.126,0.045,0,0.074,0,0.001
"P31","Ni buena ni mala",0.478,0.211,0.527,0.273,0,0.278,0.196,0.215
"P31","Mala",0.078,0.183,0.027,0,1,0.194,0,0.184
"P31","Muy mala",0.125,0.051,0.001,0,0,0.054,0.733,0.035
"P31","No sabe",0.235,0.43,0.28,0.01,0,0.184,0.071,0.565
"P32","Muy buena",0.153,0,0.006,0.012,0,0.092,0,0
"P32","Buena",0.133,0.04,0.032,0.358,0,0.066,0,0
"P32","Ni buena ni mala",0.385,0.3,0.407,0.486,0,0.233,0.167,0.208
"P32","Mala",0.065,0.164,0.087,0.062,0,0.116,0,0.114
"P32","Muy mala",0.068,0.111,0.055,0,1,0.301,0.763,0.06
"P32","No sabe",0.196,0.385,0.413,0.082,0,0.192,0.07,0.618
"P33","Muy buena",0.044,0,0,0.354,0,0.349,0,0
"P33","Buena",0.069,0.086,0.032,0,0,0.169,0,0
"P33","Ni buena ni mala",0.481,0.229,0.43,0.497,0,0.245,0.168,0.219
"P33","Mala",0.041,0.133,0.024,0.012,0,0.077,0.029,0.113
"P33","Muy mala",0.127,0.045,0.02,0,1,0.013,0.735,0.249
"P33","No sabe",0.238,0.507,0.494,0.137,0,0.147,0.068,0.419
"P34","Muy buena",0.032,0.189,0.05,0.317,0,0.224,0,0
"P34","Buena",0.023,0.271,0.324,0.274,0,0.096,0.096,0.058
"P34","Ni buena ni mala",0.447,0.246,0.411,0.043,0,0.346,0.13,0.536
"P34","Mala",0.137,0.093,0.099,0.295,0,0.104,0,0.133
"P34","Muy mala",0.192,0.033,0.033,0.015,1,0.193,0.774,0.041
"P34","No sabe",0.169,0.168,0.083,0.056,0,0.037,0,0.232
"P35","Frente de Todos y el peronismo",0.575,0,0.031,0,1,0.027,0,0.031
"P35","Cambiemos",0.088,0.723,0.633,0.799,0,0.221,0.066,0.105
"P35","Liberales Libertarios",0.22,0.187,0.242,0.145,0,0.681,0,0.072
"P35","Izquierda",0.024,0.005,0.045,0,0,0.046,0.836,0.135
"P35","No sabe",0.093,0.085,0.049,0.056,0,0.025,0.098,0.657
"P41","Muy buena",0.163,0.061,0.049,0,0,0,0,0.128
"P41","Buena",0.255,0.078,0.017,0.052,0,0,0.097,0.01
"P41","Ni buena ni mala",0.228,0.056,0.165,0.057,0,0.277,0,0.11
"P41","Mala",0.217,0.207,0.11,0.304,0,0.039,0.126,0.188
"P41","Muy mala",0.135,0.588,0.659,0.587,0,0.684,0.777,0.542
"P41","No sabe",0.002,0.01,0,0,0,0,0,0.022
"P42","Muy buena",0.04,0.27,0.33,0.428,0,0.295,0,0.024
"P42","Buena",0.068,0.309,0.238,0.029,0,0.129,0.06,0.303
"P42","Ni buena ni mala",0.228,0.242,0.12,0.471,0,0.183,0.065,0.175
"P42","Mala",0.211,0.047,0.177,0,0,0.258,0.097,0.254
"P42","Muy mala",0.418,0.126,0.135,0.072,0,0.135,0.778,0.218
"P42","No sabe",0.035,0.006,0,0,0,0,0,0.026
"P43","Muy buena",0.557,0.051,0.089,0.074,0,0.009,0.115,0.02
"P43","Buena",0.108,0.125,0,0,0,0,0,0.009
"P43","Ni buena ni mala",0.107,0.109,0.025,0.145,0,0.037,0,0.12
"P43","Mala",0.057,0.061,0.059,0.337,0,0.241,0.12,0.093
"P43","Muy mala",0.171,0.654,0.785,0.444,0,0.713,0.765,0.583
"P43","No sabe",0,0,0.042,0,0,0,0,0.175
"P44","Muy buena",0.127,0.251,0.146,0.328,0,0.053,0,0
"P44","Buena",0.079,0.361,0.192,0.061,0,0.043,0.098,0.022
"P44","Ni buena ni mala",0.263,0.133,0.42,0.33,0,0.047,0.122,0.259
"P44","Mala",0.179,0.101,0.005,0.193,0,0.413,0,0.372
"P44","Muy mala",0.302,0.148,0.191,0.088,0,0.444,0.78,0.162
"P44","No sabe",0.05,0.006,0.046,0,0,0,0,0.185
"P45","Muy buena",0.166,0.011,0.031,0,0,0.027,0,0.009
"P45","Buena",0.367,0.282,0.068,0,0,0.266,0,0.023
"P45","Ni buena ni mala",0.234,0.051,0.066,0.025,0,0.041,0.182,0.124
"P45","Mala",0.125,0.17,0.147,0.517,0,0.377,0.061,0.168
"P45","Muy mala",0.067,0.48,0.667,0.369,0,0.289,0.757,0.592
"P45","No sabe",0.041,0.006,0.021,0.089,0,0,0,0.084
"P46","Muy buena",0.055,0.445,0.508,0.102,0,0.801,0,0.023
"P46","Buena",0.099,0.166,0.146,0.236,0,0.125,0.062,0.372
"P46","Ni buena ni mala",0.241,0.334,0.105,0.271,0,0,0.06,0.199
"P46","Mala",0.231,0.015,0.076,0,0,0.065,0.099,0.054
"P46","Muy mala",0.324,0.04,0.145,0.302,0,0.009,0.779,0.163
"P46","No sabe",0.05,0,0.02,0.089,0,0,0,0.189
"P47","Muy buena",0.135,0.285,0.201,0,0,0.937,0,0.086
"P47","Buena",0.054,0.203,0.326,0.1,0,0.028,0,0.022
"P47","Ni buena ni mala",0.141,0.251,0.347,0.368,0,0,0.059,0.487
"P47","Mala",0.169,0.005,0.049,0.018,0,0.009,0.06,0.058
"P47","Muy mala",0.409,0.256,0.046,0.514,0,0.026,0.881,0.155
"P47","No sabe",0.092,0,0.031,0,0,0,0,0.192
