"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y los espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P25","Red de gas natural",0.006,0.093,0.122,0.066,0.013,0.016,0.121,0,0.06
"P25","Recolección de residuos",0.188,0.073,0.025,0.119,0.325,0.03,0.053,0.702,0.053
"P25","Ninguno",0.121,0.049,0.089,0.075,0.11,0.041,0.029,0.028,0.205
"P26","Los robos",0.787,0.643,0.574,0.502,0.356,0.596,0.357,0.483,0.321
"P26","El narcotráfico",0.079,0.205,0.159,0.163,0.075,0.229,0.046,0.108,0.21
"P26","La ausencia de patrulleros y personal policial",0.042,0.104,0.166,0.167,0.314,0.145,0.464,0.1,0.305
"P26","Otro",0.082,0.021,0.068,0.116,0.246,0.03,0.12,0.3,0.102
"P26","Ninguno",0.01,0.027,0.033,0.052,0.009,0,0.013,0.009,0.062
"P27","Muy buena",0.606,0.302,0.393,0.222,0.526,0.113,0.327,0.038,0.118
"P27","Buena",0.102,0.498,0.284,0.209,0.136,0.046,0.209,0,0.048
"P27","Ni buena ni mala",0.089,0.167,0.21,0.24,0.263,0.763,0.29,0.455,0.276
"P27","Mala",0.203,0.033,0.053,0.189,0.032,0.063,0.078,0.035,0.145
"P27","Muy mala",0,0,0.045,0.14,0.043,0.015,0.096,0.392,0.325
"P27","No sabe",0,0,0.015,0,0,0,0,0.08,0.088
"P28","Muy buena",0.145,0.051,0.063,0.032,0.004,0.683,0,0,0.123
"P28","Buena",0.112,0.314,0.039,0.119,0.083,0.04,0.318,0.472,0.112
"P28","Ni buena ni mala",0.418,0.534,0.446,0.281,0.37,0.277,0.262,0.181,0.407
"P28","Mala",0.265,0.072,0.147,0.267,0.439,0,0.101,0,0.043
"P28","Muy mala",0.021,0.029,0.174,0.15,0.073,0,0.308,0.265,0.168
"P28","No sabe",0.039,0,0.131,0.151,0.031,0,0.011,0.082,0.147
"P29","Muy buena",0.307,0,0.071,0.027,0,0.137,0.008,0.01,0.083
"P29","Buena",0.011,0.198,0.029,0.101,0.086,0,0.166,0.03,0.072
"P29","Ni buena ni mala",0.559,0.563,0.438,0.427,0.521,0.779,0.273,0.51,0.397
"P29","Mala",0.022,0.025,0.086,0.128,0.03,0.084,0.092,0.008,0.053
"P29","Muy mala",0,0.063,0.176,0.153,0.058,0,0.324,0.213,0.079
"P29","No sabe",0.101,0.151,0.2,0.164,0.305,0,0.137,0.229,0.316
"P30","Muy buena",0.088,0.057,0.044,0.018,0,0,0.008,0.008,0
"P30","Buena",0.011,0.191,0.007,0.021,0.053,0.162,0.037,0.009,0.048
"P30","Ni buena ni mala",0.723,0.347,0.432,0.342,0.524,0.637,0.447,0.653,0.361
"P30","Mala",0.046,0,0.082,0.12,0.042,0.083,0.153,0.009,0.037
"P30","Muy mala",0.01,0,0.147,0.146,0.041,0,0.19,0.039,0.075
"P30","No sabe",0.122,0.405,0.288,0.353,0.34,0.118,0.165,0.282,0.479
"P31","Muy buena",0.294,0,0.039,0.017,0,0.464,0.015,0.389,0.039
"P31","Buena",0.011,0.222,0.049,0.152,0.034,0.186,0,0,0.04
"P31","Ni buena ni mala",0.544,0.09,0.374,0.35,0.489,0.236,0.521,0.306,0.332
"P31","Mala",0.029,0.013,0.151,0.092,0.078,0.067,0.151,0.009,0.134
"P31","Muy mala",0.012,0.171,0.154,0.089,0.054,0.047,0.159,0,0.035
"P31","No sabe",0.11,0.504,0.233,0.3,0.345,0,0.154,0.296,0.42
"P32","Muy buena",0.106,0.128,0.146,0.041,0.034,0.171,0.175,0.173,0.002
"P32","Buena",0.331,0.18,0.077,0.041,0.1,0.158,0.072,0.009,0.113
"P32","Ni buena ni mala",0.429,0.358,0.36,0.416,0.404,0.43,0.374,0.105,0.23
"P32","Mala",0.019,0,0.128,0.121,0.067,0.128,0.087,0.023,0.087
"P32","Muy mala",0,0.111,0.069,0.1,0.048,0,0.18,0.426,0.102
"P32","No sabe",0.115,0.223,0.22,0.281,0.347,0.113,0.112,0.264,0.466
"P33","Muy buena",0.289,0.013,0.039,0.03,0.013,0,0.089,0.421,0.009
"P33","Buena",0.134,0.226,0.055,0.128,0.038,0,0.079,0.01,0.007
"P33","Ni buena ni mala",0.432,0.155,0.395,0.357,0.476,0.751,0.456,0.303,0.342
"P33","Mala",0.011,0,0.092,0.109,0.024,0.106,0.011,0.009,0.076
"P33","Muy mala",0,0.141,0.163,0.081,0.049,0,0.186,0,0.123
"P33","No sabe",0.134,0.465,0.256,0.295,0.4,0.143,0.179,0.257,0.443
"P34","Muy buena",0.106,0.07,0.066,0.08,0,0.495,0,0.42,0.061
"P34","Buena",0.143,0.325,0.074,0.121,0.029,0,0.096,0.091,0.119
"P34","Ni buena ni mala",0.601,0.286,0.353,0.445,0.303,0.429,0.405,0.404,0.41
"P34","Mala",0.069,0.017,0.135,0.066,0.267,0.076,0.15,0,0.149
"P34","Muy mala",0.012,0.189,0.171,0.19,0.112,0,0.229,0.073,0.112
"P34","No sabe",0.069,0.113,0.201,0.098,0.289,0,0.12,0.012,0.149
"P35","Frente de Todos y el peronismo",0.287,0.273,0.379,0.243,0.643,0.203,0.488,0.188,0.115
"P35","Cambiemos",0.265,0.526,0.233,0.237,0.036,0.438,0.161,0.659,0.339
"P35","Liberales Libertarios",0.426,0.088,0.225,0.411,0.116,0.206,0.292,0.066,0.181
"P35","Izquierda",0,0,0.048,0.093,0.007,0,0.02,0,0.067
"P35","No sabe",0.022,0.113,0.115,0.016,0.198,0.153,0.039,0.087,0.298
"P41","Muy buena",0.178,0.074,0.249,0.025,0.193,0,0,0.008,0.053
"P41","Buena",0.078,0.285,0.228,0.06,0.275,0.078,0.155,0.036,0.114
"P41","Ni buena ni mala",0.458,0.108,0.124,0.322,0.136,0.314,0.206,0.068,0.104
"P41","Mala",0.14,0.387,0.169,0.19,0.287,0.033,0.337,0.035,0.098
"P41","Muy mala",0.146,0.146,0.228,0.399,0.106,0.575,0.302,0.853,0.616
"P41","No sabe",0,0,0.002,0.004,0.003,0,0,0,0.015
"P42","Muy buena",0.184,0.023,0.084,0.194,0.029,0.419,0.028,0.439,0.161
"P42","Buena",0.096,0.193,0.139,0.075,0.021,0.066,0.211,0.172,0.247
"P42","Ni buena ni mala",0.581,0.329,0.188,0.137,0.216,0.479,0.196,0.077,0.235
"P42","Mala",0.058,0,0.141,0.333,0.443,0.036,0.035,0.025,0.169
"P42","Muy mala",0.081,0.455,0.376,0.261,0.291,0,0.53,0.287,0.171
"P42","No sabe",0,0,0.072,0,0,0,0,0,0.017
"P43","Muy buena",0.614,0.162,0.472,0.232,0.409,0.035,0.363,0.031,0.178
"P43","Buena",0.029,0.138,0.127,0.044,0.198,0.067,0.056,0,0.008
"P43","Ni buena ni mala",0.028,0.229,0.107,0.117,0.019,0.147,0.074,0.224,0.071
"P43","Mala",0.07,0.019,0.038,0.197,0.209,0.186,0.022,0.031,0.049
"P43","Muy mala",0.259,0.452,0.256,0.41,0.165,0.565,0.485,0.649,0.615
"P43","No sabe",0,0,0,0,0,0,0,0.065,0.079
"P44","Muy buena",0.206,0.022,0.161,0.113,0.004,0,0.351,0,0.115
"P44","Buena",0.078,0.198,0.157,0.217,0.036,0.34,0.092,0.102,0.071
"P44","Ni buena ni mala",0.473,0.32,0.166,0.134,0.481,0.531,0.032,0.359,0.243
"P44","Mala",0.103,0,0.193,0.189,0.282,0.129,0.072,0.009,0.303
"P44","Muy mala",0.14,0.46,0.242,0.314,0.186,0,0.453,0.462,0.182
"P44","No sabe",0,0,0.081,0.033,0.011,0,0,0.068,0.086
"P45","Muy buena",0.127,0.077,0.09,0.167,0.199,0,0.134,0,0.002
"P45","Buena",0.083,0.338,0.389,0.19,0.285,0.265,0.278,0.608,0.14
"P45","Ni buena ni mala",0.503,0.134,0.16,0.053,0.201,0.035,0.347,0.084,0.057
"P45","Mala",0.146,0.251,0.123,0.33,0.211,0.413,0.095,0.014,0.118
"P45","Muy mala",0.141,0.2,0.145,0.26,0.099,0.287,0.146,0.294,0.639
"P45","No sabe",0,0,0.093,0,0.005,0,0,0,0.044
"P46","Muy buena",0.297,0.022,0.119,0.388,0.021,0.243,0.226,0.582,0.251
"P46","Buena",0.03,0.209,0.13,0.115,0.031,0.361,0.089,0.234,0.252
"P46","Ni buena ni mala",0.558,0.431,0.247,0.213,0.056,0.299,0.271,0.085,0.151
"P46","Mala",0.063,0.04,0.142,0.129,0.405,0.057,0.108,0.016,0.122
"P46","Muy mala",0.052,0.298,0.277,0.122,0.47,0.04,0.306,0.083,0.137
"P46","No sabe",0,0,0.085,0.033,0.017,0,0,0,0.087
"P47","Muy buena",0.155,0.04,0.166,0.5,0.087,0.07,0.134,0.503,0.218
"P47","Buena",0.045,0.143,0.047,0.052,0.217,0.363,0.001,0.084,0.158
"P47","Ni buena ni mala",0.666,0.471,0.215,0.07,0.016,0.294,0.028,0.208,0.269
"P47","Mala",0.086,0,0.164,0.098,0.025,0.096,0.088,0.006,0.128
"P47","Muy mala",0.048,0.346,0.247,0.255,0.651,0,0.749,0.199,0.139
"P47","No sabe",0,0,0.161,0.025,0.004,0.177,0,0,0.088
