"var","categoria","A Carlos “Beto” Ramil por el Frente de Todos","A Roberto Costa por Juntos por el cambio","A Mariano Castagnaro por Juntos por el Cambio","A Jesica Avejera por Juntos por el Cambio","A Ricardo Choffi por Consenso Federal","A Griselda Romariz por los liberales libertarios","A Sandro Salazar por el Frente de Izquierda","No sabe"
"P13","A Griselda Romariz por los liberales libertarios",0.004,0.047,0.116,0.067,0.075,0.75,0.018,0.054
"P13","A Sandro Salazar por el Frente de Izquierda",0.005,0.002,0,0,0.074,0,0.345,0.033
"P13","No sabe",0.026,0.161,0.101,0.17,0,0.12,0.392,0.751
"P14","Lo votaria",0.86,0.241,0.123,0.013,0.499,0.207,0.604,0.466
"P14","Puede que lo vote",0.064,0.228,0.153,0.553,0.084,0.05,0.023,0.101
"P14","Nunca lo votaría",0.031,0.508,0.639,0.434,0.153,0.676,0.35,0.244
"P14","No sabe",0.045,0.023,0.085,0,0.264,0.067,0.023,0.189
"P15","Lo votaria",0.183,0.601,0.2,0.39,0.463,0.095,0,0.037
"P15","Puede que lo vote",0.12,0.237,0.428,0.378,0.04,0.131,0.124,0.154
"P15","Nunca lo votaría",0.584,0.093,0.25,0.218,0.497,0.609,0.876,0.533
"P15","No sabe",0.113,0.069,0.122,0.014,0,0.165,0,0.276
"P16","Lo votaria",0.181,0.2,0.496,0.329,0.496,0.073,0.297,0.037
"P16","Puede que lo vote",0.176,0.402,0.229,0.299,0.05,0.057,0.131,0.19
"P16","Nunca lo votaría",0.458,0.244,0.101,0.224,0.253,0.57,0.572,0.383
"P16","No sabe",0.185,0.154,0.174,0.148,0.201,0.3,0,0.39
"P17","Lo votaria",0.56,0.153,0,0.021,0.131,0.074,0,0.019
"P17","Puede que lo vote",0.18,0.142,0.189,0.093,0.097,0.123,0.131,0.168
"P17","Nunca lo votaría",0.145,0.565,0.616,0.542,0.772,0.599,0.869,0.433
"P17","No sabe",0.115,0.14,0.195,0.344,0,0.204,0,0.38
"P18","Lo votaria",0.182,0.065,0,0,0.221,0.111,0.118,0
"P18","Puede que lo vote",0.107,0.099,0.122,0.348,0.238,0.068,0,0.179
"P18","Nunca lo votaría",0.496,0.515,0.606,0.528,0.174,0.69,0.817,0.459
"P18","No sabe",0.215,0.321,0.272,0.124,0.367,0.131,0.065,0.362
"P19","Lo votaria",0.085,0.048,0.1,0.691,0.162,0.461,0.117,0.017
"P19","Puede que lo vote",0.069,0.098,0.433,0.233,0.179,0.09,0.36,0.135
"P19","Nunca lo votaría",0.606,0.556,0.279,0,0.281,0.238,0.486,0.45
"P19","No sabe",0.24,0.298,0.188,0.076,0.378,0.211,0.037,0.398
"P20","Lo votaria",0.053,0.024,0.044,0.188,0,0.384,0.158,0.025
"P20","Puede que lo vote",0.117,0.139,0.192,0.239,0.072,0.267,0.353,0.109
"P20","Nunca lo votaría",0.598,0.539,0.506,0.324,0.562,0.179,0.451,0.412
"P20","No sabe",0.232,0.298,0.258,0.249,0.366,0.17,0.038,0.454
"P21","Muy buena",0.695,0.09,0.091,0.058,0,0.197,0.139,0.149
"P21","Buena",0.193,0.153,0.091,0.168,0.107,0.085,0.038,0.254
"P21","Ni buena ni mala",0.105,0.369,0.39,0.287,0.676,0.242,0.185,0.359
"P21","Mala",0.007,0.179,0.215,0.266,0.107,0.229,0,0.129
"P21","Muy mala",0,0.204,0.213,0.207,0.11,0.237,0.638,0.024
"P21","No sabe",0,0.005,0,0.014,0,0.01,0,0.085
"P22","Que continúe el intendente Ariel Sujarchuk",0.663,0.112,0.079,0,0,0.248,0.103,0.321
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.215,0.22,0.121,0.26,0.109,0.043,0.226,0.306
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.121,0.179,0.165,0.16,0.11,0.069,0,0.11
"P22","Que cambie el intendente Ariel Sujarchuk",0.001,0.489,0.635,0.58,0.781,0.64,0.671,0.263
"P23","La seguridad",0.1,0.104,0.036,0.11,0,0.09,0,0.034
"P23","El tránsito",0.027,0.164,0.054,0,0,0.009,0,0.003
"P23","El arreglo de las calles",0.376,0.2,0.247,0.116,0,0.097,0.153,0.314
"P23","Los parques y los espacios públicos",0.104,0.161,0.08,0.253,0.302,0.332,0.265,0.137
"P23","El sistema de salud",0.138,0.037,0.004,0.006,0,0.052,0,0.166
"P23","La limpieza de las calles",0.023,0.013,0.024,0.197,0,0.09,0,0.004
"P23","El deporte y la cultura",0.155,0.037,0.074,0,0.119,0.096,0.077,0.101
"P23","La luminaria",0.017,0.104,0.045,0.016,0.041,0.1,0,0.018
"P23","No sabe",0.06,0.18,0.436,0.302,0.538,0.134,0.505,0.223
"P24","La seguridad",0.283,0.364,0.435,0.398,0.422,0.573,0.027,0.298
"P24","El tránsito",0.242,0.187,0.103,0.036,0.041,0.132,0.124,0.058
"P24","El arreglo de las calles",0.165,0.181,0.113,0.035,0.041,0.02,0.155,0.247
"P24","Los parques y los espacios públicos",0.046,0.104,0.053,0,0.122,0.006,0.038,0.007
"P24","El sistema de salud",0.091,0.124,0.052,0.327,0,0.125,0.511,0.123
"P24","La limpieza de las calles",0.028,0.005,0.107,0,0,0.024,0.08,0.038
"P24","El deporte y la cultura",0.041,0,0.054,0,0,0.036,0,0
"P24","La luminaria",0.02,0.002,0.035,0,0,0.075,0,0.025
"P24","No sabe",0.084,0.033,0.048,0.204,0.374,0.009,0.065,0.204
"P25","Agua corriente y cloacas",0.507,0.528,0.761,0.447,0.832,0.503,0.347,0.572
"P25","Energía eléctrica",0.204,0.172,0.036,0.228,0.168,0.223,0.124,0.071
"P25","Red de gas natural",0.099,0.09,0.081,0.049,0,0.017,0.224,0.033
"P25","Recolección de residuos",0.082,0.118,0.105,0.115,0,0.212,0.08,0.131
"P25","Ninguno",0.108,0.092,0.017,0.161,0,0.045,0.225,0.193
"P26","Los robos",0.47,0.624,0.572,0.368,0.186,0.522,0,0.401
"P26","El narcotráfico",0.106,0.11,0.279,0.356,0,0.195,0.416,0.092
"P26","La ausencia de patrulleros y personal policial",0.237,0.196,0.07,0.032,0.266,0.209,0.115,0.336
"P26","Otro",0.161,0.056,0.079,0.128,0.548,0.051,0.164,0.108
"P26","Ninguno",0.026,0.014,0,0.116,0,0.023,0.305,0.063
"P27","Muy buena",0.675,0.093,0,0,0.185,0.091,0.11,0.177
"P27","Buena",0.189,0.166,0.145,0.203,0,0.25,0.04,0.168
"P27","Ni buena ni mala",0.127,0.326,0.35,0.434,0.265,0.198,0.028,0.479
"P27","Mala",0.007,0.233,0.164,0.129,0.47,0.207,0.04,0.024
"P27","Muy mala",0.002,0.153,0.3,0.234,0.08,0.254,0.663,0.073
"P27","No sabe",0,0.029,0.041,0,0,0,0.119,0.079
"P28","Muy buena",0.065,0.119,0.13,0.245,0.176,0,0.028,0.017
"P28","Buena",0.082,0.275,0.167,0.202,0.327,0.206,0,0.015
"P28","Ni buena ni mala",0.393,0.356,0.418,0.308,0,0.21,0.07,0.518
"P28","Mala",0.208,0.142,0.064,0.044,0.177,0.245,0.042,0.126
"P28","Muy mala",0.195,0.096,0.157,0.201,0.32,0.149,0.86,0.058
"P28","No sabe",0.057,0.012,0.064,0,0,0.19,0,0.266
"P29","Muy buena",0.061,0.078,0.295,0.05,0,0,0,0
"P29","Buena",0.043,0.096,0.322,0.097,0.318,0.048,0,0.017
"P29","Ni buena ni mala",0.497,0.404,0.184,0.653,0.432,0.391,0.212,0.514
"P29","Mala",0.027,0.172,0.04,0.151,0,0.12,0,0.032
"P29","Muy mala",0.205,0.056,0,0,0.25,0.245,0.76,0.029
"P29","No sabe",0.167,0.194,0.159,0.049,0,0.196,0.028,0.408
"P30","Muy buena",0.053,0,0.048,0,0,0,0,0
"P30","Buena",0.025,0.04,0.038,0,0.688,0.064,0,0.011
"P30","Ni buena ni mala",0.514,0.37,0.384,0.759,0.246,0.391,0.213,0.425
"P30","Mala",0.028,0.162,0.002,0.024,0,0.167,0.321,0.037
"P30","Muy mala",0.14,0.06,0.001,0,0,0.165,0.358,0.075
"P30","No sabe",0.24,0.368,0.527,0.217,0.066,0.213,0.108,0.452
"P31","Muy buena",0.039,0.084,0.085,0.436,0,0.15,0,0
"P31","Buena",0.029,0.083,0.049,0.094,0.326,0.216,0,0
"P31","Ni buena ni mala",0.495,0.236,0.435,0.428,0.54,0.233,0.195,0.394
"P31","Mala",0.038,0.205,0.061,0,0,0.215,0.018,0.149
"P31","Muy mala",0.146,0.069,0.055,0,0.067,0.038,0.397,0.026
"P31","No sabe",0.253,0.323,0.315,0.042,0.067,0.148,0.39,0.431
"P32","Muy buena",0.212,0,0.005,0.016,0,0.06,0,0
"P32","Buena",0.177,0.118,0.006,0,0.33,0.046,0.051,0
"P32","Ni buena ni mala",0.293,0.281,0.466,0.701,0.538,0.37,0.16,0.42
"P32","Mala",0.041,0.198,0.096,0.112,0,0.122,0.018,0.076
"P32","Muy mala",0.068,0.074,0.199,0.029,0.132,0.207,0.4,0.047
"P32","No sabe",0.209,0.329,0.228,0.142,0,0.195,0.371,0.457
"P33","Muy buena",0.042,0.078,0,0,0,0.302,0,0
"P33","Buena",0.044,0.094,0,0.024,0.398,0.252,0,0
"P33","Ni buena ni mala",0.483,0.197,0.47,0.741,0.602,0.236,0.14,0.418
"P33","Mala",0.029,0.185,0.006,0.016,0,0.035,0.018,0.08
"P33","Muy mala",0.144,0.066,0.071,0,0,0.009,0.455,0.145
"P33","No sabe",0.258,0.38,0.453,0.219,0,0.166,0.387,0.357
"P34","Muy buena",0.044,0.136,0.123,0.288,0,0.151,0,0.014
"P34","Buena",0.003,0.284,0.314,0.273,0.339,0.127,0,0.005
"P34","Ni buena ni mala",0.412,0.305,0.203,0.053,0.179,0.435,0.133,0.618
"P34","Mala",0.135,0.077,0.244,0.269,0,0.116,0.086,0.082
"P34","Muy mala",0.232,0.061,0.075,0.039,0.482,0.133,0.408,0.039
"P34","No sabe",0.174,0.137,0.041,0.078,0,0.038,0.373,0.242
"P35","Frente de Todos y el peronismo",0.694,0.065,0.024,0,0,0.034,0.068,0.177
"P35","Cambiemos",0.086,0.674,0.648,0.817,0,0.191,0.017,0.091
"P35","Liberales Libertarios",0.192,0.177,0.154,0.132,0.124,0.734,0.1,0.119
"P35","Izquierda",0.008,0.065,0.015,0,0.52,0.032,0.815,0.007
"P35","No sabe",0.02,0.019,0.159,0.051,0.356,0.009,0,0.606
"P41","Muy buena",0.221,0.065,0.043,0,0,0,0.374,0.009
"P41","Buena",0.313,0.043,0.09,0.047,0,0.009,0,0.097
"P41","Ni buena ni mala",0.188,0.066,0.212,0.052,0.179,0.357,0,0.183
"P41","Mala",0.207,0.194,0.081,0.278,0.695,0.07,0.099,0.277
"P41","Muy mala",0.068,0.622,0.574,0.623,0.126,0.564,0.527,0.423
"P41","No sabe",0.003,0.01,0,0,0,0,0,0.011
"P42","Muy buena",0.05,0.207,0.308,0.429,0.334,0.215,0.059,0.039
"P42","Buena",0.079,0.334,0.199,0.052,0,0.089,0,0.167
"P42","Ni buena ni mala",0.18,0.287,0.192,0.43,0.125,0.135,0.052,0.315
"P42","Mala",0.179,0.021,0.096,0.023,0.18,0.423,0,0.265
"P42","Muy mala",0.464,0.145,0.205,0.066,0.361,0.138,0.889,0.2
"P42","No sabe",0.048,0.006,0,0,0,0,0,0.014
"P43","Muy buena",0.696,0.013,0.154,0.067,0.312,0.153,0.086,0.08
"P43","Buena",0.112,0.132,0.017,0,0.188,0,0,0.074
"P43","Ni buena ni mala",0.063,0.079,0.172,0.132,0,0.029,0,0.218
"P43","Mala",0.016,0.031,0.087,0.307,0.189,0.201,0.037,0.177
"P43","Muy mala",0.113,0.745,0.534,0.494,0.311,0.617,0.877,0.363
"P43","No sabe",0,0,0.036,0,0,0,0,0.088
"P44","Muy buena",0.168,0.249,0.062,0.286,0.307,0.035,0.06,0.035
"P44","Buena",0.05,0.309,0.377,0.126,0,0.017,0,0.1
"P44","Ni buena ni mala",0.264,0.242,0.199,0.322,0.191,0.098,0.052,0.296
"P44","Mala",0.158,0.065,0.039,0.168,0.31,0.314,0.053,0.376
"P44","Muy mala",0.293,0.129,0.284,0.098,0.192,0.536,0.835,0.088
"P44","No sabe",0.067,0.006,0.039,0,0,0,0,0.105
"P45","Muy buena",0.161,0.02,0,0,0.305,0.164,0.056,0.042
"P45","Buena",0.451,0.249,0.228,0,0,0.176,0.017,0.103
"P45","Ni buena ni mala",0.239,0.124,0.094,0.057,0.251,0.018,0,0.19
"P45","Mala",0.058,0.168,0.124,0.451,0.385,0.303,0.035,0.307
"P45","Muy mala",0.033,0.433,0.554,0.415,0.059,0.339,0.832,0.314
"P45","No sabe",0.058,0.006,0,0.077,0,0,0.06,0.044
"P46","Muy buena",0.076,0.448,0.357,0.217,0.36,0.505,0.061,0.031
"P46","Buena",0.103,0.086,0.187,0.206,0,0.211,0.017,0.227
"P46","Ni buena ni mala",0.17,0.303,0.306,0.236,0.194,0.166,0.087,0.266
"P46","Mala",0.229,0.02,0.065,0,0,0.055,0,0.249
"P46","Muy mala",0.356,0.143,0.085,0.263,0.446,0.051,0.835,0.12
"P46","No sabe",0.066,0,0,0.078,0,0.012,0,0.107
"P47","Muy buena",0.078,0.294,0.119,0,0.364,0.919,0.077,0.06
"P47","Buena",0.067,0.178,0.287,0.158,0.055,0.012,0.05,0.052
"P47","Ni buena ni mala",0.125,0.237,0.382,0.357,0.194,0.041,0.034,0.358
"P47","Mala",0.188,0.026,0.059,0.015,0,0.006,0,0.116
"P47","Muy mala",0.414,0.265,0.123,0.47,0.387,0.022,0.839,0.316
"P47","No sabe",0.128,0,0.03,0,0,0,0,0.098
