"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Javier Milei","No sabe",0.046,0.032,0.061,0.058,0.046,0.029,0.054,0.065,0.052,0.017,0.047,0.028,0.107,0.05,0.05,0.034,0.043
"Facundo Manes","Positiva",0.386,0.391,0.382,0.285,0.352,0.437,0.549,0.376,0.375,0.415,0.255,0.526,0.504,0.356,0.416,0.351,0.403
"Facundo Manes","Negativa",0.478,0.501,0.455,0.477,0.518,0.484,0.377,0.454,0.466,0.523,0.585,0.38,0.39,0.502,0.403,0.454,0.495
"Facundo Manes","No sabe",0.136,0.108,0.163,0.238,0.13,0.079,0.074,0.17,0.159,0.062,0.16,0.094,0.106,0.142,0.181,0.195,0.102
"CFK","Positiva",0.358,0.329,0.385,0.394,0.359,0.357,0.302,0.423,0.341,0.307,0.695,0.109,0.176,0.287,0.381,0.413,0.399
"CFK","Negativa",0.624,0.657,0.592,0.58,0.628,0.627,0.676,0.546,0.642,0.687,0.294,0.882,0.781,0.69,0.603,0.565,0.586
"CFK","No sabe",0.018,0.014,0.023,0.026,0.013,0.016,0.022,0.031,0.017,0.006,0.011,0.009,0.043,0.023,0.016,0.022,0.015
"Martin Lousteau","Positiva",0.343,0.325,0.36,0.219,0.293,0.443,0.505,0.331,0.314,0.399,0.169,0.532,0.485,0.338,0.334,0.271,0.361
"Martin Lousteau","Negativa",0.557,0.6,0.517,0.573,0.62,0.517,0.444,0.54,0.573,0.554,0.722,0.395,0.435,0.55,0.518,0.652,0.569
"Martin Lousteau","No sabe",0.1,0.075,0.123,0.208,0.087,0.04,0.051,0.129,0.113,0.047,0.109,0.073,0.08,0.112,0.148,0.077,0.07
"Horacio Rodriguez Larreta","Positiva",0.329,0.3,0.356,0.215,0.301,0.383,0.49,0.301,0.321,0.372,0.16,0.553,0.355,0.31,0.34,0.244,0.35
"Horacio Rodriguez Larreta","Negativa",0.628,0.668,0.59,0.715,0.659,0.588,0.48,0.639,0.635,0.605,0.803,0.418,0.595,0.634,0.603,0.692,0.626
"Horacio Rodriguez Larreta","No sabe",0.043,0.032,0.054,0.07,0.04,0.029,0.03,0.06,0.044,0.023,0.037,0.029,0.05,0.056,0.057,0.064,0.024
"Wado de Pedro","Positiva",0.329,0.313,0.344,0.303,0.329,0.372,0.308,0.348,0.324,0.314,0.579,0.109,0.295,0.257,0.332,0.371,0.381
"Wado de Pedro","Negativa",0.538,0.582,0.496,0.473,0.545,0.558,0.592,0.484,0.532,0.611,0.295,0.779,0.56,0.591,0.507,0.515,0.511
"Wado de Pedro","No sabe",0.133,0.105,0.16,0.224,0.126,0.07,0.1,0.168,0.144,0.075,0.126,0.112,0.145,0.152,0.161,0.114,0.108
"Axel Kicillof","Positiva",0.312,0.288,0.336,0.308,0.302,0.353,0.289,0.354,0.302,0.279,0.61,0.079,0.225,0.239,0.268,0.379,0.385
"Axel Kicillof","Negativa",0.647,0.676,0.618,0.625,0.654,0.634,0.679,0.574,0.662,0.708,0.349,0.896,0.707,0.7,0.672,0.572,0.6
"Axel Kicillof","No sabe",0.041,0.036,0.046,0.067,0.044,0.013,0.032,0.072,0.036,0.013,0.041,0.025,0.068,0.061,0.06,0.049,0.015
"Elisa Carrio","Positiva",0.294,0.268,0.318,0.205,0.263,0.354,0.414,0.252,0.289,0.348,0.131,0.498,0.32,0.302,0.327,0.199,0.284
"Elisa Carrio","Negativa",0.636,0.681,0.593,0.649,0.681,0.613,0.544,0.647,0.632,0.63,0.798,0.46,0.587,0.619,0.57,0.746,0.666
"Elisa Carrio","No sabe",0.07,0.051,0.089,0.146,0.056,0.033,0.042,0.101,0.079,0.022,0.071,0.042,0.093,0.079,0.103,0.055,0.05
"Sergio Massa","Positiva",0.285,0.274,0.296,0.277,0.275,0.309,0.292,0.336,0.274,0.243,0.517,0.108,0.206,0.241,0.289,0.352,0.312
"Sergio Massa","Negativa",0.681,0.695,0.668,0.658,0.697,0.677,0.683,0.61,0.694,0.744,0.457,0.877,0.707,0.715,0.674,0.626,0.663
"Sergio Massa","No sabe",0.034,0.031,0.036,0.065,0.028,0.014,0.025,0.054,0.032,0.013,0.026,0.015,0.087,0.044,0.037,0.022,0.025
"Gerardo Morales","Positiva",0.279,0.256,0.301,0.165,0.224,0.361,0.461,0.277,0.269,0.296,0.136,0.449,0.354,0.284,0.311,0.192,0.272
"Gerardo Morales","Negativa",0.56,0.621,0.501,0.557,0.604,0.564,0.456,0.541,0.546,0.601,0.701,0.426,0.518,0.534,0.517,0.616,0.593
"Gerardo Morales","No sabe",0.161,0.123,0.198,0.278,0.172,0.075,0.083,0.182,0.185,0.103,0.163,0.125,0.128,0.182,0.172,0.192,0.135
"Daniel Scioli","Positiva",0.275,0.271,0.279,0.264,0.265,0.319,0.253,0.314,0.269,0.238,0.523,0.079,0.153,0.229,0.293,0.32,0.299
"Daniel Scioli","Negativa",0.679,0.697,0.662,0.65,0.703,0.647,0.711,0.616,0.683,0.747,0.429,0.895,0.786,0.715,0.635,0.622,0.677
"Daniel Scioli","No sabe",0.046,0.032,0.059,0.086,0.032,0.034,0.036,0.07,0.048,0.015,0.048,0.026,0.061,0.056,0.072,0.058,0.024
"Maximo Kirchner","Positiva",0.273,0.254,0.291,0.246,0.277,0.304,0.263,0.319,0.258,0.243,0.554,0.059,0.128,0.216,0.25,0.369,0.319
"Maximo Kirchner","Negativa",0.67,0.696,0.646,0.642,0.677,0.668,0.698,0.597,0.687,0.73,0.388,0.912,0.792,0.723,0.673,0.586,0.636
"Maximo Kirchner","No sabe",0.057,0.05,0.063,0.112,0.046,0.028,0.039,0.084,0.055,0.027,0.058,0.029,0.08,0.061,0.077,0.045,0.045
"Alberto Fernandez","Positiva",0.222,0.194,0.249,0.258,0.206,0.226,0.203,0.277,0.221,0.16,0.392,0.092,0.162,0.18,0.244,0.259,0.243
"Alberto Fernandez","Negativa",0.756,0.789,0.725,0.708,0.772,0.759,0.788,0.683,0.763,0.833,0.599,0.896,0.793,0.79,0.738,0.719,0.742
"Alberto Fernandez","No sabe",0.022,0.017,0.026,0.034,0.022,0.015,0.009,0.04,0.016,0.007,0.009,0.012,0.045,0.03,0.018,0.022,0.015
"Malena Galmarini","Positiva",0.22,0.227,0.213,0.186,0.195,0.283,0.241,0.253,0.196,0.217,0.435,0.058,0.136,0.16,0.198,0.243,0.276
"Malena Galmarini","Negativa",0.611,0.637,0.586,0.526,0.648,0.611,0.653,0.552,0.623,0.663,0.384,0.817,0.724,0.648,0.582,0.545,0.603
"Malena Galmarini","No sabe",0.169,0.136,0.201,0.288,0.157,0.106,0.106,0.195,0.181,0.12,0.181,0.125,0.14,0.192,0.22,0.212,0.121
"Juan Schiaretti","Positiva",0.209,0.206,0.212,0.196,0.217,0.203,0.219,0.261,0.179,0.195,0.169,0.231,0.31,0.251,0.259,0.121,0.163
"Juan Schiaretti","Negativa",0.623,0.669,0.579,0.519,0.612,0.708,0.686,0.574,0.623,0.678,0.662,0.631,0.527,0.596,0.532,0.639,0.685
"Juan Schiaretti","No sabe",0.168,0.125,0.209,0.285,0.171,0.089,0.095,0.165,0.198,0.127,0.169,0.138,0.163,0.153,0.209,0.24,0.152
