"var","categoria","A Daniel Scioli","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P61","Mala",0.106,0.154,0.067,0.024
"P61","Muy mala",0.075,0.006,0.114,0.035
"P61","No sabe",0.029,0.022,0.07,0.044
"P62","Muy buena",0.094,0.207,0.046,0.089
"P62","Buena",0.25,0.206,0.144,0.228
"P62","Ni buena ni mala",0.337,0.322,0.375,0.442
"P62","Mala",0.106,0.139,0.173,0.047
"P62","Muy mala",0.104,0.002,0.083,0.026
"P62","No sabe",0.109,0.124,0.179,0.168
"P63","Muy buena",0.037,0.067,0.006,0.009
"P63","Buena",0.062,0.039,0.061,0.021
"P63","Ni buena ni mala",0.207,0.159,0.169,0.124
"P63","Mala",0.335,0.364,0.226,0.258
"P63","Muy mala",0.331,0.369,0.395,0.526
"P63","No sabe",0.028,0.002,0.143,0.062
"P64","Muy buena",0.048,0.044,0.01,0.005
"P64","Buena",0.112,0.102,0.066,0.027
"P64","Ni buena ni mala",0.284,0.27,0.271,0.186
"P64","Mala",0.233,0.352,0.177,0.319
"P64","Muy mala",0.209,0.145,0.306,0.364
"P64","No sabe",0.114,0.087,0.17,0.099
"P65","Muy buena",0.02,0.015,0,0.001
"P65","Buena",0.082,0.081,0.004,0.013
"P65","Ni buena ni mala",0.322,0.185,0.368,0.178
"P65","Mala",0.214,0.359,0.135,0.203
"P65","Muy mala",0.312,0.222,0.274,0.419
"P65","No sabe",0.05,0.138,0.219,0.186
"P66","Muy buena",0.04,0.088,0.083,0.002
"P66","Buena",0.059,0.135,0.079,0.024
"P66","Ni buena ni mala",0.358,0.287,0.224,0.263
"P66","Mala",0.18,0.225,0.201,0.223
"P66","Muy mala",0.183,0.154,0.242,0.302
"P66","No sabe",0.18,0.111,0.171,0.186
"P67","Radio",0.169,0.231,0.17,0.143
"P67","Televisión",0.398,0.398,0.331,0.334
"P67","Diario",0.1,0.038,0.07,0.092
"P67","Medio digital",0.074,0.14,0.188,0.175
"P67","Redes Sociales",0.235,0.116,0.039,0.196
"P67","Ninguno en particular",0.024,0.041,0.202,0.059
"P67","No sabe",0,0.036,0,0.001
"P68","Muy buena",0.152,0.04,0.188,0.094
"P68","Buena",0.236,0.287,0.106,0.233
"P68","Ni buena ni mala",0.342,0.358,0.463,0.433
"P68","Mala",0.163,0.237,0.15,0.161
"P68","Muy mala",0.038,0.039,0.051,0.046
"P68","No sabe",0.069,0.039,0.042,0.033
"P69","Muy buena",0.094,0.101,0.081,0.023
"P69","Buena",0.117,0.028,0.021,0.043
"P69","Ni buena ni mala",0.128,0.258,0.185,0.128
"P69","Mala",0.219,0.303,0.206,0.221
"P69","Muy mala",0.437,0.31,0.437,0.548
"P69","No sabe",0.005,0,0.07,0.037
"P75","Mucho",0.53,0.448,0.471,0.501
