"var","categoria","Sin deuda","Menos de 10%","Entre 10 y 20%","Entre 20 y 30%","Entre 30 y 40%","Mas del 40%","No sabe"
"P22","Ni buena ni mala",0.213,0.214,0.211,0.181,0.156,0.072,0.14
"P22","Mala",0.194,0.223,0.287,0.312,0.258,0.19,0.213
"P22","Muy mala",0.41,0.421,0.387,0.415,0.479,0.619,0.423
"P22","No sabe",0.041,0.027,0.022,0.024,0.032,0.031,0.153
"P23","Muy buena",0.075,0.05,0.028,0.062,0.029,0.042,0.032
"P23","Buena",0.143,0.114,0.131,0.089,0.096,0.056,0.022
"P23","Ni buena ni mala",0.189,0.242,0.216,0.197,0.202,0.11,0.202
"P23","Mala",0.19,0.234,0.267,0.265,0.215,0.192,0.189
"P23","Muy mala",0.369,0.336,0.326,0.365,0.43,0.58,0.358
"P23","No sabe",0.034,0.024,0.032,0.022,0.028,0.02,0.197
"P24","Muy buena",0.046,0.025,0.023,0.017,0.011,0.028,0.002
"P24","Buena",0.106,0.087,0.068,0.057,0.046,0.039,0.035
"P24","Ni buena ni mala",0.201,0.166,0.166,0.166,0.164,0.076,0.175
"P24","Mala",0.19,0.236,0.261,0.278,0.226,0.191,0.116
"P24","Muy mala",0.436,0.471,0.454,0.457,0.527,0.638,0.513
"P24","No sabe",0.021,0.015,0.028,0.025,0.026,0.028,0.159
"P25","Frente de Todos y el peronismo",0.271,0.293,0.237,0.256,0.203,0.141,0.172
"P25","Cambiemos",0.256,0.277,0.233,0.236,0.222,0.216,0.129
"P25","Liberales",0.197,0.169,0.202,0.18,0.253,0.267,0.147
"P25","Izquierda",0.056,0.044,0.077,0.075,0.047,0.077,0.091
"P25","No sabe",0.22,0.217,0.251,0.253,0.275,0.299,0.461
"P28","A Daniel Scioli",0.118,0.151,0.156,0.073,0.308,0.145,0.271
"P28","A Sergio Massa",0.252,0.285,0.293,0.226,0.211,0.314,0.152
"P28","A algún candidato del peronismo",0.172,0.179,0.183,0.101,0.067,0.142,0.184
"P28","A algún candidato del kirchnerismo",0.458,0.385,0.368,0.6,0.414,0.399,0.393
"P30","A Daniel Scioli",0.11,0.116,0.189,0.072,0.221,0.126,0.017
"P30","A Sergio Massa",0.185,0.187,0.127,0.113,0.225,0.232,0.031
"P30","A algún candidato del peronismo",0.155,0.135,0.117,0.244,0.07,0.101,0.083
"P30","A Cristina Fernández de Kirchner",0.55,0.562,0.567,0.571,0.484,0.541,0.869
"P31","A Horacio Rodriguez Larreta",0.281,0.193,0.292,0.303,0.345,0.329,0.099
"P31","A Patricia Bullrich",0.613,0.682,0.565,0.565,0.52,0.535,0.875
"P31","A Facundo Manes",0.07,0.091,0.083,0.08,0.088,0.039,0
"P31","A Gerardo Morales",0.036,0.034,0.06,0.052,0.047,0.097,0.026
"P39","La votaría",0.299,0.311,0.251,0.261,0.297,0.252,0.175
"P39","Puede que la vote",0.136,0.16,0.158,0.174,0.136,0.153,0.099
"P39","Nunca la votaría",0.443,0.415,0.417,0.45,0.439,0.427,0.432
"P39","No sabe",0.122,0.114,0.174,0.115,0.128,0.168,0.294
"P40","Lo votaría",0.16,0.164,0.126,0.125,0.163,0.096,0.11
"P40","Puede que lo vote",0.21,0.17,0.205,0.205,0.1,0.118,0.123
"P40","Nunca lo votaría",0.544,0.573,0.547,0.533,0.592,0.667,0.459
"P40","No sabe",0.086,0.093,0.122,0.137,0.145,0.119,0.308
"P41","Lo votaría",0.214,0.186,0.194,0.2,0.326,0.348,0.173
"P41","Puede que lo vote",0.149,0.158,0.163,0.131,0.162,0.134,0.147
"P41","Nunca lo votaría",0.56,0.559,0.528,0.579,0.421,0.43,0.436
"P41","No sabe",0.077,0.097,0.115,0.09,0.091,0.088,0.244
"P42","Lo votaría",0.127,0.111,0.093,0.119,0.122,0.132,0.074
"P42","Puede que lo vote",0.211,0.229,0.222,0.197,0.211,0.159,0.176
"P42","Nunca lo votaría",0.56,0.577,0.56,0.583,0.519,0.564,0.468
"P42","No sabe",0.102,0.083,0.125,0.101,0.148,0.145,0.282
"P46","Muy buena",0.075,0.075,0.062,0.042,0.034,0.051,0.059
"P46","Buena",0.097,0.111,0.109,0.055,0.065,0.055,0.083
"P46","Ni buena ni mala",0.23,0.19,0.219,0.239,0.18,0.115,0.293
"P46","Mala",0.172,0.173,0.186,0.249,0.223,0.2,0.097
"P46","Muy mala",0.414,0.44,0.393,0.394,0.483,0.558,0.376
"P46","No sabe",0.012,0.011,0.031,0.021,0.015,0.021,0.092
"P47","Muy buena",0.275,0.246,0.215,0.204,0.23,0.139,0.132
"P47","Buena",0.1,0.072,0.093,0.089,0.054,0.072,0.084
"P47","Ni buena ni mala",0.117,0.109,0.123,0.079,0.082,0.087,0.172
"P47","Mala",0.093,0.115,0.13,0.104,0.13,0.087,0.11
"P47","Muy mala",0.407,0.448,0.428,0.512,0.498,0.576,0.414
"P47","No sabe",0.008,0.01,0.011,0.012,0.006,0.039,0.088
"P48","Muy buena",0.149,0.146,0.142,0.11,0.149,0.169,0.082
"P48","Buena",0.141,0.171,0.137,0.144,0.108,0.124,0.059
"P48","Ni buena ni mala",0.202,0.201,0.292,0.254,0.246,0.204,0.256
"P48","Mala",0.197,0.176,0.211,0.197,0.222,0.166,0.228
"P48","Muy mala",0.293,0.299,0.209,0.281,0.262,0.314,0.305
"P48","No sabe",0.018,0.007,0.009,0.014,0.013,0.023,0.07
"P49","Muy buena",0.083,0.062,0.064,0.051,0.08,0.08,0.048
"P49","Buena",0.168,0.178,0.156,0.154,0.171,0.124,0.082
"P49","Ni buena ni mala",0.281,0.293,0.34,0.33,0.269,0.284,0.305
"P49","Mala",0.209,0.209,0.237,0.163,0.182,0.186,0.131
"P49","Muy mala",0.228,0.24,0.173,0.24,0.249,0.275,0.268
"P49","No sabe",0.031,0.018,0.03,0.062,0.049,0.051,0.166
"P50","Muy buena",0.073,0.046,0.077,0.053,0.068,0.055,0.025
"P50","Buena",0.145,0.148,0.137,0.098,0.108,0.063,0.087
"P50","Ni buena ni mala",0.245,0.254,0.224,0.258,0.185,0.182,0.306
"P50","Mala",0.179,0.153,0.201,0.182,0.203,0.173,0.152
"P50","Muy mala",0.332,0.386,0.326,0.354,0.407,0.494,0.314
"P50","No sabe",0.026,0.013,0.035,0.055,0.029,0.033,0.116
"P51","Muy buena",0.119,0.124,0.116,0.116,0.146,0.136,0.058
"P51","Buena",0.174,0.172,0.15,0.182,0.137,0.133,0.108
"P51","Ni buena ni mala",0.215,0.225,0.302,0.233,0.225,0.249,0.24
"P51","Mala",0.193,0.221,0.224,0.182,0.229,0.181,0.16
"P51","Muy mala",0.264,0.242,0.176,0.236,0.217,0.253,0.281
"P51","No sabe",0.035,0.016,0.032,0.051,0.046,0.048,0.153
"P52","Muy buena",0.214,0.159,0.143,0.136,0.146,0.082,0.107
"P52","Buena",0.106,0.107,0.104,0.116,0.088,0.066,0.073
"P52","Ni buena ni mala",0.154,0.162,0.182,0.115,0.14,0.125,0.212
"P52","Mala",0.103,0.129,0.154,0.12,0.14,0.111,0.118
"P52","Muy mala",0.39,0.427,0.38,0.446,0.449,0.566,0.382
"P52","No sabe",0.033,0.016,0.037,0.067,0.037,0.05,0.108
"P54","Muy buena",0.064,0.061,0.072,0.047,0.033,0.047,0.065
"P54","Buena",0.135,0.11,0.102,0.087,0.088,0.079,0.078
"P54","Ni buena ni mala",0.292,0.274,0.315,0.312,0.284,0.199,0.3
"P54","Mala",0.177,0.171,0.167,0.188,0.134,0.137,0.112
"P54","Muy mala",0.298,0.369,0.297,0.293,0.409,0.483,0.318
"P54","No sabe",0.034,0.015,0.047,0.073,0.052,0.055,0.127
"P57","Muy buena",0.162,0.136,0.159,0.14,0.238,0.26,0.094
"P57","Buena",0.128,0.115,0.131,0.116,0.119,0.113,0.119
"P57","Ni buena ni mala",0.205,0.267,0.266,0.192,0.253,0.2,0.271
"P57","Mala",0.171,0.161,0.155,0.213,0.112,0.106,0.102
"P57","Muy mala",0.287,0.296,0.241,0.298,0.255,0.264,0.294
"P57","No sabe",0.047,0.025,0.048,0.041,0.023,0.057,0.12
"P58","Muy buena",0.219,0.218,0.237,0.177,0.251,0.233,0.141
"P58","Buena",0.149,0.152,0.148,0.199,0.163,0.143,0.103
"P58","Ni buena ni mala",0.166,0.18,0.227,0.173,0.202,0.193,0.238
"P58","Mala",0.139,0.143,0.141,0.148,0.122,0.116,0.053
"P58","Muy mala",0.291,0.292,0.228,0.255,0.247,0.263,0.307
"P58","No sabe",0.036,0.015,0.019,0.048,0.015,0.052,0.158
"P59","Muy buena",0.091,0.072,0.15,0.072,0.117,0.096,0.043
"P59","Buena",0.164,0.167,0.121,0.159,0.12,0.101,0.103
"P59","Ni buena ni mala",0.368,0.375,0.353,0.318,0.416,0.308,0.345
"P59","Mala",0.15,0.147,0.125,0.117,0.095,0.113,0.036
"P59","Muy mala",0.132,0.15,0.122,0.143,0.118,0.209,0.151
"P59","No sabe",0.095,0.089,0.129,0.191,0.134,0.173,0.322
"P60","Muy buena",0.17,0.132,0.147,0.152,0.101,0.081,0.056
"P60","Buena",0.133,0.113,0.076,0.077,0.064,0.052,0.035
"P60","Ni buena ni mala",0.213,0.27,0.244,0.223,0.29,0.209,0.279
"P60","Mala",0.147,0.136,0.141,0.16,0.166,0.117,0.111
"P60","Muy mala",0.236,0.267,0.242,0.217,0.243,0.39,0.212
"P60","No sabe",0.101,0.082,0.15,0.171,0.136,0.151,0.307
"P61","Muy buena",0.147,0.118,0.103,0.13,0.089,0.056,0.049
"P61","Buena",0.136,0.102,0.112,0.07,0.078,0.043,0.028
"P61","Ni buena ni mala",0.137,0.143,0.151,0.121,0.136,0.122,0.216
"P61","Mala",0.104,0.125,0.147,0.163,0.12,0.102,0.065
"P61","Muy mala",0.436,0.467,0.453,0.46,0.545,0.6,0.411
"P61","No sabe",0.04,0.045,0.034,0.056,0.032,0.077,0.231
"P62","Muy buena",0.059,0.043,0.021,0.047,0.017,0.019,0.009
"P62","Buena",0.116,0.082,0.061,0.055,0.067,0.041,0.033
"P62","Ni buena ni mala",0.259,0.257,0.269,0.282,0.281,0.196,0.307
"P62","Mala",0.128,0.118,0.141,0.177,0.077,0.114,0.083
"P62","Muy mala",0.31,0.372,0.347,0.289,0.306,0.426,0.24
"P62","No sabe",0.128,0.128,0.161,0.15,0.252,0.204,0.328
"P63","Muy buena",0.078,0.054,0.036,0.053,0.054,0.075,0.066
"P63","Buena",0.123,0.13,0.114,0.114,0.121,0.103,0.053
"P63","Ni buena ni mala",0.224,0.271,0.301,0.279,0.266,0.222,0.289
"P63","Mala",0.209,0.172,0.192,0.235,0.197,0.161,0.088
"P63","Muy mala",0.306,0.333,0.287,0.266,0.301,0.352,0.284
"P63","No sabe",0.06,0.04,0.07,0.053,0.061,0.087,0.22
"P64","Muy buena",0.083,0.051,0.061,0.067,0.08,0.058,0.024
"P64","Buena",0.147,0.205,0.125,0.158,0.149,0.107,0.115
"P64","Ni buena ni mala",0.295,0.321,0.318,0.26,0.309,0.293,0.284
"P64","Mala",0.182,0.174,0.174,0.217,0.172,0.139,0.119
"P64","Muy mala",0.223,0.2,0.189,0.161,0.202,0.281,0.24
"P64","No sabe",0.07,0.049,0.133,0.137,0.088,0.122,0.218
"P65","Muy buena",0.045,0.041,0.063,0.065,0.045,0.05,0.035
"P65","Buena",0.127,0.123,0.125,0.123,0.109,0.065,0.043
"P65","Ni buena ni mala",0.331,0.316,0.303,0.29,0.321,0.296,0.348
"P65","Mala",0.161,0.163,0.152,0.145,0.114,0.122,0.053
"P65","Muy mala",0.228,0.23,0.177,0.191,0.219,0.266,0.216
"P65","No sabe",0.108,0.127,0.18,0.186,0.192,0.201,0.305
"P66","Muy buena",0.027,0.034,0.065,0.048,0.042,0.043,0.033
"P66","Buena",0.083,0.084,0.079,0.068,0.103,0.073,0.031
"P66","Ni buena ni mala",0.319,0.35,0.314,0.331,0.293,0.293,0.312
"P66","Mala",0.2,0.181,0.178,0.137,0.167,0.149,0.066
"P66","Muy mala",0.238,0.22,0.198,0.197,0.186,0.275,0.215
"P66","No sabe",0.133,0.131,0.166,0.219,0.209,0.167,0.343
"P67","Radio",0.183,0.158,0.179,0.157,0.129,0.11,0.12
"P67","Televisión",0.342,0.355,0.337,0.33,0.32,0.291,0.276
"P67","Diario",0.066,0.09,0.075,0.074,0.069,0.061,0.105
"P67","Medio digital",0.157,0.137,0.145,0.165,0.211,0.184,0.138
"P67","Redes Sociales",0.153,0.178,0.189,0.195,0.181,0.242,0.186
"P67","Ninguno en particular",0.097,0.082,0.072,0.079,0.088,0.095,0.152
"P67","No sabe",0.002,0,0.003,0,0.002,0.017,0.023
"P68","Muy buena",0.091,0.045,0.046,0.071,0.038,0.019,0.043
"P68","Buena",0.139,0.114,0.134,0.102,0.082,0.085,0.109
"P68","Ni buena ni mala",0.266,0.28,0.303,0.264,0.264,0.184,0.274
"P68","Mala",0.255,0.292,0.231,0.26,0.233,0.253,0.126
"P68","Muy mala",0.208,0.22,0.243,0.264,0.32,0.429,0.267
"P68","No sabe",0.041,0.049,0.043,0.039,0.063,0.03,0.181
"P69","Muy buena",0.049,0.054,0.024,0.06,0.043,0.04,0.109
"P69","Buena",0.114,0.091,0.094,0.104,0.071,0.066,0.028
"P69","Ni buena ni mala",0.225,0.284,0.285,0.217,0.157,0.209,0.208
"P69","Mala",0.24,0.228,0.252,0.257,0.297,0.183,0.194
"P69","Muy mala",0.349,0.328,0.298,0.329,0.378,0.472,0.313
"P69","No sabe",0.023,0.015,0.047,0.033,0.054,0.03,0.148
"P75","Mucho",0.433,0.354,0.393,0.319,0.364,0.324,0.283
"P75","Bastante",0.292,0.347,0.319,0.337,0.256,0.287,0.2
"P75","Poco",0.19,0.194,0.192,0.22,0.278,0.183,0.211
"P75","Nada",0.05,0.079,0.056,0.117,0.086,0.138,0.225
"P75","No sabe",0.035,0.026,0.04,0.007,0.016,0.068,0.081
"P76","Siempre",0.195,0.195,0.155,0.132,0.144,0.166,0.102
"P76","Casi siempre",0.252,0.289,0.264,0.248,0.25,0.223,0.179
"P76","Casi nunca",0.384,0.385,0.405,0.447,0.44,0.419,0.44
"P76","Nunca, pero esta es una excepción",0.169,0.131,0.176,0.173,0.166,0.192,0.279
"P77","Si",0.456,0.437,0.47,0.417,0.51,0.467,0.405
"P77","No",0.544,0.563,0.53,0.583,0.49,0.533,0.595
