"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P17","Ni buena ni mala",0.064,0.035,0.157,0.048
"P17","Mala",0.241,0.197,0.168,0.273
"P17","Muy mala",0.481,0.684,0.441,0.563
"P17","No sabe",0.004,0.001,0.007,0.037
"P18","Mejor",0.039,0.014,0.082,0
"P18","Igual",0.075,0.028,0.197,0.144
"P18","Peor",0.85,0.922,0.68,0.773
"P18","No sabe",0.036,0.036,0.041,0.083
"P19","Mejor",0.071,0.03,0.094,0.013
"P19","Igual",0.146,0.078,0.234,0.111
"P19","Peor",0.716,0.823,0.488,0.768
"P19","No sabe",0.067,0.069,0.184,0.108
"P20","Muy buena",0.118,0.043,0.196,0.067
"P20","Buena",0.044,0.005,0.004,0.039
"P20","Ni buena ni mala",0.093,0.035,0.177,0.143
"P20","Mala",0.247,0.14,0.192,0.191
"P20","Muy mala",0.492,0.769,0.431,0.56
"P20","No sabe",0.006,0.008,0,0
"P22","Muy buena",0.089,0.005,0.109,0.006
"P22","Buena",0.022,0.01,0.016,0.013
"P22","Ni buena ni mala",0.063,0.043,0.173,0.178
"P22","Mala",0.283,0.141,0.181,0.229
"P22","Muy mala",0.52,0.792,0.461,0.574
"P22","No sabe",0.023,0.009,0.06,0
"P23","Muy buena",0.054,0.007,0.113,0.032
"P23","Buena",0.047,0.01,0.026,0.025
"P23","Ni buena ni mala",0.14,0.076,0.142,0.2
"P23","Mala",0.314,0.217,0.271,0.339
"P23","Muy mala",0.429,0.671,0.388,0.392
"P23","No sabe",0.016,0.019,0.06,0.012
"P24","Muy buena",0.043,0.002,0.113,0.088
"P24","Buena",0.062,0.009,0.064,0.065
"P24","Ni buena ni mala",0.087,0.041,0.131,0.077
"P24","Mala",0.257,0.138,0.111,0.33
"P24","Muy mala",0.541,0.806,0.462,0.434
"P24","No sabe",0.01,0.004,0.119,0.006
"P39","La votaría",0.455,0.848,0.256,0.321
"P39","Puede que la vote",0.213,0.095,0.312,0.269
"P39","Nunca la votaría",0.232,0.014,0.351,0.256
"P39","No sabe",0.1,0.043,0.081,0.154
"P40","Lo votaría",0.199,0.098,0.012,0.096
"P40","Puede que lo vote",0.136,0.066,0.351,0.088
"P40","Nunca lo votaría",0.617,0.811,0.596,0.659
"P40","No sabe",0.048,0.025,0.041,0.157
"P41","Lo votaría",0.129,0.131,0.039,0.012
"P41","Puede que lo vote",0.253,0.355,0.328,0.067
"P41","Nunca lo votaría",0.586,0.429,0.538,0.802
"P41","No sabe",0.032,0.085,0.095,0.119
"P42","Lo votaría",0.527,0.135,0.13,0.099
"P42","Puede que lo vote",0.259,0.443,0.374,0.388
"P42","Nunca lo votaría",0.192,0.365,0.423,0.398
"P42","No sabe",0.022,0.057,0.073,0.115
"P46","Muy buena",0.101,0.016,0.127,0.032
"P46","Buena",0.019,0.034,0.07,0.043
"P46","Ni buena ni mala",0.138,0.06,0.243,0.167
"P46","Mala",0.226,0.156,0.183,0.181
"P46","Muy mala",0.511,0.726,0.373,0.577
"P46","No sabe",0.005,0.008,0.004,0
"P47","Muy buena",0.17,0.041,0.1,0.077
"P47","Buena",0.062,0.04,0.133,0.117
"P47","Ni buena ni mala",0.063,0.051,0.088,0.123
"P47","Mala",0.083,0.095,0.077,0.143
"P47","Muy mala",0.614,0.768,0.573,0.54
"P47","No sabe",0.008,0.005,0.029,0
"P48","Muy buena",0.225,0.45,0.222,0.195
"P48","Buena",0.267,0.268,0.11,0.171
"P48","Ni buena ni mala",0.238,0.201,0.31,0.264
"P48","Mala",0.134,0.05,0.104,0.279
"P48","Muy mala",0.134,0.031,0.24,0.088
"P48","No sabe",0.002,0,0.014,0.003
"P49","Muy buena",0.324,0.079,0.162,0.098
"P49","Buena",0.379,0.328,0.29,0.377
"P49","Ni buena ni mala",0.173,0.373,0.327,0.322
"P49","Mala",0.053,0.112,0.107,0.187
"P49","Muy mala",0.066,0.094,0.056,0
"P49","No sabe",0.005,0.014,0.058,0.016
"P50","Muy buena",0.113,0.032,0.134,0.029
"P50","Buena",0.092,0.043,0.102,0.045
"P50","Ni buena ni mala",0.157,0.061,0.258,0.258
"P50","Mala",0.199,0.188,0.216,0.277
"P50","Muy mala",0.408,0.672,0.29,0.391
"P50","No sabe",0.031,0.004,0,0
"P51","Muy buena",0.25,0.309,0.187,0.207
"P51","Buena",0.256,0.311,0.206,0.195
"P51","Ni buena ni mala",0.253,0.243,0.319,0.239
"P51","Mala",0.076,0.07,0.035,0.171
"P51","Muy mala",0.141,0.053,0.225,0.155
"P51","No sabe",0.024,0.014,0.028,0.033
"P52","Muy buena",0.122,0.013,0.044,0.068
"P52","Buena",0.051,0.004,0.07,0.112
"P52","Ni buena ni mala",0.094,0.079,0.266,0.084
"P52","Mala",0.152,0.102,0.076,0.279
"P52","Muy mala",0.538,0.799,0.492,0.457
"P52","No sabe",0.043,0.003,0.052,0
"P54","Muy buena",0.082,0.004,0.07,0.233
"P54","Buena",0.049,0.022,0.106,0.04
"P54","Ni buena ni mala",0.238,0.139,0.352,0.131
"P54","Mala",0.18,0.167,0.189,0.15
"P54","Muy mala",0.41,0.661,0.283,0.446
"P54","No sabe",0.041,0.007,0,0
"P57","Muy buena",0.101,0.093,0.145,0.102
"P57","Buena",0.106,0.234,0.094,0.036
"P57","Ni buena ni mala",0.361,0.414,0.23,0.158
"P57","Mala",0.158,0.126,0.249,0.209
"P57","Muy mala",0.249,0.124,0.252,0.326
"P57","No sabe",0.025,0.009,0.03,0.169
"P58","Muy buena",0.23,0.685,0.106,0.236
"P58","Buena",0.215,0.193,0.255,0.236
"P58","Ni buena ni mala",0.287,0.081,0.245,0.228
"P58","Mala",0.123,0.011,0.182,0.18
"P58","Muy mala",0.123,0.03,0.205,0.089
"P58","No sabe",0.022,0,0.007,0.031
"P59","Muy buena",0.176,0.127,0.356,0.266
"P59","Buena",0.208,0.233,0.234,0.127
"P59","Ni buena ni mala",0.353,0.428,0.229,0.444
"P59","Mala",0.104,0.085,0.103,0.064
"P59","Muy mala",0.083,0.081,0.078,0.052
"P59","No sabe",0.076,0.046,0,0.047
"P60","Muy buena",0.048,0.006,0.081,0.112
"P60","Buena",0.059,0.021,0.15,0.039
"P60","Ni buena ni mala",0.324,0.215,0.345,0.293
"P60","Mala",0.207,0.216,0.15,0.102
"P60","Muy mala",0.289,0.466,0.255,0.402
"P60","No sabe",0.073,0.076,0.019,0.052
"P61","Muy buena",0.083,0.001,0.213,0.105
"P61","Buena",0.048,0.008,0.066,0.026
"P61","Ni buena ni mala",0.089,0.049,0.145,0.235
"P61","Mala",0.188,0.098,0.033,0.054
"P61","Muy mala",0.58,0.831,0.489,0.572
"P61","No sabe",0.012,0.013,0.054,0.008
"P62","Muy buena",0.062,0.002,0.088,0.029
"P62","Buena",0.034,0.005,0.095,0.007
"P62","Ni buena ni mala",0.209,0.132,0.254,0.32
"P62","Mala",0.219,0.131,0.067,0.114
"P62","Muy mala",0.349,0.628,0.306,0.347
"P62","No sabe",0.127,0.102,0.19,0.183
"P63","Muy buena",0.14,0.17,0.121,0.131
"P63","Buena",0.242,0.241,0.226,0.205
"P63","Ni buena ni mala",0.302,0.311,0.242,0.395
"P63","Mala",0.093,0.131,0.073,0.075
"P63","Muy mala",0.167,0.13,0.207,0.17
"P63","No sabe",0.056,0.017,0.131,0.024
"P64","Muy buena",0.19,0.144,0.193,0.223
"P64","Buena",0.254,0.26,0.225,0.342
"P64","Ni buena ni mala",0.284,0.352,0.282,0.212
"P64","Mala",0.075,0.106,0.138,0.037
"P64","Muy mala",0.147,0.099,0.14,0.018
"P64","No sabe",0.05,0.039,0.022,0.168
"P65","Muy buena",0.143,0.058,0.086,0.544
"P65","Buena",0.184,0.238,0.282,0.097
"P65","Ni buena ni mala",0.356,0.392,0.194,0.274
"P65","Mala",0.076,0.113,0.137,0.021
"P65","Muy mala",0.126,0.103,0.129,0
"P65","No sabe",0.115,0.096,0.172,0.064
"P66","Muy buena",0.111,0.042,0.011,0.197
"P66","Buena",0.116,0.08,0.102,0.1
"P66","Ni buena ni mala",0.369,0.349,0.253,0.26
"P66","Mala",0.173,0.169,0.156,0.118
"P66","Muy mala",0.134,0.252,0.288,0.256
"P66","No sabe",0.097,0.108,0.19,0.069
"P67","Radio",0.217,0.192,0.175,0.238
"P67","Televisión",0.29,0.416,0.386,0.365
"P67","Diario",0.07,0.081,0.043,0.09
"P67","Medio digital",0.151,0.141,0.066,0.211
"P67","Redes Sociales",0.211,0.11,0.12,0.058
"P67","Ninguno en particular",0.061,0.059,0.199,0.038
"P67","No sabe",0,0.001,0.011,0
"P68","Muy buena",0.104,0.026,0.089,0
"P68","Buena",0.097,0.079,0.179,0.064
"P68","Ni buena ni mala",0.198,0.232,0.122,0.289
"P68","Mala",0.266,0.347,0.276,0.24
"P68","Muy mala",0.312,0.304,0.307,0.385
"P68","No sabe",0.023,0.012,0.027,0.022
"P69","Muy buena",0.081,0.077,0.04,0.024
"P69","Buena",0.175,0.156,0.12,0.138
"P69","Ni buena ni mala",0.231,0.334,0.253,0.275
"P69","Mala",0.245,0.23,0.341,0.174
"P69","Muy mala",0.232,0.191,0.243,0.367
"P69","No sabe",0.036,0.012,0.003,0.022
"P75","Mucho",0.378,0.363,0.542,0.493
"P75","Bastante",0.384,0.378,0.118,0.222
"P75","Poco",0.159,0.178,0.187,0.098
"P75","Nada",0.07,0.035,0.058,0.187
"P75","No sabe",0.009,0.046,0.095,0
"P76","Siempre",0.25,0.204,0.322,0.257
"P76","Casi siempre",0.311,0.317,0.201,0.318
"P76","Casi nunca",0.323,0.359,0.353,0.357
"P76","Nunca, pero esta es una excepción",0.116,0.12,0.124,0.068
"P77","Si",0.44,0.448,0.649,0.488
"P77","No",0.56,0.552,0.351,0.512
