"var","categoria","Mejor","Igual","Peor","No sabe"
"P22","Mala",0.2,0.242,0.207,0.305
"P22","Muy mala",0.168,0.282,0.625,0.28
"P22","No sabe",0.054,0.037,0.021,0.084
"P23","Muy buena",0.186,0.075,0.018,0.042
"P23","Buena",0.217,0.174,0.046,0.145
"P23","Ni buena ni mala",0.275,0.255,0.125,0.269
"P23","Mala",0.141,0.232,0.229,0.205
"P23","Muy mala",0.133,0.24,0.557,0.246
"P23","No sabe",0.048,0.024,0.025,0.093
"P24","Muy buena",0.089,0.032,0.014,0.034
"P24","Buena",0.197,0.121,0.025,0.087
"P24","Ni buena ni mala",0.263,0.265,0.077,0.236
"P24","Mala",0.173,0.235,0.209,0.239
"P24","Muy mala",0.225,0.322,0.651,0.361
"P24","No sabe",0.053,0.025,0.024,0.043
"P25","Frente de Todos y el peronismo",0.469,0.391,0.115,0.268
"P25","Cambiemos",0.149,0.177,0.295,0.189
"P25","Liberales",0.166,0.147,0.257,0.142
"P25","Izquierda",0.066,0.063,0.056,0.088
"P25","No sabe",0.15,0.222,0.277,0.313
"P28","A Daniel Scioli",0.148,0.138,0.208,0.078
"P28","A Sergio Massa",0.305,0.284,0.187,0.273
"P28","A algún candidato del peronismo",0.095,0.147,0.221,0.153
"P28","A algún candidato del kirchnerismo",0.452,0.431,0.384,0.496
"P30","A Daniel Scioli",0.107,0.135,0.178,0.053
"P30","A Sergio Massa",0.179,0.195,0.151,0.137
"P30","A algún candidato del peronismo",0.144,0.114,0.164,0.163
"P30","A Cristina Fernández de Kirchner",0.57,0.556,0.507,0.647
"P31","A Horacio Rodriguez Larreta",0.443,0.291,0.249,0.334
"P31","A Patricia Bullrich",0.367,0.522,0.646,0.582
"P31","A Facundo Manes",0.132,0.153,0.05,0.028
"P31","A Gerardo Morales",0.058,0.034,0.055,0.056
"P39","La votaría",0.176,0.199,0.354,0.175
"P39","Puede que la vote",0.093,0.147,0.164,0.125
"P39","Nunca la votaría",0.585,0.526,0.36,0.444
"P39","No sabe",0.146,0.128,0.122,0.256
"P40","Lo votaría",0.255,0.177,0.103,0.131
"P40","Puede que lo vote",0.264,0.252,0.115,0.195
"P40","Nunca lo votaría",0.359,0.466,0.688,0.433
"P40","No sabe",0.122,0.105,0.094,0.241
"P41","Lo votaría",0.19,0.148,0.301,0.172
"P41","Puede que lo vote",0.101,0.143,0.165,0.133
"P41","Nunca lo votaría",0.643,0.618,0.445,0.527
"P41","No sabe",0.066,0.091,0.089,0.168
"P42","Lo votaría",0.117,0.095,0.135,0.082
"P42","Puede que lo vote",0.118,0.177,0.236,0.18
"P42","Nunca lo votaría",0.686,0.619,0.516,0.523
"P42","No sabe",0.079,0.109,0.113,0.215
"P46","Muy buena",0.137,0.06,0.044,0.082
"P46","Buena",0.185,0.138,0.043,0.096
"P46","Ni buena ni mala",0.306,0.278,0.127,0.286
"P46","Mala",0.171,0.205,0.176,0.207
"P46","Muy mala",0.185,0.295,0.596,0.28
"P46","No sabe",0.016,0.024,0.014,0.049
"P47","Muy buena",0.458,0.331,0.112,0.284
"P47","Buena",0.097,0.113,0.063,0.104
"P47","Ni buena ni mala",0.125,0.124,0.089,0.138
"P47","Mala",0.082,0.114,0.111,0.088
"P47","Muy mala",0.232,0.309,0.606,0.345
"P47","No sabe",0.006,0.009,0.019,0.041
"P48","Muy buena",0.108,0.097,0.183,0.099
"P48","Buena",0.067,0.097,0.175,0.097
"P48","Ni buena ni mala",0.192,0.211,0.24,0.227
"P48","Mala",0.218,0.239,0.164,0.216
"P48","Muy mala",0.391,0.338,0.227,0.323
"P48","No sabe",0.024,0.018,0.011,0.038
"P49","Muy buena",0.103,0.065,0.076,0.043
"P49","Buena",0.088,0.147,0.177,0.126
"P49","Ni buena ni mala",0.229,0.294,0.302,0.327
"P49","Mala",0.196,0.229,0.182,0.213
"P49","Muy mala",0.348,0.221,0.23,0.203
"P49","No sabe",0.036,0.044,0.033,0.088
"P50","Muy buena",0.163,0.072,0.04,0.06
"P50","Buena",0.242,0.16,0.067,0.172
"P50","Ni buena ni mala",0.275,0.312,0.165,0.319
"P50","Mala",0.125,0.189,0.193,0.138
"P50","Muy mala",0.158,0.236,0.511,0.24
"P50","No sabe",0.037,0.031,0.024,0.071
"P51","Muy buena",0.065,0.089,0.154,0.089
"P51","Buena",0.083,0.133,0.181,0.159
"P51","Ni buena ni mala",0.204,0.243,0.253,0.203
"P51","Mala",0.275,0.213,0.178,0.213
"P51","Muy mala",0.337,0.294,0.2,0.234
"P51","No sabe",0.036,0.028,0.034,0.102
"P52","Muy buena",0.353,0.252,0.061,0.203
"P52","Buena",0.126,0.152,0.063,0.111
"P52","Ni buena ni mala",0.17,0.162,0.138,0.177
"P52","Mala",0.099,0.123,0.123,0.129
"P52","Muy mala",0.197,0.29,0.58,0.29
"P52","No sabe",0.055,0.021,0.035,0.09
"P54","Muy buena",0.133,0.065,0.035,0.08
"P54","Buena",0.213,0.173,0.058,0.093
"P54","Ni buena ni mala",0.307,0.357,0.223,0.335
"P54","Mala",0.103,0.167,0.166,0.176
"P54","Muy mala",0.179,0.203,0.488,0.201
"P54","No sabe",0.065,0.035,0.03,0.115
"P57","Muy buena",0.17,0.09,0.226,0.134
"P57","Buena",0.052,0.096,0.158,0.073
"P57","Ni buena ni mala",0.125,0.216,0.244,0.264
"P57","Mala",0.223,0.174,0.126,0.158
"P57","Muy mala",0.387,0.38,0.207,0.288
"P57","No sabe",0.043,0.044,0.039,0.083
"P58","Muy buena",0.125,0.128,0.303,0.114
"P58","Buena",0.071,0.116,0.183,0.148
"P58","Ni buena ni mala",0.16,0.17,0.199,0.203
"P58","Mala",0.163,0.177,0.105,0.132
"P58","Muy mala",0.438,0.372,0.185,0.314
"P58","No sabe",0.043,0.037,0.025,0.089
"P59","Muy buena",0.083,0.077,0.118,0.047
"P59","Buena",0.086,0.154,0.146,0.129
"P59","Ni buena ni mala",0.36,0.342,0.366,0.327
"P59","Mala",0.127,0.134,0.123,0.124
"P59","Muy mala",0.191,0.162,0.136,0.138
"P59","No sabe",0.153,0.131,0.111,0.235
"P60","Muy buena",0.273,0.216,0.065,0.146
"P60","Buena",0.122,0.143,0.064,0.088
"P60","Ni buena ni mala",0.253,0.254,0.208,0.309
"P60","Mala",0.09,0.122,0.175,0.067
"P60","Muy mala",0.133,0.152,0.368,0.163
"P60","No sabe",0.129,0.113,0.12,0.227
"P61","Muy buena",0.286,0.167,0.047,0.12
"P61","Buena",0.184,0.168,0.038,0.126
"P61","Ni buena ni mala",0.153,0.183,0.108,0.181
"P61","Mala",0.096,0.132,0.112,0.13
"P61","Muy mala",0.211,0.309,0.65,0.318
"P61","No sabe",0.07,0.041,0.045,0.125
"P62","Muy buena",0.101,0.046,0.017,0.055
"P62","Buena",0.172,0.128,0.03,0.098
"P62","Ni buena ni mala",0.316,0.334,0.206,0.268
"P62","Mala",0.074,0.127,0.135,0.106
"P62","Muy mala",0.178,0.213,0.461,0.193
"P62","No sabe",0.159,0.152,0.151,0.28
"P63","Muy buena",0.066,0.047,0.068,0.066
"P63","Buena",0.062,0.111,0.135,0.079
"P63","Ni buena ni mala",0.165,0.227,0.268,0.309
"P63","Mala",0.255,0.21,0.181,0.127
"P63","Muy mala",0.368,0.347,0.289,0.291
"P63","No sabe",0.084,0.058,0.059,0.128
"P64","Muy buena",0.047,0.06,0.074,0.055
"P64","Buena",0.074,0.137,0.164,0.137
"P64","Ni buena ni mala",0.233,0.282,0.307,0.347
"P64","Mala",0.222,0.207,0.155,0.136
"P64","Muy mala",0.313,0.219,0.212,0.176
"P64","No sabe",0.111,0.095,0.088,0.149
"P65","Muy buena",0.047,0.028,0.061,0.04
"P65","Buena",0.043,0.123,0.124,0.068
"P65","Ni buena ni mala",0.21,0.289,0.342,0.325
"P65","Mala",0.183,0.16,0.134,0.117
"P65","Muy mala",0.38,0.24,0.193,0.207
"P65","No sabe",0.137,0.16,0.146,0.243
"P66","Muy buena",0.032,0.04,0.037,0.058
"P66","Buena",0.067,0.088,0.083,0.052
"P66","Ni buena ni mala",0.299,0.323,0.325,0.285
"P66","Mala",0.187,0.203,0.158,0.147
"P66","Muy mala",0.274,0.19,0.25,0.165
"P66","No sabe",0.141,0.156,0.147,0.293
"P67","Radio",0.164,0.16,0.158,0.129
"P67","Televisión",0.312,0.352,0.325,0.307
"P67","Diario",0.094,0.066,0.075,0.061
"P67","Medio digital",0.119,0.157,0.17,0.162
"P67","Redes Sociales",0.207,0.194,0.184,0.169
"P67","Ninguno en particular",0.103,0.07,0.08,0.166
"P67","No sabe",0.001,0.001,0.008,0.006
"P68","Muy buena",0.15,0.075,0.034,0.038
"P68","Buena",0.219,0.148,0.084,0.108
"P68","Ni buena ni mala",0.273,0.325,0.193,0.402
"P68","Mala",0.146,0.241,0.281,0.207
"P68","Muy mala",0.166,0.159,0.37,0.153
"P68","No sabe",0.046,0.052,0.038,0.092
"P69","Muy buena",0.078,0.026,0.055,0.035
"P69","Buena",0.078,0.096,0.097,0.059
"P69","Ni buena ni mala",0.164,0.252,0.244,0.198
"P69","Mala",0.209,0.232,0.239,0.235
"P69","Muy mala",0.413,0.369,0.338,0.393
"P69","No sabe",0.058,0.025,0.027,0.08
"P75","Mucho",0.471,0.419,0.339,0.348
"P75","Bastante",0.252,0.313,0.317,0.241
"P75","Poco",0.194,0.202,0.204,0.187
"P75","Nada",0.07,0.043,0.098,0.152
"P75","No sabe",0.013,0.023,0.042,0.072
"P76","Siempre",0.201,0.198,0.159,0.12
"P76","Casi siempre",0.242,0.26,0.263,0.242
"P76","Casi nunca",0.405,0.386,0.403,0.423
"P76","Nunca, pero esta es una excepción",0.152,0.156,0.175,0.215
"P77","Si",0.559,0.497,0.42,0.444
"P77","No",0.441,0.503,0.58,0.556
