"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.494,0.289,0.131
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.134,0.272,0.261
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.24,0.319,0.531
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.087,0.111,0.022
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.017,0.007,0.044
"PRESIDENTE_imputada","En blanco",0.028,0.002,0.011
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.404,0.219,0.05
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.135,0.23,0.231
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.183,0.294,0.441
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.114,0.113,0.161
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.128,0.119,0.009
"DIPUTADOS_imputada","En blanco",0.036,0.025,0.108
