"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P33","No sabe",0.022,0.013,0.026
"P34","Muy buena",0.187,0.109,0.054
"P34","Buena",0.25,0.213,0.24
"P34","Ni buena ni mala",0.314,0.362,0.249
"P34","Mala",0.125,0.177,0.213
"P34","Muy mala",0.106,0.134,0.225
"P34","No sabe",0.018,0.005,0.019
"P35","Muy buena",0.13,0.015,0.069
"P35","Buena",0.154,0.136,0.098
"P35","Ni buena ni mala",0.266,0.384,0.212
"P35","Mala",0.209,0.247,0.35
"P35","Muy mala",0.238,0.215,0.241
"P35","No sabe",0.003,0.003,0.03
"P36","Muy buena",0.139,0.084,0.097
"P36","Buena",0.211,0.212,0.1
"P36","Ni buena ni mala",0.305,0.393,0.304
"P36","Mala",0.169,0.168,0.218
"P36","Muy mala",0.138,0.127,0.256
"P36","No sabe",0.038,0.016,0.025
"P37","Muy buena",0.054,0.05,0.045
"P37","Buena",0.093,0.094,0.019
"P37","Ni buena ni mala",0.35,0.341,0.251
"P37","Mala",0.191,0.271,0.309
"P37","Muy mala",0.265,0.219,0.315
"P37","No sabe",0.047,0.025,0.061
"P38","Muy buena",0.121,0.046,0.032
"P38","Buena",0.078,0.093,0.02
"P38","Ni buena ni mala",0.375,0.413,0.255
"P38","Mala",0.177,0.234,0.226
"P38","Muy mala",0.214,0.152,0.379
"P38","No sabe",0.035,0.062,0.088
"P39","Si",0.315,0.364,0.353
"P39","No",0.685,0.636,0.647
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.513,0.335,0.152
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.167,0.24,0.191
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.218,0.304,0.435
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.036,0.067,0.126
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.011,0.013,0.036
"PRESIDENTE","En blanco",0.008,0.033,0.013
"PRESIDENTE","No sabe",0.047,0.008,0.047
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.38,0.26,0.132
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.154,0.188,0.2
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.163,0.301,0.303
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.173,0.075,0.083
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.045,0.086,0.156
"DIPUTADOS","En blanco",0.034,0.024,0.08
"DIPUTADOS","No sabe",0.051,0.066,0.046
"CORTA_DIPUTADOS","Si",0.347,0.285,0.283
"CORTA_DIPUTADOS","No",0.653,0.715,0.717
"P11_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.513,0.338,0.177
"P11_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.183,0.24,0.191
"P11_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.218,0.306,0.444
"P11_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.016,0.005,0.01
"P11_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.056,0.067,0.126
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.01,0.013,0.036
"P11_imputada","En blanco",0.004,0.031,0.016
"P19_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.206,0.232,0.142
"P19_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.16,0.159,0.208
"P19_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.128,0.27,0.196
"P19_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.353,0.161,0.209
"P19_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.085,0.119,0.135
"P19_imputada","En blanco",0.068,0.059,0.11
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.52,0.341,0.177
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.186,0.24,0.191
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.218,0.306,0.453
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.056,0.067,0.126
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.012,0.013,0.036
"PRESIDENTE_imputada","En blanco",0.008,0.033,0.017
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.389,0.285,0.143
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.164,0.194,0.208
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.173,0.319,0.315
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.174,0.079,0.098
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.065,0.093,0.156
"DIPUTADOS_imputada","En blanco",0.035,0.03,0.08
