"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P36","Buena",0.178,0.217,0.08
"P36","Ni buena ni mala",0.354,0.222,0.028
"P36","Mala",0.197,0.037,0.29
"P36","Muy mala",0.152,0.307,0.193
"P36","No sabe",0.027,0.015,0.06
"P37","Muy buena",0.038,0.083,0.317
"P37","Buena",0.058,0.194,0.08
"P37","Ni buena ni mala",0.332,0.187,0.348
"P37","Mala",0.249,0.327,0
"P37","Muy mala",0.282,0.135,0.196
"P37","No sabe",0.041,0.074,0.059
"P38","Muy buena",0.061,0.097,0.317
"P38","Buena",0.061,0.098,0.08
"P38","Ni buena ni mala",0.352,0.37,0.289
"P38","Mala",0.223,0.129,0.059
"P38","Muy mala",0.245,0.232,0.196
"P38","No sabe",0.058,0.074,0.059
"P39","Si",0.349,0.288,0.313
"P39","No",0.651,0.712,0.687
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.387,0.16,0.11
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.195,0.138,0.243
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.295,0.303,0.166
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.067,0.178,0.144
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.024,0,0.04
"PRESIDENTE","En blanco",0.01,0.067,0.085
"PRESIDENTE","No sabe",0.022,0.154,0.212
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.287,0.141,0.218
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.167,0.15,0.161
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.238,0.332,0.318
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.136,0.059,0
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.077,0.192,0.199
"DIPUTADOS","En blanco",0.043,0.017,0.104
"DIPUTADOS","No sabe",0.052,0.109,0
"CORTA_DIPUTADOS","Si",0.343,0.183,0.348
"CORTA_DIPUTADOS","No",0.657,0.817,0.652
"P11_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.392,0.22,0.11
"P11_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.185,0.142,0.388
"P11_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.298,0.352,0.229
"P11_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.024,0,0
"P11_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.068,0.219,0.148
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.024,0,0.04
"P11_imputada","En blanco",0.009,0.067,0.085
"P19_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.209,0.165,0.457
"P19_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.164,0.191,0.131
"P19_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.194,0.239,0.305
"P19_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.247,0.31,0
"P19_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.109,0.079,0
"P19_imputada","En blanco",0.077,0.016,0.107
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.398,0.22,0.111
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.196,0.142,0.387
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.301,0.352,0.229
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.069,0.219,0.148
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.025,0,0.04
"PRESIDENTE_imputada","En blanco",0.011,0.067,0.085
"DIPUTADOS_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.3,0.15,0.218
"DIPUTADOS_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.175,0.17,0.161
"DIPUTADOS_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.256,0.346,0.318
"DIPUTADOS_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.141,0.073,0
"DIPUTADOS_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.082,0.244,0.199
"DIPUTADOS_imputada","En blanco",0.046,0.017,0.104
