"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos ","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P13","Nunca lo votaría",0.961,0.482,0.212,1,0.515
"P14","Lo votaría",0.024,0.603,0.151,0.114,0.081
"P14","Puede que lo vote",0.039,0.266,0.347,0.059,0.176
"P14","Nunca lo votaría",0.868,0.112,0.42,0.706,0.637
"P14","No sabe",0.069,0.019,0.082,0.121,0.106
"P15","Lo votaría",0.305,0.08,0.058,0.075,0.04
"P15","Puede que lo vote",0.429,0.063,0.084,0.141,0.215
"P15","Nunca lo votaría",0.195,0.828,0.8,0.7,0.588
"P15","No sabe",0.071,0.029,0.058,0.084,0.157
"P16","Lo votaría",0.283,0.025,0.034,0.041,0.143
"P16","Puede que lo vote",0.454,0.011,0.019,0.205,0.153
"P16","Nunca lo votaría",0.166,0.947,0.91,0.65,0.614
"P16","No sabe",0.097,0.017,0.037,0.104,0.09
"P17","La votaría",0.791,0.02,0.029,0.357,0.346
"P17","Puede que la vote",0.126,0.012,0.036,0.094,0.062
"P17","Nunca la votaría",0.061,0.964,0.893,0.508,0.536
"P17","No sabe",0.022,0.004,0.042,0.041,0.056
"P18","Lo votaría",0.089,0.357,0.068,0.089,0.132
"P18","Puede que lo vote",0.085,0.398,0.263,0.109,0.217
"P18","Nunca lo votaría",0.806,0.219,0.562,0.769,0.53
"P18","No sabe",0.02,0.026,0.107,0.033,0.121
"P19","Lo votaría",0.04,0.087,0.043,0.092,0.082
"P19","Puede que lo vote",0.208,0.28,0.182,0.215,0.209
"P19","Nunca lo votaría",0.646,0.571,0.641,0.62,0.524
"P19","No sabe",0.106,0.062,0.134,0.073,0.185
"P20","La votaría",0.023,0.549,0.309,0.054,0.145
"P20","Puede que la vote",0.072,0.257,0.313,0.108,0.137
"P20","Nunca la votaría",0.867,0.168,0.312,0.814,0.607
"P20","No sabe",0.038,0.026,0.066,0.024,0.111
"P21","Lo votaría",0.02,0.109,0.69,0.055,0.057
"P21","Puede que lo vote",0.054,0.347,0.239,0.095,0.126
"P21","Nunca lo votaría",0.888,0.499,0.059,0.811,0.701
"P21","No sabe",0.038,0.045,0.012,0.039,0.116
"P22","La votaría",0.021,0.301,0.139,0.051,0.066
"P22","Puede que la vote",0.053,0.413,0.262,0.106,0.161
"P22","Nunca la votaría",0.866,0.221,0.54,0.83,0.653
"P22","No sabe",0.06,0.065,0.059,0.013,0.12
"P23","Lo votaría",0.2,0.033,0.025,0.022,0.086
"P23","Puede que lo vote",0.463,0.072,0.083,0.329,0.2
"P23","Nunca lo votaría",0.276,0.879,0.843,0.599,0.61
"P23","No sabe",0.061,0.016,0.049,0.05,0.104
"P24","Lo votaría",0.032,0.088,0.01,0.001,0.039
"P24","Puede que lo vote",0.135,0.29,0.114,0.071,0.157
"P24","Nunca lo votaría",0.747,0.558,0.764,0.883,0.628
"P24","No sabe",0.086,0.064,0.112,0.045,0.176
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.014,0.631,0.04,0.038,0.06
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.024,0.252,0.07,0.078,0.126
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.083,0.007,0.019,0.044,0.085
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.834,0.027,0.021,0.34,0.325
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.011,0.033,0.796,0.017,0.051
"P25","Nicolás del Caño – Myriam Bregman",0.002,0.001,0.012,0.452,0.014
"P25","Otros candidatos",0.032,0.049,0.042,0.031,0.339
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.915,0.035,0.034,0.351,0.363
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.021,0.842,0.069,0.02,0.071
"P29","Javier Milei – José Luis Espert por los liberales",0.022,0.042,0.857,0.057,0.045
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0,0.003,0.543,0.018
"P29","Otro candidato",0.03,0.081,0.037,0.029,0.503
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.107,0.642,0.055,0.085,0.2
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.662,0.086,0.023,0.115,0.196
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.027,0.137,0.864,0.047,0.034
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.036,0,0.009,0.648,0.02
"P31","Otro candidato",0.168,0.135,0.049,0.105,0.55
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.849,0.069,0.013,0.034,0.07
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.042,0.812,0.161,0.03,0.175
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.01,0.039,0.8,0.069,0.036
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.014,0.009,0.012,0.733,0.034
"P33","Otro candidato",0.085,0.071,0.014,0.134,0.685
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.839,0.084,0.041,0.057,0.079
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.071,0.655,0.049,0.037,0.166
"P35","Javier Milei – José Luis Espert por los liberales",0.017,0.128,0.88,0.05,0.025
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.009,0.002,0.718,0.034
"P35","Otro candidato",0.065,0.124,0.028,0.138,0.696
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.909,0.033,0.042,0.287,0.335
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.051,0.739,0.028,0.062,0.13
"P37","Javier Milei – José Luis Espert por los liberales",0.008,0.125,0.911,0,0.024
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.006,0.002,0,0.545,0
"P37","Otro candidato",0.026,0.101,0.019,0.106,0.511
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.892,0.056,0.054,0.426,0.401
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.06,0.887,0.403,0.033,0.151
"P39","No sabe",0.048,0.057,0.543,0.541,0.448
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.787,0.045,0.038,0.258,0.256
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.045,0.797,0.373,0.117,0.227
"P40","No sabe",0.168,0.158,0.589,0.625,0.517
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.882,0.039,0.027,0.375,0.178
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.022,0.88,0.557,0.071,0.222
"P41","No sabe",0.096,0.081,0.416,0.554,0.6
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.911,0.026,0.036,0.453,0.369
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.034,0.826,0.451,0.084,0.253
"P42","No sabe",0.055,0.148,0.513,0.463,0.378
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.908,0.037,0.017,0.277,0.158
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.027,0.828,0.402,0.147,0.241
"P43","No sabe",0.065,0.135,0.581,0.576,0.601
"P44","Mauricio Macri – María Eugenia Vidal",0.109,0.801,0.399,0.09,0.174
"P44","Sergio Massa – Wado de Pedro",0.803,0.145,0.094,0.374,0.178
"P44","No sabe",0.088,0.054,0.507,0.536,0.648
"P45","Sergio Massa – Wado de Pedro",0.823,0.112,0.037,0.385,0.176
"P45","Javier Milei – José Luis Espert",0.105,0.435,0.844,0.113,0.155
"P45","No sabe",0.072,0.453,0.119,0.502,0.669
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.207,0.616,0.031,0.225,0.227
"P46","Javier Milei – José Luis Espert",0.056,0.228,0.888,0.094,0.068
"P46","No sabe",0.737,0.156,0.081,0.681,0.705
"P47","Muy buena",0.176,0.061,0.019,0.043,0.051
"P47","Buena",0.356,0.014,0.083,0.079,0.11
"P47","Ni buena ni mala",0.319,0.025,0.07,0.3,0.274
"P47","Mala",0.105,0.096,0.082,0.403,0.168
"P47","Muy mala",0.038,0.795,0.727,0.159,0.374
"P47","No sabe",0.006,0.009,0.019,0.016,0.023
"P48","Muy buena",0.205,0.004,0.027,0.056,0.078
"P48","Buena",0.397,0.01,0.009,0.102,0.135
"P48","Ni buena ni mala",0.262,0.024,0.036,0.22,0.189
"P48","Mala",0.097,0.101,0.097,0.302,0.165
"P48","Muy mala",0.037,0.856,0.81,0.307,0.401
"P48","No sabe",0.002,0.005,0.021,0.013,0.032
"P49","Muy buena",0.686,0.017,0.012,0.317,0.263
"P49","Buena",0.177,0,0.006,0.061,0.133
"P49","Ni buena ni mala",0.075,0.009,0.056,0.055,0.077
"P49","Mala",0.013,0.055,0.048,0.294,0.058
"P49","Muy mala",0.047,0.916,0.865,0.265,0.447
"P49","No sabe",0.002,0.003,0.013,0.008,0.022
"P50","Muy buena",0.082,0.352,0.096,0.032,0.048
"P50","Buena",0.031,0.337,0.171,0.035,0.075
"P50","Ni buena ni mala",0.052,0.16,0.285,0.044,0.169
"P50","Mala",0.206,0.033,0.164,0.191,0.197
"P50","Muy mala",0.625,0.115,0.282,0.698,0.485
"P50","No sabe",0.004,0.003,0.002,0,0.026
"P51","Muy buena",0.032,0.319,0.085,0.027,0.102
"P51","Buena",0.03,0.435,0.202,0.046,0.114
"P51","Ni buena ni mala",0.132,0.178,0.315,0.09,0.227
"P51","Mala",0.215,0.04,0.145,0.279,0.172
"P51","Muy mala",0.581,0.026,0.239,0.558,0.323
"P51","No sabe",0.01,0.002,0.014,0,0.062
"P52","Muy buena",0.226,0.039,0.015,0.004,0.039
"P52","Buena",0.373,0.064,0.051,0.08,0.091
"P52","Ni buena ni mala",0.244,0.109,0.132,0.142,0.357
"P52","Mala",0.08,0.15,0.121,0.488,0.168
"P52","Muy mala",0.075,0.633,0.669,0.286,0.307
"P52","No sabe",0.002,0.005,0.012,0,0.038
"P53","Muy buena",0.043,0.528,0.336,0.008,0.144
"P53","Buena",0.078,0.236,0.236,0.017,0.069
"P53","Ni buena ni mala",0.102,0.107,0.18,0.188,0.179
"P53","Mala",0.126,0.044,0.091,0.093,0.188
"P53","Muy mala",0.644,0.082,0.144,0.694,0.372
"P53","No sabe",0.007,0.003,0.013,0,0.048
"P54","Muy buena",0.02,0.1,0.599,0.017,0.044
"P54","Buena",0.035,0.187,0.249,0.007,0.054
"P54","Ni buena ni mala",0.108,0.471,0.121,0.193,0.233
"P54","Mala",0.159,0.152,0.012,0.119,0.179
"P54","Muy mala",0.662,0.078,0.018,0.664,0.45
"P54","No sabe",0.016,0.012,0.001,0,0.04
"P55","Muy buena",0.02,0.376,0.151,0.033,0.057
"P55","Buena",0.023,0.376,0.21,0.079,0.114
"P55","Ni buena ni mala",0.099,0.185,0.242,0.08,0.213
"P55","Mala",0.165,0.038,0.149,0.27,0.187
"P55","Muy mala",0.682,0.02,0.22,0.497,0.385
"P55","No sabe",0.011,0.005,0.028,0.041,0.044
"P56","Muy buena",0.207,0.04,0.021,0.015,0.065
"P56","Buena",0.382,0.043,0.076,0.153,0.119
"P56","Ni buena ni mala",0.264,0.094,0.085,0.175,0.25
"P56","Mala",0.044,0.211,0.137,0.4,0.222
"P56","Muy mala",0.094,0.609,0.669,0.226,0.308
"P56","No sabe",0.009,0.003,0.012,0.031,0.036
"P57","Muy buena",0.068,0.049,0.036,0.089,0.092
"P57","Buena",0.173,0.125,0.125,0.077,0.118
"P57","Ni buena ni mala",0.394,0.302,0.308,0.214,0.327
"P57","Mala",0.173,0.209,0.178,0.387,0.142
"P57","Muy mala",0.132,0.298,0.297,0.202,0.248
"P57","No sabe",0.06,0.017,0.056,0.031,0.073
"P58","Muy buena",0.021,0.093,0.017,0,0.045
"P58","Buena",0.065,0.239,0.084,0.058,0.077
"P58","Ni buena ni mala",0.246,0.402,0.425,0.22,0.381
"P58","Mala",0.195,0.116,0.121,0.205,0.113
"P58","Muy mala",0.404,0.11,0.261,0.507,0.28
"P58","No sabe",0.069,0.04,0.092,0.01,0.104
"P59","Siempre",0.371,0.3,0.25,0.254,0.29
"P59","Casi siempre",0.391,0.455,0.382,0.326,0.333
"P59","Casi nunca",0.126,0.172,0.245,0.298,0.26
"P59","Nunca, pero esta es una excepción",0.112,0.073,0.123,0.122,0.117
"P60","Si",0.602,0.562,0.494,0.505,0.542
"P60","No",0.398,0.438,0.506,0.495,0.458
