"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P14","Lo votaría",0.436,0.073,0.236,0.035,0.174
"P14","Puede que lo vote",0.285,0.052,0.313,0.061,0.142
"P14","Nunca lo votaría",0.221,0.821,0.361,0.818,0.591
"P14","No sabe",0.058,0.054,0.09,0.086,0.093
"P15","Lo votaría",0.1,0.265,0.06,0.052,0.088
"P15","Puede que lo vote",0.093,0.387,0.086,0.233,0.251
"P15","Nunca lo votaría",0.739,0.272,0.804,0.619,0.542
"P15","No sabe",0.068,0.076,0.05,0.096,0.119
"P16","Lo votaría",0.049,0.365,0.019,0.07,0.052
"P16","Puede que lo vote",0.069,0.394,0.02,0.241,0.155
"P16","Nunca lo votaría",0.846,0.174,0.928,0.599,0.662
"P16","No sabe",0.036,0.067,0.033,0.09,0.131
"P17","La votaría",0.097,0.745,0.038,0.413,0.355
"P17","Puede que la vote",0.04,0.108,0.039,0.094,0.061
"P17","Nunca la votaría",0.846,0.126,0.892,0.454,0.512
"P17","No sabe",0.017,0.021,0.031,0.039,0.072
"P18","Lo votaría",0.422,0.103,0.08,0.043,0.07
"P18","Puede que lo vote",0.365,0.098,0.269,0.121,0.208
"P18","Nunca lo votaría",0.176,0.753,0.575,0.815,0.624
"P18","No sabe",0.037,0.046,0.076,0.021,0.098
"P19","Lo votaría",0.1,0.06,0.046,0.032,0.073
"P19","Puede que lo vote",0.324,0.187,0.187,0.229,0.198
"P19","Nunca lo votaría",0.49,0.613,0.65,0.672,0.593
"P19","No sabe",0.086,0.14,0.117,0.067,0.136
"P20","La votaría",0.409,0.057,0.356,0.015,0.203
"P20","Puede que la vote",0.284,0.072,0.282,0.105,0.11
"P20","Nunca la votaría",0.242,0.833,0.302,0.873,0.608
"P20","No sabe",0.065,0.038,0.06,0.007,0.079
"P21","Lo votaría",0.112,0.028,0.614,0.003,0.044
"P21","Puede que lo vote",0.255,0.092,0.294,0.067,0.142
"P21","Nunca lo votaría",0.57,0.823,0.071,0.911,0.722
"P21","No sabe",0.063,0.057,0.021,0.019,0.092
"P22","La votaría",0.27,0.052,0.152,0.003,0.063
"P22","Puede que la vote",0.347,0.086,0.288,0.104,0.175
"P22","Nunca la votaría",0.293,0.798,0.507,0.856,0.673
"P22","No sabe",0.09,0.064,0.053,0.037,0.089
"P23","Lo votaría",0.059,0.208,0.03,0.02,0.044
"P23","Puede que lo vote",0.103,0.429,0.079,0.304,0.233
"P23","Nunca lo votaría",0.793,0.318,0.856,0.579,0.61
"P23","No sabe",0.045,0.045,0.035,0.097,0.113
"P24","Lo votaría",0.096,0.027,0.029,0,0.02
"P24","Puede que lo vote",0.307,0.162,0.113,0.085,0.131
"P24","Nunca lo votaría",0.498,0.694,0.77,0.85,0.705
"P24","No sabe",0.099,0.117,0.088,0.065,0.144
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.458,0.077,0.126,0.011,0.163
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.334,0.023,0.052,0.043,0.044
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.027,0.125,0.008,0.016,0.016
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.115,0.755,0.031,0.383,0.381
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.019,0.009,0.728,0.008,0.039
"P25","Nicolás del Caño – Myriam Bregman",0,0.001,0.013,0.44,0.005
"P25","Otros candidatos",0.047,0.01,0.042,0.099,0.352
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.136,0.85,0.03,0.341,0.384
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.681,0.094,0.144,0.051,0.166
"P29","Javier Milei – José Luis Espert por los liberales",0.042,0.01,0.789,0.003,0.025
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.006,0.011,0.572,0.005
"P29","Otro candidato",0.133,0.04,0.026,0.033,0.42
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.148,0.693,0.025,0.185,0.232
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.659,0.104,0.229,0.03,0.228
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.034,0.023,0.725,0.063,0.023
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.027,0.027,0.003,0.701,0.005
"P33","Otro candidato",0.132,0.153,0.018,0.021,0.512
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.118,0.713,0.053,0.219,0.247
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.727,0.118,0.038,0.047,0.072
"P35","Javier Milei – José Luis Espert por los liberales",0.041,0.02,0.85,0.003,0.055
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.006,0.02,0.007,0.679,0.01
"P35","Otro candidato",0.108,0.129,0.052,0.052,0.616
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.144,0.819,0.03,0.428,0.358
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.755,0.103,0.049,0.008,0.107
"P37","Javier Milei – José Luis Espert por los liberales",0.032,0.026,0.867,0,0.063
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.002,0.004,0,0.5,0.005
"P37","Otro candidato",0.067,0.048,0.054,0.064,0.467
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.11,0.725,0.033,0.251,0.234
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.704,0.101,0.178,0.004,0.201
"P38","Javier Milei – José Luis Espert por los liberales",0.041,0.018,0.754,0.047,0.049
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.017,0.008,0.61,0.02
"P38","Otro candidato",0.133,0.139,0.027,0.088,0.496
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.159,0.814,0.066,0.516,0.39
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.712,0.118,0.462,0.081,0.296
"P39","No sabe",0.129,0.068,0.472,0.403,0.314
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.116,0.788,0.038,0.356,0.195
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.788,0.094,0.41,0.059,0.187
"P40","No sabe",0.096,0.118,0.552,0.585,0.618
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.112,0.725,0.035,0.594,0.305
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.718,0.1,0.622,0.023,0.305
"P41","No sabe",0.17,0.175,0.343,0.383,0.39
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.132,0.814,0.04,0.566,0.372
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.786,0.111,0.461,0.103,0.227
"P42","No sabe",0.082,0.075,0.499,0.331,0.401
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.098,0.733,0.042,0.436,0.301
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.796,0.107,0.447,0.083,0.196
"P43","No sabe",0.106,0.16,0.511,0.481,0.503
"P44","Mauricio Macri – María Eugenia Vidal",0.688,0.129,0.485,0.071,0.267
"P44","Sergio Massa – Wado de Pedro",0.176,0.686,0.096,0.484,0.317
"P44","No sabe",0.136,0.185,0.419,0.445,0.416
"P45","Sergio Massa – Wado de Pedro",0.157,0.683,0.057,0.509,0.306
"P45","Javier Milei – José Luis Espert",0.34,0.127,0.833,0.073,0.222
"P45","No sabe",0.503,0.19,0.11,0.418,0.472
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.706,0.171,0.07,0.217,0.167
"P46","Javier Milei – José Luis Espert",0.115,0.087,0.837,0.115,0.144
"P46","No sabe",0.179,0.742,0.093,0.668,0.689
"P47","Muy buena",0.074,0.179,0.022,0.045,0.042
"P47","Buena",0.045,0.341,0.053,0.071,0.142
"P47","Ni buena ni mala",0.08,0.311,0.064,0.367,0.207
"P47","Mala",0.116,0.079,0.08,0.383,0.17
"P47","Muy mala",0.673,0.087,0.76,0.121,0.42
"P47","No sabe",0.012,0.003,0.021,0.013,0.019
"P48","Muy buena",0.037,0.228,0.015,0.108,0.013
"P48","Buena",0.063,0.356,0.016,0.11,0.134
"P48","Ni buena ni mala",0.06,0.247,0.045,0.191,0.164
"P48","Mala",0.128,0.062,0.078,0.344,0.176
"P48","Muy mala",0.703,0.105,0.829,0.247,0.481
"P48","No sabe",0.009,0.002,0.017,0,0.032
"P49","Muy buena",0.085,0.595,0.023,0.383,0.309
"P49","Buena",0.03,0.19,0.008,0.085,0.076
"P49","Ni buena ni mala",0.026,0.077,0.032,0.13,0.059
"P49","Mala",0.065,0.024,0.044,0.199,0.041
"P49","Muy mala",0.79,0.113,0.882,0.197,0.495
"P49","No sabe",0.004,0.001,0.011,0.006,0.02
"P50","Muy buena",0.287,0.058,0.144,0.028,0.147
"P50","Buena",0.286,0.067,0.163,0.072,0.111
"P50","Ni buena ni mala",0.165,0.066,0.276,0.01,0.138
"P50","Mala",0.068,0.21,0.159,0.146,0.146
"P50","Muy mala",0.189,0.599,0.257,0.728,0.433
"P50","No sabe",0.005,0,0.001,0.016,0.025
"P51","Muy buena",0.343,0.047,0.069,0.057,0.081
"P51","Buena",0.397,0.075,0.212,0.025,0.115
"P51","Ni buena ni mala",0.137,0.132,0.333,0.046,0.255
"P51","Mala",0.042,0.213,0.147,0.255,0.164
"P51","Muy mala",0.078,0.5,0.228,0.614,0.355
"P51","No sabe",0.003,0.033,0.011,0.003,0.03
"P52","Muy buena",0.062,0.217,0.011,0.01,0.044
"P52","Buena",0.086,0.3,0.054,0.182,0.161
"P52","Ni buena ni mala",0.154,0.27,0.117,0.253,0.253
"P52","Mala",0.163,0.08,0.124,0.352,0.161
"P52","Muy mala",0.53,0.123,0.681,0.2,0.358
"P52","No sabe",0.005,0.01,0.013,0.003,0.023
"P53","Muy buena",0.402,0.082,0.392,0.004,0.218
"P53","Buena",0.243,0.064,0.209,0.009,0.108
"P53","Ni buena ni mala",0.156,0.105,0.174,0.151,0.105
"P53","Mala",0.07,0.162,0.087,0.092,0.104
"P53","Muy mala",0.128,0.56,0.126,0.737,0.443
"P53","No sabe",0.001,0.027,0.012,0.007,0.022
"P54","Muy buena",0.075,0.033,0.541,0.006,0.063
"P54","Buena",0.142,0.049,0.247,0.058,0.08
"P54","Ni buena ni mala",0.431,0.17,0.147,0.085,0.234
"P54","Mala",0.153,0.164,0.04,0.099,0.162
"P54","Muy mala",0.185,0.562,0.025,0.73,0.435
"P54","No sabe",0.014,0.022,0,0.022,0.026
"P55","Muy buena",0.303,0.049,0.197,0.011,0.095
"P55","Buena",0.331,0.049,0.239,0.07,0.122
"P55","Ni buena ni mala",0.188,0.107,0.221,0.057,0.216
"P55","Mala",0.059,0.178,0.136,0.215,0.15
"P55","Muy mala",0.107,0.591,0.193,0.572,0.4
"P55","No sabe",0.012,0.026,0.014,0.075,0.017
"P56","Muy buena",0.052,0.213,0.024,0.022,0.049
"P56","Buena",0.066,0.371,0.053,0.113,0.158
"P56","Ni buena ni mala",0.126,0.212,0.084,0.227,0.276
"P56","Mala",0.224,0.059,0.137,0.335,0.185
"P56","Muy mala",0.522,0.123,0.692,0.281,0.323
"P56","No sabe",0.01,0.022,0.01,0.022,0.009
"P57","Muy buena",0.093,0.05,0.021,0.049,0.081
"P57","Buena",0.149,0.14,0.127,0.057,0.136
"P57","Ni buena ni mala",0.337,0.392,0.301,0.223,0.294
"P57","Mala",0.191,0.171,0.183,0.318,0.178
"P57","Muy mala",0.202,0.164,0.322,0.298,0.282
"P57","No sabe",0.028,0.083,0.046,0.055,0.029
"P58","Muy buena",0.108,0.006,0.031,0.003,0.036
"P58","Buena",0.249,0.066,0.092,0.016,0.079
"P58","Ni buena ni mala",0.409,0.307,0.408,0.141,0.317
"P58","Mala",0.103,0.181,0.125,0.247,0.142
"P58","Muy mala",0.095,0.359,0.261,0.558,0.333
"P58","No sabe",0.036,0.081,0.083,0.035,0.093
"P59","Siempre",0.31,0.328,0.277,0.339,0.298
"P59","Casi siempre",0.419,0.429,0.395,0.225,0.351
"P59","Casi nunca",0.183,0.134,0.218,0.338,0.235
"P59","Nunca, pero esta es una excepción",0.088,0.109,0.11,0.098,0.116
"P60","Si",0.521,0.612,0.536,0.561,0.54
"P60","No",0.479,0.388,0.464,0.439,0.46
