"var","categoria","Sergio Massa – Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.081,0.716,0.162,0.028,0.186
"P29","Javier Milei – José Luis Espert por los liberales",0.037,0.039,0.771,0.009,0.049
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.01,0.006,0.003,0.537,0.018
"P29","Otro candidato",0.053,0.15,0.027,0.027,0.387
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.111,0.777,0.048,0.044,0.14
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.633,0.12,0.021,0.141,0.159
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.045,0.036,0.88,0.046,0.061
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.029,0.007,0.001,0.709,0.01
"P31","Otro candidato",0.182,0.06,0.05,0.06,0.63
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.797,0.125,0.016,0.092,0.058
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.138,0.715,0.217,0.037,0.219
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.007,0.037,0.744,0.012,0.042
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.018,0.009,0.005,0.808,0.021
"P33","Otro candidato",0.04,0.114,0.018,0.051,0.66
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.799,0.119,0.037,0.326,0.332
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.12,0.811,0.033,0.04,0.08
"P37","Javier Milei – José Luis Espert por los liberales",0.032,0.024,0.9,0.015,0.05
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.002,0.001,0.502,0.005
"P37","Otro candidato",0.044,0.044,0.029,0.117,0.533
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.825,0.078,0.021,0.06,0.095
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.089,0.762,0.169,0.074,0.193
"P38","Javier Milei – José Luis Espert por los liberales",0.029,0.039,0.782,0.009,0.029
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.007,0.005,0.008,0.699,0.027
"P38","Otro candidato",0.05,0.116,0.02,0.158,0.656
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.816,0.112,0.048,0.501,0.383
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.13,0.753,0.484,0.015,0.275
"P39","No sabe",0.054,0.135,0.468,0.484,0.342
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.718,0.094,0.043,0.41,0.214
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.111,0.821,0.41,0.034,0.185
"P40","No sabe",0.171,0.085,0.547,0.556,0.601
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.814,0.109,0.019,0.377,0.14
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.107,0.759,0.624,0.089,0.298
"P41","No sabe",0.079,0.132,0.357,0.534,0.562
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.826,0.08,0.046,0.501,0.338
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.109,0.851,0.46,0.045,0.224
"P42","No sabe",0.065,0.069,0.494,0.454,0.438
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.809,0.091,0.03,0.345,0.164
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.104,0.835,0.431,0.108,0.208
"P43","No sabe",0.087,0.074,0.539,0.547,0.628
"P44","Mauricio Macri – María Eugenia Vidal",0.131,0.722,0.472,0.117,0.259
"P44","Sergio Massa – Wado de Pedro",0.773,0.151,0.086,0.415,0.194
"P44","No sabe",0.096,0.127,0.442,0.468,0.547
"P45","Sergio Massa – Wado de Pedro",0.776,0.153,0.039,0.419,0.154
"P45","Javier Milei – José Luis Espert",0.134,0.33,0.857,0.116,0.208
"P45","No sabe",0.09,0.517,0.104,0.465,0.638
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.196,0.75,0.04,0.222,0.154
"P46","Javier Milei – José Luis Espert",0.093,0.106,0.869,0.066,0.125
"P46","No sabe",0.711,0.144,0.091,0.712,0.721
"P47","Muy buena",0.163,0.072,0.013,0.066,0.06
"P47","Buena",0.333,0.036,0.067,0.158,0.098
"P47","Ni buena ni mala",0.3,0.07,0.061,0.317,0.228
"P47","Mala",0.11,0.113,0.068,0.328,0.161
"P47","Muy mala",0.088,0.707,0.761,0.118,0.434
"P47","No sabe",0.006,0.002,0.03,0.013,0.019
"P48","Muy buena",0.171,0.028,0.018,0.081,0.09
"P48","Buena",0.357,0.042,0.01,0.23,0.107
"P48","Ni buena ni mala",0.24,0.067,0.031,0.171,0.166
"P48","Mala",0.106,0.121,0.081,0.268,0.142
"P48","Muy mala",0.124,0.739,0.835,0.239,0.467
"P48","No sabe",0.002,0.003,0.025,0.011,0.028
"P49","Muy buena",0.637,0.04,0.021,0.339,0.261
"P49","Buena",0.139,0.032,0.011,0.145,0.115
"P49","Ni buena ni mala",0.069,0.029,0.033,0.095,0.068
"P49","Mala",0.029,0.057,0.041,0.216,0.05
"P49","Muy mala",0.125,0.837,0.883,0.198,0.485
"P49","No sabe",0.001,0.005,0.011,0.007,0.021
"P50","Muy buena",0.076,0.275,0.166,0.021,0.133
"P50","Buena",0.04,0.337,0.167,0.021,0.107
"P50","Ni buena ni mala",0.053,0.174,0.268,0.056,0.157
"P50","Mala",0.211,0.073,0.134,0.255,0.131
"P50","Muy mala",0.615,0.138,0.264,0.633,0.449
"P50","No sabe",0.005,0.003,0.001,0.014,0.023
"P51","Muy buena",0.062,0.364,0.064,0.026,0.068
"P51","Buena",0.047,0.423,0.213,0.076,0.139
"P51","Ni buena ni mala",0.138,0.128,0.326,0.055,0.267
"P51","Mala",0.223,0.028,0.153,0.249,0.148
"P51","Muy mala",0.519,0.046,0.233,0.538,0.341
"P51","No sabe",0.011,0.011,0.011,0.056,0.037
"P52","Muy buena",0.198,0.065,0.013,0.036,0.04
"P52","Buena",0.35,0.077,0.04,0.077,0.111
"P52","Ni buena ni mala",0.257,0.127,0.118,0.259,0.296
"P52","Mala",0.087,0.165,0.127,0.354,0.153
"P52","Muy mala",0.105,0.562,0.689,0.219,0.375
"P52","No sabe",0.003,0.004,0.013,0.055,0.025
"P53","Muy buena",0.069,0.434,0.388,0.05,0.221
"P53","Buena",0.077,0.242,0.218,0.031,0.089
"P53","Ni buena ni mala",0.094,0.141,0.169,0.15,0.154
"P53","Mala",0.146,0.058,0.087,0.121,0.128
"P53","Muy mala",0.607,0.115,0.126,0.593,0.381
"P53","No sabe",0.007,0.01,0.012,0.055,0.027
"P54","Muy buena",0.042,0.079,0.544,0.006,0.051
"P54","Buena",0.057,0.156,0.257,0.006,0.059
"P54","Ni buena ni mala",0.14,0.431,0.165,0.139,0.265
"P54","Mala",0.162,0.168,0.013,0.135,0.167
"P54","Muy mala",0.587,0.156,0.02,0.658,0.42
"P54","No sabe",0.012,0.01,0.001,0.056,0.038
"P55","Muy buena",0.058,0.322,0.194,0.012,0.081
"P55","Buena",0.05,0.331,0.229,0.103,0.153
"P55","Ni buena ni mala",0.104,0.186,0.228,0.14,0.207
"P55","Mala",0.176,0.057,0.132,0.202,0.151
"P55","Muy mala",0.605,0.08,0.202,0.487,0.376
"P55","No sabe",0.007,0.024,0.015,0.056,0.032
"P56","Muy buena",0.199,0.032,0.023,0.025,0.079
"P56","Buena",0.362,0.071,0.056,0.132,0.12
"P56","Ni buena ni mala",0.267,0.091,0.072,0.235,0.245
"P56","Mala",0.064,0.234,0.136,0.354,0.18
"P56","Muy mala",0.102,0.569,0.703,0.198,0.342
"P56","No sabe",0.006,0.003,0.01,0.056,0.034
"P57","Muy buena",0.058,0.08,0.03,0.037,0.082
"P57","Buena",0.14,0.172,0.112,0.087,0.115
"P57","Ni buena ni mala",0.402,0.33,0.297,0.223,0.285
"P57","Mala",0.184,0.182,0.188,0.337,0.163
"P57","Muy mala",0.162,0.2,0.324,0.26,0.302
"P57","No sabe",0.054,0.036,0.049,0.056,0.053
"P58","Muy buena",0.012,0.115,0.026,0,0.032
"P58","Buena",0.07,0.262,0.077,0.089,0.07
"P58","Ni buena ni mala",0.297,0.395,0.417,0.202,0.337
"P58","Mala",0.175,0.109,0.126,0.172,0.15
"P58","Muy mala",0.392,0.068,0.26,0.482,0.319
"P58","No sabe",0.054,0.051,0.094,0.055,0.092
"P59","Siempre",0.336,0.313,0.268,0.292,0.301
"P59","Casi siempre",0.413,0.428,0.389,0.334,0.343
"P59","Casi nunca",0.141,0.193,0.222,0.274,0.228
"P59","Nunca, pero esta es una excepción",0.11,0.066,0.121,0.1,0.128
"P60","Si",0.592,0.551,0.525,0.566,0.532
"P60","No",0.408,0.449,0.475,0.434,0.468
