"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.01,0.268,0.058
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.12,0.005,0.029
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.806,0.013,0.229
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.023,0.184,0.326
"P25","Nicolás del Caño – Myriam Bregman",0.015,0.01,0.043
"P25","Otros candidatos",0.009,0.079,0.182
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.904,0.02,0.243
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.025,0.612,0.157
"P29","Javier Milei – José Luis Espert por los liberales",0.02,0.221,0.339
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.019,0.011,0.052
"P29","Otro candidato",0.032,0.136,0.209
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.105,0.575,0.08
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.693,0.067,0.095
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.029,0.253,0.386
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.046,0.006,0.069
"P31","Otro candidato",0.127,0.099,0.37
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.72,0.055,0.142
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.05,0.656,0.188
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.027,0.176,0.328
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.049,0.013,0.07
"P33","Otro candidato",0.154,0.1,0.272
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.704,0.088,0.154
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.081,0.567,0.066
"P35","Javier Milei – José Luis Espert por los liberales",0.032,0.249,0.376
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.05,0.003,0.062
"P35","Otro candidato",0.133,0.093,0.342
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.85,0.04,0.251
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.062,0.613,0.058
"P37","Javier Milei – José Luis Espert por los liberales",0.02,0.25,0.394
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.013,0.006,0.047
"P37","Otro candidato",0.055,0.091,0.25
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.749,0.035,0.146
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.045,0.642,0.144
"P38","Javier Milei – José Luis Espert por los liberales",0.026,0.204,0.367
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.028,0.01,0.062
"P38","Otro candidato",0.152,0.109,0.281
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.905,0.043,0.25
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.032,0.832,0.225
"P39","No sabe",0.063,0.125,0.525
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.822,0.033,0.165
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.035,0.847,0.299
"P41","No sabe",0.143,0.12,0.536
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.877,0.022,0.261
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.035,0.918,0.131
"P42","No sabe",0.088,0.06,0.608
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.84,0.023,0.15
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.025,0.907,0.114
"P43","No sabe",0.135,0.07,0.736
"P44","Mauricio Macri – María Eugenia Vidal",0.109,0.742,0.216
"P44","Sergio Massa – Wado de Pedro",0.729,0.161,0.174
"P44","No sabe",0.162,0.097,0.61
"P45","Sergio Massa – Wado de Pedro",0.736,0.109,0.179
"P45","Javier Milei – José Luis Espert",0.127,0.515,0.391
"P45","No sabe",0.137,0.376,0.43
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.171,0.561,0.091
"P46","Javier Milei – José Luis Espert",0.065,0.344,0.395
"P46","No sabe",0.764,0.095,0.514
"P47","Muy buena",0.174,0.059,0.025
"P47","Buena",0.35,0.042,0.076
"P47","Ni buena ni mala",0.347,0.021,0.196
"P47","Mala",0.087,0.107,0.167
"P47","Muy mala",0.034,0.769,0.505
"P47","No sabe",0.008,0.002,0.031
"P48","Muy buena",0.222,0.015,0.03
"P48","Buena",0.413,0.004,0.067
"P48","Ni buena ni mala",0.241,0.042,0.137
"P48","Mala",0.087,0.11,0.155
"P48","Muy mala",0.034,0.824,0.579
"P48","No sabe",0.003,0.005,0.032
"P49","Muy buena",0.677,0.018,0.168
"P49","Buena",0.187,0.002,0.07
"P49","Ni buena ni mala",0.081,0.013,0.071
"P49","Mala",0.017,0.054,0.077
"P49","Muy mala",0.037,0.911,0.592
"P49","No sabe",0.001,0.002,0.022
"P50","Muy buena",0.079,0.251,0.114
"P50","Buena",0.025,0.307,0.101
"P50","Ni buena ni mala",0.048,0.195,0.198
"P50","Mala",0.207,0.071,0.175
"P50","Muy mala",0.637,0.175,0.394
"P50","No sabe",0.004,0.001,0.018
"P51","Muy buena",0.026,0.303,0.05
"P51","Buena",0.035,0.41,0.101
"P51","Ni buena ni mala",0.115,0.21,0.263
"P51","Mala",0.217,0.048,0.19
"P51","Muy mala",0.591,0.028,0.355
"P51","No sabe",0.016,0.001,0.041
"P52","Muy buena",0.208,0.042,0.024
"P52","Buena",0.336,0.061,0.096
"P52","Ni buena ni mala",0.288,0.119,0.214
"P52","Mala",0.074,0.158,0.177
"P52","Muy mala",0.084,0.615,0.467
"P52","No sabe",0.01,0.005,0.022
"P53","Muy buena",0.048,0.463,0.221
"P53","Buena",0.074,0.224,0.138
"P53","Ni buena ni mala",0.097,0.144,0.164
"P53","Mala",0.149,0.066,0.113
"P53","Muy mala",0.616,0.098,0.338
"P53","No sabe",0.016,0.005,0.026
"P54","Muy buena",0.033,0.195,0.253
"P54","Buena",0.019,0.204,0.132
"P54","Ni buena ni mala",0.126,0.368,0.207
"P54","Mala",0.151,0.136,0.102
"P54","Muy mala",0.653,0.086,0.287
"P54","No sabe",0.018,0.011,0.019
"P55","Muy buena",0.018,0.31,0.111
"P55","Buena",0.025,0.351,0.134
"P55","Ni buena ni mala",0.085,0.227,0.193
"P55","Mala",0.179,0.076,0.155
"P55","Muy mala",0.682,0.028,0.366
"P55","No sabe",0.011,0.008,0.041
"P56","Muy buena",0.207,0.047,0.021
"P56","Buena",0.387,0.044,0.097
"P56","Ni buena ni mala",0.244,0.085,0.211
"P56","Mala",0.06,0.212,0.184
"P56","Muy mala",0.088,0.606,0.465
"P56","No sabe",0.014,0.006,0.022
"P57","Muy buena",0.055,0.07,0.057
"P57","Buena",0.154,0.15,0.099
"P57","Ni buena ni mala",0.413,0.294,0.297
"P57","Mala",0.157,0.207,0.19
"P57","Muy mala",0.161,0.254,0.292
"P57","No sabe",0.06,0.025,0.065
"P58","Muy buena",0.016,0.091,0.017
"P58","Buena",0.064,0.223,0.055
"P58","Ni buena ni mala",0.251,0.44,0.343
"P58","Mala",0.187,0.114,0.134
"P58","Muy mala",0.416,0.076,0.362
"P58","No sabe",0.066,0.056,0.089
"P59","Siempre",0.352,0.297,0.275
"P59","Casi siempre",0.396,0.434,0.347
"P59","Casi nunca",0.132,0.196,0.251
"P59","Nunca, pero esta es una excepción",0.12,0.073,0.127
"P60","Si",0.619,0.547,0.501
"P60","No",0.381,0.453,0.499
