"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Alberto Fernandez","Negativa",0.632,0.69,0.576,0.662,0.612,0.669,0.595,0.552,0.65,0.694,0.621,0.654,0.303,0.904,0.755
"Alberto Fernandez","No sabe",0.013,0.009,0.016,0.027,0.011,0.007,0.012,0.023,0.008,0.009,0.014,0.01,0.01,0.004,0.022
"Facundo Manes","Positiva",0.196,0.225,0.169,0.156,0.186,0.213,0.23,0.226,0.165,0.213,0.187,0.214,0.193,0.167,0.414
"Facundo Manes","Neutra",0.331,0.307,0.353,0.254,0.335,0.337,0.378,0.345,0.329,0.316,0.312,0.366,0.373,0.311,0.191
"Facundo Manes","Negativa",0.425,0.441,0.41,0.503,0.428,0.422,0.357,0.358,0.459,0.447,0.449,0.38,0.363,0.507,0.365
"Facundo Manes","No sabe",0.048,0.027,0.068,0.087,0.051,0.028,0.035,0.071,0.047,0.024,0.052,0.04,0.071,0.015,0.03
"Gerardo Morales","Positiva",0.168,0.179,0.158,0.153,0.124,0.196,0.236,0.163,0.157,0.192,0.156,0.192,0.075,0.274,0.304
"Gerardo Morales","Neutra",0.353,0.33,0.375,0.293,0.385,0.345,0.347,0.396,0.349,0.311,0.356,0.347,0.264,0.404,0.39
"Gerardo Morales","Negativa",0.41,0.443,0.377,0.431,0.413,0.415,0.376,0.357,0.411,0.464,0.412,0.404,0.58,0.28,0.265
"Gerardo Morales","No sabe",0.069,0.048,0.09,0.123,0.078,0.044,0.041,0.084,0.083,0.033,0.076,0.057,0.081,0.042,0.041
