"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P22","La votaría",0.011,0.268,0.115
"P22","Puede que la vote",0.035,0.41,0.198
"P22","Nunca la votaría",0.889,0.262,0.584
"P22","No sabe",0.065,0.06,0.103
"P23","Lo votaría",0.187,0.033,0.049
"P23","Puede que lo vote",0.44,0.077,0.12
"P23","Nunca lo votaría",0.288,0.869,0.78
"P23","No sabe",0.085,0.021,0.051
"P24","Lo votaría",0.022,0.083,0.023
"P24","Puede que lo vote",0.103,0.286,0.103
"P24","Nunca lo votaría",0.758,0.542,0.776
"P24","No sabe",0.117,0.089,0.098
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.009,0.413,0.183
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.013,0.264,0.045
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.079,0.007,0.068
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.849,0.017,0.053
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.013,0.206,0.384
"P25","Nicolás del Caño – Myriam Bregman",0.019,0.008,0.053
"P25","Otros candidatos",0.018,0.085,0.214
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.92,0.024,0.091
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.017,0.601,0.175
"P29","Javier Milei – José Luis Espert por los liberales",0.018,0.228,0.409
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.023,0.009,0.062
"P29","Otro candidato",0.022,0.138,0.263
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.1,0.537,0.09
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.608,0.074,0.081
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.026,0.267,0.461
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.063,0.01,0.053
"P31","Otro candidato",0.203,0.112,0.315
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.698,0.043,0.066
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.029,0.64,0.238
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.021,0.193,0.39
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.059,0.013,0.068
"P33","Otro candidato",0.193,0.111,0.238
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.684,0.081,0.078
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.057,0.547,0.071
"P35","Javier Milei – José Luis Espert por los liberales",0.029,0.262,0.451
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.051,0.004,0.067
"P35","Otro candidato",0.179,0.106,0.333
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.899,0.041,0.072
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.039,0.584,0.073
"P37","Javier Milei – José Luis Espert por los liberales",0.005,0.276,0.469
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.012,0.007,0.059
"P37","Otro candidato",0.045,0.092,0.327
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.727,0.025,0.063
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.022,0.621,0.178
"P38","Javier Milei – José Luis Espert por los liberales",0.02,0.231,0.42
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.042,0.007,0.061
"P38","Otro candidato",0.189,0.116,0.278
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.931,0.049,0.075
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.029,0.791,0.28
"P39","No sabe",0.04,0.16,0.645
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.738,0.026,0.106
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.023,0.865,0.091
"P40","No sabe",0.239,0.109,0.803
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.806,0.036,0.049
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.006,0.844,0.365
"P41","No sabe",0.188,0.12,0.586
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.815,0.024,0.042
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.019,0.916,0.06
"P43","No sabe",0.166,0.06,0.898
"P44","Mauricio Macri – María Eugenia Vidal",0.091,0.732,0.24
"P44","Sergio Massa – Wado de Pedro",0.728,0.154,0.07
"P44","No sabe",0.181,0.114,0.69
"P45","Sergio Massa – Wado de Pedro",0.748,0.1,0.064
"P45","Javier Milei – José Luis Espert",0.1,0.527,0.456
"P45","No sabe",0.152,0.373,0.48
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.155,0.555,0.075
"P46","Javier Milei – José Luis Espert",0.053,0.355,0.465
"P46","No sabe",0.792,0.09,0.46
"P47","Muy buena",0.135,0.055,0.052
"P47","Buena",0.331,0.037,0.058
"P47","Ni buena ni mala",0.357,0.029,0.15
"P47","Mala",0.131,0.097,0.142
"P47","Muy mala",0.037,0.776,0.568
"P47","No sabe",0.009,0.006,0.03
"P48","Muy buena",0.167,0.012,0.07
"P48","Buena",0.385,0.004,0.036
"P48","Ni buena ni mala",0.27,0.031,0.099
"P48","Mala",0.13,0.106,0.121
"P48","Muy mala",0.042,0.843,0.638
"P48","No sabe",0.006,0.004,0.036
"P49","Muy buena",0.695,0.002,0.069
"P49","Buena",0.199,0,0.036
"P49","Ni buena ni mala",0.074,0.017,0.076
"P49","Mala",0.013,0.049,0.105
"P49","Muy mala",0.017,0.93,0.687
"P49","No sabe",0.002,0.002,0.027
"P50","Muy buena",0.062,0.26,0.12
"P50","Buena",0.03,0.307,0.097
"P50","Ni buena ni mala",0.037,0.191,0.253
"P50","Mala",0.198,0.067,0.193
"P50","Muy mala",0.668,0.174,0.316
"P50","No sabe",0.005,0.001,0.021
"P51","Muy buena",0.016,0.307,0.047
"P51","Buena",0.017,0.399,0.137
"P51","Ni buena ni mala",0.109,0.211,0.304
"P51","Mala",0.214,0.057,0.184
"P51","Muy mala",0.618,0.025,0.295
"P51","No sabe",0.026,0.001,0.033
"P52","Muy buena",0.177,0.038,0.034
"P52","Buena",0.323,0.057,0.072
"P52","Ni buena ni mala",0.302,0.116,0.19
"P52","Mala",0.111,0.165,0.139
"P52","Muy mala",0.079,0.62,0.537
"P52","No sabe",0.008,0.004,0.028
"P53","Muy buena",0.031,0.464,0.267
"P53","Buena",0.062,0.234,0.147
"P53","Ni buena ni mala",0.079,0.132,0.226
"P53","Mala",0.138,0.07,0.117
"P53","Muy mala",0.671,0.097,0.216
"P53","No sabe",0.019,0.003,0.027
"P54","Muy buena",0.019,0.2,0.315
"P54","Buena",0.028,0.217,0.118
"P54","Ni buena ni mala",0.091,0.361,0.273
"P54","Mala",0.154,0.138,0.082
"P54","Muy mala",0.688,0.077,0.19
"P54","No sabe",0.02,0.007,0.022
"P55","Muy buena",0.012,0.304,0.135
"P55","Buena",0.013,0.35,0.16
"P55","Ni buena ni mala",0.068,0.232,0.231
"P55","Mala",0.172,0.077,0.164
"P55","Muy mala",0.713,0.029,0.275
"P55","No sabe",0.022,0.008,0.035
"P56","Muy buena",0.176,0.036,0.041
"P56","Buena",0.364,0.044,0.069
"P56","Ni buena ni mala",0.285,0.081,0.159
"P56","Mala",0.075,0.217,0.18
"P56","Muy mala",0.079,0.619,0.531
"P56","No sabe",0.021,0.003,0.02
"P57","Muy buena",0.053,0.066,0.065
"P57","Buena",0.144,0.152,0.096
"P57","Ni buena ni mala",0.394,0.289,0.307
"P57","Mala",0.167,0.2,0.193
"P57","Muy mala",0.177,0.268,0.278
"P57","No sabe",0.065,0.025,0.061
"P58","Muy buena",0.015,0.085,0.025
"P58","Buena",0.04,0.224,0.077
"P58","Ni buena ni mala",0.229,0.427,0.409
"P58","Mala",0.193,0.115,0.113
"P58","Muy mala",0.463,0.084,0.286
"P58","No sabe",0.06,0.065,0.09
"P59","Siempre",0.349,0.294,0.266
"P59","Casi siempre",0.389,0.43,0.348
"P59","Casi nunca",0.137,0.202,0.263
"P59","Nunca, pero esta es una excepción",0.125,0.074,0.123
"P60","Si",0.611,0.528,0.514
"P60","No",0.389,0.472,0.486
