"var","categoria","Horacio Rodríguez Larreta – Gerardo Morales","Javier Milei – José Luis Espert","No sabe"
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.181,0.066,0.647
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.756,0.519,0.085
"P42","No sabe",0.063,0.415,0.268
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.194,0.063,0.535
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.738,0.514,0.076
"P43","No sabe",0.068,0.423,0.389
"P44","Mauricio Macri – María Eugenia Vidal",0.678,0.496,0.122
"P44","Sergio Massa – Wado de Pedro",0.214,0.167,0.513
"P44","No sabe",0.108,0.337,0.365
"P45","Sergio Massa – Wado de Pedro",0.29,0.08,0.484
"P45","Javier Milei – José Luis Espert",0.305,0.865,0.078
"P45","No sabe",0.405,0.055,0.438
"P47","Muy buena",0.125,0.017,0.095
"P47","Buena",0.081,0.093,0.222
"P47","Ni buena ni mala",0.064,0.049,0.33
"P47","Mala",0.145,0.08,0.128
"P47","Muy mala",0.578,0.749,0.207
"P47","No sabe",0.007,0.012,0.018
"P48","Muy buena",0.049,0.026,0.138
"P48","Buena",0.089,0.023,0.261
"P48","Ni buena ni mala",0.081,0.053,0.216
"P48","Mala",0.141,0.075,0.129
"P48","Muy mala",0.638,0.809,0.236
"P48","No sabe",0.002,0.014,0.02
"P49","Muy buena",0.122,0.031,0.504
"P49","Buena",0.057,0.009,0.137
"P49","Ni buena ni mala",0.034,0.049,0.065
"P49","Mala",0.065,0.034,0.05
"P49","Muy mala",0.719,0.868,0.232
"P49","No sabe",0.003,0.009,0.012
"P50","Muy buena",0.27,0.17,0.069
"P50","Buena",0.275,0.185,0.06
"P50","Ni buena ni mala",0.173,0.232,0.088
"P50","Mala",0.096,0.142,0.179
"P50","Muy mala",0.183,0.27,0.59
"P50","No sabe",0.003,0.001,0.014
"P51","Muy buena",0.314,0.096,0.05
"P51","Buena",0.364,0.218,0.076
"P51","Ni buena ni mala",0.14,0.32,0.162
"P51","Mala",0.072,0.15,0.188
"P51","Muy mala",0.109,0.205,0.49
"P51","No sabe",0.001,0.011,0.034
"P52","Muy buena",0.069,0.035,0.13
"P52","Buena",0.113,0.056,0.244
"P52","Ni buena ni mala",0.15,0.11,0.291
"P52","Mala",0.176,0.137,0.116
"P52","Muy mala",0.489,0.65,0.202
"P52","No sabe",0.003,0.012,0.017
"P53","Muy buena",0.382,0.406,0.09
"P53","Buena",0.222,0.191,0.08
"P53","Ni buena ni mala",0.144,0.14,0.129
"P53","Mala",0.079,0.093,0.132
"P53","Muy mala",0.173,0.159,0.542
"P53","No sabe",0,0.011,0.027
"P54","Muy buena",0.054,0.467,0.046
"P54","Buena",0.114,0.257,0.05
"P54","Ni buena ni mala",0.402,0.188,0.174
"P54","Mala",0.184,0.051,0.143
"P54","Muy mala",0.237,0.029,0.562
"P54","No sabe",0.009,0.008,0.025
"P55","Muy buena",0.264,0.198,0.063
"P55","Buena",0.313,0.228,0.069
"P55","Ni buena ni mala",0.184,0.226,0.134
"P55","Mala",0.096,0.142,0.149
"P55","Muy mala",0.136,0.184,0.558
"P55","No sabe",0.007,0.022,0.027
"P56","Muy buena",0.057,0.035,0.14
"P56","Buena",0.088,0.075,0.272
"P56","Ni buena ni mala",0.145,0.085,0.246
"P56","Mala",0.235,0.148,0.111
"P56","Muy mala",0.469,0.649,0.209
"P56","No sabe",0.006,0.008,0.022
"P57","Muy buena",0.091,0.043,0.052
"P57","Buena",0.177,0.117,0.119
"P57","Ni buena ni mala",0.345,0.233,0.384
"P57","Mala",0.192,0.192,0.179
"P57","Muy mala",0.181,0.359,0.2
"P57","No sabe",0.014,0.056,0.066
"P58","Muy buena",0.104,0.03,0.015
"P58","Buena",0.254,0.087,0.055
"P58","Ni buena ni mala",0.389,0.411,0.29
"P58","Mala",0.106,0.136,0.17
"P58","Muy mala",0.097,0.253,0.395
"P58","No sabe",0.05,0.083,0.075
"P59","Siempre",0.301,0.278,0.329
"P59","Casi siempre",0.43,0.41,0.362
"P59","Casi nunca",0.191,0.192,0.198
"P59","Nunca, pero esta es una excepción",0.078,0.12,0.111
"P60","Si",0.543,0.546,0.567
"P60","No",0.457,0.454,0.433
