"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P23","Nunca lo votaría",0.294,0.885,0.655
"P23","No sabe",0.057,0.015,0.11
"P24","Lo votaría",0.028,0.065,0.034
"P24","Puede que lo vote",0.133,0.256,0.108
"P24","Nunca lo votaría",0.753,0.605,0.696
"P24","No sabe",0.086,0.074,0.162
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.014,0.451,0.068
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.027,0.182,0.13
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.075,0.007,0.082
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.811,0.002,0.252
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.018,0.251,0.271
"P25","Nicolás del Caño – Myriam Bregman",0.022,0.009,0.045
"P25","Otros candidatos",0.033,0.098,0.152
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.88,0.017,0.289
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.025,0.599,0.099
"P29","Javier Milei – José Luis Espert por los liberales",0.019,0.27,0.303
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.032,0.005,0.056
"P29","Otro candidato",0.044,0.109,0.253
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.098,0.461,0.178
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.612,0.062,0.175
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.026,0.337,0.303
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.075,0.002,0.057
"P31","Otro candidato",0.189,0.138,0.287
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.79,0.031,0.085
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.025,0.694,0.074
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.024,0.221,0.309
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.052,0.006,0.091
"P33","Otro candidato",0.109,0.048,0.441
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.77,0.074,0.089
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.089,0.457,0.13
"P35","Javier Milei – José Luis Espert por los liberales",0.014,0.332,0.31
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.044,0.008,0.074
"P35","Otro candidato",0.083,0.129,0.397
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.85,0.027,0.281
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.059,0.483,0.162
"P37","Javier Milei – José Luis Espert por los liberales",0.013,0.345,0.301
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.022,0.003,0.05
"P37","Otro candidato",0.056,0.142,0.206
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.804,0.015,0.104
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.037,0.619,0.093
"P38","Javier Milei – José Luis Espert por los liberales",0.018,0.268,0.326
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.039,0.005,0.068
"P38","Otro candidato",0.102,0.093,0.409
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.89,0.028,0.299
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.054,0.818,0.117
"P39","No sabe",0.056,0.154,0.584
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.788,0.025,0.163
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.04,0.747,0.172
"P40","No sabe",0.172,0.228,0.665
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.916,0.005,0.257
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.045,0.783,0.184
"P42","No sabe",0.039,0.212,0.559
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.901,0.007,0.093
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.028,0.764,0.191
"P43","No sabe",0.071,0.229,0.716
"P44","Mauricio Macri – María Eugenia Vidal",0.116,0.748,0.1
"P44","Sergio Massa – Wado de Pedro",0.812,0.114,0.122
"P44","No sabe",0.072,0.138,0.778
"P45","Sergio Massa – Wado de Pedro",0.839,0.082,0.082
"P45","Javier Milei – José Luis Espert",0.104,0.573,0.309
"P45","No sabe",0.057,0.345,0.609
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.205,0.436,0.17
"P46","Javier Milei – José Luis Espert",0.055,0.432,0.279
"P46","No sabe",0.74,0.132,0.551
"P47","Muy buena",0.136,0.053,0.069
"P47","Buena",0.319,0.044,0.105
"P47","Ni buena ni mala",0.362,0.018,0.212
"P47","Mala",0.129,0.074,0.187
"P47","Muy mala",0.048,0.805,0.394
"P47","No sabe",0.006,0.006,0.033
"P48","Muy buena",0.164,0.013,0.097
"P48","Buena",0.393,0.006,0.083
"P48","Ni buena ni mala",0.257,0.012,0.184
"P48","Mala",0.127,0.078,0.174
"P48","Muy mala",0.057,0.885,0.423
"P48","No sabe",0.002,0.006,0.039
"P49","Muy buena",0.655,0.016,0.203
"P49","Buena",0.179,0.002,0.087
"P49","Ni buena ni mala",0.08,0.009,0.09
"P49","Mala",0.031,0.035,0.1
"P49","Muy mala",0.053,0.935,0.494
"P49","No sabe",0.002,0.003,0.026
"P50","Muy buena",0.059,0.279,0.063
"P50","Buena",0.038,0.298,0.061
"P50","Ni buena ni mala",0.044,0.211,0.184
"P50","Mala",0.193,0.057,0.235
"P50","Muy mala",0.662,0.153,0.436
"P50","No sabe",0.004,0.002,0.021
"P51","Muy buena",0.028,0.249,0.09
"P51","Buena",0.031,0.365,0.123
"P51","Ni buena ni mala",0.094,0.25,0.238
"P51","Mala",0.223,0.066,0.181
"P51","Muy mala",0.614,0.067,0.316
"P51","No sabe",0.01,0.003,0.052
"P52","Muy buena",0.193,0.029,0.051
"P52","Buena",0.358,0.04,0.101
"P52","Ni buena ni mala",0.277,0.103,0.272
"P52","Mala",0.104,0.152,0.161
"P52","Muy mala",0.065,0.671,0.382
"P52","No sabe",0.003,0.005,0.033
"P53","Muy buena",0.031,0.532,0.082
"P53","Buena",0.077,0.246,0.084
"P53","Ni buena ni mala",0.082,0.101,0.266
"P53","Mala",0.129,0.04,0.189
"P53","Muy mala",0.669,0.077,0.343
"P53","No sabe",0.012,0.004,0.036
"P54","Muy buena",0.011,0.247,0.212
"P54","Buena",0.048,0.209,0.078
"P54","Ni buena ni mala",0.095,0.354,0.239
"P54","Mala",0.146,0.121,0.125
"P54","Muy mala",0.692,0.06,0.31
"P54","No sabe",0.008,0.009,0.036
"P55","Muy buena",0.012,0.31,0.078
"P55","Buena",0.019,0.337,0.123
"P55","Ni buena ni mala",0.081,0.218,0.213
"P55","Mala",0.17,0.081,0.173
"P55","Muy mala",0.696,0.051,0.367
"P55","No sabe",0.022,0.003,0.046
"P56","Muy buena",0.176,0.035,0.067
"P56","Buena",0.375,0.04,0.116
"P56","Ni buena ni mala",0.253,0.077,0.236
"P56","Mala",0.083,0.204,0.17
"P56","Muy mala",0.105,0.641,0.372
"P56","No sabe",0.008,0.003,0.039
"P57","Muy buena",0.065,0.047,0.082
"P57","Buena",0.154,0.125,0.13
"P57","Ni buena ni mala",0.388,0.289,0.332
"P57","Mala",0.172,0.207,0.168
"P57","Muy mala",0.164,0.308,0.209
"P57","No sabe",0.057,0.024,0.079
"P58","Muy buena",0.011,0.073,0.039
"P58","Buena",0.05,0.198,0.082
"P58","Ni buena ni mala",0.245,0.407,0.394
"P58","Mala",0.19,0.117,0.125
"P58","Muy mala",0.444,0.142,0.269
"P58","No sabe",0.06,0.063,0.091
"P59","Siempre",0.359,0.298,0.256
"P59","Casi siempre",0.393,0.436,0.326
"P59","Casi nunca",0.156,0.183,0.262
"P59","Nunca, pero esta es una excepción",0.092,0.083,0.156
"P60","Si",0.614,0.529,0.524
"P60","No",0.386,0.471,0.476
