"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P14","Nunca lo votaría",0.855,0.198,0.362,0.743,0.4
"P14","No sabe",0.061,0.037,0.075,0.15,0.106
"P15","Lo votaría",0.247,0.08,0.07,0,0.075
"P15","Puede que lo vote",0.408,0.08,0.08,0.178,0.141
"P15","Nunca lo votaría",0.258,0.795,0.809,0.754,0.64
"P15","No sabe",0.087,0.045,0.041,0.068,0.144
"P16","Lo votaría",0.294,0.031,0.018,0.037,0.049
"P16","Puede que lo vote",0.407,0.034,0.011,0.153,0.095
"P16","Nunca lo votaría",0.201,0.905,0.946,0.727,0.767
"P16","No sabe",0.098,0.03,0.025,0.083,0.089
"P17","La votaría",0.818,0.041,0.007,0.124,0.091
"P17","Puede que la vote",0.113,0.017,0.032,0.111,0.044
"P17","Nunca la votaría",0.054,0.93,0.928,0.722,0.767
"P17","No sabe",0.015,0.012,0.033,0.043,0.098
"P18","Lo votaría",0.089,0.434,0.06,0.018,0.104
"P18","Puede que lo vote",0.073,0.352,0.303,0.19,0.328
"P18","Nunca lo votaría",0.801,0.189,0.552,0.776,0.437
"P18","No sabe",0.037,0.025,0.085,0.016,0.131
"P19","Lo votaría",0.031,0.128,0.026,0.086,0.089
"P19","Puede que lo vote",0.196,0.3,0.181,0.288,0.209
"P19","Nunca lo votaría",0.64,0.499,0.679,0.584,0.566
"P19","No sabe",0.133,0.073,0.114,0.042,0.136
"P20","La votaría",0.028,0.437,0.38,0,0.32
"P20","Puede que la vote",0.075,0.274,0.281,0.131,0.153
"P20","Nunca la votaría",0.844,0.241,0.285,0.86,0.434
"P20","No sabe",0.053,0.048,0.054,0.009,0.093
"P21","Lo votaría",0.023,0.093,0.628,0.014,0.098
"P21","Puede que lo vote",0.055,0.29,0.284,0.147,0.205
"P21","Nunca lo votaría",0.874,0.554,0.074,0.817,0.588
"P21","No sabe",0.048,0.063,0.014,0.022,0.109
"P22","La votaría",0.024,0.294,0.145,0.011,0.114
"P22","Puede que la vote",0.053,0.364,0.313,0.088,0.256
"P22","Nunca la votaría",0.856,0.256,0.498,0.876,0.526
"P22","No sabe",0.067,0.086,0.044,0.025,0.104
"P23","Lo votaría",0.183,0.032,0.023,0.007,0.092
"P23","Puede que lo vote",0.458,0.082,0.087,0.18,0.117
"P23","Nunca lo votaría",0.276,0.864,0.862,0.781,0.717
"P23","No sabe",0.083,0.022,0.028,0.032,0.074
"P24","Lo votaría",0.029,0.093,0.017,0,0.04
"P24","Puede que lo vote",0.123,0.322,0.121,0.101,0.161
"P24","Nunca lo votaría",0.741,0.494,0.767,0.853,0.667
"P24","No sabe",0.107,0.091,0.095,0.046,0.132
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.024,0.489,0.163,0.04,0.245
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.025,0.367,0.039,0,0.057
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.079,0.021,0.009,0.037,0.073
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.852,0.045,0.003,0.085,0.066
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.003,0.021,0.731,0.027,0.082
"P25","Nicolás del Caño – Myriam Bregman",0.004,0,0.01,0.731,0.018
"P25","Otros candidatos",0.013,0.057,0.045,0.08,0.459
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.928,0.055,0.009,0.074,0.098
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.036,0.73,0.165,0.034,0.267
"P29","Javier Milei – José Luis Espert por los liberales",0.01,0.048,0.78,0.016,0.081
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.008,0.006,0.003,0.849,0.026
"P29","Otro candidato",0.018,0.161,0.043,0.027,0.528
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.115,0.777,0.038,0.029,0.13
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.605,0.098,0.029,0.043,0.088
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.021,0.043,0.878,0,0.091
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.049,0.001,0,0.884,0.018
"P31","Otro candidato",0.21,0.081,0.055,0.044,0.673
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.681,0.094,0.014,0.043,0.094
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.047,0.733,0.25,0.028,0.346
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.023,0.033,0.699,0.013,0.072
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.036,0.027,0.01,0.856,0.02
"P33","Otro candidato",0.213,0.113,0.027,0.06,0.468
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.66,0.128,0.039,0.071,0.09
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.088,0.779,0.026,0.027,0.08
"P35","Javier Milei – José Luis Espert por los liberales",0.025,0.028,0.89,0.006,0.048
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.036,0.006,0.002,0.853,0.031
"P35","Otro candidato",0.191,0.059,0.043,0.043,0.751
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.739,0.053,0.01,0.07,0.053
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.029,0.829,0.164,0.026,0.219
"P38","Javier Milei – José Luis Espert por los liberales",0.025,0.021,0.807,0,0.028
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.031,0.009,0,0.904,0.029
"P38","Otro candidato",0.176,0.088,0.019,0,0.671
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.91,0.078,0.028,0.204,0.122
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.056,0.777,0.496,0.085,0.392
"P39","No sabe",0.034,0.145,0.476,0.711,0.486
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.724,0.07,0.026,0.177,0.125
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.042,0.858,0.408,0.105,0.255
"P40","No sabe",0.234,0.072,0.566,0.718,0.62
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.756,0.069,0.018,0.328,0.131
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.034,0.772,0.64,0.062,0.459
"P41","No sabe",0.21,0.159,0.342,0.61,0.41
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.904,0.052,0.009,0.199,0.121
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.046,0.879,0.481,0.125,0.273
"P42","No sabe",0.05,0.069,0.51,0.676,0.606
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.761,0.066,0.021,0.203,0.118
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.052,0.874,0.449,0.094,0.243
"P43","No sabe",0.187,0.06,0.53,0.703,0.639
"P44","Mauricio Macri – María Eugenia Vidal",0.099,0.704,0.477,0.113,0.384
"P44","Sergio Massa – Wado de Pedro",0.688,0.18,0.093,0.294,0.148
"P44","No sabe",0.213,0.116,0.43,0.593,0.468
"P45","Sergio Massa – Wado de Pedro",0.72,0.131,0.04,0.332,0.124
"P45","Javier Milei – José Luis Espert",0.079,0.362,0.863,0.135,0.258
"P45","No sabe",0.201,0.507,0.097,0.533,0.618
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.17,0.742,0.048,0.255,0.186
"P46","Javier Milei – José Luis Espert",0.056,0.111,0.883,0.124,0.147
"P46","No sabe",0.774,0.147,0.069,0.621,0.667
"P47","Muy buena",0.158,0.072,0.015,0.085,0.025
"P47","Buena",0.327,0.031,0.072,0.047,0.04
"P47","Ni buena ni mala",0.327,0.053,0.052,0.242,0.215
"P47","Mala",0.13,0.118,0.083,0.386,0.117
"P47","Muy mala",0.049,0.722,0.76,0.217,0.572
"P47","No sabe",0.009,0.004,0.018,0.023,0.031
"P48","Muy buena",0.191,0.019,0.017,0.105,0.024
"P48","Buena",0.37,0.016,0.007,0.065,0.072
"P48","Ni buena ni mala",0.245,0.059,0.037,0.152,0.137
"P48","Mala",0.127,0.116,0.088,0.244,0.128
"P48","Muy mala",0.057,0.784,0.838,0.434,0.604
"P48","No sabe",0.01,0.006,0.013,0,0.035
"P49","Muy buena",0.688,0.025,0.003,0.117,0.093
"P49","Buena",0.19,0.017,0.004,0.048,0.044
"P49","Ni buena ni mala",0.072,0.015,0.051,0.03,0.073
"P49","Mala",0.008,0.068,0.043,0.38,0.082
"P49","Muy mala",0.038,0.871,0.888,0.413,0.686
"P49","No sabe",0.004,0.004,0.011,0.012,0.022
"P50","Muy buena",0.072,0.259,0.177,0.036,0.158
"P50","Buena",0.038,0.335,0.162,0.076,0.129
"P50","Ni buena ni mala",0.052,0.179,0.251,0.01,0.212
"P50","Mala",0.19,0.077,0.151,0.244,0.129
"P50","Muy mala",0.64,0.147,0.258,0.634,0.348
"P50","No sabe",0.008,0.003,0.001,0,0.024
"P51","Muy buena",0.033,0.376,0.075,0,0.094
"P51","Buena",0.031,0.434,0.214,0.078,0.177
"P51","Ni buena ni mala",0.126,0.127,0.324,0.089,0.33
"P51","Mala",0.197,0.033,0.16,0.4,0.147
"P51","Muy mala",0.585,0.027,0.216,0.433,0.217
"P51","No sabe",0.028,0.003,0.011,0,0.035
"P52","Muy buena",0.176,0.06,0.016,0,0.036
"P52","Buena",0.31,0.074,0.054,0.075,0.09
"P52","Ni buena ni mala",0.3,0.122,0.109,0.169,0.253
"P52","Mala",0.106,0.165,0.12,0.445,0.159
"P52","Muy mala",0.099,0.571,0.691,0.311,0.43
"P52","No sabe",0.009,0.008,0.01,0,0.032
"P53","Muy buena",0.043,0.431,0.409,0,0.294
"P53","Buena",0.055,0.238,0.22,0.017,0.14
"P53","Ni buena ni mala",0.092,0.167,0.153,0.216,0.152
"P53","Mala",0.131,0.072,0.083,0.117,0.143
"P53","Muy mala",0.66,0.09,0.124,0.65,0.235
"P53","No sabe",0.019,0.002,0.011,0,0.036
"P54","Muy buena",0.021,0.089,0.537,0.026,0.068
"P54","Buena",0.033,0.157,0.264,0.01,0.089
"P54","Ni buena ni mala",0.124,0.461,0.157,0.211,0.29
"P54","Mala",0.148,0.16,0.015,0.107,0.223
"P54","Muy mala",0.656,0.122,0.026,0.646,0.284
"P54","No sabe",0.018,0.011,0.001,0,0.046
"P55","Muy buena",0.018,0.348,0.192,0.043,0.118
"P55","Buena",0.032,0.343,0.238,0.119,0.188
"P55","Ni buena ni mala",0.083,0.194,0.232,0.139,0.278
"P55","Mala",0.162,0.06,0.135,0.338,0.155
"P55","Muy mala",0.678,0.046,0.19,0.361,0.225
"P55","No sabe",0.027,0.009,0.013,0,0.036
"P56","Muy buena",0.176,0.046,0.021,0.02,0.061
"P56","Buena",0.361,0.054,0.063,0.075,0.048
"P56","Ni buena ni mala",0.274,0.102,0.089,0.146,0.191
"P56","Mala",0.073,0.24,0.128,0.378,0.23
"P56","Muy mala",0.094,0.551,0.689,0.381,0.458
"P56","No sabe",0.022,0.007,0.01,0,0.012
"P57","Muy buena",0.044,0.086,0.024,0.108,0.112
"P57","Buena",0.156,0.141,0.123,0.106,0.098
"P57","Ni buena ni mala",0.397,0.321,0.296,0.159,0.264
"P57","Mala",0.152,0.212,0.183,0.46,0.186
"P57","Muy mala",0.174,0.215,0.33,0.167,0.307
"P57","No sabe",0.077,0.025,0.044,0,0.033
"P58","Muy buena",0.013,0.112,0.021,0,0.048
"P58","Buena",0.053,0.266,0.08,0.048,0.108
"P58","Ni buena ni mala",0.241,0.424,0.428,0.305,0.384
"P58","Mala",0.185,0.103,0.119,0.235,0.129
"P58","Muy mala",0.438,0.059,0.264,0.383,0.221
"P58","No sabe",0.07,0.036,0.088,0.029,0.11
"P59","Siempre",0.342,0.307,0.262,0.228,0.304
"P59","Casi siempre",0.39,0.443,0.396,0.261,0.333
"P59","Casi nunca",0.151,0.18,0.223,0.372,0.257
"P59","Nunca, pero esta es una excepción",0.117,0.07,0.119,0.139,0.106
"P60","Si",0.607,0.542,0.535,0.489,0.482
"P60","No",0.393,0.458,0.465,0.511,0.518
