"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.007,0.018,0.007
"PRESIDENTE","En blanco",0.006,0.003,0.041,0.086
"PRESIDENTE","No sabe",0.016,0.021,0.071,0.36
"GOBERNADOR","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.357,0.346,0.434,0.268
"GOBERNADOR","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.381,0.405,0.227,0.258
"GOBERNADOR","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.2,0.201,0.198,0.048
"GOBERNADOR","En blanco",0.032,0.025,0.058,0.121
"GOBERNADOR","No sabe",0.03,0.023,0.083,0.305
"CORTA_PRESIDENTE","Si",0.16,0.267,0.283,0.27
"CORTA_PRESIDENTE","No",0.84,0.733,0.717,0.73
"CORTA_GOBERNADOR","Si",0.255,0.242,0.316,0.299
"CORTA_GOBERNADOR","No",0.745,0.758,0.684,0.701
"P13_imputada","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.352,0.316,0.418,0.319
"P13_imputada","Patricia Bullrich a presidenta, Luis Petri a vicepresidente, Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.273,0.335,0.202,0.181
"P13_imputada","Javier Milei a presidente, Victoria Villarruel a vicepresidenta, Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.339,0.298,0.271,0.304
"P13_imputada","Myriam Bregman a presidenta y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.02,0.019,0.017,0.07
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.005,0.021,0.044,0.007
"P13_imputada","En blanco",0.011,0.011,0.048,0.119
"PRESIDENTE_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.358,0.356,0.454,0.397
"PRESIDENTE_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.266,0.27,0.143,0.176
"PRESIDENTE_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.357,0.348,0.319,0.296
"PRESIDENTE_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.016,0.009,0.019
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.007,0.034,0.007
"PRESIDENTE_imputada","En blanco",0.006,0.003,0.041,0.105
"GOBERNADOR_imputada","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",0.371,0.35,0.449,0.38
"GOBERNADOR_imputada","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0.391,0.418,0.273,0.349
"GOBERNADOR_imputada","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0.206,0.207,0.204,0.126
"GOBERNADOR_imputada","En blanco",0.032,0.025,0.074,0.145
