"var","categoria","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza","En blanco","No sabe"
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0.002,0,0.077,0.036
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.003,0,0.027,0
"PRESIDENTE","En blanco",0.004,0,0,0.221,0.012
"PRESIDENTE","No sabe",0.024,0.043,0,0.031,0.294
"GOBERNADOR","Adán Bahl a gobernador y Claudia Monjo a vicegobernadora a  por Unión por la Patria",1,0,0,0,0
"GOBERNADOR","Rogelio Frigerio a gobernador y Alicia Aluani a vicegobernadora por Juntos por el Cambio",0,1,0,0,0
"GOBERNADOR","Arturo Etchevere a gobernador y Mayda Spizzi a vicegobernadora por la Libertad Avanza",0,0,1,0,0
"GOBERNADOR","En blanco",0,0,0,1,0
"GOBERNADOR","No sabe",0,0,0,0,1
"CORTA_PRESIDENTE","Si",0.432,0.425,0.311,0.283,0.421
"CORTA_PRESIDENTE","No",0.568,0.575,0.689,0.717,0.579
"CORTA_GOBERNADOR","Si",0.464,0.585,0.439,0.671,0.668
"CORTA_GOBERNADOR","No",0.536,0.415,0.561,0.329,0.332
