"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de la Izquierda","A otro candidato","No sabe"
"P11","Muy mala",0.101,0.081,0.135,0.089,0.163
"P11","No sabe",0.312,0.184,0.243,0.332,0.345
"P12","Muy buena",0.068,0.061,0.168,0.038,0.047
"P12","Buena",0.11,0.111,0.109,0.044,0.052
"P12","Ni buena ni mala",0.404,0.333,0.294,0.37,0.374
"P12","Mala",0.037,0.056,0.045,0.08,0.092
"P12","Muy mala",0.036,0.067,0.141,0.065,0.048
"P12","No sabe",0.345,0.372,0.243,0.403,0.387
"P13","Muy buena",0.061,0.036,0.049,0.013,0.006
"P13","Buena",0.042,0.092,0.057,0.034,0.031
"P13","Ni buena ni mala",0.425,0.349,0.373,0.397,0.3
"P13","Mala",0.027,0.049,0.088,0.082,0.083
"P13","Muy mala",0.034,0.078,0.21,0.064,0.073
"P13","No sabe",0.411,0.396,0.223,0.41,0.507
"P14","La seguridad",0.063,0.057,0.09,0.047,0.024
"P14","El tránsito",0.045,0.088,0.039,0.058,0.005
"P14","El arreglo de las calles",0.271,0.198,0.108,0.177,0.173
"P14","El estado de las escuelas y la educación",0.069,0.036,0.121,0.093,0.088
"P14","El sistema de salud",0.091,0.024,0.023,0.02,0.091
"P14","El deporte y la cultura",0.186,0.113,0.169,0.157,0.124
"P14","La obra pública",0.097,0.013,0.016,0.03,0.011
"P14","La luminaria",0.056,0.078,0.111,0.053,0.086
"P14","No sabe",0.122,0.393,0.323,0.365,0.398
"P15","La seguridad",0.508,0.528,0.551,0.476,0.361
"P15","El tránsito",0.062,0.009,0.061,0.04,0.019
"P15","El arreglo de las calles",0.16,0.213,0.089,0.093,0.192
"P15","El estado de las escuelas y la educación",0.033,0.091,0.031,0.052,0.041
"P15","El sistema de salud",0.083,0.039,0.071,0.173,0.155
"P15","El deporte y la cultura",0.028,0.007,0.035,0.039,0.053
"P15","La obra pública",0.03,0.028,0.027,0.029,0.01
"P15","La luminaria",0.021,0.022,0.045,0.02,0.04
"P15","No sabe",0.075,0.063,0.09,0.078,0.129
"P16","Agua corriente y cloacas",0.48,0.407,0.585,0.5,0.553
"P16","Energía eléctrica",0.107,0.179,0.072,0.098,0.087
"P16","Red de gas natural",0.092,0.089,0.137,0.091,0.088
"P16","Recolección de residuos",0.157,0.187,0.081,0.214,0.157
"P16","Ninguno",0.164,0.138,0.125,0.097,0.115
"P17","Los robos",0.532,0.549,0.509,0.566,0.48
"P17","El narcotráfico",0.091,0.139,0.197,0.144,0.103
"P17","La ausencia de patrulleros y personal policial",0.259,0.204,0.194,0.207,0.321
"P17","Otro",0.066,0.059,0.06,0.083,0.058
"P17","Ninguno",0.052,0.049,0.04,0,0.038
"P18","Muy buena",0.128,0.034,0.128,0.048,0.065
"P18","Buena",0.23,0.121,0.114,0.059,0.09
"P18","Ni buena ni mala",0.338,0.311,0.417,0.269,0.331
"P18","Mala",0.156,0.272,0.096,0.311,0.234
"P18","Muy mala",0.079,0.218,0.203,0.252,0.203
"P18","No sabe",0.069,0.044,0.042,0.061,0.077
"P19","Muy buena",0.154,0.017,0.007,0,0.076
"P19","Buena",0.242,0.09,0.063,0.068,0.074
"P19","Ni buena ni mala",0.319,0.363,0.519,0.224,0.344
"P19","Mala",0.135,0.258,0.191,0.386,0.17
"P19","Muy mala",0.047,0.209,0.171,0.269,0.216
"P19","No sabe",0.103,0.063,0.049,0.053,0.12
"P22","Muy buena",0.364,0.057,0.115,0.135,0.168
"P22","Buena",0.294,0.079,0.171,0.091,0.257
"P22","Ni buena ni mala",0.17,0.157,0.269,0.174,0.224
"P22","Mala",0.075,0.203,0.163,0.159,0.071
"P22","Muy mala",0.081,0.5,0.253,0.42,0.245
"P22","No sabe",0.016,0.004,0.029,0.021,0.035
"P23","Muy buena",0.06,0.298,0.123,0.061,0.056
"P23","Buena",0.006,0.276,0.1,0.07,0.032
"P23","Ni buena ni mala",0.02,0.234,0.064,0.123,0.138
"P23","Mala",0.253,0.077,0.153,0.332,0.266
"P23","Muy mala",0.659,0.1,0.492,0.408,0.389
"P23","No sabe",0.002,0.015,0.068,0.006,0.119
"P24","Muy buena",0.713,0.063,0.298,0.169,0.23
"P24","Buena",0.126,0.135,0.092,0.076,0.124
"P24","Ni buena ni mala",0.042,0.052,0.194,0.068,0.192
"P24","Mala",0.059,0.112,0.092,0.109,0.069
"P24","Muy mala",0.057,0.62,0.303,0.577,0.302
"P24","No sabe",0.003,0.018,0.021,0.001,0.083
"P25","Muy buena",0.059,0.434,0.197,0.12,0.145
"P25","Buena",0.058,0.253,0.077,0.167,0.136
"P25","Ni buena ni mala",0.202,0.239,0.241,0.264,0.277
"P25","Mala",0.272,0.033,0.17,0.153,0.086
"P25","Muy mala",0.375,0.041,0.285,0.245,0.217
"P25","No sabe",0.034,0,0.03,0.051,0.139
"P26","Muy buena",0.23,0.052,0.152,0.063,0.078
"P26","Buena",0.277,0.104,0.125,0.087,0.154
"P26","Ni buena ni mala",0.267,0.177,0.295,0.184,0.368
"P26","Mala",0.126,0.217,0.176,0.231,0.099
"P26","Muy mala",0.073,0.436,0.204,0.394,0.194
"P26","No sabe",0.027,0.014,0.048,0.041,0.107
"P27","Muy buena",0.034,0.4,0.208,0.142,0.103
"P27","Buena",0.008,0.258,0.045,0.144,0.069
"P27","Ni buena ni mala",0.118,0.146,0.111,0.306,0.242
"P27","Mala",0.252,0.1,0.202,0.131,0.132
"P27","Muy mala",0.574,0.096,0.322,0.238,0.331
"P27","No sabe",0.014,0,0.112,0.039,0.123
"P28","Muy buena",0.06,0.189,0.101,0.323,0.132
"P28","Buena",0.052,0.232,0.118,0.153,0.116
"P28","Ni buena ni mala",0.105,0.238,0.1,0.175,0.315
"P28","Mala",0.195,0.133,0.116,0.078,0.066
"P28","Muy mala",0.53,0.149,0.456,0.233,0.208
"P28","No sabe",0.058,0.059,0.109,0.038,0.163
