"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P19","A Ramiro Marra por La Libertad Avanza",0.032,0.075,0.612,0.052,0.054
"P19","A Leandro Santoro por el Frente de Todos",0.791,0.049,0.034,0.243,0.164
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.015,0.003,0.033,0.353,0.03
"P19","A Luis Zamora por Autodeterminación y Libertad",0.028,0.017,0.029,0.096,0.041
"P19","En blanco",0.018,0.114,0.053,0.051,0.135
"P19","No sabe",0.039,0.151,0.085,0.072,0.246
"P22","A Leandro Santoro por el Frente de Todos",0.75,0.078,0.058,0.224,0.186
"P22","A Jorge Macri por Juntos por el Cambio",0.076,0.65,0.21,0.118,0.225
"P22","A Ramiro Marra por La Libertad Avanza",0.071,0.068,0.544,0.033,0.084
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.034,0.005,0.032,0.433,0.035
"P22","A Luis Zamora por Autodeterminación y Libertad",0.022,0.02,0.015,0.125,0.062
"P22","En blanco",0.013,0.067,0.055,0.027,0.134
"P22","No sabe",0.034,0.112,0.086,0.04,0.274
"P25","A Leandro Santoro por el Frente de Todos",0.769,0.08,0.057,0.254,0.209
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.073,0.668,0.194,0.096,0.144
"P25","A Ramiro Marra por La Libertad Avanza",0.053,0.074,0.544,0.028,0.075
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.025,0.003,0.025,0.358,0.043
"P25","A Luis Zamora por Autodeterminación y Libertad",0.031,0.011,0.035,0.192,0.061
"P25","En blanco",0.021,0.068,0.065,0.032,0.179
"P25","No sabe",0.028,0.096,0.08,0.04,0.289
"P28","A Pedro Rosemblat por el Frente de Todos",0.577,0.066,0.031,0.096,0.128
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.084,0.66,0.181,0.056,0.216
"P28","A Ramiro Marra por La Libertad Avanza",0.07,0.096,0.576,0.069,0.067
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.038,0.005,0.03,0.437,0.058
"P28","A Luis Zamora por Autodeterminación y Libertad",0.052,0.017,0.039,0.245,0.069
"P28","En blanco",0.062,0.067,0.068,0.038,0.156
"P28","No sabe",0.117,0.089,0.075,0.059,0.306
"P31","Lo votaría",0.705,0.052,0.05,0.284,0.198
"P31","Puede que lo vote",0.179,0.058,0.089,0.208,0.129
"P31","Nunca lo votaría",0.083,0.852,0.793,0.402,0.442
"P31","No sabe",0.033,0.038,0.068,0.106,0.231
"P32","Lo votaría",0.41,0.028,0.043,0.131,0.097
"P32","Puede que lo vote",0.287,0.038,0.048,0.236,0.081
"P32","Nunca lo votaría",0.202,0.853,0.844,0.527,0.567
"P32","No sabe",0.101,0.081,0.065,0.106,0.255
"P33","Lo votaría",0.343,0.023,0.026,0.123,0.057
"P33","Puede que lo vote",0.353,0.056,0.06,0.193,0.113
"P33","Nunca lo votaría",0.224,0.845,0.869,0.602,0.549
"P33","No sabe",0.08,0.076,0.045,0.082,0.281
"P34","Lo votaría",0.08,0.488,0.145,0.091,0.101
"P34","Puede que lo vote",0.068,0.257,0.289,0.118,0.167
"P34","Nunca lo votaría",0.821,0.226,0.52,0.762,0.524
"P34","No sabe",0.031,0.029,0.046,0.029,0.208
"P35","Lo votaría",0.054,0.369,0.142,0.113,0.223
"P35","Puede que lo vote",0.129,0.333,0.135,0.195,0.265
"P35","Nunca lo votaría",0.789,0.27,0.672,0.654,0.384
"P35","No sabe",0.028,0.028,0.051,0.038,0.128
"P36","Lo votaría",0.034,0.457,0.23,0.114,0.11
"P36","Puede que lo vote",0.07,0.338,0.35,0.026,0.212
"P36","Nunca lo votaría",0.877,0.163,0.373,0.787,0.552
"P36","No sabe",0.019,0.042,0.047,0.073,0.126
"P37","Lo votaría",0.101,0.078,0.055,0.334,0.119
"P37","Puede que lo vote",0.364,0.1,0.086,0.301,0.175
"P37","Nunca lo votaría",0.469,0.773,0.808,0.332,0.516
"P37","No sabe",0.066,0.049,0.051,0.033,0.19
"P38","Lo votaría",0.046,0.456,0.138,0.172,0.179
"P38","Puede que lo vote",0.076,0.277,0.186,0.085,0.166
"P38","Nunca lo votaría",0.855,0.236,0.621,0.717,0.518
"P38","No sabe",0.023,0.031,0.055,0.026,0.137
"P39","Si",0.563,0.572,0.524,0.628,0.443
"P39","No",0.437,0.428,0.476,0.372,0.557
