"var","categoria","María Eugenia Vidal por Juntos por el Cambio","Martín Lousteau por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P14","A Luis Zamora por Autodeterminación y Libertad",0.008,0.004,0.004,0.015,0.246,0.549,0.054,0.031
"P14","En blanco",0.017,0.016,0.004,0.009,0.014,0.098,0.454,0.184
"P14","No sabe",0.036,0.028,0.007,0.025,0.022,0.101,0.237,0.458
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.086,0.089,0.848,0.01,0.062,0.22,0.103,0.128
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.677,0.269,0.051,0.148,0.057,0.04,0.236,0.326
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.157,0.561,0.042,0.005,0,0.043,0.141,0.027
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.021,0.05,0.024,0.718,0.055,0.011,0.111,0.054
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.016,0.005,0.015,0.083,0.6,0.062,0.049,0.006
"P15","A Luis Zamora por Autodeterminación y Libertad",0.006,0.002,0.006,0.019,0.121,0.512,0.021,0.016
"P15","En blanco",0.011,0.005,0.005,0.009,0.083,0.08,0.184,0.04
"P15","No sabe",0.026,0.019,0.009,0.008,0.022,0.032,0.155,0.403
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.081,0.109,0.855,0.017,0.099,0.226,0.13,0.13
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.752,0.256,0.049,0.061,0.034,0,0.128,0.229
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.102,0.578,0.057,0.024,0.011,0.076,0.116,0.067
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.032,0.028,0.011,0.844,0.044,0.011,0.143,0.054
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.003,0.002,0.014,0.012,0.718,0.087,0.059,0.017
"P16","A Luis Zamora por Autodeterminación y Libertad",0.01,0.001,0.006,0.015,0.03,0.539,0.011,0.008
"P16","En blanco",0.007,0.005,0.002,0.015,0.01,0.03,0.346,0.054
"P16","No sabe",0.013,0.021,0.006,0.012,0.054,0.031,0.067,0.441
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.54,0.198,0.067,0.078,0.027,0.022,0.201,0.244
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.146,0.527,0.044,0.051,0,0.033,0.075,0.025
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.196,0.102,0.065,0.178,0.072,0.063,0.149,0.208
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.039,0.047,0.575,0.079,0.09,0.093,0.067,0.048
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.025,0.087,0.222,0.012,0.232,0.104,0.062,0.09
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.023,0.012,0.005,0.581,0.025,0.138,0.14,0.064
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.001,0.005,0.003,0.005,0.536,0.067,0.17,0.025
"P17","A Luis Zamora por Autodeterminación y Libertad",0.006,0.013,0.014,0.011,0.018,0.449,0.015,0.119
"P17","En blanco",0.017,0.001,0.001,0.002,0,0.009,0.081,0.02
"P17","No sabe",0.007,0.008,0.004,0.003,0,0.022,0.04,0.157
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.069,0.088,0.552,0.006,0.078,0.062,0.049,0.073
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.042,0.074,0.264,0.055,0.107,0.115,0.068,0.088
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.735,0.216,0.071,0.086,0.034,0,0.127,0.247
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.095,0.548,0.066,0.031,0,0.031,0.082,0.046
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.027,0.029,0.02,0.74,0.041,0.014,0.171,0.078
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.022,0.004,0.004,0.049,0.469,0.131,0.029,0.043
"P18","A Luis Zamora por Autodeterminación y Libertad",0,0.006,0.005,0.007,0.198,0.564,0.118,0.016
"P18","En blanco",0.007,0.016,0.009,0.018,0.015,0.049,0.226,0.136
"P18","No sabe",0.003,0.019,0.009,0.008,0.058,0.034,0.13,0.273
"P19","A Martín Lousteau por Juntos por el Cambio",0.504,0.777,0.081,0.013,0.008,0.079,0.112,0.142
"P19","A Ramiro Marra por La Libertad Avanza",0.08,0.021,0.036,0.878,0.009,0,0.166,0.069
"P19","A Leandro Santoro por el Frente de Todos",0.094,0.103,0.839,0.008,0.175,0.097,0.029,0.112
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.008,0.003,0.004,0.041,0.73,0.096,0.019,0.01
"P19","A Luis Zamora por Autodeterminación y Libertad",0.022,0.014,0.007,0.016,0.035,0.651,0.015,0.022
"P19","En blanco",0.152,0.039,0.007,0.005,0.016,0.039,0.457,0.1
"P19","No sabe",0.14,0.043,0.026,0.039,0.027,0.038,0.202,0.545
"P22","A Leandro Santoro por el Frente de Todos",0.072,0.171,0.825,0.044,0.062,0.106,0.017,0.082
"P22","A Jorge Macri por Juntos por el Cambio",0.692,0.47,0.097,0.151,0.046,0.008,0.366,0.307
"P22","A Ramiro Marra por La Libertad Avanza",0.084,0.092,0.046,0.733,0,0,0.147,0.066
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.006,0.024,0.011,0.036,0.82,0.105,0.022,0.032
"P22","A Luis Zamora por Autodeterminación y Libertad",0.01,0.022,0.003,0.018,0.038,0.696,0.035,0.018
"P22","En blanco",0.057,0.075,0.008,0.008,0.008,0.044,0.338,0.076
"P22","No sabe",0.079,0.146,0.01,0.01,0.026,0.041,0.075,0.419
"P25","A Leandro Santoro por el Frente de Todos",0.124,0.154,0.828,0.021,0.074,0.073,0.049,0.126
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.752,0.532,0.087,0.096,0.009,0,0.042,0.206
"P25","A Ramiro Marra por La Libertad Avanza",0.033,0.079,0.043,0.773,0.013,0,0.193,0.083
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.002,0.022,0.004,0.032,0.736,0.081,0.037,0.012
"P25","A Luis Zamora por Autodeterminación y Libertad",0.008,0.019,0.009,0.031,0.142,0.746,0.031,0.021
"P25","En blanco",0.028,0.089,0.016,0.014,0,0.074,0.512,0.12
"P25","No sabe",0.053,0.105,0.013,0.033,0.026,0.026,0.136,0.432
"P28","A Pedro Rosemblat por el Frente de Todos",0.078,0.12,0.57,0.05,0.107,0.116,0.111,0.108
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.762,0.52,0.09,0.085,0.009,0.008,0.098,0.187
"P28","A Ramiro Marra por La Libertad Avanza",0.067,0.103,0.067,0.777,0.025,0,0.176,0.124
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.001,0.015,0.043,0.036,0.713,0.089,0.042,0.024
"P28","A Luis Zamora por Autodeterminación y Libertad",0.022,0.031,0.047,0.016,0.099,0.621,0.014,0.044
"P28","En blanco",0.031,0.097,0.066,0.017,0,0.084,0.413,0.1
"P28","No sabe",0.039,0.114,0.117,0.019,0.047,0.082,0.146,0.413
"P31","Lo votaría",0.098,0.119,0.766,0.029,0.05,0.174,0.014,0.044
"P31","Puede que lo vote",0.082,0.098,0.133,0.082,0.281,0.312,0.094,0.123
"P31","Nunca lo votaría",0.78,0.715,0.085,0.825,0.446,0.472,0.805,0.677
"P31","No sabe",0.04,0.068,0.016,0.064,0.223,0.042,0.087,0.156
"P32","Lo votaría",0.078,0.062,0.389,0.044,0.139,0.134,0.059,0.065
"P32","Puede que lo vote",0.041,0.067,0.288,0.044,0.227,0.303,0.064,0.08
"P32","Nunca lo votaría",0.794,0.755,0.233,0.866,0.518,0.406,0.825,0.676
"P32","No sabe",0.087,0.116,0.09,0.046,0.116,0.157,0.052,0.179
"P33","Lo votaría",0.067,0.072,0.329,0.023,0.047,0.044,0.037,0.013
"P33","Puede que lo vote",0.07,0.078,0.365,0.05,0.193,0.192,0.077,0.096
"P33","Nunca lo votaría",0.792,0.748,0.222,0.879,0.683,0.73,0.813,0.718
"P33","No sabe",0.071,0.102,0.084,0.048,0.077,0.034,0.073,0.173
"P34","Lo votaría",0.526,0.319,0.072,0.117,0.038,0,0.313,0.317
"P34","Puede que lo vote",0.245,0.286,0.068,0.272,0.046,0.114,0.154,0.175
"P34","Nunca lo votaría",0.211,0.34,0.829,0.564,0.884,0.809,0.417,0.411
"P34","No sabe",0.018,0.055,0.031,0.047,0.032,0.077,0.116,0.097
"P35","Lo votaría",0.241,0.611,0.062,0.035,0.043,0.033,0.039,0.048
"P35","Puede que lo vote",0.371,0.233,0.149,0.113,0.056,0.191,0.153,0.305
"P35","Nunca lo votaría",0.355,0.138,0.771,0.807,0.854,0.756,0.75,0.479
"P35","No sabe",0.033,0.018,0.018,0.045,0.047,0.02,0.058,0.168
"P36","Lo votaría",0.397,0.348,0.062,0.257,0.027,0.028,0.251,0.32
"P36","Puede que lo vote",0.34,0.333,0.068,0.311,0.011,0.135,0.251,0.208
"P36","Nunca lo votaría",0.229,0.265,0.855,0.372,0.923,0.808,0.477,0.346
"P36","No sabe",0.034,0.054,0.015,0.06,0.039,0.029,0.021,0.126
"P37","Lo votaría",0.084,0.074,0.106,0.059,0.134,0.817,0.091,0.018
"P37","Puede que lo vote",0.077,0.163,0.387,0.042,0.408,0.125,0.105,0.154
"P37","Nunca lo votaría",0.793,0.695,0.451,0.863,0.396,0.058,0.738,0.641
"P37","No sabe",0.046,0.068,0.056,0.036,0.062,0,0.066,0.187
"P38","Lo votaría",0.602,0.31,0.068,0.048,0.068,0.083,0.058,0.09
"P38","Puede que lo vote",0.204,0.295,0.086,0.159,0.137,0.104,0.222,0.229
"P38","Nunca lo votaría",0.179,0.354,0.836,0.741,0.795,0.784,0.598,0.502
"P38","No sabe",0.015,0.041,0.01,0.052,0,0.029,0.122,0.179
"P39","Si",0.585,0.602,0.539,0.525,0.684,0.478,0.379,0.495
"P39","No",0.415,0.398,0.461,0.475,0.316,0.522,0.621,0.505
