"var","categoria","A Leandro Santoro por el Frente de Todos","A María Eugenia Vidal por Juntos por el Cambio","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P11","A Luis Zamora por Autodeterminación y Libertad",0.005,0,0,0.05,0.455,0.026,0.006
"P11","En blanco",0.005,0.004,0.042,0.036,0.03,0.281,0.053
"P11","No sabe",0.033,0.05,0.046,0.031,0.051,0.168,0.43
"P12","A Jorge Macri por Juntos por el Cambio",0.031,0.451,0.129,0.096,0.067,0.213,0.155
"P12","A Martín Lousteau por Juntos por el Cambio",0.047,0.246,0.074,0.143,0.137,0.238,0.28
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.06,0.176,0.187,0.056,0.035,0.214,0.189
"P12","A Leandro Santoro por el Frente de Todos",0.69,0.041,0.058,0.052,0.082,0.008,0.012
"P12","A Matías Lammens por el Frente de Todos",0.094,0.041,0.028,0.027,0.118,0.088,0.017
"P12","A Ramiro Marra por La Libertad Avanza",0.018,0.021,0.469,0.052,0.145,0.017,0.016
"P12","Al candidato del Frente de Izquierda",0.007,0,0,0.531,0.031,0,0.041
"P12","A Luis Zamora por Autodeterminación y Libertad",0.013,0.002,0,0.02,0.291,0.045,0.05
"P12","En blanco",0.013,0.009,0.028,0.023,0.08,0.147,0.016
"P12","No sabe",0.027,0.013,0.027,0,0.014,0.03,0.224
"P13","A Martín Lousteau por Juntos por el Cambio",0.07,0.27,0.066,0.186,0.069,0.171,0.216
"P13","A Jorge Macri por Juntos por el Cambio",0.066,0.419,0.11,0.06,0.133,0.235,0.162
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.024,0.188,0.177,0,0.024,0.199,0.229
"P13","A Leandro Santoro por el Frente de Todos",0.647,0.041,0.065,0.022,0.085,0.072,0.028
"P13","A Pedro Rosemblat por el Frente de Todos",0.15,0.046,0.023,0.062,0.07,0.072,0.049
"P13","A Ramiro Marra por La Libertad Avanza",0.009,0.017,0.515,0.052,0.057,0.028,0.047
"P13","Al candidato del Frente de Izquierda",0.004,0.001,0,0.593,0.111,0.008,0.022
"P13","A Luis Zamora por Autodeterminación y Libertad",0.014,0.001,0.005,0.006,0.436,0.016,0.035
"P13","En blanco",0.001,0.005,0.032,0.006,0,0.146,0.005
"P13","No sabe",0.015,0.012,0.007,0.013,0.015,0.053,0.207
"P14","A Leandro Santoro por el Frente de Todos",0.651,0.069,0.095,0.024,0.081,0.029,0.031
"P14","A Pedro Rosemblat por el Frente de Todos",0.151,0.044,0.024,0.134,0.028,0.077,0.063
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.07,0.522,0.062,0.024,0,0.069,0.113
"P14","A Martín Lousteau por Juntos por el Cambio",0.073,0.281,0.082,0.129,0.18,0.248,0.277
"P14","A Ramiro Marra por La Libertad Avanza",0.011,0.033,0.616,0.006,0.102,0.111,0.042
"P14","Al candidato del Frente de Izquierda",0.003,0.005,0.051,0.547,0.01,0,0.013
"P14","A Luis Zamora por Autodeterminación y Libertad",0.018,0.001,0.008,0.127,0.499,0.011,0.011
"P14","En blanco",0.01,0.013,0.035,0.009,0.081,0.284,0.074
"P14","No sabe",0.013,0.032,0.027,0,0.019,0.171,0.376
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.826,0.048,0.05,0.08,0.092,0.081,0.077
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.043,0.618,0.167,0.03,0.149,0.336,0.243
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.066,0.262,0.054,0.099,0.131,0.283,0.285
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.02,0.036,0.627,0.145,0.061,0.038,0.056
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.018,0.004,0.081,0.512,0.122,0.015,0.01
"P15","A Luis Zamora por Autodeterminación y Libertad",0.008,0.004,0.009,0.089,0.376,0.026,0.012
"P15","En blanco",0.002,0.007,0.005,0.033,0.057,0.154,0.026
"P15","No sabe",0.017,0.021,0.007,0.012,0.012,0.067,0.291
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.847,0.053,0.05,0.085,0.083,0.042,0.079
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.035,0.669,0.097,0.018,0.028,0.118,0.187
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.067,0.234,0.087,0.119,0.177,0.391,0.279
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.021,0.027,0.719,0.144,0.106,0.081,0.05
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.003,0,0.014,0.585,0.1,0.045,0.017
"P16","A Luis Zamora por Autodeterminación y Libertad",0.006,0.001,0.004,0.015,0.403,0.012,0.036
"P16","En blanco",0,0.005,0.008,0.015,0.073,0.267,0.035
"P16","No sabe",0.021,0.011,0.021,0.019,0.03,0.044,0.317
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.1,0.446,0.115,0.03,0.03,0.194,0.164
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.06,0.26,0.078,0.214,0.114,0.206,0.255
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.044,0.179,0.166,0.043,0.131,0.216,0.202
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.524,0.042,0.101,0.053,0.039,0.025,0.021
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.241,0.032,0.026,0.16,0.176,0.162,0.053
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.008,0.019,0.503,0,0.083,0.056,0.071
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.001,0.001,0,0.48,0.051,0.079,0.023
"P17","A Luis Zamora por Autodeterminación y Libertad",0.018,0.006,0.006,0,0.356,0.005,0.064
"P17","En blanco",0.002,0.012,0,0,0,0.039,0.019
"P17","No sabe",0.002,0.003,0.005,0.02,0.02,0.018,0.128
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.534,0.06,0.052,0.076,0.017,0.038,0.045
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.272,0.043,0.042,0.209,0.101,0.083,0.054
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.069,0.633,0.091,0.022,0.035,0.115,0.158
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.07,0.229,0.09,0.116,0.118,0.293,0.283
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.021,0.02,0.649,0.013,0.12,0.075,0.072
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.011,0,0.047,0.395,0.072,0.027,0.045
"P18","A Luis Zamora por Autodeterminación y Libertad",0.004,0.001,0.004,0.104,0.511,0.048,0.016
"P18","En blanco",0.011,0.003,0.01,0.013,0.021,0.244,0.077
"P18","No sabe",0.008,0.011,0.015,0.052,0.005,0.077,0.25
"P19","A Martín Lousteau por Juntos por el Cambio",0.088,0.638,0.118,0.136,0.174,0.4,0.321
"P19","A Ramiro Marra por La Libertad Avanza",0.035,0.078,0.756,0,0.096,0.04,0.043
"P19","A Leandro Santoro por el Frente de Todos",0.84,0.055,0.066,0.036,0.139,0.007,0.02
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.003,0.002,0.004,0.771,0.013,0.006,0.023
"P19","A Luis Zamora por Autodeterminación y Libertad",0.005,0.018,0.008,0.017,0.512,0.005,0.007
"P19","En blanco",0.023,0.088,0.018,0.009,0.038,0.457,0.025
"P19","No sabe",0.006,0.121,0.03,0.031,0.028,0.085,0.561
"P22","A Leandro Santoro por el Frente de Todos",0.79,0.103,0.094,0.028,0.085,0.023,0.03
"P22","A Jorge Macri por Juntos por el Cambio",0.114,0.682,0.205,0.034,0.111,0.358,0.213
"P22","A Ramiro Marra por La Libertad Avanza",0.078,0.068,0.66,0,0.044,0.042,0.064
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.009,0.003,0.016,0.9,0.076,0.041,0.005
"P22","A Luis Zamora por Autodeterminación y Libertad",0.001,0.013,0.001,0,0.633,0.018,0.019
"P22","En blanco",0.003,0.06,0.008,0,0.035,0.429,0.011
"P22","No sabe",0.005,0.071,0.016,0.038,0.016,0.089,0.658
"P28","A Pedro Rosemblat por el Frente de Todos",0.559,0.08,0.089,0.081,0.103,0.092,0.039
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.109,0.802,0.126,0.01,0,0.084,0.123
"P28","A Ramiro Marra por La Libertad Avanza",0.075,0.075,0.739,0.007,0.082,0.039,0.032
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.032,0.003,0.003,0.843,0.038,0.008,0.029
"P28","A Luis Zamora por Autodeterminación y Libertad",0.052,0.006,0.008,0.022,0.699,0.031,0.029
"P28","En blanco",0.065,0.014,0.016,0,0.044,0.682,0.026
"P28","No sabe",0.108,0.02,0.019,0.037,0.034,0.064,0.722
"P31","Lo votaría",0.767,0.066,0.063,0.031,0.098,0.023,0.033
"P31","Puede que lo vote",0.153,0.056,0.097,0.248,0.304,0.101,0.11
"P31","Nunca lo votaría",0.07,0.83,0.816,0.477,0.475,0.807,0.628
"P31","No sabe",0.01,0.048,0.024,0.244,0.123,0.069,0.229
"P32","Lo votaría",0.412,0.03,0.079,0.084,0.102,0.04,0.031
"P32","Puede que lo vote",0.278,0.035,0.075,0.225,0.173,0.055,0.067
"P32","Nunca lo votaría",0.229,0.83,0.815,0.544,0.614,0.8,0.678
"P32","No sabe",0.081,0.105,0.031,0.147,0.111,0.105,0.224
"P33","Lo votaría",0.345,0.034,0.049,0.029,0.028,0.042,0.012
"P33","Puede que lo vote",0.369,0.046,0.097,0.141,0.18,0.047,0.043
"P33","Nunca lo votaría",0.212,0.833,0.819,0.695,0.742,0.87,0.693
"P33","No sabe",0.074,0.087,0.035,0.135,0.05,0.041,0.252
"P34","Lo votaría",0.078,0.533,0.135,0.018,0.08,0.276,0.183
"P34","Puede que lo vote",0.086,0.249,0.285,0.032,0.142,0.18,0.259
"P34","Nunca lo votaría",0.815,0.187,0.551,0.858,0.713,0.448,0.407
"P34","No sabe",0.021,0.031,0.029,0.092,0.065,0.096,0.151
"P35","Lo votaría",0.068,0.369,0.105,0.105,0.163,0.285,0.298
"P35","Puede que lo vote",0.136,0.363,0.162,0.101,0.092,0.205,0.221
"P35","Nunca lo votaría",0.774,0.234,0.709,0.685,0.739,0.476,0.34
"P35","No sabe",0.022,0.034,0.024,0.109,0.006,0.034,0.141
"P36","Lo votaría",0.047,0.429,0.242,0.007,0.154,0.334,0.344
"P36","Puede que lo vote",0.066,0.346,0.347,0.04,0.198,0.296,0.232
"P36","Nunca lo votaría",0.868,0.183,0.383,0.876,0.612,0.345,0.255
"P36","No sabe",0.019,0.042,0.028,0.077,0.036,0.025,0.169
"P37","Lo votaría",0.108,0.062,0.068,0.1,0.627,0.081,0.055
"P37","Puede que lo vote",0.363,0.095,0.084,0.403,0.221,0.106,0.142
"P37","Nunca lo votaría",0.465,0.795,0.821,0.394,0.152,0.74,0.603
"P37","No sabe",0.064,0.048,0.027,0.103,0,0.073,0.2
"P38","Lo votaría",0.071,0.581,0.055,0.061,0.089,0.03,0.098
"P38","Puede que lo vote",0.071,0.258,0.177,0.103,0.147,0.274,0.295
"P38","Nunca lo votaría",0.837,0.148,0.73,0.779,0.737,0.581,0.437
"P38","No sabe",0.021,0.013,0.038,0.057,0.027,0.115,0.17
"P39","Si",0.56,0.588,0.51,0.66,0.542,0.422,0.534
"P39","No",0.44,0.412,0.49,0.34,0.458,0.578,0.466
