"var","categoria","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P12","A Martín Lousteau por Juntos por el Cambio",0.021,0.095,0.639,0.093,0.018,0.009,0.046,0.048
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.056,0.213,0.127,0.11,0.131,0.028,0.313,0.21
"P12","A Leandro Santoro por el Frente de Todos",0.711,0.017,0.024,0.043,0.079,0.127,0.023,0.036
"P12","A Matías Lammens por el Frente de Todos",0.107,0.025,0.066,0.007,0.104,0.034,0.081,0.013
"P12","A Ramiro Marra por La Libertad Avanza",0.003,0.011,0.006,0.551,0.219,0.212,0.022,0.013
"P12","Al candidato del Frente de Izquierda",0.006,0.001,0.005,0.014,0.32,0.141,0.096,0.014
"P12","A Luis Zamora por Autodeterminación y Libertad",0.024,0.006,0.007,0.004,0.053,0.361,0.096,0.224
"P12","En blanco",0.021,0.009,0.024,0.028,0.05,0.048,0.267,0.06
"P12","No sabe",0.035,0.018,0.011,0.052,0.004,0.017,0.051,0.349
"P13","A Martín Lousteau por Juntos por el Cambio",0.043,0.117,0.622,0.081,0.019,0,0.043,0.049
"P13","A Jorge Macri por Juntos por el Cambio",0.054,0.564,0.11,0.066,0.015,0.023,0.028,0.012
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.006,0.223,0.123,0.138,0.094,0.03,0.231,0.215
"P13","A Leandro Santoro por el Frente de Todos",0.698,0.02,0.046,0.04,0.063,0.081,0.065,0.04
"P13","A Pedro Rosemblat por el Frente de Todos",0.129,0.041,0.052,0.009,0.102,0.019,0.039,0.092
"P13","A Ramiro Marra por La Libertad Avanza",0.004,0.012,0.001,0.605,0.205,0.115,0.01,0.007
"P13","Al candidato del Frente de Izquierda",0.01,0.001,0.002,0.004,0.396,0.141,0.175,0.009
"P13","A Luis Zamora por Autodeterminación y Libertad",0.015,0.005,0.003,0.002,0.054,0.54,0.086,0.175
"P13","En blanco",0.012,0,0.014,0.038,0.044,0.021,0.28,0.055
"P13","No sabe",0.029,0.017,0.027,0.017,0.008,0.03,0.043,0.346
"P14","A Leandro Santoro por el Frente de Todos",0.724,0.038,0.035,0.029,0.017,0.028,0.065,0.026
"P14","A Pedro Rosemblat por el Frente de Todos",0.133,0.042,0.067,0.036,0.061,0.032,0.045,0.072
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.034,0.53,0.22,0.06,0.063,0.039,0.121,0.103
"P14","A Martín Lousteau por Juntos por el Cambio",0.042,0.169,0.606,0.126,0.024,0.03,0.043,0.052
"P14","A Ramiro Marra por La Libertad Avanza",0.009,0.067,0.027,0.591,0.329,0.027,0.027,0.064
"P14","Al candidato del Frente de Izquierda",0.007,0.005,0.004,0.068,0.289,0.23,0,0.006
"P14","A Luis Zamora por Autodeterminación y Libertad",0.016,0.004,0.003,0.011,0.157,0.48,0.269,0.005
"P14","En blanco",0.012,0.049,0.012,0.039,0.044,0.065,0.274,0.272
"P14","No sabe",0.023,0.096,0.026,0.04,0.016,0.069,0.156,0.4
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.948,0.015,0.033,0.026,0.024,0.032,0.097,0.103
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.012,0.76,0.191,0.065,0.027,0.058,0.119,0.132
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.021,0.099,0.741,0.055,0.069,0.009,0.037,0.032
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.002,0.049,0.009,0.822,0.31,0.037,0.034,0.034
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.012,0.003,0.003,0.008,0.507,0.157,0.045,0.015
"P16","A Luis Zamora por Autodeterminación y Libertad",0.001,0.003,0.011,0.004,0.033,0.624,0.043,0.002
"P16","En blanco",0,0.022,0.004,0.006,0.012,0.052,0.599,0.049
"P16","No sabe",0.004,0.049,0.008,0.014,0.018,0.031,0.026,0.633
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.096,0.604,0.055,0.031,0.042,0.011,0.007,0.088
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.022,0.088,0.69,0.078,0.075,0.008,0.038,0.05
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.037,0.225,0.107,0.148,0.104,0.055,0.296,0.197
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.577,0.029,0.017,0.088,0.127,0.057,0,0.021
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.236,0.012,0.096,0.013,0.145,0.12,0.076,0.088
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.004,0.008,0.014,0.626,0.12,0.165,0.082,0.062
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.005,0.002,0.002,0.008,0.376,0.09,0.242,0.033
"P17","A Luis Zamora por Autodeterminación y Libertad",0.011,0.015,0.005,0.001,0.011,0.482,0.037,0.181
"P17","En blanco",0.001,0.009,0.005,0.002,0,0,0.215,0.035
"P17","No sabe",0.011,0.008,0.009,0.005,0,0.012,0.007,0.245
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.6,0.041,0.028,0.027,0.004,0.03,0.014,0.06
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.276,0.02,0.092,0.067,0.077,0.072,0.07,0.082
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.037,0.691,0.204,0.06,0.1,0.044,0.121,0.199
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.041,0.115,0.617,0.076,0.032,0.036,0.038,0.04
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.015,0.062,0.013,0.674,0.253,0.059,0.031,0.079
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.006,0.003,0.017,0.054,0.298,0.218,0.067,0.052
"P18","A Luis Zamora por Autodeterminación y Libertad",0.005,0.003,0.001,0.004,0.128,0.514,0.276,0.008
"P18","En blanco",0.008,0.035,0.004,0.011,0.021,0.027,0.351,0.17
"P18","No sabe",0.012,0.03,0.024,0.027,0.087,0,0.032,0.31
"P19","A Martín Lousteau por Juntos por el Cambio",0.032,0.51,0.811,0.082,0.141,0.011,0.093,0.094
"P19","A Ramiro Marra por La Libertad Avanza",0.033,0.118,0.013,0.775,0.283,0.059,0.01,0.008
"P19","A Leandro Santoro por el Frente de Todos",0.882,0.036,0.06,0.029,0.064,0.115,0.021,0.124
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.007,0.006,0.002,0.048,0.377,0.159,0.054,0.008
"P19","A Luis Zamora por Autodeterminación y Libertad",0.006,0.012,0.022,0.011,0.039,0.574,0.097,0.022
"P19","En blanco",0.005,0.149,0.038,0.008,0.013,0.059,0.638,0.122
"P19","No sabe",0.035,0.169,0.054,0.047,0.083,0.023,0.087,0.622
"P22","A Leandro Santoro por el Frente de Todos",0.819,0.051,0.12,0.064,0.146,0.106,0.049,0.103
"P22","A Jorge Macri por Juntos por el Cambio",0.061,0.79,0.429,0.092,0.143,0,0.008,0.07
"P22","A Ramiro Marra por La Libertad Avanza",0.06,0.057,0.081,0.731,0.184,0.095,0.02,0.085
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.021,0.003,0.024,0.042,0.488,0.138,0.094,0.01
"P22","A Luis Zamora por Autodeterminación y Libertad",0.006,0.007,0.035,0.022,0.013,0.551,0.098,0.005
"P22","En blanco",0.008,0.032,0.121,0.014,0.005,0.056,0.583,0.111
"P22","No sabe",0.025,0.06,0.19,0.035,0.021,0.054,0.148,0.616
"P25","A Leandro Santoro por el Frente de Todos",0.865,0.046,0.125,0.05,0.136,0.108,0.031,0.128
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.054,0.715,0.537,0.099,0.032,0.054,0.13,0.167
"P25","A Ramiro Marra por La Libertad Avanza",0.025,0.084,0.048,0.741,0.287,0.057,0.038,0.026
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.009,0.003,0.02,0.039,0.407,0.128,0.062,0.009
"P25","A Luis Zamora por Autodeterminación y Libertad",0.01,0.017,0.026,0.016,0.098,0.544,0.107,0.009
