"var","categoria","A Leandro Santoro por el Frente de Todos","A Pedro Rosemblat por el Frente de Todos","A María Eugenia Vidal por Juntos por el Cambio","A Martín Lousteau por Juntos por el Cambio","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P09","A Gerardo Morales",0.053,0.009,0.019,0.073,0.071,0,0.216,0.023,0.028
"P10","Leandro Santoro por el Frente de Todos",0.839,0.481,0.053,0.072,0.021,0.014,0.109,0.012,0.023
"P10","Jorge Macri por Juntos por el Cambio",0.057,0.143,0.618,0.221,0.201,0.056,0.039,0.29,0.335
"P10","Martín Lousteau por Juntos por el Cambio",0.046,0.177,0.182,0.637,0.042,0.024,0.014,0.027,0.034
"P10","Ramiro Marra por La Libertad Avanza",0.009,0.004,0.043,0.014,0.657,0.381,0.095,0.019,0.03
"P10","Al candidato del Frente de Izquierda",0.007,0.042,0.003,0.005,0.005,0.473,0.139,0.039,0.01
"P10","A Luis Zamora por Autodeterminación y Libertad",0.008,0.011,0.011,0.013,0,0.014,0.433,0.047,0.021
"P10","En blanco",0.012,0.022,0.023,0.008,0.051,0.011,0.047,0.279,0.075
"P10","No sabe",0.022,0.12,0.067,0.03,0.023,0.027,0.124,0.287,0.472
"P11","María Eugenia Vidal por Juntos por el Cambio",0.078,0.123,0.704,0.142,0.046,0.054,0.062,0.081,0.108
"P11","Martín Lousteau por Juntos por el Cambio",0.069,0.175,0.131,0.699,0.052,0.012,0.025,0.066,0.076
"P11","Leandro Santoro por el Frente de Todos",0.808,0.539,0.074,0.09,0.045,0.015,0.041,0.023,0.028
"P11","Ramiro Marra por La Libertad Avanza",0.015,0.035,0.026,0.013,0.785,0.333,0.059,0.022,0.04
"P11","Al candidato del Frente de Izquierda",0.007,0.026,0.003,0.004,0.005,0.462,0.228,0.008,0.008
"P11","A Luis Zamora por Autodeterminación y Libertad",0.006,0.001,0.002,0.014,0.004,0.019,0.412,0.046,0.03
"P11","En blanco",0.003,0.013,0.014,0.007,0.032,0.032,0.074,0.388,0.129
"P11","No sabe",0.014,0.088,0.046,0.031,0.031,0.073,0.099,0.366,0.581
"P12","A Jorge Macri por Juntos por el Cambio",0.042,0.165,0.493,0.179,0.132,0.029,0.035,0.195,0.241
"P12","A Martín Lousteau por Juntos por el Cambio",0.038,0.098,0.133,0.576,0.022,0.024,0.011,0.034,0.045
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.049,0.027,0.21,0.127,0.195,0.004,0.16,0.237,0.174
"P12","A Leandro Santoro por el Frente de Todos",0.76,0.376,0.053,0.034,0.02,0.097,0.054,0.003,0.019
"P12","A Matías Lammens por el Frente de Todos",0.078,0.22,0.032,0.03,0.035,0.027,0.09,0.009,0.011
"P12","A Ramiro Marra por La Libertad Avanza",0.002,0.004,0.021,0.008,0.538,0.277,0.158,0.012,0.037
"P12","Al candidato del Frente de Izquierda",0.002,0.014,0.003,0.004,0.003,0.458,0.074,0.03,0.026
"P12","A Luis Zamora por Autodeterminación y Libertad",0.003,0.008,0.006,0.022,0.016,0.007,0.356,0.214,0.08
"P12","En blanco",0.011,0.015,0.013,0.003,0.023,0.014,0.021,0.22,0.091
"P12","No sabe",0.015,0.073,0.036,0.017,0.016,0.063,0.041,0.046,0.276
"P13","A Martín Lousteau por Juntos por el Cambio",0.046,0.168,0.175,0.524,0.012,0.013,0,0.024,0.042
"P13","A Jorge Macri por Juntos por el Cambio",0.104,0.158,0.427,0.202,0.094,0.03,0.039,0.166,0.239
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.007,0.022,0.232,0.107,0.211,0.012,0.056,0.232,0.183
"P13","A Leandro Santoro por el Frente de Todos",0.79,0.13,0.067,0.089,0.009,0.011,0.086,0,0.021
"P13","A Pedro Rosemblat por el Frente de Todos",0.024,0.504,0.043,0.041,0.063,0,0.019,0.02,0.005
"P13","A Ramiro Marra por La Libertad Avanza",0.009,0.002,0.014,0.002,0.586,0.42,0.019,0.011,0.026
"P13","Al candidato del Frente de Izquierda",0.004,0.002,0.002,0.002,0.002,0.486,0.264,0.025,0.01
"P13","A Luis Zamora por Autodeterminación y Libertad",0.006,0,0.002,0.013,0.017,0.005,0.498,0.22,0.019
"P13","En blanco",0,0.009,0.004,0.007,0.001,0,0,0.253,0.087
"P13","No sabe",0.01,0.005,0.034,0.013,0.005,0.023,0.019,0.049,0.368
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.897,0.525,0.046,0.068,0.023,0.07,0.149,0.072,0.097
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.046,0.157,0.693,0.26,0.165,0.044,0.034,0.282,0.378
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.025,0.151,0.173,0.56,0.04,0.023,0.015,0.041,0.061
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.014,0.057,0.033,0.082,0.616,0.276,0.044,0.095,0.067
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.003,0.032,0.012,0.005,0.114,0.392,0.2,0.036,0.009
"P15","A Luis Zamora por Autodeterminación y Libertad",0.003,0.01,0.004,0.004,0.005,0.184,0.362,0.031,0.023
"P15","En blanco",0.006,0.013,0.012,0.005,0.005,0,0.186,0.122,0.047
"P15","No sabe",0.006,0.055,0.027,0.016,0.032,0.011,0.01,0.321,0.318
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.887,0.569,0.045,0.082,0.049,0.037,0.157,0.084,0.092
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.053,0.132,0.817,0.222,0.037,0.039,0.026,0.138,0.262
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.036,0.136,0.088,0.638,0.063,0.013,0.028,0.068,0.057
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.009,0.031,0.027,0.035,0.797,0.321,0.108,0.082,0.097
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.004,0.048,0.001,0.003,0.015,0.514,0.192,0.048,0.017
"P16","A Luis Zamora por Autodeterminación y Libertad",0.002,0.02,0.008,0.005,0.002,0.05,0.381,0.035,0.022
"P16","En blanco",0,0.014,0.001,0.007,0.016,0,0.093,0.251,0.067
"P16","No sabe",0.009,0.05,0.013,0.008,0.021,0.026,0.015,0.294,0.386
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.131,0.101,0.49,0.195,0.092,0.023,0.043,0.194,0.266
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.032,0.174,0.15,0.533,0.034,0.068,0.064,0.052,0.042
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.055,0.033,0.205,0.136,0.186,0.068,0.025,0.175,0.22
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.618,0.119,0.076,0.038,0.046,0.159,0.042,0.074,0.044
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.138,0.554,0.012,0.052,0.063,0.093,0.164,0.042,0.019
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.003,0.008,0.024,0.02,0.559,0.168,0.123,0.115,0.096
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.005,0,0,0.011,0.006,0.404,0.158,0.069,0.055
"P17","A Luis Zamora por Autodeterminación y Libertad",0.012,0.011,0.01,0.004,0.003,0.007,0.343,0.199,0.055
"P17","En blanco",0.002,0,0.018,0.001,0.002,0,0.013,0.066,0.022
"P17","No sabe",0.004,0,0.015,0.01,0.009,0.01,0.025,0.014,0.181
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.662,0.067,0.067,0.042,0.011,0.049,0.046,0.047,0.092
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.184,0.632,0.026,0.053,0.034,0.104,0.08,0.029,0.013
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.067,0.112,0.804,0.207,0.07,0.062,0.006,0.115,0.227
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.055,0.131,0.048,0.641,0.056,0.011,0.005,0.051,0.057
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.012,0.013,0.028,0.029,0.744,0.238,0.066,0.126,0.112
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.004,0.003,0.012,0.01,0.048,0.417,0.169,0.064,0.029
"P18","A Luis Zamora por Autodeterminación y Libertad",0.007,0.007,0,0.003,0.005,0.047,0.588,0.036,0.039
"P18","En blanco",0,0.028,0.002,0.004,0.014,0.019,0.04,0.405,0.086
"P18","No sabe",0.009,0.007,0.013,0.011,0.018,0.053,0,0.127,0.345
"P19","A Martín Lousteau por Juntos por el Cambio",0.062,0.212,0.486,0.847,0.056,0.035,0.117,0.099,0.143
"P19","A Ramiro Marra por La Libertad Avanza",0.037,0.06,0.083,0.029,0.821,0.302,0.018,0.102,0.09
"P19","A Leandro Santoro por el Frente de Todos",0.862,0.561,0.074,0.058,0.023,0.025,0.23,0.023,0.054
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.007,0.056,0.005,0.005,0.011,0.585,0.122,0,0.008
"P19","A Luis Zamora por Autodeterminación y Libertad",0.005,0.011,0.029,0.012,0.009,0.02,0.435,0.058,0.017
"P19","En blanco",0.004,0.017,0.151,0.015,0.024,0.012,0.051,0.482,0.142
"P19","No sabe",0.023,0.083,0.172,0.034,0.056,0.021,0.027,0.236,0.546
"P22","A Leandro Santoro por el Frente de Todos",0.791,0.609,0.087,0.125,0.049,0.033,0.086,0.029,0.068
"P22","A Jorge Macri por Juntos por el Cambio",0.113,0.152,0.687,0.49,0.213,0.051,0.103,0.36,0.321
"P22","A Ramiro Marra por La Libertad Avanza",0.066,0.051,0.071,0.104,0.672,0.261,0.012,0.078,0.096
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.008,0.069,0.003,0.024,0.007,0.609,0.286,0.013,0.007
"P22","A Luis Zamora por Autodeterminación y Libertad",0.01,0.008,0.015,0.022,0.007,0.006,0.461,0.068,0.011
"P22","En blanco",0.006,0.015,0.056,0.081,0.024,0.007,0.032,0.271,0.103
"P22","No sabe",0.006,0.096,0.081,0.154,0.028,0.033,0.02,0.181,0.394
"P25","A Leandro Santoro por el Frente de Todos",0.818,0.585,0.098,0.129,0.028,0.033,0.195,0.084,0.066
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.095,0.185,0.797,0.535,0.095,0.06,0.007,0.11,0.181
"P25","A Ramiro Marra por La Libertad Avanza",0.056,0.043,0.041,0.068,0.762,0.252,0.041,0.135,0.065
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.003,0.055,0.004,0.024,0.002,0.608,0.142,0.007,0
"P25","A Luis Zamora por Autodeterminación y Libertad",0.011,0.012,0,0.034,0.029,0.011,0.562,0.07,0.01
"P25","En blanco",0.007,0.056,0.018,0.082,0.055,0,0.022,0.434,0.166
"P25","No sabe",0.01,0.064,0.042,0.128,0.029,0.036,0.031,0.16,0.512
"P28","A Pedro Rosemblat por el Frente de Todos",0.508,0.673,0.091,0.057,0.054,0.06,0.054,0.095,0.063
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.105,0.165,0.789,0.562,0.087,0.037,0.015,0.072,0.2
"P28","A Ramiro Marra por La Libertad Avanza",0.073,0.061,0.069,0.096,0.773,0.237,0.026,0.138,0.103
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.047,0.03,0.003,0.023,0.007,0.585,0.205,0.008,0
"P28","A Luis Zamora por Autodeterminación y Libertad",0.055,0.013,0.01,0.037,0.003,0.013,0.64,0.053,0.048
"P28","En blanco",0.078,0.019,0.016,0.088,0.039,0.021,0.047,0.461,0.093
"P28","No sabe",0.134,0.039,0.022,0.137,0.037,0.047,0.013,0.173,0.493
"P31","Lo votaría",0.809,0.379,0.072,0.103,0.027,0.008,0.111,0.035,0.061
"P31","Puede que lo vote",0.098,0.327,0.082,0.095,0.066,0.167,0.316,0.041,0.071
"P31","Nunca lo votaría",0.082,0.233,0.791,0.746,0.859,0.693,0.383,0.865,0.688
"P31","No sabe",0.011,0.061,0.055,0.056,0.048,0.132,0.19,0.059,0.18
"P32","Lo votaría",0.352,0.545,0.056,0.037,0.04,0.02,0.067,0.03,0.017
"P32","Puede que lo vote",0.311,0.135,0.047,0.054,0.046,0.197,0.238,0.023,0.069
"P32","Nunca lo votaría",0.241,0.237,0.803,0.799,0.865,0.691,0.541,0.892,0.713
"P32","No sabe",0.096,0.083,0.094,0.11,0.049,0.092,0.154,0.055,0.201
"P33","Lo votaría",0.334,0.272,0.052,0.032,0.025,0.009,0.147,0.015,0.025
"P33","Puede que lo vote",0.367,0.265,0.076,0.083,0.04,0.123,0.107,0.026,0.068
"P33","Nunca lo votaría",0.214,0.385,0.785,0.794,0.88,0.79,0.683,0.932,0.707
"P33","No sabe",0.085,0.078,0.087,0.091,0.055,0.078,0.063,0.027,0.2
"P34","Lo votaría",0.094,0.123,0.549,0.295,0.161,0.043,0.023,0.349,0.327
"P34","Puede que lo vote",0.083,0.137,0.223,0.304,0.256,0.092,0.169,0.146,0.197
"P34","Nunca lo votaría",0.798,0.672,0.211,0.349,0.537,0.831,0.762,0.407,0.347
"P34","No sabe",0.025,0.068,0.017,0.052,0.046,0.034,0.046,0.098,0.129
"P35","Lo votaría",0.062,0.164,0.237,0.641,0.048,0.027,0.052,0.043,0.051
"P35","Puede que lo vote",0.134,0.199,0.408,0.239,0.109,0.07,0.187,0.199,0.278
"P35","Nunca lo votaría",0.781,0.575,0.323,0.105,0.816,0.844,0.741,0.699,0.487
"P35","No sabe",0.023,0.062,0.032,0.015,0.027,0.059,0.02,0.059,0.184
"P36","Lo votaría",0.039,0.156,0.402,0.373,0.265,0.043,0.132,0.389,0.331
"P36","Puede que lo vote",0.085,0.124,0.35,0.342,0.322,0.127,0.109,0.194,0.185
"P36","Nunca lo votaría",0.86,0.67,0.205,0.23,0.377,0.811,0.723,0.376,0.346
"P36","No sabe",0.016,0.05,0.043,0.055,0.036,0.019,0.036,0.041,0.138
"P37","Lo votaría",0.098,0.065,0.094,0.08,0.049,0.104,0.61,0.137,0.028
"P37","Puede que lo vote",0.377,0.314,0.101,0.138,0.047,0.227,0.239,0.056,0.136
"P37","Nunca lo votaría",0.468,0.543,0.758,0.724,0.862,0.614,0.131,0.705,0.643
"P37","No sabe",0.057,0.078,0.047,0.058,0.042,0.055,0.02,0.102,0.193
"P38","Lo votaría",0.063,0.16,0.657,0.297,0.025,0.048,0.141,0.105,0.078
"P38","Puede que lo vote",0.078,0.119,0.193,0.322,0.177,0.178,0.09,0.147,0.329
"P38","Nunca lo votaría",0.841,0.672,0.138,0.345,0.744,0.754,0.749,0.626,0.429
"P38","No sabe",0.018,0.049,0.012,0.036,0.054,0.02,0.02,0.122,0.164
"P39","Si",0.557,0.51,0.6,0.587,0.559,0.511,0.564,0.429,0.433
"P39","No",0.443,0.49,0.4,0.413,0.441,0.489,0.436,0.571,0.567
