"var","categoria","A Martín Lousteau por Juntos por el Cambio","A Jorge Macri por Juntos por el Cambio","A Ricardo López Murphy por Juntos por el Cambio","A Leandro Santoro por el Frente de Todos","A Pedro Rosemblat por el Frente de Todos","A Ramiro Marra por La Libertad Avanza","Al candidato del Frente de Izquierda","A Luis Zamora por Autodeterminación y Libertad","En blanco","No sabe"
"P09","A Facundo Manes",0.038,0.015,0.016,0.319,0.128,0,0,0.566,0.102,0.096
"P09","A Gerardo Morales",0.063,0.026,0.033,0.017,0.062,0.212,0,0.281,0,0.074
"P10","Leandro Santoro por el Frente de Todos",0.027,0.078,0.025,0.862,0.526,0.009,0.095,0.031,0.042,0.034
"P10","Jorge Macri por Juntos por el Cambio",0.168,0.773,0.468,0.012,0.166,0.033,0.014,0.008,0.038,0.044
"P10","Martín Lousteau por Juntos por el Cambio",0.719,0.117,0.167,0.06,0.097,0.006,0.016,0.025,0.064,0.051
"P10","Ramiro Marra por La Libertad Avanza",0.028,0.008,0.129,0.003,0.029,0.873,0.022,0.072,0.061,0.025
"P10","Al candidato del Frente de Izquierda",0.001,0.005,0,0.014,0.031,0.004,0.701,0.065,0,0.005
"P10","A Luis Zamora por Autodeterminación y Libertad",0.003,0.001,0.009,0.013,0.011,0.015,0.057,0.489,0,0.013
"P10","En blanco",0.022,0.002,0.035,0.012,0.026,0.025,0.046,0.094,0.653,0.09
"P10","No sabe",0.032,0.016,0.167,0.024,0.114,0.035,0.049,0.216,0.142,0.738
"P11","María Eugenia Vidal por Juntos por el Cambio",0.221,0.49,0.397,0.062,0.189,0.026,0.015,0.06,0.06,0.109
"P11","Martín Lousteau por Juntos por el Cambio",0.649,0.169,0.192,0.089,0.162,0.015,0.019,0.018,0.034,0.055
"P11","Leandro Santoro por el Frente de Todos",0.086,0.131,0.041,0.811,0.473,0.011,0.049,0.022,0.082,0.075
"P11","Ramiro Marra por La Libertad Avanza",0.015,0.052,0.166,0.01,0.027,0.893,0.007,0.042,0.007,0.03
"P11","Al candidato del Frente de Izquierda",0.005,0.007,0.005,0.004,0.026,0.002,0.747,0.024,0,0.017
"P11","A Luis Zamora por Autodeterminación y Libertad",0.003,0,0.005,0.004,0.027,0.009,0.062,0.48,0,0.01
"P11","En blanco",0.008,0.046,0.037,0.004,0.019,0.012,0.062,0.065,0.732,0.06
"P11","No sabe",0.013,0.105,0.157,0.016,0.077,0.032,0.039,0.289,0.085,0.644
"P12","A Jorge Macri por Juntos por el Cambio",0.151,0.729,0.135,0.007,0.135,0.037,0.01,0.013,0.009,0.018
"P12","A Martín Lousteau por Juntos por el Cambio",0.66,0.123,0.042,0.054,0.049,0.012,0.017,0,0.054,0.067
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.079,0.027,0.764,0.044,0.052,0.024,0.107,0.023,0.029,0.008
"P12","A Leandro Santoro por el Frente de Todos",0.012,0.073,0.004,0.791,0.332,0.038,0.047,0.043,0.037,0.046
"P12","A Matías Lammens por el Frente de Todos",0.06,0.018,0.015,0.068,0.284,0.012,0.11,0.004,0.018,0.013
"P12","A Ramiro Marra por La Libertad Avanza",0.013,0.006,0.02,0.002,0.02,0.81,0.009,0.133,0.01,0.025
"P12","Al candidato del Frente de Izquierda",0,0.001,0.005,0.003,0.019,0.016,0.634,0.027,0.024,0.002
"P12","A Luis Zamora por Autodeterminación y Libertad",0.002,0.006,0.004,0.013,0.02,0,0.049,0.675,0.009,0.08
"P12","En blanco",0.005,0.012,0.004,0.009,0.014,0.01,0.017,0.021,0.741,0.079
"P12","No sabe",0.018,0.005,0.007,0.009,0.075,0.041,0,0.061,0.069,0.662
"P14","A Leandro Santoro por el Frente de Todos",0.067,0.122,0.014,0.804,0.085,0.024,0.034,0.043,0,0.052
"P14","A Pedro Rosemblat por el Frente de Todos",0.077,0.058,0.013,0.041,0.543,0.002,0.005,0,0.031,0.008
"P14","A María Eugenia Vidal por Juntos por el Cambio",0.23,0.45,0.403,0.061,0.135,0.035,0.017,0.011,0.043,0.164
"P14","A Martín Lousteau por Juntos por el Cambio",0.589,0.181,0.158,0.07,0.107,0.005,0.012,0.072,0.059,0.053
"P14","A Ramiro Marra por La Libertad Avanza",0.008,0.052,0.193,0.005,0.103,0.752,0.009,0.058,0.007,0.013
"P14","Al candidato del Frente de Izquierda",0.002,0.004,0.003,0.001,0,0.148,0.56,0.005,0,0.016
"P14","A Luis Zamora por Autodeterminación y Libertad",0,0.006,0.014,0.011,0.008,0.006,0.291,0.45,0,0.013
"P14","En blanco",0.007,0.039,0.091,0,0.014,0.006,0.044,0.319,0.56,0.054
"P14","No sabe",0.02,0.088,0.111,0.007,0.005,0.022,0.028,0.042,0.3,0.627
"P15","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.077,0.078,0.013,0.887,0.545,0.013,0.111,0.133,0.164,0.206
"P15","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.199,0.781,0.51,0.025,0.163,0.038,0.012,0.038,0,0.112
"P15","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.638,0.091,0.168,0.033,0.126,0.002,0.013,0.017,0.106,0.111
"P15","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.058,0.038,0.133,0.02,0.015,0.817,0.017,0.007,0.209,0.049
"P15","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.005,0.003,0.03,0.011,0.058,0.092,0.572,0.064,0.08,0.008
"P15","A Luis Zamora por Autodeterminación y Libertad",0,0.003,0.006,0.008,0.006,0.031,0.12,0.382,0.022,0.017
"P15","En blanco",0.006,0.003,0.04,0.006,0.012,0.002,0.137,0.056,0.275,0.022
"P15","No sabe",0.017,0.003,0.1,0.01,0.075,0.005,0.018,0.303,0.144,0.475
"P16","A Leandro Santoro por el Frente de Todos con el apoyo de Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández",0.064,0.086,0.014,0.89,0.614,0.007,0.115,0.195,0.159,0.202
"P16","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.293,0.636,0.499,0.029,0.143,0.032,0.022,0.004,0.063,0.241
"P16","A Martín Lousteau por Juntos por el Cambio el apoyo de la UCR y de Horacio Rodríguez Larreta",0.588,0.157,0.124,0.046,0.108,0.009,0.018,0.016,0.136,0.081
"P16","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.033,0.05,0.181,0.009,0.018,0.901,0,0.059,0.208,0.063
"P16","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.001,0.003,0.003,0.012,0.03,0.016,0.754,0.046,0.094,0.022
"P16","A Luis Zamora por Autodeterminación y Libertad",0.003,0.003,0.018,0.007,0.014,0.015,0.02,0.36,0,0.017
"P16","En blanco",0.008,0.026,0.036,0,0.012,0.014,0.045,0.052,0.294,0.039
"P16","No sabe",0.01,0.039,0.125,0.007,0.061,0.006,0.026,0.268,0.046,0.335
"P17","A Jorge Macri por Juntos por el Cambio con el apoyo de Mauricio Macri y Horacio Rodríguez Larreta",0.131,0.672,0.135,0.11,0.159,0.025,0,0.015,0,0.142
"P17","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.67,0.103,0.114,0.025,0.035,0.044,0.005,0.082,0.088,0.056
"P17","A Ricardo López Murphy por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.069,0.113,0.622,0.033,0.017,0.039,0.094,0.018,0.059,0.079
"P17","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.048,0.05,0.021,0.643,0.133,0.098,0.072,0.051,0.121,0.093
"P17","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.033,0.027,0.014,0.158,0.637,0.016,0.173,0.054,0.067,0.045
"P17","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.011,0.02,0.05,0.007,0,0.761,0.017,0.158,0.214,0.064
"P17","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.006,0.002,0.004,0.003,0,0.006,0.632,0.019,0.262,0.025
"P17","A Luis Zamora por Autodeterminación y Libertad",0.004,0.007,0.026,0.016,0.008,0.005,0.007,0.576,0.013,0.07
"P17","En blanco",0.017,0.002,0.008,0.001,0,0.002,0,0,0.176,0.037
"P17","No sabe",0.011,0.004,0.006,0.004,0.011,0.004,0,0.027,0,0.389
"P18","A Leandro Santoro por el Frente de Todos con el apoyo de Sergio Massa y Alberto Fernández",0.065,0.084,0.046,0.641,0.098,0.003,0.055,0.065,0.045,0.133
"P18","A Pedro Rosemblat por el Frente de Todos con el apoyo de La Cámpora y Juan Grabois",0.06,0.056,0.008,0.185,0.612,0.068,0.028,0.036,0.066,0.025
"P18","A María Eugenia Vidal por Juntos por el Cambio con el apoyo de Mauricio Macri, Patricia Bullrich y Horacio Rodríguez Larreta",0.268,0.605,0.483,0.061,0.141,0.043,0.015,0.018,0.051,0.258
"P18","A Martín Lousteau por Juntos por el Cambio con el apoyo de la UCR y Horacio Rodríguez Larreta",0.558,0.119,0.137,0.072,0.084,0.01,0.005,0,0.115,0.092
"P18","A Ramiro Marra por La Libertad Avanza con el apoyo de Javier Milei",0.021,0.06,0.148,0.016,0.045,0.796,0.033,0.046,0.257,0.066
"P18","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.007,0.003,0.039,0.006,0,0.046,0.529,0.173,0.029,0.037
"P18","A Luis Zamora por Autodeterminación y Libertad",0.001,0.002,0.004,0.004,0.01,0.011,0.262,0.431,0.132,0.004
"P18","En blanco",0.011,0.031,0.059,0.009,0.002,0.014,0.015,0.207,0.154,0.059
"P18","No sabe",0.009,0.04,0.076,0.006,0.008,0.009,0.058,0.024,0.151,0.326
"P19","A Martín Lousteau por Juntos por el Cambio",0.786,0.497,0.375,0.052,0.173,0.002,0.038,0.165,0.133,0.139
"P19","A Ramiro Marra por La Libertad Avanza",0.048,0.113,0.223,0.019,0.042,0.896,0.009,0,0.202,0.016
"P19","A Leandro Santoro por el Frente de Todos",0.04,0.091,0.021,0.9,0.575,0.011,0.144,0.099,0.056,0.114
"P19","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.017,0.008,0.001,0.006,0.035,0.032,0.695,0.023,0.009,0.004
"P19","A Luis Zamora por Autodeterminación y Libertad",0.018,0.013,0.032,0.003,0.028,0.017,0.016,0.538,0,0.015
"P19","En blanco",0.031,0.123,0.153,0.004,0.078,0.015,0.043,0,0.416,0.123
"P19","No sabe",0.06,0.155,0.195,0.016,0.069,0.027,0.055,0.175,0.184,0.589
"P22","A Leandro Santoro por el Frente de Todos",0.132,0.073,0.041,0.841,0.602,0.037,0.072,0.115,0.058,0.165
"P22","A Jorge Macri por Juntos por el Cambio",0.428,0.804,0.534,0.047,0.143,0.054,0.021,0.082,0,0.106
"P22","A Ramiro Marra por La Libertad Avanza",0.071,0.054,0.174,0.07,0.094,0.833,0,0,0.225,0.067
"P22","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.036,0.006,0,0.02,0.033,0.027,0.807,0.059,0.012,0.019
"P22","A Luis Zamora por Autodeterminación y Libertad",0.026,0.009,0.011,0.008,0.02,0.017,0.016,0.611,0.042,0
"P22","En blanco",0.113,0.02,0.072,0.008,0.034,0.019,0.017,0,0.598,0.099
"P22","No sabe",0.194,0.034,0.168,0.006,0.074,0.013,0.067,0.133,0.065,0.544
"P25","A Leandro Santoro por el Frente de Todos",0.137,0.097,0.058,0.857,0.597,0.03,0.043,0.183,0.027,0.154
"P25","A María Eugenia Vidal por Juntos por el Cambio",0.574,0.668,0.496,0.059,0.198,0.063,0.01,0.006,0.108,0.132
"P25","A Ramiro Marra por La Libertad Avanza",0.061,0.077,0.202,0.041,0.043,0.81,0,0.028,0.294,0.035
"P25","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.039,0.009,0,0.003,0.026,0.018,0.728,0.009,0.012,0.013
"P25","A Luis Zamora por Autodeterminación y Libertad",0.014,0.021,0.006,0.012,0.03,0.02,0.137,0.611,0,0.015
"P25","En blanco",0.063,0.065,0.091,0.018,0.054,0.018,0.016,0.04,0.532,0.101
"P25","No sabe",0.112,0.063,0.147,0.01,0.052,0.041,0.066,0.123,0.027,0.55
"P28","A Pedro Rosemblat por el Frente de Todos",0.103,0.06,0.064,0.556,0.659,0.02,0.041,0.059,0.173,0.056
"P28","A María Eugenia Vidal por Juntos por el Cambio",0.556,0.66,0.522,0.082,0.133,0.042,0.012,0.036,0.112,0.201
"P28","A Ramiro Marra por La Libertad Avanza",0.082,0.112,0.191,0.059,0.108,0.848,0,0,0.251,0.045
"P28","Al candidato del Frente de Izquierda con el apoyo de Nicolás Del Caño, Romina Del Plá y Myriam Bregman",0.038,0.013,0,0.042,0.008,0.028,0.742,0.018,0.014,0.015
"P28","A Luis Zamora por Autodeterminación y Libertad",0.026,0.019,0.022,0.059,0.011,0.01,0.107,0.68,0,0.031
"P28","En blanco",0.087,0.072,0.071,0.071,0.038,0.021,0.017,0.05,0.373,0.098
"P28","No sabe",0.108,0.064,0.13,0.131,0.043,0.031,0.081,0.157,0.077,0.554
"P31","Lo votaría",0.08,0.101,0.015,0.848,0.383,0.048,0.05,0.126,0.052,0.115
"P31","Puede que lo vote",0.114,0.057,0.072,0.099,0.324,0.081,0.262,0.242,0.026,0.166
"P31","Nunca lo votaría",0.728,0.789,0.886,0.04,0.229,0.821,0.446,0.525,0.866,0.446
"P31","No sabe",0.078,0.053,0.027,0.013,0.064,0.05,0.242,0.107,0.056,0.273
"P32","Lo votaría",0.03,0.062,0.003,0.375,0.583,0.054,0.032,0.012,0.077,0.047
"P32","Puede que lo vote",0.074,0.034,0.022,0.325,0.14,0.051,0.316,0.216,0.041,0.108
"P32","Nunca lo votaría",0.776,0.801,0.922,0.204,0.22,0.856,0.535,0.612,0.867,0.44
"P32","No sabe",0.12,0.103,0.053,0.096,0.057,0.039,0.117,0.16,0.015,0.405
"P33","Lo votaría",0.054,0.045,0.011,0.348,0.311,0.016,0.072,0.103,0.011,0.005
"P33","Puede que lo vote",0.074,0.061,0.034,0.38,0.282,0.086,0.15,0.159,0.04,0.167
"P33","Nunca lo votaría",0.757,0.801,0.918,0.195,0.319,0.852,0.714,0.708,0.909,0.452
"P33","No sabe",0.115,0.093,0.037,0.077,0.088,0.046,0.064,0.03,0.04,0.376
"P34","Lo votaría",0.218,0.711,0.306,0.056,0.13,0.039,0.03,0,0,0.025
"P34","Puede que lo vote",0.374,0.106,0.375,0.07,0.062,0.276,0.062,0.163,0.109,0.235
"P34","Nunca lo votaría",0.35,0.165,0.286,0.84,0.762,0.659,0.856,0.778,0.693,0.5
"P34","No sabe",0.058,0.018,0.033,0.034,0.046,0.026,0.052,0.059,0.198,0.24
"P35","Lo votaría",0.663,0.251,0.202,0.037,0.108,0.045,0,0.076,0.042,0.061
"P35","Puede que lo vote",0.228,0.371,0.306,0.122,0.167,0.083,0.133,0.114,0.228,0.335
"P35","Nunca lo votaría",0.086,0.333,0.459,0.818,0.698,0.835,0.813,0.765,0.694,0.363
"P35","No sabe",0.023,0.045,0.033,0.023,0.027,0.037,0.054,0.045,0.036,0.241
"P36","Lo votaría",0.259,0.352,0.771,0.045,0.069,0.072,0.031,0.137,0.033,0.018
"P36","Puede que lo vote",0.419,0.394,0.145,0.034,0.099,0.399,0.042,0.09,0.174,0.167
"P36","Nunca lo votaría",0.245,0.211,0.082,0.905,0.805,0.472,0.867,0.745,0.793,0.544
"P36","No sabe",0.077,0.043,0.002,0.016,0.027,0.057,0.06,0.028,0,0.271
"P37","Lo votaría",0.069,0.067,0.126,0.102,0.077,0.027,0.17,0.719,0,0.028
"P37","Puede que lo vote",0.179,0.09,0.077,0.399,0.304,0.04,0.37,0.083,0.054,0.146
"P37","Nunca lo votaría",0.696,0.775,0.767,0.435,0.544,0.908,0.368,0.185,0.946,0.484
"P37","No sabe",0.056,0.068,0.03,0.064,0.075,0.025,0.092,0.013,0,0.342
"P38","Lo votaría",0.385,0.465,0.344,0.048,0.086,0.032,0.097,0.154,0.124,0.233
"P38","Puede que lo vote",0.269,0.275,0.294,0.071,0.072,0.126,0.122,0.019,0.078,0.084
"P38","Nunca lo votaría",0.306,0.23,0.32,0.86,0.798,0.792,0.747,0.801,0.762,0.473
"P38","No sabe",0.04,0.03,0.042,0.021,0.044,0.05,0.034,0.026,0.036,0.21
"P39","Si",0.581,0.544,0.58,0.567,0.533,0.561,0.616,0.417,0.324,0.514
"P39","No",0.419,0.456,0.42,0.433,0.467,0.439,0.384,0.583,0.676,0.486
